Date,Volume Traded (24h),Circulating Supply
04/12/2023,49600432.99,911015809.4
05/12/2023,167647018.2,907510556.8
06/12/2023,102412670.3,910636770.3
07/12/2023,104660498.6,912180301.1
08/12/2023,227439655.1,912343153.3
09/12/2023,192378851.8,911882388.8
10/12/2023,161444119.3,910121104.2
11/12/2023,129559594.8,911183789.4
12/12/2023,269078178.9,909439225.7
13/12/2023,178414942.9,910357166.1
14/12/2023,153647883.2,911409582.1
15/12/2023,121621503.1,911033274.8
16/12/2023,96274387.85,914702750.2
17/12/2023,99976282.25,910283113
18/12/2023,88130645.75,911146269.4
19/12/2023,118781681.4,911108107.2
20/12/2023,74635603.09,910186990.2
21/12/2023,79983306.28,910399752.7
22/12/2023,118654279.8,911876082.8
23/12/2023,272433443.5,910721120.5
24/12/2023,232636216.9,912099943.2
25/12/2023,205898707.5,913061907.3
26/12/2023,104384845.2,911746127.3
27/12/2023,143553435.1,910001705.3
28/12/2023,255639157,911314469.5
29/12/2023,174849001,914724395.3
30/12/2023,170543431.8,910036180
31/12/2023,94350962.36,913707124.8
01/01/2024,99906003.8,913592368.2
02/01/2024,110821467.3,910525148.8
03/01/2024,109950257.5,909213211.1
04/01/2024,223976109.2,911164288.6
05/01/2024,137061034.8,909746052.7
06/01/2024,112189126.5,909486234.4
07/01/2024,82543154.88,910514914.7
08/01/2024,79705959.35,910208683.6
09/01/2024,108096998.2,958385247.3
10/01/2024,122466639.7,955522892.1
11/01/2024,200702167.5,959576431.2
12/01/2024,146927455.5,959018919.8
13/01/2024,195940857.1,955719522.2
14/01/2024,73838843.34,958450662.7
15/01/2024,63980624.14,962211524.7
16/01/2024,76643638.64,958031199
17/01/2024,62905572.92,957238239.6
18/01/2024,60761512.36,957268014.9
19/01/2024,70269842.86,957891181.6
20/01/2024,83724456.39,958054748.1
21/01/2024,44321767.14,958174771.1
22/01/2024,34726353.66,958676178.5
23/01/2024,78980360.46,956926577
24/01/2024,127052990.5,955330162.2
25/01/2024,60633173.38,958097286
26/01/2024,63615107.97,956552023.5
27/01/2024,77448732.46,954704703.2
28/01/2024,36488429.8,957740127.7
29/01/2024,51536839.89,957917138.2
30/01/2024,54666440.3,958028262.8
31/01/2024,83682791.31,954980542.9
01/02/2024,75921573.49,958001492.5
02/02/2024,49153286.99,957204281.1
03/02/2024,36495204.56,957328579.9
04/02/2024,25018068.99,956335673.8
05/02/2024,32099426.83,957250874.4
06/02/2024,46368013.59,956951604.5
07/02/2024,115393213.7,957096963
08/02/2024,89408767.94,958247087.8
09/02/2024,61800819.74,958257177.8
10/02/2024,65235544.28,960972438.8
11/02/2024,36285257.01,956215140.5
12/02/2024,53232020.86,957211534.5
13/02/2024,73489313.79,956798923.1
14/02/2024,63292443.19,956987813.1
15/02/2024,54354200.99,957366700.1
16/02/2024,69517291.85,957678440.4
17/02/2024,52820013.45,958137392.2
18/02/2024,38414030.17,958225004.4
19/02/2024,38279010.29,957067852.7
20/02/2024,67897303.54,957190787.4
21/02/2024,136136009.4,958327227.9
22/02/2024,91910505.67,959159386.4
23/02/2024,72656559.82,956969995.8
24/02/2024,56062196.8,958302649.9
25/02/2024,44345098.28,957508330.1
26/02/2024,47111869.6,956220388.6
27/02/2024,59893982.86,957017509.5
28/02/2024,66227455.35,956985185.5
29/02/2024,98825584.59,958338515.8
01/03/2024,104979851.1,1008260254
02/03/2024,52566721.41,1006164603
03/03/2024,71267464.1,1005554068
04/03/2024,129632874.2,1005515485
05/03/2024,84200696.79,1005286234
06/03/2024,277028918.6,1003306481
07/03/2024,163848685.3,1005339624
08/03/2024,100921535.4,1006195123
09/03/2024,90750261.33,1005821988
10/03/2024,63128989.86,1005287001
11/03/2024,77514091.72,1006317905
12/03/2024,119671545.1,1007330883
13/03/2024,128569657.1,1004885662
