Date,Votable Supply,Circulating Supply
2022-06-05,35460574.01,214748364.8
2022-06-06,35676686.11,214748364.8
2022-06-07,35450013.62,214748364.8
2022-06-08,35248663.35,214748364.8
2022-06-09,36641371.68,214748364.8
2022-06-10,35860361.76,214748364.8
2022-06-11,33795831.01,214748364.8
2022-06-12,33507078.69,214748364.8
2022-06-13,33036165.66,214748364.8
2022-06-14,32669370.78,214748364.8
2022-06-15,32486928.5,214748364.8
2022-06-16,32310915.13,214748364.8
2022-06-17,32245071.54,214748364.8
2022-06-18,32142425.5,214748364.8
2022-06-19,32124105.11,214748364.8
2022-06-20,31926883.28,214748364.8
2022-06-21,31840266.9,214748364.8
2022-06-22,31885194.13,214748364.8
2022-06-23,31892503.76,214748364.8
2022-06-24,31892225.41,214748364.8
2022-06-25,31804279.62,214748364.8
2022-06-26,31888597.63,214748364.8
2022-06-27,31828601.19,214748364.8
2022-06-28,31747624.83,214748364.8
2022-06-29,31473289.47,214748364.8
2022-06-30,31387665.21,214748364.8
2022-07-01,31183188.64,214748364.8
2022-07-02,31182901.67,214748364.8
2022-07-03,31228257.81,214748364.8
2022-07-04,31334908.06,214748364.8
2022-07-05,31350317.98,214748364.8
2022-07-06,31377970.71,214748364.8
2022-07-07,31354602.84,214748364.8
2022-07-08,31349983.39,214748364.8
2022-07-09,31340383.37,214748364.8
2022-07-10,31274671.99,214748364.8
2022-07-11,40355622.11,214748364.8
2022-07-12,40183563.57,214748364.8
2022-07-13,31244250.76,214748364.8
2022-07-14,31205695.25,214748364.8
2022-07-15,31108470.37,214748364.8
2022-07-16,30979098.62,214748364.8
2022-07-17,30777929.93,214748364.8
2022-07-18,30263597.28,214748364.8
2022-07-19,30134511.39,214748364.8
2022-07-20,30104452.59,214748364.8
2022-07-21,29909672.44,214748364.8
2022-07-22,29675024.73,214748364.8
2022-07-23,29326175.77,214748364.8
2022-07-24,29206621.86,214748364.8
2022-07-25,29046842.72,214748364.8
2022-07-26,29936695.71,214748364.8
2022-07-27,28865819.85,214748364.8
2022-07-28,27975649.17,214748364.8
2022-07-29,26738393.23,214748364.8
2022-07-30,26234171.83,214748364.8
2022-07-31,25952175.24,214748364.8
2022-08-01,25766675.02,214748364.8
2022-08-02,25653376.7,214748364.8
2022-08-03,25233367.69,214748364.8
2022-08-04,24723167.68,214748364.8
2022-08-05,24529886.36,214748364.8
2022-08-06,24270976.61,214748364.8
2022-08-07,24132438.57,214748364.8
2022-08-08,24170555.47,214748364.8
2022-08-09,23982035.99,214748364.8
2022-08-10,23934953.29,214748364.8
2022-08-11,24032207.4,214748364.8
2022-08-12,23948363.24,214748364.8
2022-08-13,24077333.07,214748364.8
2022-08-14,24028850.13,214748364.8
2022-08-15,23998133.13,214748364.8
2022-08-16,24123825.22,214748364.8
2022-08-17,23708960.67,214748364.8
2022-08-18,23634225.49,214748364.8
2022-08-19,23565688.65,214748364.8
2022-08-20,23484755.32,214748364.8
2022-08-21,23471172.05,214748364.8
2022-08-22,23456412.25,214748364.8
2022-08-23,23553147.99,214748364.8
2022-08-24,32552613.98,214748364.8
2022-08-25,24139099.85,214748364.8
2022-08-26,24037339.05,214748364.8
2022-08-27,24144370.64,214748364.8
2022-08-28,24147144.61,214748364.8
2022-08-29,24142728.98,214748364.8
2022-08-30,24072277.75,214748364.8
2022-08-31,24125958.19,214748364.8
2022-09-01,24208607.33,214748364.8
2022-09-02,24165694.58,214748364.8
2022-09-03,24051279.57,214748364.8
