Date,Votable Supply
2022-06-05,35460574.01
2022-06-06,35676686.11
2022-06-07,35450013.62
2022-06-08,35248663.35
2022-06-09,36641371.68
2022-06-10,35860361.76
2022-06-11,33795831.01
2022-06-12,33507078.69
2022-06-13,33036165.66
2022-06-14,32669370.78
2022-06-15,32486928.5
2022-06-16,32310915.13
2022-06-17,32245071.54
2022-06-18,32142425.5
2022-06-19,32124105.11
2022-06-20,31926883.28
2022-06-21,31840266.9
2022-06-22,31885194.13
2022-06-23,31892503.76
2022-06-24,31892225.41
2022-06-25,31804279.62
2022-06-26,31888597.63
2022-06-27,31828601.19
2022-06-28,31747624.83
2022-06-29,31473289.47
2022-06-30,31387665.21
2022-07-01,31183188.64
2022-07-02,31182901.67
2022-07-03,31228257.81
2022-07-04,31334908.06
2022-07-05,31350317.98
2022-07-06,31377970.71
2022-07-07,31354602.84
2022-07-08,31349983.39
2022-07-09,31340383.37
2022-07-10,31274671.99
2022-07-11,40355622.11
2022-07-12,40183563.57
2022-07-13,31244250.76
2022-07-14,31205695.25
2022-07-15,31108470.37
2022-07-16,30979098.62
2022-07-17,30777929.93
2022-07-18,30263597.28
2022-07-19,30134511.39
2022-07-20,30104452.59
2022-07-21,29909672.44
2022-07-22,29675024.73
2022-07-23,29326175.77
2022-07-24,29206621.86
2022-07-25,29046842.72
2022-07-26,29936695.71
2022-07-27,28865819.85
2022-07-28,27975649.17
2022-07-29,26738393.23
2022-07-30,26234171.83
2022-07-31,25952175.24
2022-08-01,25766675.02
2022-08-02,25653376.7
2022-08-03,25233367.69
2022-08-04,24723167.68
2022-08-05,24529886.36
2022-08-06,24270976.61
2022-08-07,24132438.57
2022-08-08,24170555.47
2022-08-09,23982035.99
2022-08-10,23934953.29
2022-08-11,24032207.4
2022-08-12,23948363.24
2022-08-13,24077333.07
2022-08-14,24028850.13
2022-08-15,23998133.13
2022-08-16,24123825.22
2022-08-17,23708960.67
2022-08-18,23634225.49
2022-08-19,23565688.65
2022-08-20,23484755.32
2022-08-21,23471172.05
2022-08-22,23456412.25
2022-08-23,23553147.99
2022-08-24,32552613.98
2022-08-25,24139099.85
2022-08-26,24037339.05
2022-08-27,24144370.64
2022-08-28,24147144.61
2022-08-29,24142728.98
2022-08-30,24072277.75
2022-08-31,24125958.19
2022-09-01,24208607.33
2022-09-02,24165694.58
2022-09-03,24051279.57
2022-09-04,24039801.5
2022-09-05,24034879.13
2022-09-06,24087193.45
2022-09-07,23540783.14
2022-09-08,23527204.81
2022-09-09,23458316.72
2022-09-10,23482900.95
2022-09-11,23474100.47
2022-09-12,23393868.72
2022-09-13,23339478.69
2022-09-14,23416407.99
2022-09-15,23341721.46
2022-09-16,23271915.2
2022-09-17,23185231.52
2022-09-18,23272015.42
2022-09-19,23283533.07
2022-09-20,23181243.26
2022-09-21,23112234.34
2022-09-22,23077518.98
2022-09-23,22993601.33
2022-09-24,22928739.32
2022-09-25,22871840.71
2022-09-26,22853527.82
2022-09-27,22852134.16
2022-09-28,22871014.79
2022-09-29,22971238.37
2022-09-30,22928277.49
2022-10-01,22730069.79
2022-10-02,22562851.38
2022-10-03,23159947.6
2022-10-04,22705142.0
2022-10-05,22381818.7
2022-10-06,22354057.68
2022-10-07,22397219.66
2022-10-08,22299448.39
2022-10-09,22280822.78
2022-10-10,22279279.23
2022-10-11,22264798.62
2022-10-12,22262516.02
2022-10-13,22297572.88
2022-10-14,22429999.16
2022-10-15,22403368.37
2022-10-16,22396464.44
2022-10-17,24462114.25
2022-10-18,24464785.74
2022-10-19,24704899.74
2022-10-20,24783736.74
2022-10-21,24754972.81
2022-10-22,24806026.98
2022-10-23,24898249.66
2022-10-24,24932134.95
2022-10-25,24920931.03
2022-10-26,24833885.08
2022-10-27,24830839.36
2022-10-28,24764855.21
2022-10-29,24650897.34
2022-10-30,24641332.81
2022-10-31,24625875.66
2022-11-01,24465189.18
2022-11-02,24513707.69
2022-11-03,24528620.95
2022-11-04,24446984.45
2022-11-05,24740393.92
2022-11-06,24709161.68
2022-11-07,24670330.83
2022-11-08,23923669.16
2022-11-09,23823770.19
2022-11-10,23804923.06
2022-11-11,23659763.16
2022-11-12,23601699.45
2022-11-13,23600664.4
2022-11-14,23633311.65
2022-11-15,23657199.03
2022-11-16,23569068.78
2022-11-17,23523762.13
2022-11-18,23478763.04
2022-11-19,23448249.05
2022-11-20,23394729.97
2022-11-21,23453819.02
2022-11-22,23413134.69
2022-11-23,23413362.47
2022-11-24,23393691.12
2022-11-25,23382697.46
2022-11-26,23394490.99
2022-11-27,23760184.35
2022-11-28,23777487.77
2022-11-29,23897806.97
2022-11-30,23731793.76
2022-12-01,23608489.23
2022-12-02,23578524.19
2022-12-03,23530424.74
2022-12-04,23529556.03
2022-12-05,23480848.23
2022-12-06,23507577.53
2022-12-07,23498800.98
2022-12-08,23509499.89
2022-12-09,23459699.83
2022-12-10,23451781.83
2022-12-11,23451124.38
2022-12-12,23519307.1
2022-12-13,23625580.62
2022-12-14,23624239.39
2022-12-15,23710882.93
2022-12-16,23797148.41
2022-12-17,23897239.11
2022-12-18,23908567.06
2022-12-19,23900838.52
2022-12-20,23997014.59
2022-12-21,23969784.82
2022-12-22,24135964.05
2022-12-23,24105439.73
2022-12-24,24001746.03
2022-12-25,23919830.89
2022-12-26,23925921.12
2022-12-27,23895641.72
2022-12-28,23840305.42
2022-12-29,23828483.45
2022-12-30,23793055.9
2022-12-31,23770159.69
2023-01-01,23761839.4
2023-01-02,23752991.25
2023-01-03,23659059.75
2023-01-04,23624683.21
2023-01-05,23608104.36
2023-01-06,23643149.89
2023-01-07,23614361.8
2023-01-08,23534274.24
