Date,F,weights,Votable Supply,IVS
2023-12-04,0.878701,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",82765569.72,126625941.41
2023-12-05,0.851906,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",82498452.48,123149795.53
2023-12-06,0.814108,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",82944352.75,119629460.75
2023-12-07,0.822544,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",82127363.78,119360014.63
2023-12-08,0.871227,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",82158482.04,124835184.48
2023-12-09,0.84697,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",82051659.44,121931411.68
2023-12-10,0.829338,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",82000609.04,119913323.51
2023-12-11,0.812062,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",81792099.12,117749419.25
2023-12-12,0.885911,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",81534903.35,125575568.24
2023-12-13,0.831696,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",81700583.44,119731017.89
2023-12-14,0.818549,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",81731496.13,118355200.42
2023-12-15,0.801622,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",81707088.7,116523247.66
2023-12-16,0.790932,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",81642104.65,115315419.02
2023-12-17,0.794283,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",81603284.22,115608457.99
2023-12-18,0.794035,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",81058572.53,114811136.96
2023-12-19,0.811641,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",80957551.86,116503622.35
2023-12-20,0.79038,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",80819116.73,114096368.63
2023-12-21,0.794452,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",80727780.38,114385512.43
2023-12-22,0.84395,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",76850174.41,113887340.12
2023-12-23,0.923686,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",76503915.0,122031327.63
2023-12-24,0.901487,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",76171580.22,119018428.91
2023-12-25,0.882945,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",76105787.19,116893480.27
2023-12-26,0.826635,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",76063269.96,110958029.04
2023-12-27,0.855514,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",75251500.63,112703447.18
2023-12-28,0.916328,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",75047182.04,118889704.57
2023-12-29,0.872182,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",74973578.22,114018242.28
2023-12-30,0.866928,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",74927314.27,113398849.95
2023-12-31,0.825516,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",74905236.67,109157756.25
2024-01-01,0.829738,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",74779230.47,109392932.88
2024-01-02,0.838337,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",74244867.78,109464625.78
2024-01-03,0.843662,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",73764045.53,109285152.07
2024-01-04,0.913641,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",73792060.55,116609381.92
2024-01-05,0.858308,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",73800200.2,110813112.55
2024-01-06,0.846601,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",73760674.07,109573799.49
2024-01-07,0.832035,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",73837490.38,108241141.56
2024-01-08,0.832062,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",73918490.82,108362544.61
2024-01-09,0.875251,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",73805710.74,112559653.65
2024-01-10,0.881785,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",73861336.12,113324814.4
2024-01-11,0.926721,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",73690653.49,117877261.96
2024-01-12,0.897231,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",73449269.83,114313027.9
2024-01-13,0.927431,"w1=0.42, w2=0.34, w3=0.2, w4=0.05",73344587.06,117401480.35
