Weights,Monotonicity Score,Average Proportional Increase,Standard Deviation,Total Score
"w1=0.29, w2=0.28, w3=0.27, w4=0.15",0.3861209964412811,1.7905596913928787,0.20083100673535334,0.49092313447861036
"w1=0.29, w2=0.28, w3=0.28, w4=0.15",0.38523131672597866,1.790862530598864,0.20056596157752993,0.49061837600950314
"w1=0.31, w2=0.27, w3=0.27, w4=0.14",0.3879003558718861,1.7838344748160864,0.20077399271741964,0.49048487508393446
"w1=0.31, w2=0.27, w3=0.27, w4=0.15",0.3861209964412811,1.7854028784765195,0.19955596983558668,0.4902742829652685
"w1=0.3, w2=0.28, w3=0.27, w4=0.14",0.38701067615658363,1.786350031574964,0.20183613965296504,0.49022450249739513
"w1=0.34, w2=0.26, w3=0.26, w4=0.14",0.3896797153024911,1.776256072427229,0.19986197532436378,0.49013247953938227
"w1=0.3, w2=0.28, w3=0.27, w4=0.15",0.38523131672597866,1.7879262716522848,0.20061305362656437,0.490016996605477
"w1=0.34, w2=0.26, w3=0.25, w4=0.14",0.3896797153024911,1.775963324261217,0.2001409915829753,0.4899902250285964
"w1=0.29, w2=0.28, w3=0.28, w4=0.14",0.38523131672597866,1.7892532805335846,0.20182660849644588,0.4899183319207725
"w1=0.3, w2=0.28, w3=0.28, w4=0.14",0.3861209964412811,1.7866522188998595,0.2015944635111657,0.4899126029472628
"w1=0.31, w2=0.28, w3=0.26, w4=0.15",0.3861209964412811,1.7850708138608762,0.20070710671681283,0.48986252897777194
"w1=0.3, w2=0.27, w3=0.27, w4=0.15",0.38434163701067614,1.7879828882311597,0.1997145598295334,0.48985302820271004
"w1=0.31, w2=0.28, w3=0.27, w4=0.14",0.38701067615658363,1.7838178030482437,0.20162677357927555,0.4897808666141579
"w1=0.32, w2=0.27, w3=0.27, w4=0.14",0.38701067615658363,1.7813520558772098,0.2006198244543182,0.4895898019174384
"w1=0.35, w2=0.26, w3=0.25, w4=0.14",0.3896797153024911,1.7736482570812249,0.2000593160772177,0.4895517142443253
"w1=0.3, w2=0.28, w3=0.26, w4=0.15",0.38434163701067614,1.7876306152742225,0.20090333245172332,0.4894259418246656
"w1=0.35, w2=0.26, w3=0.24, w4=0.14",0.3896797153024911,1.773361880780612,0.20035966306945263,0.4894043348865322
"w1=0.33, w2=0.27, w3=0.27, w4=0.13",0.3887900355871886,1.7774492519884961,0.20174356613078245,0.48936179835205884
"w1=0.32, w2=0.27, w3=0.27, w4=0.13",0.3879003558718861,1.7798417277824747,0.2018992476359314,0.4893487492016586
"w1=0.33, w2=0.26, w3=0.26, w4=0.14",0.38701067615658363,1.7786296631585161,0.19995277497789946,0.48924543821662525
"w1=0.31, w2=0.27, w3=0.26, w4=0.15",0.38434163701067614,1.7851056787725905,0.19984073008397588,0.4892397352346634
"w1=0.32, w2=0.27, w3=0.26, w4=0.15",0.38523131672597866,1.7825944218212506,0.19969979866321186,0.4892246031282759
"w1=0.3, w2=0.29, w3=0.26, w4=0.15",0.38434163701067614,1.7875904723014262,0.20180117080504437,0.48914856172411003
"w1=0.32, w2=0.28, w3=0.27, w4=0.13",0.3879003558718861,1.7798575205189013,0.20270453536546573,0.48911032143008365
"w1=0.31, w2=0.28, w3=0.27, w4=0.13",0.38701067615658363,1.782296392066971,0.2029108470632637,0.4890913623727069
"w1=0.32, w2=0.27, w3=0.25, w4=0.15",0.38523131672597866,1.7823033586563994,0.20000735491655736,0.489074123619302
"w1=0.38, w2=0.25, w3=0.24, w4=0.13",0.39234875444839856,1.7652728279344496,0.20066792485041104,0.48902856535596595
"w1=0.34, w2=0.26, w3=0.26, w4=0.13",0.3887900355871886,1.774779764478174,0.20109683102000622,0.48902192138322725
"w1=0.36, w2=0.26, w3=0.24, w4=0.14",0.3896797153024911,1.7711012063654699,0.20028581384828226,0.48897435476985485
"w1=0.35, w2=0.25, w3=0.25, w4=0.14",0.3879003558718861,1.7736211570411504,0.19933561704264022,0.4888737242313811
"w1=0.33, w2=0.27, w3=0.25, w4=0.14",0.38701067615658363,1.7783450677238488,0.20102567756509948,0.4888666483535318
"w1=0.31, w2=0.29, w3=0.24, w4=0.15",0.38523131672597866,1.7844806063067766,0.20222607361640202,0.48884395753942406
"w1=0.36, w2=0.26, w3=0.23, w4=0.14",0.3896797153024911,1.7708206298132794,0.200605431312879,0.4888223542200377
"w1=0.31, w2=0.28, w3=0.25, w4=0.15",0.38434163701067614,1.784781566401312,0.2010201223832924,0.4888210950706128
"w1=0.36, w2=0.26, w3=0.24, w4=0.13",0.3905693950177936,1.7696740172587246,0.2014472647906619,0.4887853215234432
"w1=0.31, w2=0.28, w3=0.28, w4=0.13",0.3861209964412811,1.7825981453895512,0.2026907504824116,0.4887729021538273
"w1=0.32, w2=0.28, w3=0.26, w4=0.14",0.3861209964412811,1.7810546538905985,0.20170251315280815,0.4887606750529178
"w1=0.3, w2=0.28, w3=0.28, w4=0.13",0.38523131672597866,1.7851035999265659,0.2029191441478777,0.4887606351039392
"w1=0.38, w2=0.24, w3=0.24, w4=0.13",0.3914590747330961,1.7651979122047698,0.20004846767825354,0.488754579504026
"w1=0.35, w2=0.27, w3=0.24, w4=0.14",0.3887900355871886,1.773400645358875,0.20108850147920632,0.48874859642160745
"w1=0.36, w2=0.25, w3=0.24, w4=0.14",0.3887900355871886,1.7710585456322423,0.1995915033326017,0.4887292759202623
"w1=0.36, w2=0.24, w3=0.24, w4=0.15",0.38701067615658363,1.7725119859750817,0.1977957754465586,0.4886690026393406
"w1=0.3, w2=0.29, w3=0.27, w4=0.14",0.38434163701067614,1.7863246833693507,0.20271877748544478,0.4886201219335748
"w1=0.35, w2=0.26, w3=0.26, w4=0.13",0.3887900355871886,1.772489450239317,0.20100004866178212,0.4885928932429231
"w1=0.32, w2=0.26, w3=0.26, w4=0.15",0.3834519572953737,1.782623141291893,0.19886683187156057,0.4885905573445973
"w1=0.33, w2=0.26, w3=0.26, w4=0.15",0.38434163701067614,1.7801595385518663,0.19877685639560314,0.48856966929703044
"w1=0.33, w2=0.27, w3=0.26, w4=0.14",0.3861209964412811,1.778635943988431,0.2007422590967798,0.4885650092892928
"w1=0.32, w2=0.27, w3=0.26, w4=0.14",0.38523131672597866,1.781054127434906,0.2008805155312872,0.4885623291905844
"w1=0.31, w2=0.29, w3=0.25, w4=0.15",0.38434163701067614,1.7847609758759062,0.20188573965960202,0.48855729178263874
"w1=0.32, w2=0.28, w3=0.26, w4=0.13",0.38701067615658363,1.7795622492070702,0.20294824879519224,0.48853331328114824
"w1=0.37, w2=0.24, w3=0.23, w4=0.15",0.3879003558718861,1.7699688153942958,0.19814038462589692,0.4885018256270332
"w1=0.3, w2=0.29, w3=0.28, w4=0.13",0.38523131672597866,1.785095464172704,0.20378316984215095,0.4884998002448848
"w1=0.31, w2=0.29, w3=0.26, w4=0.14",0.38523131672597866,1.7835168465878781,0.20274477493648557,0.48849559519961927
"w1=0.3, w2=0.29, w3=0.26, w4=0.14",0.38434163701067614,1.7860315065884353,0.2029896338659887,0.48848022966322857
"w1=0.35, w2=0.26, w3=0.25, w4=0.13",0.3887900355871886,1.7721977910671562,0.2012570990623023,0.4884574462883349
"w1=0.38, w2=0.25, w3=0.23, w4=0.13",0.3914590747330961,1.7649903804781781,0.2009610503604875,0.48843929835403743
"w1=0.37, w2=0.26, w3=0.23, w4=0.14",0.3896797153024911,1.7686137617972588,0.20053757891991045,0.4884013363347242
"w1=0.4, w2=0.23, w3=0.23, w4=0.13",0.39234875444839856,1.7606506753887259,0.19976218537131027,0.4883758566905514
