Date,Votable Supply,IVS
2024-12-31,107491991.38080536,196410151.27028853
2025-01-31,108929028.98769957,217540474.10780728
2025-02-28,116567457.4187669,229671540.8270554
2025-03-31,121519151.68798283,234314643.428093
2025-04-30,129460401.80627897,234315403.81493664
2025-05-31,136709596.05494213,237906147.92334983
2025-06-30,143024546.60969254,244849830.7590566
2025-07-31,144815622.48779312,248797483.9861382
2025-08-31,145828235.17028522,258180222.10463867
2025-09-30,155011420.31890744,271421497.5328551
2025-10-31,158470588.6208837,272695736.5572043
2025-11-30,152940816.80355534,277116223.79726887
2025-12-31,157084963.42503598,283138746.1926176
2026-01-31,149692345.77630678,285837176.0161961
2026-02-28,162822905.1641354,300579399.79622185
2026-03-31,165173602.6133035,312026372.47009206
2026-04-30,162089745.38303214,318218280.11556715
2026-05-31,165299717.2395248,334165592.7393448
2026-06-30,174439768.9084327,341901964.3374388
2026-07-31,172334741.00413254,334346343.9617003
2026-08-31,171080144.41392228,322594303.36412835
2026-09-30,161900997.16158822,322789324.3530606
2026-10-31,157409937.45141456,327439362.7778914
2026-11-30,153984994.82545468,331042118.86867994
2026-12-31,169231216.93405128,344583681.7246262
