Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
2023-12-04,8.022114664030305,525429102.8398461,20631072.170113657,65497580.73089807,0.3149898353479349
2023-12-05,8.256853071264146,539934687.5790205,18281964.944241587,65392309.02123284,0.2795736259795543
2023-12-06,8.375519792710195,547618653.9089265,16414034.93608982,65383243.96123541,0.2510434469391182
2023-12-07,7.868256389120256,515911399.2601662,18761166.151162136,65568707.18823258,0.2861298774322814
2023-12-08,8.453192909219633,553047015.4187887,16620373.626568114,65424629.646816365,0.2540384823924927
2023-12-09,8.719367427865924,570205590.7971268,16005626.077158945,65395293.35291302,0.2447519577713764
2023-12-10,8.163111543947025,532212067.0277816,16416036.097470565,65197206.256775774,0.2517904836722124
2023-12-11,8.311101065347508,543229551.262623,10417010.513282608,65361923.40718566,0.1593742957713725
2023-12-12,7.712590787827645,505036097.6225439,22432691.01816847,65482029.51719082,0.3425778214812245
2023-12-13,8.248128735066697,539027472.5014181,20116225.600607432,65351486.357112415,0.3078158848703541
2023-12-14,8.524220501960091,557422307.713079,14664184.364833456,65392760.262935854,0.2242478266075734
2023-12-15,9.616180437645449,627553856.0653949,45974704.19913405,65260199.7367526,0.7044830445598907
2023-12-16,10.014269372581849,655475845.5419964,46886946.44943011,65454185.5381511,0.7163322874455637
2023-12-17,10.79351354099976,707901123.5921357,68538975.62136357,65585791.03117201,1.0450278108071906
2023-12-18,9.391000066977956,615285049.284071,46608876.49304107,65518586.4014237,0.7113840370040138
2023-12-19,9.308743830612144,610227242.7386521,50893440.16798357,65554198.7020738,0.7763566815800856
2023-12-20,8.740768248597528,570637825.937717,22032670.45710065,65284630.561996296,0.3374863312763598
2023-12-21,9.372618330820272,614256231.5605946,30683723.431180097,65537314.10791761,0.4681870755437806
2023-12-22,10.697034998932448,697993121.873265,32693819.49328189,65251083.30887241,0.5010463862879101
2023-12-23,10.118733350463382,663457272.2153215,38999535.27451304,65567225.58411314,0.5948022800580811
2023-12-24,10.281333050874984,675920810.772768,27125317.14340216,65742526.52142655,0.4125992501149401
2023-12-25,10.825871277107169,708025796.805731,41468004.36119484,65401276.13589416,0.6340549727964095
2023-12-26,10.585990383043267,693953201.2813157,29047733.221427336,65553923.26757598,0.4431120484255564
2023-12-27,10.465559067829442,685154147.0841911,36455212.58394292,65467515.17463769,0.5568442988357954
2023-12-28,10.464062361767752,682436316.8212761,31452668.8620095,65217149.2512004,0.482276045842813
2023-12-29,9.770869692121437,642203844.6934042,38007828.04406419,65726374.92149072,0.5782736091784163
2023-12-30,9.72477500162522,636899557.2633897,28626436.366357982,65492472.28413511,0.4370950640275714
2023-12-31,9.728297089338442,637617374.5922244,19565555.93788639,65542547.55346751,0.2985168668020637
2024-01-01,9.64067769920376,631390731.7844871,21663836.20456452,65492359.71622978,0.3307841754126926
2024-01-02,10.18178390072744,667808533.893885,30846278.613684773,65588558.979941934,0.4702996847837147
2024-01-03,9.910810298427052,645941128.3754414,39130191.49381067,65175410.377692215,0.6003827404699223
2024-01-04,8.697436580181815,568456391.7178979,48661603.749635495,65359072.92652137,0.7445271416922075
2024-01-05,9.147270805541336,598134173.362555,31817508.03148597,65389358.86758821,0.4865854105698699
2024-01-06,9.00802899349636,587777324.4375769,38048895.96048307,65250381.061377786,0.5831214368647497
2024-01-07,8.578634617519898,560762153.9596449,28084054.65049974,65367296.65749099,0.4296346351548462
2024-01-08,8.054448233410541,524584415.97731495,19952739.28450224,65129776.83577304,0.3063535644351086
2024-01-09,8.666173970323106,567886566.1602395,26772378.88971768,65529098.32008214,0.4085571078507115
2024-01-10,8.07079983242293,526533011.92318726,25991216.053290807,65239260.40241257,0.3983983860787245
2024-01-11,9.243277983707006,609165910.4287457,33443449.52326732,65903666.58911631,0.5074596187762086
2024-01-12,9.513228075613236,623673822.9973739,34399023.323139526,65558590.421703,0.5247065731869643
2024-01-13,9.17417758609046,599128553.2185303,36298218.43667717,65305968.5837024,0.5558177793527997
2024-01-14,9.937137619114376,649404320.06149,31293852.96986544,65351245.49471287,0.4788562594785928
2024-01-15,10.098937261755744,663269372.8708959,45429819.23456202,65677145.59260304,0.6917142763232177
2024-01-16,9.937695984236113,652632682.9074155,25714189.81220788,65672433.926603146,0.3915522583028761
2024-01-17,9.97518843994646,653871061.1752473,20986627.85681685,65549745.26163004,0.320163377798838
2024-01-18,9.734317276131454,636717449.3089031,21264923.41787889,65409564.04514719,0.3251041912341955
2024-01-19,9.590149299300291,627964551.2146817,25054557.685824823,65480164.241082124,0.3826282046816499
2024-01-20,10.031165050169262,658502760.2204833,28596923.986392733,65645690.89702816,0.4356253029806613
2024-01-21,9.748190098013534,637565909.0797474,32996351.150301088,65403516.20858002,0.5045042386570102
2024-01-22,9.425303228927516,621207406.4407061,19774099.50739356,65908479.69051411,0.3000236024294087
2024-01-23,8.571555005836295,560435896.1998136,22161943.761937726,65383223.442912966,0.3389545910242195
2024-01-24,8.489451280321914,553546456.5481936,22886624.223815028,65204032.42448474,0.3510001356176996
2024-01-25,8.696152337617393,568997421.3160572,17619665.890770413,65430939.94049711,0.2692864554107542
2024-01-26,8.554723695000392,559630317.0159354,14030818.657510754,65417696.34745751,0.2144804760930116
2024-01-27,8.933849162215594,584079715.1912112,13733573.267894473,65378282.59531074,0.210063230827044
2024-01-28,8.940572609862816,585502389.8598611,11129901.160235936,65488242.80158104,0.1699526614870056
2024-01-29,8.761017749985585,573900236.0932548,17227047.670028683,65506114.98238307,0.2629838095979535
2024-01-30,8.933117822127448,585030809.4900721,12676201.243598172,65490103.359091856,0.1935590355399609
2024-01-31,8.768105344295064,572475412.9595609,14892191.927161964,65290663.20263133,0.2280906824448029
2024-02-01,8.40571398229402,551725148.3026891,15037434.616605587,65636916.68130215,0.2291002590755343
2024-02-02,8.412843341842619,550952285.8398411,14245363.92429296,65489426.51761884,0.2175215860297766
2024-02-03,8.520938044327488,558428036.3011363,11821248.765521226,65535981.296436,0.1803779928471765
2024-02-04,8.522597900374063,557460313.8972343,9218499.523982342,65409669.72908191,0.1409348122710928
2024-02-05,8.447067551056874,552145236.9274573,7091938.169216349,65365315.66607094,0.1084969619889336
2024-02-06,8.292199844983058,541986050.0067197,9535807.559110742,65360948.860226974,0.1458945704644353
2024-02-07,7.87224478673593,515193005.7732773,18357062.53687733,65444230.93160596,0.280499324013171
2024-02-08,8.354454044889328,548817733.1953689,16907709.377337947,65691633.49831306,0.2573799504890091
2024-02-09,8.365550350717601,547560284.7846149,12821927.868418915,65454185.5381511,0.1958916418102159
2024-02-10,8.761189487661348,572695798.6711645,15350175.482097588,65367356.73594432,0.2348293743023083
2024-02-11,8.663124070870067,566951158.3951068,10946063.466835145,65444192.390305445,0.1672579806861003
2024-02-12,8.632009645827413,565152412.7502803,10962538.60967673,65471707.74113612,0.1674393258996805
2024-02-13,8.989238108723539,587659497.1392729,13339538.543078292,65373671.27576509,0.2040506259287206
2024-02-14,9.52606240403765,624469145.3863266,33897303.06866933,65553753.36630626,0.5170917198174053
2024-02-15,9.854499922529412,645409899.6921101,18264399.14230766,65493927.1161361,0.2788716442353594
2024-02-16,12.038968458125275,775031273.4065411,51251810.94998849,64376883.79218746,0.7961213393837528
2024-02-17,11.638850435105743,761957075.3708793,69188482.84687601,65466695.32522064,1.0568500900063238
2024-02-18,12.598787227593292,824621682.1974734,52956645.381050125,65452465.16993512,0.8090855744479305
2024-02-19,12.068496971689886,790346414.8161261,29220951.475931704,65488388.21189664,0.4462004986499792
2024-02-20,14.75218237826619,963286027.512936,105712012.47076164,65297865.95725032,1.61891986699795
2024-02-21,14.45977432322294,946908616.87816,112274373.57617724,65485711.99741267,1.7144865673998195
2024-02-22,13.673280407608098,897406513.3957057,57195820.23502209,65632129.71894952,0.8714606775667121
