Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
2023-12-04,21.95737739809123,8034520230.112426,346045527.4230736,365914384.2383869,0.9457008041466632
2023-12-05,22.515603967032096,8195856523.672326,683872586.726847,364007846.9879335,1.8787303416278185
2023-12-06,24.402946233276385,8884184176.744886,824535037.4212486,364061949.3981518,2.264820695445725
2023-12-07,26.244954885443214,9604219121.269136,1526950982.7179751,365945346.9510868,4.172620298194613
2023-12-08,26.263819613243115,9616336058.652336,1074614252.8869271,366143851.132889,2.934950975038782
2023-12-09,30.67543318205886,11212289318.449244,1217622913.8618476,365513642.5263906,3.3312652995542664
2023-12-10,31.764225104494145,11621990542.970505,1735116274.5998654,365883017.9152134,4.742270588251096
2023-12-11,37.03103753383071,13562305206.81071,1696678974.2891653,366241566.8051564,4.632677249308003
2023-12-12,38.20005288455136,14068095298.37726,3390565691.4838147,368274236.1874216,9.206632879304358
2023-12-13,37.399117656028096,13718876978.342232,2555557181.238049,366823546.60126543,6.966720661517188
2023-12-14,38.98978363214494,14243449087.542166,2415210512.5294385,365312339.81506944,6.61135759539927
2023-12-15,39.246292266150455,14389633615.252851,1539101004.3560028,366649504.5613206,4.197744672251683
2023-12-16,39.95471931939173,14664364094.670778,1953935647.4255369,367024580.4368231,5.323718768644905
2023-12-17,41.987745769535934,15307298948.00688,1921388182.765984,364565867.1943526,5.270345788410516
2023-12-18,40.70802971062764,14924188995.408154,1186137134.3490193,366615360.6916499,3.235372168016295
2023-12-19,41.01950353341805,14992460919.820292,1495038322.08223,365495913.61109793,4.090437858282076
2023-12-20,39.726432444802775,14535295767.09064,1119585544.495813,365884749.0845412,3.0599404520058906
2023-12-21,43.38271963119791,15846824422.704275,1535852033.410395,365279644.9236049,4.204592439667984
2023-12-22,46.05434204233404,16815748944.038294,1807921216.5347333,365128415.656898,4.951466768978045
2023-12-23,45.49566073528622,16657874557.542442,1638691892.565581,366142051.53465706,4.475563202033546
2023-12-24,48.11441264487982,17589645256.37119,1230485279.3040628,365579548.61043125,3.3658482373566585
2023-12-25,47.79083695745918,17522770376.087875,1651691059.4981008,366655440.4913582,4.50474990166423
2023-12-26,48.359525147183895,17649619890.76977,1114752910.415118,364966774.1164236,3.0543956038571176
2023-12-27,44.254803419707855,16154982355.486715,1226031733.2567708,365044720.7340315,3.3585795482577248
2023-12-28,42.39818432256399,15490750476.485994,1050442372.0371342,365363534.4059282,2.8750607904675727
2023-12-29,39.86731549401648,14645870537.85577,1165463292.4080863,367365355.7148564,3.172491020935305
2023-12-30,40.20498600028657,14662092512.887548,1104688954.3035357,364683437.83985,3.02917226196781
2023-12-31,39.4262167778301,14421772415.359922,597365878.5774364,365791435.0907106,1.6330778177714822
2024-01-01,38.53878504000149,14116864723.97177,607648046.3655064,366302796.2432939,1.6588681620707966
2024-01-02,41.94535233913293,15329094758.258818,695123399.8156629,365453951.4728914,1.902082046217048
2024-01-03,40.74013540955615,14892398801.929632,865300519.2517271,365546129.1971164,2.367144527428778
2024-01-04,36.75244773929419,13446671617.21008,1371852954.145321,365871457.3950256,3.7495489916398506
2024-01-05,38.68112345573041,14175612922.053003,868359370.2826803,366473660.93894976,2.369500083738184
2024-01-06,36.38473730831552,13323403146.600237,810496120.4799218,366181100.43507856,2.213375074565372
2024-01-07,34.55596943887243,12611917439.20455,598595685.1893774,364970731.3671035,1.6401196965772131
2024-01-08,33.57146223687586,12271191537.014612,645744380.3042973,365524487.74589217,1.7666241304008348
2024-01-09,36.06005722111535,13231190704.056667,1079861829.3325262,366920956.9725531,2.9430366644696817
2024-01-10,34.67476739339508,12674934729.133743,966754499.7323856,365537700.2340928,2.6447463534220126
2024-01-11,38.53460663097295,14208991618.029444,1052291359.8860708,368733272.7722381,2.8538009384796093
