Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
2023-12-04,39960.27542041052,782845232813.069,14107800648.629309,19590586.515657872,720.1316120552889
2023-12-05,41974.331772543344,820527379429.3416,40273974905.38232,19548313.09467261,2060.227637563159
2023-12-06,44105.94477259938,863171503830.3232,37740677039.99004,19570411.84086741,1928.455943945903
2023-12-07,43788.28880825234,857037901744.5414,30306637687.60117,19572308.6028204,1548.4447084200349
2023-12-08,43270.11955970747,848245522795.3333,27712048105.023373,19603493.85272343,1413.6280151496287
2023-12-09,44202.17610943621,863242780337.311,24726661392.984177,19529418.1490089,1266.123814049167
2023-12-10,43745.49199189547,855611272269.695,17074228506.041449,19558844.42740317,872.9671412550008
2023-12-11,43757.959937619176,856192504674.1926,11865167562.179708,19566554.42563525,606.4004578462973
2023-12-12,41200.96272610168,806178244439.1412,39734542163.66172,19566975.893221308,2030.6940827492492
2023-12-13,41450.81938737744,812055172695.532,24919333990.62709,19590811.10331001,1271.99092774759
2023-12-14,42931.76182603245,840112594142.6609,26301358636.124893,19568556.201978263,1344.0622989582637
2023-12-15,43009.5954563739,841400560142.884,22978695605.48269,19563089.38074866,1174.594419023368
2023-12-16,41992.01418722399,821883086852.3783,17134765249.072596,19572366.383473814,875.4570047053974
2023-12-17,42247.06788172229,825747211475.3832,13524832238.374014,19545669.15240604,691.960563381844
2023-12-18,41410.819634575855,810534011290.7083,16536428696.461372,19573000.93171677,844.8591380622257
2023-12-19,42684.182554683386,834757901244.3383,26473040426.60815,19556609.76229114,1353.662048196779
2023-12-20,42250.20618279751,827483345952.5029,23402523667.558952,19585309.060324043,1194.9019336625038
2023-12-21,43634.1241684964,854173854159.8182,28334648885.87903,19575822.14464447,1447.430849979948
2023-12-22,43849.69959939619,858312140014.9476,21948638202.58336,19573957.127559584,1121.3183956390858
2023-12-23,44003.6960216438,861822676200.4246,20833936534.62855,19585233.835278872,1063.7573546403307
2023-12-24,43752.03088478376,856850313226.057,9872050975.657969,19584240.911752865,504.0813693081956
2023-12-25,43034.97106309152,845029028630.4425,18313974069.82276,19635868.40552503,932.6796091518764
2023-12-26,43638.23630220092,854524607072.9797,18744716867.39297,19582015.21150573,957.2414618685012
2023-12-27,42516.42694028252,832471600531.6842,20477744539.87234,19579999.083670706,1045.850127590166
2023-12-28,43418.46777504291,849194163327.4839,23244754807.44397,19558363.22293261,1188.4815995332874
2023-12-29,42600.65063315619,836073458797.803,20336573643.81929,19625837.7834982,1036.214294042453
2023-12-30,42074.70715618848,822933961870.5416,24832397519.050613,19558875.56901277,1269.6229612704683
2023-12-31,42220.61140121376,826609156660.5117,14727224645.41767,19578332.22274816,752.2205915121838
2024-01-01,42208.20217618648,827596236151.1959,14183728910.169804,19607474.222584136,723.3837846300879
2024-01-02,44168.68118687473,863804922701.8125,16958999497.58364,19556955.278947808,867.1594967463697
2024-01-03,44994.67388689237,878395004792.8407,39089952715.54279,19522199.60524551,2002.3334207196372
2024-01-04,42821.558989158,838208392904.1771,43146162597.56747,19574448.30806845,2204.208359720816
