Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
2023-12-04,8.541660577762352,1239748286.4563923,105078523.11681658,145141366.26828685,0.7239736390698154
2023-12-05,8.848506403251525,1285903860.9787035,438855984.50538296,145324397.40408364,3.0198369464771715
2023-12-06,10.305596513879,1508638888.67317,370379238.9787116,146390253.7462455,2.530081269076363
2023-12-07,9.667959771216005,1412398057.153828,510937639.55802,146090601.38612694,3.497402534524303
2023-12-08,9.534130129521934,1392840094.390195,257459001.91548625,146089897.60663518,1.7623326878407837
2023-12-09,9.314113138035802,1357546543.6168494,245472318.2203361,145751562.54792222,1.6841830984805142
2023-12-10,9.31846089654593,1356730045.1345928,240081534.34810123,145595936.94678605,1.6489576521345426
2023-12-11,9.825610080945689,1431914457.0419605,121794384.84091412,145732880.22275588,0.8357371696404322
2023-12-12,10.865640529508,1592720923.4818797,434246741.1409608,146583251.96351755,2.962458093432383
2023-12-13,12.139670587449944,1779141277.4624834,550088897.3491371,146555976.51074398,3.753438859648349
2023-12-14,12.1242540010619,1769086812.477259,339961371.28740615,145913044.40853137,2.329890193611292
2023-12-15,13.985298130572112,2044194664.3428469,428977176.2409055,146167399.88361067,2.9348348303553937
2023-12-16,13.112478640698903,1916924560.9440973,296657013.86237854,146190862.41973272,2.029244570776511
2023-12-17,13.100906249059356,1890282647.708408,295611675.4764362,144286403.6863198,2.04878400129162
2023-12-18,12.75134313344642,1858702668.7461607,238939973.0088997,145765246.00540596,1.6392108513989556
2023-12-19,12.765536486033014,1835439772.212932,191403963.9245611,143780856.70125318,1.3312200825333715
2023-12-20,11.710082499002244,1707036819.2182364,252440850.8572445,145774960.96749824,1.7317161272540371
2023-12-21,12.99142574276788,1906001262.981813,351911317.38986504,146712247.04054162,2.398649904752804
2023-12-22,12.832012693333043,1865878271.914656,247895270.889069,145408075.6079742,1.7048246450727005
2023-12-23,12.448068517621069,1815682648.1937745,171082737.75349864,145860592.39821464,1.1729195318665984
2023-12-24,12.337752138999884,1796692730.846294,106323979.85868932,145625614.0182061,0.7301186716053724
2023-12-25,14.2108507384337,2078222832.96354,403878230.8105984,146241971.80137283,2.76171215305514
