Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
2024-09-12,58249.48211886159,0.0,5519861.926252108,0.0,inf
2024-09-13,58249.48211886159,0.0,5519861.926252108,0.0,inf
2024-09-14,60490.36555421515,100988123.38235284,31942804.35874467,1669.4910413765172,19133.258919680942
2024-09-15,60005.91313886403,100116374.55430694,18963983.46837288,1668.4418137695927,11366.283985371128
2024-09-16,59146.86672514257,98682431.30087005,25706269.90829172,1668.4304133885998,15407.45703387294
2024-09-17,58307.806143388894,114792439.56006108,52948510.27103376,1968.73192721,26894.7282965386
2024-09-18,60319.00573293925,118877951.86469913,47226479.35540191,1970.8208121172952,23962.84789821429
2024-09-19,61269.74691163985,120738124.38614856,65512875.09047611,1970.599365462877,33245.15182470268
2024-09-20,62962.48134389815,123956247.23809628,80119444.54856317,1968.73192721,40695.96446383886
2024-09-21,63095.91703690854,138056154.81841615,72323369.20426457,2188.0362676662407,33054.008415228265
2024-09-22,63344.2445904757,138666054.66053307,40921327.56043567,2189.086878484657,18693.331892228267
2024-09-23,63638.37354460023,170949297.75057074,56687736.58438206,2686.26126390177,21102.838114131773
2024-09-24,63381.38700955951,186569226.48075515,95858742.4558668,2943.596460781393,32565.177915189022
2024-09-25,64381.54036894725,218641445.94304043,79575100.10501786,3396.02694639,23431.8223504106
2024-09-26,63048.90581997193,232513526.5079679,72973158.49640962,3687.82809922,19787.570497617264
2024-09-27,65148.36249999796,253356933.9346816,85391144.68866123,3888.922517963356,21957.533042695053
2024-09-28,65736.08851546622,255641291.95285788,86945629.50811093,3888.9033060236193,22357.36470316417
2024-09-29,65873.76056163994,255680341.8558864,50409881.10562219,3881.3685400067457,12987.6564376787
2024-09-30,65655.08186826583,254946600.2068648,54012609.497821376,3883.1205894831487,13909.588500575142
2024-10-01,63288.359078546,341913153.900661,152146136.74012673,5402.465143334163,28162.354166755224
2024-10-02,60833.084270504834,336718666.015196,164940894.91934812,5535.124020967245,29798.95198274622
2024-10-03,60674.26264474812,320987971.88809603,143866690.31618765,5290.34812944497,27194.18208330294
2024-10-04,60781.72820214302,321420602.7105571,119664544.23374394,5288.112270213873,22628.97195049609
2024-10-05,62081.31968877628,331856312.48879665,119487345.69163454,5345.509956174356,22352.84316580874
2024-10-06,62004.81265560079,331465027.0516964,43041907.39533133,5345.795154527504,8051.544466472482
2024-10-07,62836.868753838,336428241.09268904,45808754.29337945,5353.99436293745,8555.995988805382
