Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
2023-12-04,0.999344760774288,5350849758.38641,355478198.172348,5354358143.870784,0.0663904409493543
2023-12-05,0.9971688434497156,5352271806.826097,443918595.9877779,5367467948.867976,0.0827054022896219
2023-12-06,0.9993023551110342,5344964858.934408,610314071.2395923,5348696349.605341,0.1141052008466745
2023-12-07,0.9985489156291312,5373845210.74843,311008677.8255813,5381654445.403573,0.0577905328149062
2023-12-08,0.9988013486474064,5390602739.433918,297043227.338009,5397071947.023263,0.0550378483469804
2023-12-09,0.9993835225514174,5404818745.87786,281587946.4499186,5408152750.086779,0.0520673064283179
2023-12-10,0.9995788448189794,5429191987.341187,272295671.9244292,5431479483.066087,0.0501328731468792
2023-12-11,1.000205157633104,5440669031.148383,230919855.73717105,5439553065.31636,0.0424519906257667
2023-12-12,0.9993318291384878,5366697362.37937,352181496.5711788,5370285630.755838,0.0655796582874887
2023-12-13,0.9979046186982208,5283016461.061206,272804990.1327696,5294109639.409194,0.0515299094113989
2023-12-14,0.9991056379833628,5253568538.102296,303166572.2231763,5258271336.258617,0.0576551784486051
2023-12-15,0.9984938449828488,5261339798.265057,348625799.85540336,5269276144.967554,0.0661619908055796
2023-12-16,0.9981638348010368,5244484807.15692,251121691.55111983,5254132261.967094,0.0477950837608154
2023-12-17,1.0005728101839544,5293902006.8033495,368936617.1591718,5290871341.816765,0.0697307859753186
2023-12-18,0.9987102259786936,5282702630.806892,210149406.05167344,5289524922.637162,0.0397293536045767
2023-12-19,0.9991546210985056,5294245503.554264,222485799.6361142,5298724933.818136,0.0419885543059877
2023-12-20,0.9995772345331329,5296161924.19981,297899817.7610793,5298401905.555062,0.0562244659939346
2023-12-21,0.9996477894427565,5295916925.420145,255011568.34548065,5297782860.473588,0.048135526702709
2023-12-22,0.9994683123136038,5295976062.655228,209424119.7297528,5298793365.840603,0.03952298292661
2023-12-23,0.9986709928005406,5304603984.654678,245615038.73944545,5311663223.319573,0.0462407024717101
2023-12-24,0.9989087169838312,5335727936.532724,180763115.62259185,5341557087.061731,0.033840903069338
2023-12-25,0.9981108248211904,5329445293.488544,172909104.92947233,5339532605.954157,0.0323828165665024
2023-12-26,0.9990408819288724,5314657833.056119,160632158.4998067,5319760111.112752,0.0301953763223745
2023-12-27,0.9992341456511232,5290813644.614794,229677099.06883043,5294868742.868251,0.0433772979506218
2023-12-28,0.9988385531178472,5289085313.168833,294607375.2689485,5295235447.870027,0.0556363127134322
2023-12-29,0.9979745200520288,5261254612.097729,330823872.8545444,5271932806.283909,0.0627519137687447
2023-12-30,0.9993543955654896,5263028082.228716,288394626.0094734,5266428111.571577,0.0547609537051883
2023-12-31,0.9984669745963116,5247903960.920735,222240605.63529983,5255961483.395589,0.0422835301090757
2024-01-01,0.9984176080691116,5225918865.649641,246702952.0037369,5234201423.747223,0.0471328731990446
2024-01-02,0.9996661360297512,5259746086.111948,249549205.8363218,5261502712.296949,0.0474292648853124
2024-01-03,1.0000943784185694,5278899203.319338,329420750.48805726,5278401036.176969,0.0624091932822613
2024-01-04,1.0003136322446156,5297659777.328677,377654223.1562449,5295998781.343403,0.0713093485758785
2024-01-05,0.9992834481124367,5283394860.340295,318057717.1214983,5287183401.586595,0.0601563617078338
2024-01-06,0.999759413421165,5266606693.197288,324484593.00877947,5267874072.998243,0.0615968773194491
2024-01-07,0.9999580896397688,5272639833.472732,260571177.073952,5272860820.969187,0.0494174198639396
2024-01-08,0.9969830389075076,5256661462.276386,189201973.32565096,5272568596.589794,0.0358842127626416
2024-01-09,1.0007062866195184,5293879934.877715,207698009.66612625,5290143577.253769,0.0392613180782414
2024-01-10,1.00106136885487,5301129197.499609,239352117.43776777,5295508709.48467,0.0451990791761081
2024-01-11,0.9996545183469564,5323457033.953309,255989178.3244647,5325296826.303809,0.048070405589418
2024-01-12,0.998425654766144,5297261257.37028,281191728.9627301,5305614125.6817255,0.052998903105604
2024-01-13,1.0006927088101103,5243986202.393108,281317500.5807704,5240356161.511913,0.0536828970990411
2024-01-14,0.9999016353581486,5250968491.806807,252634250.8703801,5251485052.25316,0.0481072017451495
2024-01-15,0.9948974526194804,5231866624.790587,148332191.50369546,5258699387.575601,0.0282070110062101
2024-01-16,1.00055199347103,5217972669.0121,269797774.04982924,5215093971.189197,0.0517340196629874
2024-01-17,0.9981451655206858,5198137109.446308,142511610.97608507,5207796710.345917,0.0273650487725391
