Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
04-12-2023,0.7004334994152025,792898259.0876726,101808806.22289418,1132010761.54934,0.0899362529765638
05-12-2023,0.7185492854856259,812733824.2729408,144067967.07594615,1131075961.9274564,0.1273724947972912
06-12-2023,0.7425541258270406,837944546.723235,100814326.5000498,1128462582.8318584,0.0893377662970959
07-12-2023,0.7411955122928852,840021055.8079762,85944619.50155532,1133332625.3006778,0.0758335351713305
08-12-2023,0.7703620964299861,871877882.5600945,145241177.1796749,1131776714.613236,0.128330239794082
09-12-2023,0.7987777222653878,902528412.7672256,80175282.76562855,1129886810.3226438,0.0709586854480885
10-12-2023,0.8565731343253976,967874174.7514588,184711201.2440245,1129937580.302139,0.1634702699193647
11-12-2023,0.8347285017003121,942882671.410868,154135320.80411953,1129568080.5079134,0.136455095946773
12-12-2023,0.7686234328642808,869231121.3483841,151553422.15510723,1130893340.2006598,0.1340121271986767
13-12-2023,0.7814685918662564,884893393.7154359,111192057.68971498,1132346716.0749054,0.0981961232467243
14-12-2023,0.7850974797272026,886863778.4317317,124499892.6121226,1129622500.8133893,0.1102137152212141
15-12-2023,0.7911593339388685,893913378.4545056,125098673.42247924,1129877813.6182325,0.1107187626083859
16-12-2023,0.7546419080616305,853746572.3711973,123153165.89914995,1131326743.520151,0.108857292205394
17-12-2023,0.8050365897469759,909304000.8336312,158875716.87397435,1129518847.2357843,0.1406578715023508
18-12-2023,0.7993929443793522,904703796.6477648,161156118.22760853,1131738531.1052198,0.1423969528281665
19-12-2023,0.7758387996797993,878835680.3672937,148179869.3670506,1132755516.6485653,0.1308136373552732
20-12-2023,0.7609036798307296,862251919.8831415,118359568.80100964,1133194572.1105697,0.1044477018457346
21-12-2023,0.7872062006637405,892437801.4988759,120419305.86304092,1133677301.7621157,0.1062200907399917
22-12-2023,0.8433953664691436,954845454.2762034,109203235.564517,1132144534.1508613,0.0964569737082397
23-12-2023,0.8484769365546259,961792208.9024028,136372992.67884973,1133551387.746509,0.1203059642050795
24-12-2023,0.838644721228355,951331466.6022162,77364811.55242775,1134367679.8070226,0.0682008249438039
25-12-2023,0.8175914976315235,926744475.5390816,94401682.82770412,1133505519.839385,0.0832829493773269
26-12-2023,0.881409430740495,998205409.0771066,141113038.1699239,1132510470.4614837,0.1246019722117201
27-12-2023,0.8719224265037228,987833719.0734696,159736815.44916376,1132937620.4194376,0.1409934779904526
28-12-2023,0.9026966472650568,1018575258.0033495,160809421.18908992,1128369381.99491,0.1425148747875324
29-12-2023,0.870195287354716,989828312.9786828,156129734.27814814,1137478365.330656,0.1372595198615162
30-12-2023,0.848105644910558,959336106.1509484,140525534.84795105,1131151657.7066538,0.1242322670797819
31-12-2023,0.8544073336860142,968435883.5290036,105532136.93039688,1133459235.831997,0.0931062481950952
01-01-2024,0.8425741624440597,957491873.2502936,99883483.64864896,1136388837.835819,0.0878955163259705
02-01-2024,0.8861796889248745,1004022023.4963652,79032059.86901313,1132977923.1506183,0.0697560457746947
03-01-2024,0.8641493330959964,978881776.7314088,110852108.04500024,1132769232.401487,0.0978593917227008
04-01-2024,0.7684708737835655,870600443.5707098,186713745.51197988,1132899727.5905976,0.1648104778955809
05-01-2024,0.7722305134444023,875943889.7194005,128050423.3837349,1134303649.583079,0.1128890164734995
06-01-2024,0.7470257073543807,845469820.3534191,111864257.28369828,1131781426.0337598,0.0988390997683341
07-01-2024,0.738522681041938,837882385.6128294,117811337.46412076,1134538460.5259662,0.103840761299096
08-01-2024,0.6994401951391108,790932771.905374,105646823.01846048,1130808291.2622235,0.0934259359741128
09-01-2024,0.7390674042506532,839725701.9963288,145171616.68537432,1136196370.137219,0.1277698296711173
10-01-2024,0.7067269217024615,800107910.2480922,140335961.9534461,1132131641.9087043,0.1239572826679839
11-01-2024,0.7528346865490614,857642862.9456576,159938990.103419,1139218049.1536982,0.1403936588102992
12-01-2024,0.7839010522003453,891868431.7504992,196604482.14735857,1137730877.1905568,0.1728040313301874
13-01-2024,0.7700576509033151,872355357.5260378,176472391.04859075,1132844218.225379,0.1557781627954441
14-01-2024,0.7640850980364262,867057849.0243288,121232701.05645084,1134766076.7793088,0.1068349711339039
15-01-2024,0.7444481925892671,849128299.949323,106143275.63526158,1140614361.6199374,0.0930579862982905
16-01-2024,0.7806208283939288,886871407.0874163,125456677.92152226,1136110355.7947466,0.1104264891888615
17-01-2024,0.773842193669137,879087400.7024331,104543380.39137883,1136003448.6285646,0.0920273442106081
18-01-2024,0.7586893072508619,861031121.6612926,98231876.9560722,1134892917.8681457,0.086556075387797
19-01-2024,0.7159486067524617,813462528.543766,109707489.438293,1136202404.5742986,0.0965562904959677
20-01-2024,0.7192752555126686,817138809.9353684,113459714.71478093,1136058558.4901664,0.099871361266421
21-01-2024,0.7232832668840401,822455346.0011967,88107909.74109486,1137113747.3488052,0.077483813687522
22-01-2024,0.7205636563674308,820384621.351215,76582369.74975275,1138531778.7008722,0.067264147722901
23-01-2024,0.6890272821496738,782233501.289202,107864658.48386496,1135272175.070829,0.0950121573068021
24-01-2024,0.6765807699755179,767234272.5330437,116725827.64577092,1133987701.9573083,0.1029339449134214
25-01-2024,0.688575136252416,782828655.8130586,104754084.37522072,1136881967.7016213,0.092141565572543
26-01-2024,0.6892534969213197,784372920.2295195,96486155.52731536,1138003541.1253896,0.0847854615917088
27-01-2024,0.7032323820679358,799570917.1801283,96965093.4391327,1136993883.6276252,0.0852819833381703
28-01-2024,0.7081962103991701,804597008.5121849,80773137.76310481,1136121595.5373144,0.0710955042843844
29-01-2024,0.7099676068263117,808032400.1100539,112248206.95603313,1138125729.03447,0.0986254893396171
30-01-2024,0.7174617933771,816542093.5205883,92873373.71950804,1138098364.3423245,0.0816039954272115
31-01-2024,0.7018323765288997,797243823.3600398,98766440.7498532,1135946203.1418712,0.086946406860359
01-02-2024,0.689187792026449,784863017.009865,100808110.34311873,1138823156.896175,0.0885195473350471
02-02-2024,0.7023346683196291,798946778.3997501,102915264.973898,1137558509.4087272,0.0904703047119665
03-02-2024,0.7143853230608328,812818133.8809025,91605746.28373984,1137786720.475062,0.0805122301352678
04-02-2024,0.7233331213596866,822772330.5040962,83737913.48347344,1137473601.315931,0.0736174566043536
05-02-2024,0.6965747004018534,792404232.5021229,72740987.53306605,1137572513.1058958,0.0639440446169559
06-02-2024,0.7082418264538606,804693229.4616144,80395979.10259634,1136184279.726435,0.070759629874437
07-02-2024,0.7127534351066294,811270130.5639331,89039126.65336056,1138219881.6657622,0.0782266485479532
08-02-2024,0.719297899454635,819719688.9478487,83006229.21740565,1139610847.702117,0.0728373456472245
09-02-2024,0.7194744731881677,820587915.1275017,89618637.84420651,1140537914.4186666,0.0785757638665482
10-02-2024,0.7423316305408393,845512630.5785961,122013903.0866995,1138995828.539035,0.1071241000445138
11-02-2024,0.7344759233882314,836387117.0145426,87291388.10144225,1138753620.6172447,0.0766552013719414
12-02-2024,0.7338354097434652,835924840.3775929,87628744.17687266,1139117613.130465,0.0769268626582428
13-02-2024,0.754701644628176,859391223.1402111,115775506.33622092,1138716510.3682969,0.1016719308818798
14-02-2024,0.7382382856726365,840637192.5872782,112757289.64497976,1138707120.5895834,0.0990222047497146
15-02-2024,0.7564769578741831,861745725.4615952,105962821.52742212,1139156608.1315067,0.0930186602711517
16-02-2024,0.7722232776018652,881538152.8784647,140569122.23311797,1141558637.8282669,0.1231378902274705
17-02-2024,0.7666526390666839,874309472.9867904,112619619.97321896,1140424526.6163394,0.0987523657592348
18-02-2024,0.767989732814217,875844244.7259976,100665205.55532008,1140437439.8555553,0.0882689414055628
19-02-2024,0.7757245373160074,884366533.8779175,101747694.66218898,1140052288.3262265,0.0892482701925631
20-02-2024,0.7908081056421992,900051322.0213886,114283424.83434646,1138141245.1386993,0.1004123392614765
21-02-2024,0.8013858891056269,912900779.6061224,174529180.24416527,1139152550.6207128,0.1532096646310154
22-02-2024,0.7635985114826959,872637278.6944876,136403610.65925938,1142795939.9764528,0.1193595513316839
23-02-2024,0.7733553803066978,881205111.1753666,125572116.4892178,1139456883.103209,0.1102034823355784
24-02-2024,0.8025006329141968,916447420.2065426,191449131.7757108,1141989654.1122465,0.1676452418691467
25-02-2024,0.8020905811118869,914736551.53387,112082970.1084215,1140440460.3103917,0.0982804223535844
26-02-2024,0.7986561214762766,910860093.043265,87242869.87911235,1140490967.9519951,0.0764958884644008
27-02-2024,0.8146605025135778,929148917.1114691,129440168.40188056,1140535123.8272204,0.1134907340402867
28-02-2024,0.8354633542930042,953289776.4153634,163457772.63057658,1141031227.1829896,0.1432544252396367
29-02-2024,0.8322086906110042,947984883.0830342,234202543.76026565,1139119182.2174163,0.2055996838753654
01-03-2024,0.8628411039884955,985824667.5838716,256063283.7016436,1142533269.4825072,0.224118886111407
02-03-2024,0.9097747285909727,1038039038.9885756,160801265.06699833,1140984692.5471914,0.1409320090947211
03-03-2024,1.1271895671857215,1268579589.2825398,438036203.7746981,1125435886.0416265,0.3892147115686485
04-03-2024,1.0709807454037237,1223042043.1342108,274033880.82592976,1141983222.7452097,0.2399631407606677
05-03-2024,1.1061248870945468,1261814972.1544151,323513560.9475146,1140752718.6815395,0.2835965723767246
06-03-2024,1.0305600550916392,1177132832.905816,457369363.11627805,1142226333.2350326,0.4004192074795797
07-03-2024,1.066963432958631,1216248644.000352,291812449.5230046,1139915958.15778,0.2559947050786123
08-03-2024,1.250171497873042,1426718911.8890624,621881454.3706934,1141218556.2671893,0.5449275697065468
09-03-2024,1.199360830381601,1368568877.8232498,425004698.0007793,1141081852.2294178,0.3724576787987781
10-03-2024,1.2004504852652886,1370178891.946923,215823994.7907688,1141387261.5030231,0.1890891917845336
11-03-2024,1.1448606994168566,1307088288.4343262,217266309.6851782,1141700723.1535692,0.1903005798972012
12-03-2024,1.2337002461514828,1412114443.8479023,316078402.6248015,1144617137.1473591,0.2761433429282208
13-03-2024,1.1838034559082056,1351652890.9713807,245112086.33224344,1141788262.422669,0.2146738536374159
