Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
04-12-2023,19.802896344721194,2838506304.17394,138219208.09933618,143337936.77259704,0.9642890864169362
05-12-2023,19.92865618168646,2854274398.558243,254294682.27990207,143224629.52525583,1.7754954795331517
06-12-2023,20.217119046290275,2897508195.95076,222368539.0233428,143319539.70872203,1.5515577253128037
07-12-2023,20.28462256311445,2911401049.298231,275416419.03813,143527494.2996633,1.9189105222104896
08-12-2023,21.96470556811352,3149161279.389485,332520896.09377426,143373707.8616327,2.31925993303238
09-12-2023,22.29401432327303,3187602334.1927533,185038833.755356,142980186.87756792,1.2941571681802484
10-12-2023,22.02703522106284,3151898917.3450418,254496845.58640105,143092290.25661665,1.7785503686466644
11-12-2023,21.957405591284942,3143229677.5374336,151297440.48942375,143151232.71143675,1.0569063054763077
12-12-2023,20.12995541210719,2882567253.3505464,278872066.8723717,143197895.59080803,1.947459253655908
13-12-2023,20.311381136882108,2911130692.584484,115760106.39251,143325098.03079575,0.8076750547042154
14-12-2023,20.73535962626537,2966458174.311064,119027057.04156454,143062779.12602326,0.8319917854854072
15-12-2023,20.88432488355512,2983848549.057954,138568673.88352442,142875030.22937158,0.9698592795470716
16-12-2023,19.917100566110523,2847253748.017579,80843537.72744256,142955232.79438862,0.5655164637709987
17-12-2023,20.69227678213883,2957351794.7292733,110663386.84089884,142920560.45190743,0.7742999781905902
18-12-2023,19.966751396008885,2859273753.907736,113784894.63297784,143201750.61023048,0.794577539367378
19-12-2023,19.891640815917707,2851528655.233648,145454419.30578244,143353114.08558083,1.014658246063264
20-12-2023,19.623167140956856,2810713879.914236,99784108.05981088,143234466.67524952,0.6966487213307946
21-12-2023,20.17225185615798,2888739867.508873,123899845.28531368,143203638.7463122,0.8652003983278977
22-12-2023,20.64464907962185,2956067733.905916,124315222.85517596,143188083.3868871,0.8681953128688956
23-12-2023,21.91701885663391,3138886640.1577787,262063239.14000112,143216860.8646194,1.8298351015228944
24-12-2023,21.48960557196948,3079902255.504984,125386474.29138412,143320557.70825005,0.8748673344310215
25-12-2023,20.86273583593392,2992298657.812392,147067238.51691023,143427912.8750921,1.0253739008597826
26-12-2023,21.4762992922252,3077473945.733412,137213974.1440184,143296286.93745726,0.9575542889252008
27-12-2023,20.79652459486932,2979135002.331181,187788725.0726513,143251579.7887768,1.3109015994765585
28-12-2023,22.699114893854723,3245147242.550876,277167861.7024262,142963602.66582143,1.9387302539535765
29-12-2023,22.52841257867938,3234314836.762684,457246859.4241594,143566033.57946315,3.1849236760523536
30-12-2023,22.369001083684857,3198784457.407273,336532800.9635936,143000773.5008047,2.353363500944279
31-12-2023,22.284513366419333,3191807923.1865826,190513403.71748888,143229868.68523398,1.3301234265330966
01-01-2024,21.91384034758802,3141306548.84565,127954622.53742702,143348062.18442687,0.8926149442662492
02-01-2024,22.502782752034925,3219934436.3806696,131799801.38725908,143090500.04446632,0.9210940023712364
03-01-2024,22.03177423888904,3148461883.682994,183153637.5392605,142905507.724636,1.2816415578060047
04-01-2024,20.032306606738505,2867073795.2697067,288714730.3840336,143122499.6479075,2.017256064520214
05-01-2024,20.493564495244115,2935809372.53114,161370078.23291403,143255184.9734313,1.126451920486106
