Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
2023-12-04,0.013841800513847,398337216.0428339,15800431.560571162,28777846902.52868,0.0005490484265236
2023-12-05,0.0142420641096798,410346835.1780884,80890382.72990866,28812314845.51388,0.0028074933639878
2023-12-06,0.0145323750334766,416479836.2232787,17444623.048706777,28658759167.98738,0.0006087012681342
2023-12-07,0.0140177432155786,403238941.7241044,15968506.484199394,28766323902.692364,0.0005551111271018
2023-12-08,0.0143276333132076,413256748.65024006,10938992.079991732,28843336482.466244,0.0003792554334565
2023-12-09,0.0146178595057634,420724627.67142665,13834202.283037985,28781548181.21945,0.0004806622005158
2023-12-10,0.020398348462992,583060400.6597899,117260134.31813468,28583706260.22069,0.0041023418464568
2023-12-11,0.0181256167905748,522380802.58220446,58322885.93221644,28820029057.098766,0.0020236928219838
2023-12-12,0.0163523288833888,470328371.6757619,23492594.56710266,28762164400.54195,0.0008167881331858
2023-12-13,0.0165286885926376,484442334.41732776,21740520.68610497,29309181530.173595,0.0007417648515269
2023-12-14,0.0170887542556009,522423498.4285949,22427159.3328619,30571186794.2257,0.0007336044715509
2023-12-15,0.0173413044031248,531752630.7330432,12844981.347496765,30663934982.723858,0.0004188954012175
2023-12-16,0.0164158889362078,502599251.79638106,9823569.417450774,30616633296.52644,0.0003208572713501
2023-12-17,0.0180281437631629,551310747.142445,29082882.39078069,30580560837.82413,0.0009510251478059
2023-12-18,0.0172904216775131,528684695.2207095,18539885.095553327,30576738097.04036,0.0006063395329061
2023-12-19,0.0170502349604543,523804139.2369791,17684640.2467465,30721227035.983307,0.0005756488901316
2023-12-20,0.0170800572433533,523148597.3425455,11510760.502004284,30629206324.59393,0.0003758099501508
2023-12-21,0.0167515704414214,514276708.33468896,12900759.062132066,30700208683.900017,0.0004202173084542
2023-12-22,0.0170130952856218,522458071.8974134,8370563.992164298,30709172148.05433,0.0002725753710262
2023-12-23,0.0169531854737444,519659965.23947614,9091731.966625309,30652644368.47451,0.0002966051430125
2023-12-24,0.0170629101923649,523221301.38590014,14180758.646971945,30664247510.37032,0.0004624525236491
2023-12-25,0.0169380608119747,519464750.9893688,8107687.916956842,30668490139.20896,0.0002643654082791
2023-12-26,0.0170755546000849,530245404.3184894,9313403.677448705,31052895014.950226,0.0002999206248874
2023-12-27,0.016889586954108,522357466.9570599,13722493.66812981,30927782211.39435,0.0004436947199878
2023-12-28,0.017198758604699,528392206.2838824,13450760.014073892,30722694493.74769,0.0004378118597902
2023-12-29,0.0169560166005051,520559611.5152776,6522172.899404381,30700583974.40877,0.000212444587531
2023-12-30,0.0170958630021926,526108923.19053066,9333274.36549742,30774048851.6464,0.0003032839263527
2023-12-31,0.0185266132697589,573297846.7657797,14060972.35616202,30944557346.67793,0.0004543924218606
2024-01-01,0.0175066861896327,540859105.351456,20105721.356818173,30894430818.765995,0.0006507878871361
2024-01-02,0.018732764607615,576789686.6043075,9382221.025143707,30790419817.14944,0.0003047123449716
2024-01-03,0.0187425642942229,575402411.6566229,13986136.143305086,30700303470.959988,0.0004555699638778
2024-01-04,0.0176170416588425,542774600.4568864,15888100.07998865,30809633703.990784,0.0005156861075544
2024-01-05,0.0182630456029041,552766809.8110576,8718722.58242095,30266956663.74282,0.0002880607614199
2024-01-06,0.0179364039555108,552543504.0765384,11457605.303920709,30805701379.55508,0.0003719313240997
2024-01-07,0.0182525709127037,561957791.6307032,11470540.853090594,30787870613.86408,0.0003725668785916
2024-01-08,0.0175395130594239,540699201.6380818,6939158.353589959,30827492177.5872,0.0002250964273582
2024-01-09,0.0178160663715417,546404646.5258347,8550227.305196652,30669208069.33164,0.000278788656227
2024-01-10,0.0174314811070294,535811546.13678914,8433966.465138484,30738153737.30441,0.0002743810359339
2024-01-11,0.0177152432568243,544611863.776383,11492404.326185005,30742556333.03737,0.0003738272185854
