Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
2023-12-04,0.0621914281484214,2088440048.621524,35778782.21386216,33580834381.82842,0.0010654524484723
2023-12-05,0.0639120019681363,2147799921.5923448,92088790.04248916,33605580414.50712,0.0027402826824182
2023-12-06,0.0658317687452761,2207949535.035968,63801629.17339428,33539271040.69191,0.0019022962394139
2023-12-07,0.0686448432895386,2306904258.0637574,103644913.11402814,33606373727.643524,0.0030840849998871
2023-12-08,0.069179081384263,2325838260.4919825,59962926.261767626,33620542712.512333,0.0017835204736136
2023-12-09,0.0742447005380275,2499002950.260696,73601341.24091232,33659007742.65668,0.0021866759057081
2023-12-10,0.0744535761748342,2499783762.5469804,84204136.30383216,33575066383.338104,0.0025079365545385
2023-12-11,0.0750573658056176,2519711290.933321,61394824.15382736,33570473249.205524,0.0018288340381165
2023-12-12,0.0709980581616229,2381452030.0491304,90034389.90026975,33542495269.77055,0.0026841887932354
2023-12-13,0.0755450136879053,2539341975.742582,76025810.40529524,33613627846.21651,0.0022617555817871
2023-12-14,0.0767350460421992,2577182427.326562,116291056.73130384,33585467921.779564,0.0034625409121035
2023-12-15,0.0836598374834907,2817063585.966789,108908923.82326429,33672831201.98151,0.003234326308055
2023-12-16,0.0799748942067103,2690524699.7960114,115948220.42024052,33642116397.70149,0.0034465198042107
2023-12-17,0.0798084258267351,2674762707.851696,69095900.9258258,33514790952.757706,0.002061653943276
2023-12-18,0.0784071497050189,2628842663.2858105,58112681.62276511,33528098817.21202,0.0017332531122502
2023-12-19,0.0793322522131156,2665514310.31847,85971233.02951105,33599377755.694096,0.0025587150349813
2023-12-20,0.0813760853744432,2734033286.714458,74211565.56181365,33597503174.72388,0.002208841686118
2023-12-21,0.0871633733544821,2928182147.0038805,144579887.59886777,33594181068.409817,0.0043037181738245
2023-12-22,0.0912219019143931,3063734073.226693,108688619.34164478,33585509717.8509,0.0032361759656092
2023-12-23,0.091036345690604,3067546230.5654964,106496914.261585,33695841010.47788,0.0031605358723193
2023-12-24,0.0914878201878305,3080794504.7166348,64033854.64282776,33674367783.509964,0.0019015607079692
2023-12-25,0.0902276822004118,3033158627.3653154,106150889.40103494,33616718876.01111,0.0031576814439431
2023-12-26,0.0926002164559235,3115759331.071359,75708727.61326261,33647430322.74033,0.0022500597188872
2023-12-27,0.0895317645328806,3010577186.3579626,103381297.93804248,33625799760.177013,0.00307446361649
2023-12-28,0.0922069616395318,3096742037.567885,84137738.62511928,33584687994.31972,0.0025052410383967
2023-12-29,0.0894001116741334,3013160513.6901364,87391928.26230147,33704214203.593075,0.0025929080480679
2023-12-30,0.0891003679620252,2991898840.605998,72137940.6250865,33578972893.59288,0.002148306943565
2023-12-31,0.0871748171530591,2932910136.4633923,49930221.23336971,33644006746.96992,0.001484074759849
2024-01-01,0.0856978125552551,2881964275.112576,53692019.55190571,33629379667.705967,0.0015965807303744
2024-01-02,0.0920568719051912,3100002922.566464,65280024.35701413,33674867051.306465,0.0019385384434496
2024-01-03,0.0971515455189926,3254233718.1745405,194731273.37392884,33496468849.67316,0.0058134866169879
2024-01-04,0.08845176008682,2967460879.713096,191505300.7974901,33548918379.921165,0.0057082406839114
2024-01-05,0.088131765124585,2964687917.4447403,99282035.61110744,33639266310.549767,0.0029513733948463
2024-01-06,0.0846532184312447,2845549293.681484,102643689.64109352,33614189116.656406,0.0030535822025893
2024-01-07,0.0795320110127784,2674322592.4558606,81117443.54509684,33625738346.112926,0.0024123617066827
2024-01-08,0.0752419302546404,2526393371.938727,66126927.09053858,33576934607.986263,0.001969415250754
2024-01-09,0.0816580578345911,2749659190.002714,105693280.58296542,33672845802.584484,0.0031388282773193
2024-01-10,0.0773219477635872,2590734117.717795,80995991.7444491,33505805177.580296,0.0024173718946663
2024-01-11,0.0837515616189339,2825339673.533925,108531886.55859312,33734770061.83001,0.0032172113922719
2024-01-12,0.0840344443033426,2832259588.791985,101410193.0291049,33703555872.49746,0.0030088870566875
