Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
2023-12-04,2.835857190255254,408702435.2331677,2153428.694357488,144119540.51761705,0.014941961975616
2023-12-05,2.8436623350955776,408569065.6540686,2697120.88706924,143677067.63620943,0.0187721042156731
2023-12-06,3.0102476985136613,433252632.0877425,3065149.2929440644,143925907.59280878,0.0212967167913639
2023-12-07,5.1205622040421055,739325378.6538762,37300963.834316246,144383633.9045471,0.258346204660399
2023-12-08,5.323621597356497,767691298.4067633,25561120.97397239,144204708.08593324,0.1772558005439061
2023-12-09,4.690358579794369,674430036.9288534,16031136.459316492,143790719.93221065,0.1114893677900373
2023-12-10,4.292391806877016,619366214.2526697,8257529.802366822,144293960.59799522,0.0572271338879691
2023-12-11,4.982906465463398,711047552.8736566,7631492.214295869,142697350.9942316,0.05348026547882
2023-12-12,4.630743735067052,663371688.1662667,13291263.112444142,143253811.07634565,0.0927812182627427
2023-12-13,4.828954934845862,695466233.5333223,17449475.449837465,144020029.78218338,0.1211600600015715
2023-12-14,5.268495099047668,761297647.9803846,14140734.702371491,144500020.15148437,0.0978597420785635
2023-12-15,6.546182970786537,942380070.3117698,44071652.7975577,143958712.20179796,0.3061409214037639
2023-12-16,7.450116362482468,1090642000.665053,47848129.43595233,146392612.89358407,0.3268479774367724
2023-12-17,7.465338683898272,1074247270.0297208,40754100.04842478,143897995.19032234,0.2832152038985852
2023-12-18,7.082727599086511,1022426174.5792338,36032933.08322298,144354863.33133867,0.2496135720797736
2023-12-19,7.988230399972003,1149204265.1545691,61491156.44206972,143862183.18873188,0.4274309973552943
2023-12-20,8.695791976519237,1249344541.822096,59136152.30178227,143672312.44671348,0.4116043745291233
2023-12-21,8.457069463107247,1215112238.6107922,49339329.95523397,143680058.90356523,0.3433972002221226
2023-12-22,8.029994167124217,1162792640.146669,28898127.63085764,144806162.48854634,0.1995642114550434
2023-12-23,7.205869626795554,1037431313.197848,30816528.76123031,143970314.05343273,0.2140477984217854
2023-12-24,7.537916758686475,1092684785.7294817,36216529.847139984,144958457.45050228,0.2498407508199825
2023-12-25,7.114418372195295,1024088169.7679328,34376724.31883361,143945452.20594472,0.2388177173506695
2023-12-26,7.444434110374607,1077685126.4079509,21532638.686817564,144763874.65181303,0.1487431773887511
2023-12-27,7.075500714135693,1017687625.1973032,10535617.76911612,143832594.51364762,0.0732491672332062
2023-12-28,6.641894235450504,955510150.7030772,11996730.01647376,143861090.95250702,0.0833910679881765
2023-12-29,6.705864618729721,966767980.7634327,21244500.46824768,144167536.2880448,0.1473598080069944
2023-12-30,6.778892401599979,975339522.2922052,18790146.20228461,143878891.19791928,0.1305969628055929
2023-12-31,6.790567005850156,977785901.049,8730802.742833756,143991790.40669587,0.0606340314136948
2024-01-01,6.789529007218972,977354076.803458,10972051.123500127,143950202.69657663,0.0762211578585089
2024-01-02,6.928808555887378,996126803.4332792,8064032.907682166,143765958.5192139,0.0560913931972597
2024-01-03,6.469229340914311,930427587.7983704,14524568.27741948,143823559.00013137,0.1009887975126954
2024-01-04,5.617381625599141,808504471.3291768,27000104.62944317,143929062.54485476,0.1875931389536336
2024-01-05,6.1853918075738665,889909311.2967532,14686692.606813945,143872747.10828832,0.1020811300402831
2024-01-06,5.759846467583828,827216549.1430987,11580526.82744087,143617812.34945035,0.0806343352401384
2024-01-07,5.183444909734709,743164841.0943289,8943362.059481982,143372767.34602442,0.0623783876466409
2024-01-08,5.267770332236689,757674620.3175077,7158586.046352405,143832128.6865595,0.0497704241168012
2024-01-09,5.42165222551125,780345015.2017027,14627590.40583131,143931219.25634357,0.1016290314318769
2024-01-10,6.842222288504309,978506681.8082452,46188328.267144166,143010069.03155494,0.3229725611624786
2024-01-11,6.749233159264191,965545805.4336247,25057325.656779326,143060075.51514038,0.1751524705026976
2024-01-12,6.944636263406723,1003159120.2395031,28019046.02747653,144450923.30111453,0.1939693107330962
2024-01-13,7.5013353036449795,1075360835.5917475,38909542.93957258,143355921.5876163,0.2714191538700537
2024-01-14,7.347484988699247,1056789623.9327122,13903866.426189914,143830116.77575395,0.0966686723050325
2024-01-15,7.146183721433181,1029493015.100154,11295203.575692696,144061929.4480841,0.0784051943422233
2024-01-16,7.3219891935529855,1053893212.969134,8202676.706850905,143935368.53306028,0.0569886108636797
2024-01-17,7.439138100676994,1070044423.6508102,9134318.219529156,143839838.59009576,0.0635033959232912
2024-01-18,7.401854162757568,1065492272.3666718,10930107.526053607,143949373.8917063,0.0759302192885977
2024-01-19,6.733483308615721,972673696.0462172,17751895.39690853,144453272.02365646,0.1228902270486568
2024-01-20,7.117342808753706,1024433461.9658458,14093344.252858786,143934820.83030802,0.0979147656665661
2024-01-21,6.534549878995906,942638500.7200172,5913892.013064562,144254542.11466855,0.04099622740727
2024-01-22,6.63879786586561,956377651.7275728,5030210.93668436,144058859.90970352,0.0349177477861292
2024-01-23,6.102009651266546,876022107.6635739,7481082.070362649,143562884.64436382,0.0521101403673721
2024-01-24,5.943668405209528,854122567.5707637,6514337.394567251,143702930.47003418,0.0453319732120957
2024-01-25,6.896545389878996,989837097.6132182,21903806.34811398,143526510.9783589,0.1526115711920055
2024-01-26,6.740414700345492,969887401.1483144,13576306.139944907,143891354.50354427,0.0943510900066654
2024-01-27,7.415119949506754,1067134155.8489152,11794289.07655915,143913269.52437225,0.0819541458236534
2024-01-28,7.977650515398474,1150379834.1231945,11646895.073275289,144200329.64626986,0.0807688519287415
2024-01-29,7.763259310449093,1115038547.5972369,13489608.05889904,143630207.7526164,0.0939190179417763
2024-01-30,7.917810003276846,1141073800.6858346,10820903.441792758,144114824.70703295,0.0750852902454017
2024-01-31,7.465580360827462,1073800241.8536365,13328214.253223464,143833458.34544328,0.0926642132264749
2024-02-01,7.468594751714976,1074616143.8885844,12660717.42081692,143884650.273979,0.0879921339538924
2024-02-02,7.169685910302751,1035208807.002539,10722463.443221092,144386911.77739832,0.0742620180127679
2024-02-03,7.205062810493656,1040868553.9798487,11102801.687538687,144463494.81699154,0.0768554138995728
2024-02-04,7.306598436689627,1050709657.7097932,4003728.719594172,143802847.08596006,0.0278417903450888
2024-02-05,7.133819467448876,1026305235.9155686,5079945.01781662,143864761.45051447,0.0353105581005254
2024-02-06,7.09659131860476,1020592763.9637488,10972260.49167155,143814504.47739813,0.0762945332360127
2024-02-07,6.94237354829989,999490047.9192128,6914671.877273026,143969499.90741667,0.0480287274854721
2024-02-08,7.018744613277366,1010678010.7052766,7460529.958567417,143996977.57820907,0.0518103232723435
2024-02-09,6.973465997396986,1006063927.5526344,8372535.173904725,144270285.09613037,0.0580336773322789
2024-02-10,7.68842859519164,1106924732.521698,13914292.380567592,143972818.21853313,0.0966452734115921
2024-02-11,7.984661687535914,1150108438.1389256,11743076.125453416,144039720.54749033,0.0815266516820385
2024-02-12,8.067892870047913,1160782279.0512297,13921500.685894243,143876759.11769214,0.0967598990362742
2024-02-13,8.414198523914303,1205543130.0278623,17288420.807483364,143274861.7234956,0.1206661140657603
2024-02-14,9.217223540409778,1324550233.209786,25877633.183062468,143703820.07149404,0.1800761675659568
2024-02-15,9.432586399881748,1359095157.2375724,25037928.09859637,144085100.27054837,0.1737718060478335
2024-02-16,10.078527866493712,1449738789.881588,39306551.67516334,143844300.38649556,0.2732576234828247
2024-02-17,9.826532115414397,1413748947.768048,26960870.548623737,143870587.422227,0.1873966808066182
2024-02-18,9.372623784544166,1350235788.0601578,13561951.219966786,144061665.02561972,0.0941399033362202
2024-02-19,9.614855026083424,1385197972.3334534,10119472.06882929,144068524.02617127,0.0702406867650771
2024-02-20,9.578669333021022,1377825409.8354342,18441129.58992263,143843091.5540208,0.1282030954055029
2024-02-21,9.527986146298014,1372924309.7889855,12892886.608136738,144093860.83358434,0.0894756135587683
2024-02-22,9.053515554642654,1305007969.8100617,18817308.56040696,144143781.7092888,0.1305454063801237
2024-02-23,8.670951601690083,1247173668.9529955,19158971.28079708,143833540.56663227,0.1332023894101494
2024-02-24,8.203849537882716,1182726163.4076746,19483776.589627687,144167217.83428973,0.1351470665961172
2024-02-25,8.852091544424722,1274247016.944903,15205823.806554072,143948693.9950883,0.1056336350441144
2024-02-26,8.388216318463154,1206449992.3098042,11127560.617649913,143826762.0321508,0.0773678031850739
2024-02-27,9.107251454204787,1310937223.1670232,17812822.881472923,143944331.58664656,0.1237479981679624
2024-02-28,8.926812812931015,1283985191.9153066,21689061.9441334,143834671.8837185,0.1507916113693899
