Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
2023-12-04,0.0053342306149624,258580947.8407772,20014244.012678847,48475772141.43296,0.0004128710720539
2023-12-05,0.0057750657256119,279098029.6394269,70736475.52726366,48328113115.95104,0.0014636713698618
2023-12-06,0.0058232264781783,281692248.8843053,44915025.935702495,48373912630.72215,0.000928496859011
2023-12-07,0.0063601028660028,308753425.3333801,85412172.5633738,48545350891.06563,0.0017594305323909
2023-12-08,0.0060130675180929,291753645.6863507,68247661.82279319,48519935092.77651,0.001406590130269
2023-12-09,0.0062896845692873,304506452.02149427,32211431.537296813,48413628484.39245,0.0006653380989132
2023-12-10,0.0060427933121776,292028350.9641072,36217155.39625717,48326715126.19831,0.0007494230737943
2023-12-11,0.0062007533851019,299451736.3536918,28684594.88796657,48292798915.88014,0.0005939725079495
2023-12-12,0.0056851645167975,275491229.9671653,56172118.98870299,48457916943.861786,0.0011591938434699
2023-12-13,0.0059894888255672,289994613.36293685,33284805.88501244,48417255930.93066,0.0006874575034259
2023-12-14,0.0059190010827876,286454796.50234884,33948738.30941095,48395800658.89073,0.0007014810757795
2023-12-15,0.0064401181238062,312057742.0187879,59051060.21634928,48455282344.161896,0.0012186712647122
2023-12-16,0.0063522114910902,308364128.0387882,82659247.50707065,48544373636.064255,0.0017027564950526
2023-12-17,0.006125900365447,296483940.7335488,62395981.20679196,48398426850.99132,0.0012892150688884
2023-12-18,0.0062176455973989,300667958.11721146,73415869.84578912,48357204251.55666,0.0015181992214412
2023-12-19,0.005951522319669,288360391.4431421,49562343.71715376,48451534910.68123,0.0010229261840418
2023-12-20,0.0058837363484201,284892692.4151135,28416808.08824465,48420370245.109856,0.0005868771334129
2023-12-21,0.0060555139658503,293398931.93206733,32770877.89823593,48451532534.92126,0.0006763641144811
2023-12-22,0.0063814751975119,308713500.9108388,38658095.80175913,48376510345.319695,0.0007991088138811
2023-12-23,0.0064104739856719,311174530.74059594,35357293.47983462,48541579208.66712,0.0007283919076436
2023-12-24,0.0066756225282601,323052783.6522798,41010939.04484297,48392907520.563095,0.0008474576367914
2023-12-25,0.006797220541783,329197838.6854612,75402696.34581113,48431242838.43008,0.0015569019485491
2023-12-26,0.0073121967473922,354038070.63600576,76817669.83562775,48417470544.9858,0.0015865692480621
2023-12-27,0.0072193993282932,348510880.1212415,64277134.36671423,48274221202.22745,0.0013315001830365
2023-12-28,0.0071317715405591,344779913.63689053,47604295.735876456,48344217376.57914,0.0009846947229502
2023-12-29,0.006608934082575,320859001.2174647,55880117.13905609,48549281504.17381,0.0011509978192829
2023-12-30,0.0065304131205338,315345213.60773104,33698986.36934901,48288708200.73819,0.0006978647312175
2023-12-31,0.0065482910295322,317240641.81394184,22379001.71744822,48446325977.75674,0.0004619339292668
2024-01-01,0.0065528874803813,316276592.09017617,22313310.312529474,48265225526.46801,0.0004623061442092
2024-01-02,0.0068405495035036,331315172.6333259,29725329.30034772,48433999704.794174,0.0006137285683925
2024-01-03,0.0064422269286447,311110695.7628748,39902876.02293344,48292414906.95593,0.0008262762609783
2024-01-04,0.005812885015095,281058863.7214397,56352792.875108406,48351010383.2396,0.0011654935942071
2024-01-05,0.0057642070675478,279020935.4478428,27256988.93722169,48405779351.45882,0.000563093690514
2024-01-06,0.0055730625866178,268784173.6246534,34967336.767007455,48229168333.77448,0.0007250246681637
2024-01-07,0.0053459826295588,258819882.9813302,27631991.962110225,48413902722.06878,0.0005707449804395
2024-01-08,0.0050328240892996,243192816.2733909,23123026.38001355,48321342442.7937,0.000478526158651
2024-01-09,0.0054525507682888,264076170.90092465,33918754.35728744,48431675764.80846,0.0007003423652322
2024-01-10,0.0052595781524114,254279257.7415399,34007132.48222577,48345941513.38067,0.0007034123530889
2024-01-11,0.0057558828901423,278401512.9106832,38680535.57931308,48368168398.19312,0.000799710571235
2024-01-12,0.0058137152419723,282162286.39756376,28839170.29166062,48533902101.10061,0.0005942067100144
2024-01-13,0.005381791463343,260259420.09118348,33269601.03697266,48359253951.75319,0.0006879676239456
2024-01-14,0.0055065031905544,266602566.19880927,21234731.641413186,48415946921.83701,0.0004385896175013
2024-01-15,0.0053380024992106,259785534.6341481,18771067.98791345,48667181154.85429,0.0003857027989393
2024-01-16,0.0053732990513424,260422596.0983241,16011163.528951371,48466052905.29273,0.0003303583141015
2024-01-17,0.0054135114919266,262188695.4007488,17987765.471462663,48432278344.981575,0.0003714003570787
2024-01-18,0.0052767453636227,255443139.78006053,17756252.590088308,48409222385.6497,0.0003667948319564
2024-01-19,0.0049725858652947,240951953.388628,27526804.606959227,48456066906.81943,0.0005680775672506
2024-01-20,0.0049707657536415,240745717.187394,31450083.782326795,48432319911.88155,0.0006493614974369
2024-01-21,0.0053126527774622,256658795.54195312,57951158.535602055,48310854537.82565,0.0011995473706686
2024-01-22,0.0051694812781179,250754066.18495995,33235687.44124369,48506620431.41274,0.0006851783765937
2024-01-23,0.0048408472445351,234560344.63929933,27468020.736388776,48454399155.869736,0.0005668839406723
2024-01-24,0.0048016519068822,231788056.56636444,30090735.30289989,48272565579.8041,0.000623350653554
