Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
2023-12-04,2.431924643695284,2167943327.247121,53005986.42188223,891451687.3980742,0.0594603018550489
2023-12-05,2.3785908740996726,2115956791.2930896,80534529.41634983,889584171.1719366,0.0905305332830436
2023-12-06,2.40036011027812,2139295962.284433,72097342.2528332,891239590.7281436,0.0808955784761868
2023-12-07,2.263524985754608,2015876975.6491053,73470783.42465977,890591881.3955827,0.082496578915057
2023-12-08,2.5081913903720348,2232002004.275919,125523666.10130872,889885043.3996788,0.1410560465448025
2023-12-09,2.447552562356649,2174509757.91724,64747424.568234585,888442516.5617251,0.0728774494255489
2023-12-10,2.3405356704038893,2079685420.0144744,72376618.97780529,888551046.8018624,0.0814546550120091
2023-12-11,2.385669345496984,2120925645.5716736,45420790.70415969,889027496.4445424,0.051090422833725
2023-12-12,2.255810125962687,2007550537.5431373,90032894.54530522,889946593.6595162,0.1011666263871906
2023-12-13,2.225935619444187,1982468552.441912,69064784.56425048,890622592.6412606,0.0775466343823926
2023-12-14,2.303927553041728,2051129613.4415207,63162582.17046375,890275221.8634417,0.0709472538596072
2023-12-15,2.349174730633077,2087646786.4595385,76977841.97704487,888672417.2692512,0.0866211671265611
2023-12-16,2.13254375946808,1899281210.0783927,60566966.25001871,890617696.1883914,0.0680055724349845
2023-12-17,2.1616634372385817,1920353120.7206087,44685460.88216617,888368229.5953369,0.0503006066555542
2023-12-18,2.082426104522477,1852045644.728881,47013020.44695879,889369202.9247662,0.0528610843419723
2023-12-19,2.1266226653032936,1893044369.1375208,55342026.184288494,890164672.8511375,0.0621705487446853
2023-12-20,2.044465121868161,1816047939.0475647,40619154.77506171,888275334.0336387,0.0457281129158579
2023-12-21,2.100627767664299,1868857074.251852,48077613.80210661,889665986.0541811,0.0540400718423989
2023-12-22,2.153277610690972,1916055436.657653,83565999.72662748,889832052.8409731,0.0939121033680746
2023-12-23,2.449159118226772,2176142489.3787694,174571988.37184533,888526381.6400502,0.1964736129158244
2023-12-24,2.363359997492882,2104180856.6262047,79304369.67687981,890334464.0081828,0.0890725596759005
2023-12-25,2.428220178336868,2159815207.588402,94345699.84048945,889464319.1161101,0.1060702467910617
2023-12-26,2.5536958956941973,2273926020.811058,164791386.83734605,890445109.2415267,0.1850663057464753
2023-12-27,2.414790366887832,2149742800.8027062,104584277.7625233,890239927.3578695,0.1174787543768313
2023-12-28,2.834848087161193,2523409157.3792605,161672326.7584368,890139111.4421915,0.1816259106922034
2023-12-29,2.707795833313277,2417342755.4481783,172052105.5729264,892734498.5571907,0.1927248312359291
2023-12-30,2.891217208037001,2567555923.235003,122143195.08468476,888053625.3373544,0.1375403372046197
2023-12-31,2.737411286360972,2438736241.883404,112319111.98340791,890891425.0607123,0.1260749725767689
2024-01-01,2.6390658468687893,2349062933.788361,53733282.11057804,890111528.1285945,0.0603669095529511
2024-01-02,2.922271333846868,2599793504.2693243,66326405.509365566,889648224.7071033,0.0745535186463189
2024-01-03,2.868838146567905,2544125833.13842,121011410.25342482,886814000.3583157,0.1364563597378146
2024-01-04,3.056283928519876,2721659569.0606203,364825564.28395015,890512672.4854681,0.409680373515295
2024-01-05,3.129505633377708,2784441599.548877,202863723.53194413,889738484.5233847,0.2280037640954849
2024-01-06,3.5219353821558883,3147664009.481317,236719919.66815904,893731334.6034566,0.2648669801570628
2024-01-07,3.0884154533767463,2741893595.1856494,234245456.83079648,887799467.5838628,0.2638495126250673
2024-01-08,2.9296319017239068,2599289917.705984,154892497.05740058,887241129.5686884,0.1745776789368387
2024-01-09,3.130942652634668,2791888443.8208137,178180960.44047636,891708585.4228145,0.1998197206500929
2024-01-10,3.612814546749612,3202819408.0790563,300039525.1035451,886516417.223956,0.3384477932660188
2024-01-11,3.782530359974777,3366915398.121766,401503737.3037779,890122504.6992663,0.4510657074549851
2024-01-12,3.637974405883353,3246472349.888981,261956690.61799145,892384604.0914328,0.2935468512309202
2024-01-13,3.474392186481048,3083459919.2201524,187550762.0714968,887481825.2291658,0.2113291300619789
2024-01-14,3.353097949548212,2984026085.49629,111804343.84221455,889931081.7622702,0.1256325867625794
2024-01-15,3.254086096313287,2900095203.6272645,106464067.72212248,891216494.5214338,0.1194592653710832
2024-01-16,3.2568554815619053,2901212390.8414702,103454134.98382066,890801697.3016323,0.1161359877256613
2024-01-17,3.43390278455153,3060321974.877773,109013695.23833963,891208099.6135285,0.1223212572749432
2024-01-18,3.1961571450021045,2847990611.638723,113405520.20586535,891067141.7055271,0.1272693323522221
2024-01-19,3.0234518622994413,2697141362.6055226,112923309.90156908,892073525.7065585,0.1265852047477019
2024-01-20,2.949974831105398,2628529852.5429816,91179637.68848948,891034670.8137959,0.1023300671400515
2024-01-21,2.882076306442238,2566473028.71635,57346596.98887526,890494475.451456,0.0643985993959166
2024-01-22,2.870531932820268,2563533303.251365,55739686.71976888,893051658.4543688,0.0624148515845536
2024-01-23,2.703418828543704,2406354035.0858016,122637533.571497,890115142.2334633,0.1377771568561082
2024-01-24,2.687357171915516,2386227944.094985,97686093.16042948,887945960.0802191,0.1100135566263562
2024-01-25,2.878688327415917,2563146294.417076,66686155.57792497,890386871.689548,0.0748957084816233
2024-01-26,2.984015688515921,2654384715.4958067,77164332.70575956,889534437.0042323,0.0867468751020287
2024-01-27,3.0750353448047374,2736173374.926818,83415533.17206968,889802252.0455168,0.0937461475067188
2024-01-28,3.067585002085194,2735794908.6919007,44602912.54372077,891839967.5419724,0.0500122378083729
2024-01-29,3.151820791150614,2809365361.267392,59766164.48666969,891346795.209697,0.0670515278765423
2024-01-30,3.1504439887593767,2806902922.8908806,76877727.41120575,890954713.9723058,0.0862869079713914
2024-01-31,3.022064884591732,2685906176.732265,93363372.40876582,888765224.8721058,0.1050484085065332
2024-02-01,2.8266528821833945,2517360496.1465344,62937256.93463886,890579990.2116199,0.0706699652208485
2024-02-02,2.83149315352203,2520250424.8043795,52946171.0906492,890078233.6942956,0.0594848509786545
2024-02-03,2.81375455130416,2505340631.781909,47920599.79009067,890390610.1620334,0.0538197497179019
2024-02-04,2.7606427812089125,2456181955.643047,49580296.90899826,889713791.4263072,0.0557261193282344
2024-02-05,2.671542157930947,2376591514.167543,34131960.43717853,889595362.4060205,0.0383679612996907
2024-02-06,2.6821360202737177,2389313260.6582685,58398791.44587225,890824791.35955,0.0655558668913398
2024-02-07,2.792226316494771,2489230275.4054093,76250638.56927614,891485858.6857928,0.0855320786374368
2024-02-08,2.895165168788961,2581855938.7922225,120448765.47141004,891781915.1133977,0.1350652703650016
2024-02-09,2.871432292027086,2562763064.351133,59351232.38050546,892503393.3298674,0.0664997274229627
2024-02-10,2.982582077515492,2656960437.30894,66887487.280729055,890825589.4577773,0.0750848292553447
2024-02-11,2.957141825803957,2635400097.5792613,50960224.33370377,891198411.4467613,0.0571816821923813
2024-02-12,2.879809977565027,2565244915.6687427,54925000.71672703,890768813.0998632,0.0616602196989685
2024-02-13,3.11825193228888,2776077842.134598,84616874.79499027,890267336.4486245,0.0950465903113287
2024-02-14,3.111331127056043,2770948515.827776,91220544.53174834,890599040.3051897,0.1024260530311024
2024-02-15,3.286529201510956,2930762304.467032,105914651.57445686,891749966.2317431,0.1187716911524192
2024-02-16,3.2261726263396984,2875801997.846936,90295764.3971232,891397433.0969757,0.1012968638280786
2024-02-17,3.2458755162986765,2892563240.2442555,87409831.7028964,891150392.465664,0.0980865097989218
2024-02-18,3.123927967288311,2788190018.775927,51072321.92992336,892526987.8089355,0.0572221598086359
2024-02-19,3.3250507637882327,2961777767.796882,68807192.55575834,890746631.616092,0.0772466491744354
2024-02-20,3.393270274591901,3014883918.3116,103474212.7873343,888489178.385353,0.1164608588428476
2024-02-21,3.246425505839895,2896276728.050052,115141484.5766964,892143288.9311733,0.1290616496310149
2024-02-22,3.070076648403104,2739619845.3334966,93065166.9638184,892362034.921345,0.1042908184367361
2024-02-23,2.96232046995438,2639352952.100887,89254098.78593232,890974821.5531634,0.1001757812082085
2024-02-24,3.089889064853602,2751048053.253428,126987845.79263017,890338777.7074683,0.1426286813201722
2024-02-25,3.292255789629273,2934624897.344572,100382120.45983352,891372081.8986024,0.1126152843445824
2024-02-26,3.397364855821268,3028703604.447417,95355664.6295283,891486117.3235006,0.1069625906411348
2024-02-27,3.627349776419155,3235475955.670924,151820116.51415005,891966905.6191541,0.1702082392942201
2024-02-28,3.4636683243793924,3088680887.930995,103047623.96299651,891736909.7355515,0.1155583253737425
2024-02-29,3.431336215204511,3058990895.838725,176046266.33983722,891486786.4839664,0.1974749026109132
2024-03-01,3.365692056835728,3007736497.6324625,152031450.23854786,893645778.2950593,0.1701249577081881
2024-03-02,3.356913564179974,2992353016.2076244,103110385.33593364,891400078.9706349,0.1156723987000346
2024-03-03,3.43983319699326,3064075356.656452,93210095.4539302,890762772.8387367,0.1046407621603703
2024-03-04,3.323768751056872,2960149129.1213465,108129443.70767094,890600204.4155738,0.1214118783844511
2024-03-05,3.286075142657072,2927729181.784383,113010594.16036542,890950162.3316697,0.1268427785731695
2024-03-06,3.13053836176467,2793552707.8233056,227298693.127778,892355366.7135365,0.2547176849116718
