Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
2023-12-04,1515.3303169086112,1394156985.4505146,71454738.07632309,920035.0378356454,77.66523571147704
2023-12-05,1489.6134464749246,1367721103.847969,101616272.16095252,918171.8298022846,110.67239144423998
2023-12-06,1484.3285668881658,1362330111.4617703,68330726.5378751,917808.9958329372,74.4498330786822
2023-12-07,1424.9066419624853,1311094841.837617,65089900.55366504,920126.837244496,70.74013920579665
2023-12-08,1449.0289628032815,1331696684.3601985,76307292.91078861,919026.9611891723,83.03052699569444
2023-12-09,1446.4125335004696,1327875907.222569,77092609.9005584,918047.8435214956,83.9745013776652
2023-12-10,1430.7458069353668,1313714397.412158,84738680.80305856,918202.5144117752,92.28757215650232
2023-12-11,1417.057443110428,1300544210.0251608,69640133.82228352,917778.0451655356,75.87905832910052
2023-12-12,1387.9982715008464,1274090486.3018732,119850039.60754111,917933.7701366124,130.56501842143177
2023-12-13,1358.5484773636203,1249888069.922799,66249187.31089115,920017.2763421104,72.00863398379951
2023-12-14,1363.489565539768,1252818570.2154295,64365558.49018408,918832.5322603206,70.05145794288033
2023-12-15,1362.5379831038863,1249656475.362213,66835837.83725093,917153.496532605,72.8731211186904
2023-12-16,1310.8601989323245,1206861267.1713693,66840181.19278765,920663.5979598276,72.60000432395087
2023-12-17,1327.573784168399,1217614971.244594,63740974.47862162,917173.1061315855,69.49721274260389
2023-12-18,1316.0343951373306,1208852413.4117663,68475088.99763758,918556.853740605,74.54638079155256
2023-12-19,1287.615042829951,1183576120.9821067,69729781.87949586,919200.2901587842,75.85918175401208
2023-12-20,1289.3732641037427,1184051099.8136728,78032127.87734911,918315.225526814,84.97313962379755
2023-12-21,1285.6317670266335,1180770304.6242335,60623579.592431605,918435.8499129808,66.00741858908874
2023-12-22,1322.0998130973774,1215228597.1043918,55534509.06902209,919165.546402574,60.41839719338133
2023-12-23,1390.922024525104,1278592856.146356,73257395.02671762,919241.2181286006,79.69333139331553
2023-12-24,1383.1036551540017,1272139513.98004,62751316.595097005,919771.6376784455,68.2248875965395
2023-12-25,1396.7356414380697,1283671258.9193113,81468796.3154544,919050.9791800344,88.64448018774739
2023-12-26,1406.249791888857,1293997404.330547,59229588.62855785,920176.06814538,64.36766905700495
2023-12-27,1410.039452943812,1296188811.111768,77002845.22206894,919257.1232000976,83.76638404933794
2023-12-28,1529.1592987447289,1406110488.3665593,95267575.3281791,919531.7253871594,103.60444636977334
2023-12-29,1557.0676500821764,1432988480.9626558,149325060.2395915,920312.2811568448,162.25477296889696
2023-12-30,1543.6990620848617,1418868229.9931145,76552205.60445881,919135.2543006956,83.28720419140262
2023-12-31,1598.6636611107167,1469586460.0364542,73937309.38239257,919259.3137542248,80.43139544644376
2024-01-01,1694.6362703986874,1558856036.3145795,99712661.72356194,919876.4735206784,108.39788231775064
2024-01-02,1655.9457156849253,1523889756.3304243,99584747.0717544,920253.4490692044,108.21447849228925
2024-01-03,1833.437656123389,1688886445.5257373,205485882.2819611,921158.3714805498,223.0733483447476
2024-01-04,1816.049973074092,1677007643.5393686,245884749.32402804,923436.9474429378,266.2712922684113
2024-01-05,1777.6571394632078,1637151534.5626743,149621722.15841872,920960.2336798416,162.46273909198183
2024-01-06,1737.2736073072545,1597295584.7188904,114901744.18721054,919426.6107540034,124.97108833187012
2024-01-07,1700.136386655789,1563468978.4825056,90623768.03769128,919613.8561317944,98.54545734976784
2024-01-08,1740.7009217903392,1597042528.376572,100459947.74432014,917470.9499975378,109.49659795178228
