Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
2023-12-04,171.98657881516408,3124938604.447692,68253141.77761714,18169665.48189844,3.756433592330825
2023-12-05,170.34600923221706,3090211573.2173104,90249075.55553056,18140792.30353268,4.974924691572361
2023-12-06,171.2454777411336,3109084290.494633,100572795.29627788,18155716.17718593,5.5394562414814255
2023-12-07,170.73470708429963,3102519998.719697,83697255.90905298,18171583.573736064,4.605941775488579
2023-12-08,172.50634550413966,3134572156.9946904,110155714.19231322,18170764.37295154,6.06224988291014
2023-12-09,174.34305062506346,3161780839.039212,92899721.5759194,18135399.304437064,5.122562785435348
2023-12-10,175.03527727328515,3173536406.0470886,70576963.9956207,18130838.854228225,3.8926474700403455
2023-12-11,175.6341667664225,3187170507.1923165,60445890.11375743,18146642.9104934,3.330968180280015
2023-12-12,171.45981625905415,3111085006.2743053,105454213.883603,18144688.79153497,5.81185023866601
2023-12-13,170.66449899502453,3097510232.2344794,82956037.71842644,18149704.540044867,4.570654995258748
2023-12-14,169.3323115074786,3072993265.152424,85133001.52886902,18147707.53316448,4.69111601965651
2023-12-15,168.07285690690324,3048974614.183792,78881557.68681112,18140791.26335457,4.348297521407258
2023-12-16,168.2965842805463,3056803867.3578925,82888873.58783801,18163196.12442208,4.563562107683588
2023-12-17,168.93735739257062,3063417805.70866,73662198.78134425,18133454.03876538,4.062226568852823
2023-12-18,167.98512924050897,3047690054.847366,60952966.52077464,18142618.15094301,3.359656583942734
2023-12-19,173.72893094054214,3151628027.497052,101147885.75993627,18141066.14502613,5.575630723758137
2023-12-20,170.25115003396007,3091732337.124949,92697303.10451695,18159832.321298502,5.104524175358064
2023-12-21,174.56002980820108,3167381812.1889253,81961376.33816674,18144943.12168201,4.51703682885775
2023-12-22,173.11122022572647,3142348200.4781213,63726216.98812429,18152192.54061459,3.5106622434474613
2023-12-23,176.610109753395,3206044630.831305,81590024.66092035,18153233.89645125,4.494517347505243
2023-12-24,178.04047554481488,3231465838.351464,82314298.9576671,18150175.28156436,4.535179285088009
2023-12-25,171.3049833883144,3105740840.5745845,63602352.70534831,18129891.957284663,3.5081484685733404
2023-12-26,174.11043048483393,3155641717.037796,71592644.2832916,18124369.16186174,3.950076476810053
2023-12-27,173.59074039151673,3148865201.7418146,87097554.58275597,18139591.977313194,4.80151674258644
2023-12-28,174.72945488192437,3177366708.8476887,99436407.3284946,18184493.91371841,5.46819767436473
2023-12-29,174.57594380466017,3170729128.6500063,140428786.5773022,18162463.049306832,7.731814027429591
2023-12-30,166.83428987757466,3028876281.2620573,126776036.92309503,18154998.49272406,6.982982508861281
2023-12-31,165.67451754750834,3012906458.824445,99099216.72564249,18185696.28826879,5.449294607958965
2024-01-01,164.65777155935612,2985802776.779333,80919003.75853054,18133385.071976427,4.462432327849467
2024-01-02,169.29878322267376,3070843292.03564,69985672.0269809,18138602.26034022,3.858382857867914
2024-01-03,167.76530636537137,3034073418.9386606,134189197.15199456,18085225.632591978,7.419824329433181
2024-01-04,154.03961215532073,2795898347.921745,137210604.4712846,18150515.369401176,7.559598263672415
2024-01-05,163.48974183007977,2965075887.164428,166842215.3969345,18136158.599150084,9.199424149541416
2024-01-06,155.34940248187772,2813932407.247777,150567343.4101585,18113570.842836272,8.312405362618287
2024-01-07,152.6464991827353,2768268479.652212,75257799.92996766,18135158.647420257,4.149828595002291
2024-01-08,146.2594460916397,2648783525.845468,71450269.77065086,18110170.635993365,3.945311792294536
2024-01-09,148.01595446526358,2688192772.9214525,135404975.64466652,18161506.863453142,7.455602481815282
2024-01-10,144.44058282515343,2617780714.3679657,105162302.18713485,18123581.77436055,5.802512080471205
2024-01-11,148.3496127502021,2690462121.453794,120278167.43899076,18135956.485333856,6.6320277916556005
2024-01-12,152.08697484007783,2765360905.651173,141234474.72548446,18182759.62526705,7.767493913807384
2024-01-13,151.75463119629092,2754717952.8909416,132901859.72860758,18152447.349878773,7.32142929088265
2024-01-14,155.7213762056569,2822303891.5202065,88895835.37546724,18124062.09275256,4.904851623247024
2024-01-15,153.73129158321444,2795937828.762081,81817446.27297625,18187174.517093323,4.498634254379626
2024-01-16,157.03621708938647,2849611107.736943,109684790.19215515,18146203.21702552,6.044503573576447
2024-01-17,157.3785919600985,2856329395.670747,73275907.95658712,18149415.11482665,4.037370212372654
2024-01-18,157.5400012673579,2859258738.5615945,107085030.81511138,18149414.21581688,5.900192124205791
2024-01-19,153.07882975009232,2774536234.3674126,76559735.07854256,18124885.321484104,4.2240121093507526
2024-01-20,158.1408636728362,2863380000.3761754,59498272.00565094,18106515.50695949,3.286014472678741
2024-01-21,156.36412602961488,2840277038.6871066,54681595.48995616,18164505.57303129,3.010354191591184
2024-01-22,157.8454707967652,2863630540.059075,77368813.26759073,18141987.38553708,4.264627222112925
2024-01-23,150.38149484919637,2733651558.509592,82996890.4613441,18178111.3510736,4.565759822812522
2024-01-24,149.97249715561665,2718545992.5156665,73171435.43598893,18126963.570492588,4.036607408154048
2024-01-25,152.5144247638353,2768812769.4368434,68571141.07095289,18154432.10518795,3.777101959105484
