Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
2023-12-04,58.28826171063343,3497264469.3334327,11554032.50835813,59999464.15789978,0.1925689282482846
2023-12-05,58.981304960045,3538789776.0193734,30585912.08223032,59998499.15861667,0.509777952967974
2023-12-06,58.05689776029886,3486284745.8144646,17686393.185911372,60049449.42474168,0.2945304803847909
2023-12-07,56.74631363768587,3406693719.329698,20583929.871571355,60033744.94210799,0.3428726608913194
2023-12-08,56.82389158581543,3406798418.960618,31541357.522835743,59953627.319165066,0.5260959000015847
2023-12-09,57.45068465035133,3446215610.7253447,13485806.210755862,59985631.70655391,0.2248172741887192
2023-12-10,57.277008079497904,3434787666.9966025,18418134.2394592,59968000.81158695,0.3071327039453426
2023-12-11,60.3500937289784,3600072090.281756,65504218.43118957,59653131.715901606,1.098085155749304
2023-12-12,58.25256364956906,3492438306.2226167,27961841.16362106,59953383.80697093,0.4663930438630199
2023-12-13,58.62475914502004,3517398416.253921,21318950.748723824,59998513.72613633,0.3553246476410122
2023-12-14,59.61248648608023,3576563136.162262,37023213.4569944,59996878.95919934,0.6170856567751116
2023-12-15,59.19054632354825,3550713140.413809,15781823.165281815,59987841.99430848,0.263083695639179
2023-12-16,57.74871008608624,3472981046.849368,12434229.049550904,60139543.23260521,0.2067562934666516
2023-12-17,57.84604488237127,3472224240.402028,10673106.24786225,60025266.160594456,0.177810227768202
2023-12-18,55.44225101308096,3327320566.3814683,9597691.254190246,60014167.996108696,0.1599237575835852
2023-12-19,54.56338646770443,3271440944.7883205,17262056.580378935,59956706.43948496,0.2879086862084684
2023-12-20,54.90758271313857,3294110262.97274,9329535.718014097,59993722.1819184,0.15550853287156
2023-12-21,55.43253213679529,3325147848.3597565,8302111.823986605,59985494.44131514,0.1384019903696669
2023-12-22,55.17360212518389,3309578488.0725665,8409824.816885851,59984818.11217316,0.1401992217624009
2023-12-23,55.38016596795705,3323837428.2719054,7785630.620151849,60018553.03566763,0.1297203985495123
2023-12-24,55.4396995787925,3328154826.25612,7853889.102896472,60031978.014708586,0.1308284244935619
2023-12-25,54.67537332501842,3282778208.3489404,7901908.224473813,60041258.22487623,0.1316079718862371
2023-12-26,54.302639601447375,3258774483.4799542,9748101.05138904,60011345.80929461,0.1624376344161114
2023-12-27,54.46363188158214,3268564290.3343625,17930566.55175147,60013704.1437313,0.2987745350429998
2023-12-28,55.43633406244132,3330868274.556313,10599503.079352723,60084569.63991437,0.176409736191427
2023-12-29,55.59443183296638,3339337349.7968926,10701160.54200716,60066039.70393907,0.1781565855640285
2023-12-30,55.01638785581654,3297399604.840589,7018623.092505754,59934861.83575347,0.1171041840680255
2023-12-31,54.745729395010464,3284255340.4961123,5518541.356538109,59991078.33232084,0.0919893675850953
2024-01-01,54.83499260494661,3288037132.568623,4534176.336779905,59962388.547345445,0.0756170067041239
2024-01-02,55.83246539046669,3344737994.6923423,5471339.665722456,59906686.39295752,0.0913310349003989
2024-01-03,55.562306996898485,3341628254.599005,10257007.330475831,60141999.76947567,0.1705464961223595
2024-01-04,54.13352766238066,3250723845.330913,15585597.381603315,60050101.770662144,0.2595432301035292
2024-01-05,54.901113318673474,3296088664.7932544,7209499.666370526,60036827.4075083,0.1200846210182801
2024-01-06,55.396716212998726,3323920697.47596,8637685.427391492,60002125.12047796,0.14395632504762
2024-01-07,54.54941768604949,3272603626.6571503,4271511.379782105,59993374.182142526,0.0711997189358546
2024-01-08,53.97819815257367,3233977988.205548,3824957.611975954,59912670.279664606,0.0638422155801359
2024-01-09,54.83902926438346,3293672109.4474044,7430967.075172322,60060729.623209424,0.123724222495971
2024-01-10,53.5216584620273,3211133164.285586,7227920.538326011,59996892.03509697,0.1204715826629456
2024-01-11,54.98659632005432,3289562983.777503,9887539.194889637,59824815.57196798,0.1652748796692091
2024-01-12,54.461574116688,3262979009.223702,17889648.03109914,59913417.15963856,0.2985916824512344
2024-01-13,53.42991465058421,3200197417.7942743,10432591.978097113,59895237.31644747,0.1741806601913618
2024-01-14,53.966057391362014,3234699579.1838675,6411060.903403536,59939520.05286983,0.1069588294625756
2024-01-15,53.020066781418514,3190835171.801633,4333030.492310836,60181651.31621255,0.0719991957273453
2024-01-16,54.06675981536439,3244806520.460308,7650816.963768591,60014813.75139142,0.1274821412503543
2024-01-17,54.60613251475003,3276453213.132006,4529157.256821216,60001561.40424304,0.0754839899299843
2024-01-18,54.893126756993446,3294328751.525588,7093021.977500832,60013501.61941517,0.1181904369200504
2024-01-19,54.26963866106654,3242240200.84696,4814259.289096174,59743169.124377616,0.0805825897697777
2024-01-20,53.10430407659058,3190149755.045568,6155634.8149007335,60073280.50932596,0.1024687641945093
2024-01-21,53.619002772101496,3221997087.694869,3298601.738660655,60090582.09063348,0.0548938223578103
2024-01-22,53.95850891206506,3239552801.932112,3341003.424291252,60037848.84440629,0.0556482866824521
2024-01-23,52.21062028569892,3138252760.3175354,5363965.872261587,60107555.57288674,0.0892394611815017
2024-01-24,47.21530152841717,2827109928.558888,100618310.80641556,59876985.57547819,1.6804171058274255
2024-01-25,47.586710286669934,2862822407.4654865,15168273.284661602,60160124.333440736,0.2521316811213792
2024-01-26,50.09886772928644,3013938451.9242067,17027569.7237065,60159811.75882624,0.2830389461983037
2024-01-27,54.30186403250956,3256851745.280586,33279853.195831127,59976794.5964206,0.5548788230476268
2024-01-28,53.28586461913456,3195153621.9239254,10826651.069530642,59962499.33751792,0.1805570346324193
2024-01-29,52.23918283331699,3140598353.4499555,9824655.018867088,60119591.90615347,0.1634185247664912
2024-01-30,52.17783818737424,3130474070.637033,9110531.2577061,59996239.38798085,0.1518517052175645
2024-01-31,52.50782168367124,3147721283.48412,18317965.626242302,59947664.60599509,0.305565959018367
2024-02-01,49.192029175007335,2962581291.582069,13545696.770843886,60224823.84376304,0.2249188275915014
2024-02-02,49.07653835464375,2945196387.601791,24096594.83715857,60012309.06546017,0.4015275401397155
2024-02-03,48.32548507330248,2900747377.901529,7036344.0537111685,60025209.75219457,0.1172231481199266
2024-02-04,48.9215784673942,2933773514.809887,4906049.167427481,59968905.4752234,0.081809883447922
