Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
2023-12-04,0.99989359049167,89672338130.95718,21214390258.81102,89681881135.83495,0.2365515753029204
2023-12-05,1.000229153471118,89712226019.01518,67520339128.16573,89691672860.84874,0.7528049926431799
2023-12-06,1.000094724171219,89954651881.01256,36205076863.367226,89946131808.22267,0.4025195540433173
2023-12-07,0.9995857411980984,89947739514.69337,53067615052.80116,89985016599.85912,0.5897383482050083
2023-12-08,0.999932568056819,90118570091.71358,48338247199.437614,90124647371.81436,0.5363488081125625
2023-12-09,1.001047763595322,90313892604.98276,44638253276.64555,90219364039.7488,0.4947746390340199
2023-12-10,1.0010311528103315,90697180084.94415,40425777686.73158,90603753769.618,0.4461821503502374
2023-12-11,1.0002147832877015,90619185009.4846,28239939603.492893,90599725702.53334,0.3117000563137825
2023-12-12,0.9995940304535856,90552653809.92912,68385547067.21823,90589430359.88226,0.7548954309078306
2023-12-13,0.9990584639399656,90618504336.49426,45711368725.92207,90703905334.15231,0.5039625202191883
2023-12-14,1.0002450802067628,90695509418.53244,45597338991.09051,90673287190.5599,0.5028751069238582
2023-12-15,1.000283897765051,90827525607.944,44079621829.38094,90801747194.85266,0.4854490490671936
2023-12-16,1.0003923696981356,90736741067.09624,28909374437.90238,90701152683.19736,0.3187321614189135
2023-12-17,0.9998418103094052,90854983802.11977,30705781959.37884,90869358397.80923,0.3379112882579693
2023-12-18,0.9993377973064153,90872426679.6594,27501138841.763027,90932642520.47122,0.302434176325315
2023-12-19,0.9997681787816408,90931108068.30548,26709814113.870777,90952192716.43344,0.2936687210735579
2023-12-20,0.999857495682859,90960533050.72404,40558974630.11544,90973497166.81572,0.4458328622427641
2023-12-21,0.9999832391009364,90953421967.0991,46066433509.985344,90954946453.77596,0.5064752969031396
2023-12-22,1.000105698890787,91062560834.52438,39129163966.36897,91052936640.11862,0.4297408234181912
2023-12-23,1.0007161820347306,91196913161.69775,44635692973.55644,91131646313.81238,0.4897935544789036
2023-12-24,1.0003047512389185,91288621400.19968,29388059472.58524,91260809555.42296,0.3220227786247917
2023-12-25,0.9996085585595066,91321270663.5734,41234400338.62191,91357031591.61882,0.4513544236304279
2023-12-26,1.0002265339413166,91328934694.70303,41165534735.83417,91308250276.89313,0.4508413490675738
2023-12-27,1.00044192725929,91384051292.9767,52770796187.96224,91343684029.0403,0.5777169680520567
2023-12-28,1.0000983285923544,91451080290.98012,28022384342.94537,91442088919.09476,0.306449520939299
2023-12-29,1.000087664271301,91563523683.55396,52680701941.8981,91555497537.57874,0.5753963809794757
2023-12-30,1.0002420997944512,91575330091.00008,46556372880.1205,91553165088.55078,0.5085173498381065
2023-12-31,1.000231589551929,91696771362.57608,23439042289.38015,91675540265.2832,0.2556738931840943
2024-01-01,0.9994629773716556,91724474427.71652,27381778801.38096,91773759012.99474,0.2983617440961945
2024-01-02,1.000909034223043,91730242123.06651,30685670532.2139,91646931925.50938,0.3348248532439167
2024-01-03,1.002023685817241,91717780780.93268,55213536981.6094,91532547662.4123,0.6032120638141351
2024-01-04,1.0009240838217568,92142753304.79716,79553858177.07167,92057684288.07814,0.8641740099405719
2024-01-05,1.0008126796412178,92526809338.21548,48270679451.398346,92451675743.54222,0.5221179504122733
2024-01-06,1.00069990180306,92858801168.91245,47638169698.68665,92793854582.77708,0.513376342785619
2024-01-07,1.000542274168656,93445427842.2196,27041085276.480347,93394782264.3104,0.2895352890266734
2024-01-08,1.001824495701778,93704952521.56448,27696550699.878487,93534299593.98643,0.2961111679897496
2024-01-09,1.000505964337999,94083713350.7766,50835838966.20191,94036134420.27666,0.5405989865449039
2024-01-10,1.0002154919010118,94064205857.5754,58442929481.55132,94043940150.13382,0.62144279991089
2024-01-11,1.0000343283156683,94504765887.63194,62510692493.45338,94501521809.5601,0.6614781571393655
2024-01-12,0.998779804520694,95062620421.8833,61557663706.27172,95178757111.03616,0.646758431972989
2024-01-13,1.0011501904577875,95002649650.03416,67333922909.16301,94893504047.17308,0.7095735749803299
2024-01-14,1.0006854051527363,94996286994.1404,38653975130.93716,94931220646.35384,0.4071787433865868
2024-01-15,0.9960999129354436,95050997231.00322,26544840697.65516,95423155846.7804,0.2781802850901078
2024-01-16,0.999896867073416,95255892093.39702,36097656950.55056,95265717125.60732,0.3789155011866021
2024-01-17,0.9998846482989456,95104647039.71396,37054375636.45776,95115618788.13802,0.3895719347523065
2024-01-18,0.9995282598923106,95125787221.11208,37676829079.52985,95170683049.38266,0.3958869251782074
2024-01-19,0.9990130296352836,94955321534.46254,42879390433.8262,95049132211.14696,0.4511286893032516
2024-01-20,0.9993279554380636,94967646330.98744,42051204443.90916,95031511741.666,0.4424974797646206
2024-01-21,0.9988153955779208,94983399556.99968,17694847235.577095,95096050759.25134,0.1860734183417776
2024-01-22,0.9991022727496548,94910190842.17229,15304368381.217272,94995470865.02718,0.16110629529867
2024-01-23,0.9971600088639734,94768937396.33646,46035079243.953,95038846879.05116,0.4843817108023039
2024-01-24,1.0005726634492442,95571888926.8094,48884330114.17659,95517189723.48022,0.5117856823017454
2024-01-25,0.999236969374404,95512604443.57684,34376719826.413445,95585539137.3027,0.3596435207320786
2024-01-26,1.000111156901668,95526771968.36723,29799067538.966824,95516154688.55284,0.3119793466993296
2024-01-27,0.9996696253995254,95549259109.5024,37369102501.95074,95580836590.20392,0.3909685647779808
2024-01-28,0.999860950522914,96043727984.62862,19069787352.05046,96057084672.02266,0.1985255685945742
2024-01-29,0.9996846114552034,96013416643.31122,23420993569.70708,96043707728.5286,0.2438576573481259
2024-01-30,0.999944512390282,96108546237.88614,29066678098.75265,96113879367.31296,0.3024191541335063
2024-01-31,1.0007350796461727,95993659299.87636,37902467157.47429,95923148146.07738,0.3951336866024684
2024-02-01,0.9990851477081584,96142607456.75385,40868337238.41903,96230644282.22084,0.4246915059465074
2024-02-02,1.0000048814115785,96250022548.61604,33907893524.46088,96249552714.935,0.3522914399912781
2024-02-03,0.9997553294719826,96215760125.4551,29248011345.3093,96239307047.52644,0.3039092055272756
2024-02-04,0.999990640968466,96211660645.13792,11557028280.828434,96212561101.53122,0.1201197447455174
2024-02-05,1.0000186393526844,96140803757.7661,18404345878.232567,96139011788.81863,0.1914347311855047
2024-02-06,0.9988486065199284,96120543211.64397,27678042800.43888,96231343352.9591,0.2876198319181812
2024-02-07,0.9993406508491822,96117987589.62988,27608938828.136105,96181404717.1546,0.2870506924839273
2024-02-08,1.0004037079295542,96220233912.91457,26562400587.022816,96181404717.15456,0.2761698133348768
2024-02-09,0.999985252650074,96268386138.41594,38958319353.95125,96269805862.93031,0.4046784867253228
2024-02-10,1.0003389897661994,96272021104.86111,52877886393.14091,96239396934.19524,0.5494411652360701
2024-02-11,1.0000819607776852,96349651423.53716,24279485515.719097,96341755178.35918,0.2520141497398512
2024-02-12,1.0004707793459338,96520553678.616,27518712758.213875,96475135177.57825,0.2852415050526873
2024-02-13,1.0007210568060876,96695482935.4225,47824376849.19851,96625810237.30716,0.4949441224010927
2024-02-14,1.0009729405293604,96762387718.77711,54791787593.23207,96668335177.57706,0.5668018125333499
2024-02-15,1.0000914946550097,96979195440.37872,61814799457.83141,96970323174.11375,0.6374610028559015
2024-02-16,1.001264997347609,97265775292.20654,65392543063.97952,97142889794.2777,0.6731583052806356
2024-02-17,1.0010989719188783,97583119422.9608,43362560753.48437,97475996040.54752,0.4448537333791044
2024-02-18,1.0006064693360464,97716632679.09314,31182720081.86196,97657406456.63936,0.3193072723645116
2024-02-19,1.001025374982749,97661857628.50089,23917804510.84665,97561820178.81808,0.2451553739670747
2024-02-20,0.9998723795736728,97674633134.28976,34053897084.943684,97687100003.6389,0.3486017814396697
2024-02-21,1.000462273681916,97879397783.318,57915502046.51837,97834171620.58574,0.5919762092034937
2024-02-22,1.0011042014887066,98144682611.99107,47761060203.79291,98036430639.33163,0.4871766535391533
2024-02-23,0.9997263111779144,97790168760.62076,48986644139.572174,97816940163.7542,0.5007991873142239
2024-02-24,0.9997398041822496,97932080922.40404,38032915007.52743,97957569072.19363,0.3882590734718784
2024-02-25,0.9994367735443332,97845940204.68391,27955719585.66801,97901080683.36316,0.2855506741144551
2024-02-26,0.9999903409311448,97906044227.103,31387217215.25402,97906989917.46004,0.3205819854304054
2024-02-27,1.000174328314916,98159651669.30669,57329087981.535645,98142542645.22575,0.5841410507242903
2024-02-28,1.0004654800932216,98383119474.09436,55635807309.79295,98337345397.3916,0.5657647873751602
2024-02-29,0.9987771269645076,98408639152.57326,121319394830.75092,98529127766.12904,1.2313048697509772
2024-03-01,0.9988416427735146,98821123301.17656,84317894880.24117,98935726214.59482,0.8522492137708971
2024-03-02,1.0003308583515942,99274662637.2098,64886564825.33171,99241827649.70444,0.6538227515757058
2024-03-03,1.0007521176735037,99236691116.65791,57359097473.74692,99162109541.52982,0.5784376486033157
2024-03-04,1.0014440750554967,99558140762.95116,58187989530.54302,99414578649.77032,0.5853064039584647
2024-03-05,1.0024337194410116,99604141292.36678,100307631727.85393,99362321279.36514,1.0095137717830782
2024-03-06,1.0014738136077783,100445783977.86188,129455861069.0275,100297963474.46075,1.2907127581108997
2024-03-07,1.001472457110421,100524264534.42271,100859682204.3383,100376464495.55733,1.004814053884139
2024-03-08,1.0002304133689763,100821677144.31422,85788784354.38702,100798451833.43968,0.8510922816170354
2024-03-09,1.002569502505803,101243181280.85776,98927999091.38142,100983703401.92123,0.9796432073563596
2024-03-10,1.0021806192717075,101814936996.92036,46568927494.984665,101593400469.97722,0.4583853604619393
2024-03-11,1.0015198329324035,102297568054.78017,50306035320.49477,102142328779.70836,0.492509187146011
2024-03-12,0.9999798719668868,102035960671.74452,93723192010.91072,102038014496.2791,0.9185125021648516
2024-03-13,0.9998749033865928,102414694159.27916,86624770897.03148,102427507493.58636,0.8457178449105149
2024-03-14,1.0004666013139432,102757940827.66808,82976636818.49069,102710016199.15443,0.8078728822084813
2024-03-15,0.9991294912124172,102930574059.65364,82077442845.68907,103020254096.14333,0.7967117103894013
2024-03-16,0.9990811612809616,103373346487.36938,130951632368.39745,103468417275.3596,1.2656193630554626
2024-03-17,0.9972592102773152,102917484336.03958,89376623038.6362,103200334752.90796,0.8660497395927077
2024-03-18,0.9998303800071008,103492063270.97025,81160449691.49219,103509620572.07666,0.7840860515470433
2024-03-19,0.9990962954791072,103358414046.23232,89526454900.48918,103451903999.57172,0.8653920463451288
2024-03-20,1.0000728025791887,103787308309.5638,127108562488.38608,103779752875.88689,1.2247915317393243
2024-03-21,0.9996005520028796,103705912309.60864,112831512344.26453,103747353982.36343,1.0875603860070049
2024-03-22,1.000402295912586,103924885647.43254,81040754455.43553,103883093903.36842,0.7801149485480214
2024-03-23,1.000522729812649,104042955962.91965,72933877566.3258,103988598022.5577,0.7013641779313599
2024-03-24,0.9990777106719864,103995094518.03925,46429472884.93738,104091096625.59828,0.446046534142473
2024-03-25,1.000329540160283,104029403026.70132,46585435822.01097,103995132454.08374,0.447957848821237
2024-03-26,0.9999592905262292,103791045667.34557,73628466066.03923,103795271118.21268,0.7093624331130037
2024-03-27,1.001435217557169,104171067977.45192,32023144155.41204,104021774100.9344,0.307850394133245
2024-03-28,1.001539464645927,104315388264.08395,70293091719.18141,104155045254.22015,0.6748889748702143
2024-03-29,0.9994312343439736,104365606173.60551,62807682820.701706,104424999526.96704,0.6014621317233719
2024-03-30,1.000176718923915,104553076925.74918,48111286829.70446,104534603683.07442,0.4602426864846318
2024-03-31,1.0005795148966314,104538350178.93846,37962009692.2759,104477803735.30652,0.3633499971769341
2024-04-01,1.0000478169420597,104510345551.65152,36322851084.20747,104505348425.46095,0.3475693027339644
2024-04-02,1.0002217381162306,104466269110.30553,64352666542.51347,104443110091.8205,0.6161504237659932
2024-04-03,1.0005662413430654,104665901774.137,84936699965.27199,104606669153.30203,0.8119625703863725
2024-04-04,1.0000730439028167,105331957106.8992,64481069877.839806,105324263811.6091,0.6122147693638333
2024-04-05,1.0005105886169572,106232925072.30151,62902475051.53158,106178711430.88171,0.592420780058898
2024-04-06,1.0004113557710408,106688966458.94902,49954604762.8326,106645097382.68744,0.4684191396400951
2024-04-07,0.9988353705834258,106793326057.98431,35783595588.40153,106917845726.27388,0.3346830956547051
2024-04-08,0.9999779165247976,106908680868.15749,38338659631.79924,106911041835.49872,0.3586033675622575
2024-04-09,1.000036913451832,107051011825.39128,60862356814.43541,107047060348.88531,0.5685570123651618
2024-04-10,0.9997380663208548,107124650258.78198,55857540725.03852,107152717164.2192,0.5212890741672267
2024-04-11,1.0000538410091768,107165949185.65504,55382054612.20151,107160179573.44324,0.5168156196887006
2024-04-12,1.0001895403867294,107325379612.11052,25331062834.8409,107305040973.14644,0.2360659164295935
2024-04-13,1.0004952276369117,107393356511.04422,80166538393.07327,107340198678.10722,0.7468454444869943
