Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
2023-12-04,0.1030956783076739,9131586992.703058,295959687.30742323,88573906710.72725,0.0033413868519314
2023-12-05,0.1037917991634388,9186825153.2749,474783221.4537612,88512052275.04144,0.0053640516658502
2023-12-06,0.1035868398389737,9169140495.780731,388338991.02709794,88516461261.23946,0.0043871951667949
2023-12-07,0.1047557331056928,9275349669.331385,464716530.2787327,88542644820.9098,0.005248505183222
2023-12-08,0.1041475083166051,9215568848.77111,309623574.74765795,88485735258.84148,0.0034991354690327
2023-12-09,0.1067698901699788,9446373083.263386,407924963.9514644,88474129440.65648,0.0046106694299272
2023-12-10,0.1066041809196326,9438627608.895271,368851415.26338434,88539000323.17606,0.0041659767324799
2023-12-11,0.1077891888099871,9533496503.077282,290594091.33595794,88445757949.65036,0.0032855627909411
2023-12-12,0.1037406129459972,9170770266.488548,466411370.4250925,88400964733.67134,0.0052760891448443
2023-12-13,0.1036025996140288,9170233191.97704,369699235.45143926,88513543348.72594,0.0041767533132742
2023-12-14,0.1043147030704311,9224299018.017942,415406271.13662887,88427601733.09302,0.0046976991685297
2023-12-15,0.1060509198787729,9374346967.00666,409076303.9084277,88394772791.43358,0.0046278336488701
2023-12-16,0.1014304430170117,8979470771.649921,325330937.2467061,88528359973.18773,0.0036748781672363
2023-12-17,0.1027511825433423,9081127721.77815,264363303.9454656,88379787920.66519,0.0029912190350894
2023-12-18,0.1021174963129233,9017733228.733091,305446404.4675024,88307425801.93741,0.0034588982941545
2023-12-19,0.1009602491730621,8927029830.299904,423233028.4062656,88421234133.42154,0.0047865541863805
2023-12-20,0.1005473129609677,8877291299.088505,303712808.8014804,88289692063.02559,0.0034399577312453
2023-12-21,0.1028468416604582,9076408713.78005,326267706.1825966,88251700949.11803,0.0036970132323082
2023-12-22,0.1045075225323449,9236732984.573109,338246347.81776655,88383426960.62234,0.0038270336357116
2023-12-23,0.1051078691684798,9284020356.506794,242943890.45737988,88328499378.34079,0.0027504587100112
2023-12-24,0.1067478284084304,9432656122.439852,246540307.54920387,88363915810.5338,0.0027900563854348
2023-12-25,0.1062276128372672,9399454066.393206,385895088.8506652,88484093874.84274,0.0043611803201205
2023-12-26,0.1059382355404211,9358430287.847116,333486106.2844596,88338551610.82391,0.0037750913978489
2023-12-27,0.1029787992114262,9099192428.73659,479201132.03016746,88359861431.8176,0.005423289763757
2023-12-28,0.1052776439208849,9307231688.630594,360831720.3204125,88406534777.9333,0.0040815050745601
2023-12-29,0.1054903469479781,9308579248.723518,318656058.18773746,88241052551.60442,0.0036111996511077
2023-12-30,0.1057840124762499,9339486357.296244,423389104.072928,88288259621.3969,0.0047955312052647
