Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
04-12-2023,0.9991584655201552,24515071928.781155,6869343851.078118,24535719582.79789,0.2799731969505491
05-12-2023,1.0006126837557818,24400386546.350307,16364388389.608912,24385445979.72104,0.6710719337763006
06-12-2023,1.000143342068164,24289183596.61733,15659255974.51179,24285702433.803654,0.6447932077400167
07-12-2023,0.9994728137655368,24288530916.84322,12237281039.5035,24301342249.95637,0.5035639971502179
08-12-2023,0.9998510068900284,24304813682.964424,13349432422.165758,24308435472.364,0.5491687211767531
09-12-2023,1.000521017552792,24500076100.52974,11605034829.413397,24487317778.146526,0.473920211864535
10-12-2023,1.0008180198665422,24572867657.291748,8697085340.503162,24552782993.024555,0.3542199408911814
11-12-2023,1.0002616605555,24563202192.38685,5872175218.13297,24556776652.56665,0.239126466034752
12-12-2023,1.0008410353273296,24150529201.98002,8751705198.258738,24130234822.03793,0.3626862839422467
13-12-2023,0.9995065656745964,24053290978.334587,6636609639.596684,24065165557.066963,0.2757766043146036
14-12-2023,1.0005081114676844,24291303993.710564,8534741047.269143,24278967571.86376,0.3515281702983047
15-12-2023,1.0003180074018452,24498837555.20751,11324418932.53914,24491049220.27651,0.4623901095737247
16-12-2023,0.9999729580510934,24599475290.698605,9924851243.002466,24600140526.44181,0.4034469328471761
17-12-2023,1.0008714027968677,24674549913.833984,5940566322.661619,24653067162.15752,0.2409666222700432
18-12-2023,1.0005002746666851,24604523838.266224,5761262878.794381,24592220973.11585,0.2342717595573241
19-12-2023,1.0004072106613464,24714692366.74845,9992072198.194044,24704632377.05987,0.4044614809760311
20-12-2023,1.0004758673069951,24753586584.12797,10447732891.023417,24741812764.31764,0.4222703077799949
21-12-2023,1.0000073464071983,24901256244.57502,13086758283.6366,24901073311.1508,0.5255499680721111
22-12-2023,1.000497957304396,24782776096.01221,11463832138.24244,24770441473.74725,0.4628028995927379
23-12-2023,1.0001364503188543,25060302354.99237,12935887642.52881,25056883335.27178,0.5162608401628056
24-12-2023,0.9997692559668272,25066546913.49913,4820310348.058581,25072332204.55306,0.1922561614425014
25-12-2023,0.999054650512035,25090078779.52218,7650982988.858994,25113820116.510166,0.304652297156064
26-12-2023,1.0005113683426314,25068321884.27898,6789785669.362442,25055509290.01956,0.2709897288763968
27-12-2023,1.000760180876462,24745359675.93405,9585894613.823946,24726563015.58897,0.3876759826175792
28-12-2023,0.9998082327895992,24862763840.86425,13468271866.4915,24867532618.224007,0.5416006514703983
29-12-2023,0.9985208568659636,24842761005.006287,12975554197.33778,24879561437.48438,0.5215346833963229
30-12-2023,1.0010015392197682,24770043132.20199,12381465133.775234,24745259784.024933,0.5003570478483508
31-12-2023,1.000249526788398,24659690975.2605,7225307166.093836,24653539256.78712,0.2930738297181695
01-01-2024,0.9992620395759492,24493495655.703823,7022025277.52882,24511584234.79989,0.2864778224966554
02-01-2024,1.0012612827360468,24564299188.851067,6496000093.772477,24533355690.86089,0.2647823712184776
03-01-2024,1.0021169087948028,24792052249.94927,9928602062.973175,24739680602.50122,0.401322968655035
04-01-2024,1.0004305342941704,24996243000.11156,15437266004.136814,24985485891.57872,0.6178493414586704
05-01-2024,0.9998655897438644,25128587806.84462,8887076228.463472,25131965800.805096,0.3536164380813688
06-01-2024,1.0005051230167286,25398486592.85844,9852949834.140743,25385663709.82368,0.3881304797371862
07-01-2024,1.0006983924432251,25419111813.414494,3911187479.529433,25401371687.38048,0.1539754438329221
08-01-2024,1.0020608542016898,25416437623.89936,4972413151.582182,25364165776.286938,0.1960408710240693
09-01-2024,0.999866409706461,25359430366.0322,12847757603.249474,25362818592.412933,0.5065587468694338
10-01-2024,0.999725176146972,25215666922.774128,14232350892.502556,25222598694.53074,0.5642698068057791
11-01-2024,1.0003198795419097,25291406986.030018,22921700629.929928,25283319369.41217,0.9065938018273292
12-01-2024,0.99927907869047,25286028707.85368,20827456727.21425,25304271096.10899,0.8230806826289837
13-01-2024,1.0020603541915507,25390042131.5325,20813628820.71667,25337837212.427048,0.8214445710665684
14-01-2024,1.0005078612396163,25476679495.859955,9229116500.481989,25463747445.51699,0.3624414089178699
15-01-2024,1.0002384177342825,25508991917.826447,7506736257.340918,25502911571.43198,0.2943482055495915
