Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
2024-09-24,1.0163450069307711,0.0,1298780.8343157903,0.0,inf
2024-09-25,1.0163450069307711,0.0,1298780.8343157903,0.0,inf
2024-09-27,1.0395497116377297,0.0,1328433.97919655,0.0,inf
2024-09-28,1.0388097558997438,0.0,1327488.3944549668,0.0,inf
2024-09-29,1.0399720425194108,0.0,1328973.6731500074,0.0,inf
2024-09-30,1.0376134424231591,0.0,1326448.2164830796,0.0,inf
2024-10-01,0.998389752967864,0.0,1296327.614847247,0.0,inf
2024-10-02,0.9627204907618812,0.0,1232799.0539820208,0.0,inf
2024-10-03,0.9581864031226522,0.0,1225714.9166960092,0.0,inf
2024-10-04,0.9607686021591406,0.0,1271730.325990183,0.0,inf
2024-10-05,0.9810835693821328,0.0,1258950.6720475233,0.0,inf
2024-10-06,0.9808783361039822,0.0,1280818.3799600347,0.0,inf
2024-10-07,0.9928115713507708,0.0,1293745.5549418093,0.0,inf
2024-10-08,0.9836534253183844,0.0,1259620.8948579745,0.0,inf
2024-10-09,0.9834040694774336,0.0,1344172.6003685317,0.0,inf
2024-10-10,0.9610186166707856,0.0,1330804.8819775933,0.0,inf
2024-10-11,1.0028767551635536,0.0,3240428.956126214,0.0,inf
2024-10-12,1.0012605888532955,0.0,1186553.7622564156,0.0,inf
2024-10-13,0.9961946408865486,0.0,1062944.4491461082,0.0,inf
2024-10-14,0.994597557097765,0.0,1229349.2889242258,0.0,inf
2024-10-15,1.0234609726699129,0.0,2258953.697550896,0.0,inf
2024-10-16,0.998317003113219,0.0,7604615.026053247,0.0,inf
2024-10-17,1.0058624063034327,0.0,2856229.6309978217,0.0,inf
2024-10-18,0.9994251149011942,0.0,3025126.3518908257,0.0,inf
2024-10-19,0.9987591146317718,0.0,1500821.0699364054,0.0,inf
2024-10-20,0.99656290270994,0.0,970106.7034176462,0.0,inf
2024-10-21,1.009738044497943,0.0,1223152.5321858658,0.0,inf
2024-10-22,0.99501665834215,0.0,1827280.899627621,0.0,inf
2024-10-23,1.0014702101320796,0.0,3668674.196797764,0.0,inf
2024-10-24,0.9952745879464968,0.0,3179909.199122432,0.0,inf
2024-10-25,1.0066690504917706,0.0,1714153.1061917446,0.0,inf
2024-10-26,1.004865737800504,5615330464.265327,4265397.035237078,5588140040.038003,0.0007632945854392
2024-10-27,0.995651065954864,5539523620.728736,3540120.623635385,5563719871.495483,0.0006362866401258
2024-10-28,0.9989191084229836,5600911582.562858,816802.4715751448,5606972111.490734,0.0001456762144226
2024-10-29,1.0265253798996417,5736358351.757042,1714528.6564990622,5588131052.656348,0.0003068161144295
2024-10-30,0.9972615489094416,5570820999.420973,2956078.5631618244,5586118311.202272,0.000529182949318
2024-10-31,1.0010997268586768,5603825863.876023,9376462.092255663,5597669955.879535,0.001675065190724
2024-11-01,0.994140881515335,5546326780.94402,6565106.403080239,5579014890.213491,0.0011767501131062
2024-11-02,1.0007975957006865,5662987876.177673,7449065.723686625,5658474701.083646,0.0013164441156306
2024-11-03,1.000264024254132,5672176086.598274,2290686.515054588,5670678889.833964,0.0004039527822958
2024-11-04,0.9999602386593728,5682793486.031796,3312787.143027281,5683019450.503958,0.0005829272927674
2024-11-05,0.9993038644462354,5624894847.102678,3529409.377561366,5628813264.141349,0.00062702548689
2024-11-06,0.9946311241688472,5573530192.255556,3390208.942511814,5603615307.044626,0.000605003869243
2024-11-07,0.9999938127894556,5589248779.330087,19295423.848302536,5589283361.403036,0.0034522178606201
2024-11-08,1.0009298499100212,5581090537.378076,18354012.54752703,5575905781.8885,0.0032916647564497
2024-11-09,0.99490080480382,5567741722.835535,7609579.581217864,5596278237.94294,0.0013597571917751
2024-11-10,0.9981409408310928,5561216009.197759,5586285.362409245,5571573894.732004,0.0010026404509668
2024-11-11,1.0033583620054307,5592929002.688269,12187040.017874967,5574208791.67198,0.0021863264318485
2024-11-12,0.9963357855173594,5352992511.363875,15170067.554970616,5372679160.15309,0.0028235573170794
2024-11-13,0.9993510710757126,5212858234.394572,17888161.92444496,5216243205.48673,0.0034293189983222
2024-11-14,1.0013271994775286,5233941655.622942,15370487.105946911,5227004378.14323,0.0029405919708463
2024-11-15,0.9989856759319,5182356970.493111,7166548.062321949,5187618897.196668,0.0013814715776817
2024-11-16,0.9945621155170092,5189297315.723574,5102206.525418173,5217670404.654404,0.0009778706069411
2024-11-17,0.9961957574107924,5281107794.390486,7034377.128407254,5301275131.021023,0.00132692172252
2024-11-18,0.9827688319795342,5214914993.037352,9097540.510267217,5306349594.475082,0.0017144630877203
2024-11-19,0.9958832611585836,5163667388.111129,7733025.398396659,5185012731.415787,0.0014914187869863
2024-11-20,0.998004419058672,5265114969.466377,6249317.46627271,5275642941.974634,0.0011845603531185
2024-11-21,1.0018080830994318,5260579441.997365,5398602.778523557,5251085043.875854,0.0010280928100411
2024-11-22,0.9981253140684804,5243073417.974249,15944325.412355196,5252920995.063077,0.0030353255697811
2024-11-23,0.9918244114938828,5113923952.841642,7790814.016831745,5156077924.255833,0.0015109961740844
2024-11-24,0.9999238727472742,5263037107.772391,27803007.99360248,5263437798.831909,0.0052822905971782
2024-11-25,0.9992000167569391,5268712866.349908,28986379.795759544,5272931122.890034,0.0054972043290928
2024-11-26,0.998810635862624,5226713653.632422,43913041.75607973,5232937521.854045,0.0083916617717463
2024-11-27,1.0007160202363417,5118667197.661606,17019079.14357876,5115004750.751084,0.0033272851097703
2024-11-28,0.9990956889604083,5226117841.712558,36849846.73331127,5230848155.445954,0.0070447173456843
2024-11-29,1.000518735487938,5247573666.987197,28798272.23309756,5244852975.619725,0.0054907682573685
2024-11-30,1.0005635952163876,5180875248.498157,10828980.668796644,5177956976.715419,0.0020913616543152
