Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
04-12-2023,2.4674276091790928,292063627.8409746,60135036.51044935,118367658.18558036,0.5080360415356688
05-12-2023,2.457163643569879,293095779.350072,106819631.6272598,119282156.9361368,0.8955206241319951
06-12-2023,2.4552784612260354,295386781.9628321,74348449.94122915,120306835.50872338,0.6179902382673692
07-12-2023,2.4329975516401308,293526857.3848986,110907383.277238,120644123.61904204,0.9192937040800284
08-12-2023,2.501365958386438,302295241.8975702,74186900.08820339,120852065.20223552,0.6138653895906371
09-12-2023,2.488315115257932,300832430.9130008,72929424.87180112,120898044.25024258,0.6032308076121322
10-12-2023,2.483574285728232,300833934.3020169,81262709.17693752,121129428.67493355,0.6708750306667134
11-12-2023,2.6795569651101503,324512456.1447504,118066061.40248546,121106757.71037784,0.9748924307331877
12-12-2023,2.443376968783413,296410148.4596863,125571320.2090032,121311673.24838644,1.0351132487629209
13-12-2023,2.411969920052724,293426851.2338276,82069341.08280681,121654440.54435536,0.674610320145973
14-12-2023,2.517490140700517,306936611.19571835,146950039.27788335,121921673.5880881,1.2052823337576015
15-12-2023,2.620514317162697,319708493.3451546,105792690.2579837,122002192.94787586,0.8671376120524531
16-12-2023,2.472420588624633,296901914.85816234,113461402.88094364,120085521.1383448,0.9448383269306062
17-12-2023,3.8098811032368767,392829218.6894749,747892875.7138615,103107999.44799513,7.253490318091937
18-12-2023,4.230511395292521,420465942.3086118,744567767.1715034,99388916.14297104,7.491456754598692
19-12-2023,3.8985160773097993,394218591.1898111,416133575.2671862,101120165.5635712,4.115238270704527
20-12-2023,3.7388901733388247,381598053.7001779,290758927.4268567,102061851.51445924,2.848850213007007
21-12-2023,3.4783356966626733,357022923.86457753,202409760.41134265,102641882.49774943,1.9719996894618603
22-12-2023,3.533218451154431,364589536.60267067,167045385.97715655,103189072.9777962,1.6188282456331466
23-12-2023,3.692975157126461,382916472.8461038,139485842.49265477,103687800.90685874,1.3452483442864498
24-12-2023,3.4780356446609297,361668545.0818788,112921249.12116133,103986440.0576428,1.0859228285780886
25-12-2023,3.369952823722589,350708935.03126293,109193231.88859682,104069390.10020187,1.049234859390081
26-12-2023,3.744133126479495,390264505.7957634,165123988.59397364,104233608.3179602,1.5841722382887284
27-12-2023,3.673640560441592,383840665.9453565,213368861.8877572,104485090.3701958,2.042098649020457
28-12-2023,3.631362916403244,380276947.33212334,121477990.10774578,104720171.48557992,1.1600247438906597
29-12-2023,3.5265170758259385,371600659.8519342,111216183.3832456,105373276.76625592,1.0554496054056544
30-12-2023,3.5050159816527784,369424795.7984062,99922591.29686886,105398890.542064,0.9480421547415664
31-12-2023,3.700071968347108,391261763.04169935,169345105.3419312,105744365.62013236,1.6014574804890604
01-01-2024,3.641920021275296,386149441.6546476,133243027.54905646,106029083.39525512,1.2566649006325294
02-01-2024,3.628784463194556,387656716.1437312,92582351.22915798,106828256.14901976,0.8666466585395769
03-01-2024,3.5823840760493404,387437941.8063672,148481327.76592323,108150866.45696418,1.3729092759974098
04-01-2024,3.0743528434998897,334967343.87164927,224382399.34277925,108955400.02178717,2.0593967742572725
05-01-2024,3.204315384450722,349730130.21118665,120580840.76089856,109143479.41787782,1.1047919802815749
06-01-2024,2.9673161252711497,324237770.4504416,107269992.42376591,109269709.31377023,0.981699256797123
07-01-2024,2.782490254800298,305315221.6395618,105374727.14586784,109727328.28545864,0.9603325697654154
08-01-2024,2.625347349586685,287410465.2832696,68165940.17764385,109475214.90004638,0.6226609396463032
09-01-2024,2.808084864947676,308328993.7666889,108738867.09970306,109800454.25814942,0.9903316687930044
10-01-2024,2.4888297961323067,273467175.56890106,104368250.61901774,109877813.25740908,0.9498573690624496
11-01-2024,2.761753724416739,304563755.5086809,106608283.30358008,110279114.61330694,0.9667132682140348
12-01-2024,2.7807550270826056,306645025.3620478,120657605.92321044,110274016.364455,1.0941617064571016
13-01-2024,2.844930921291701,314551848.23908764,166720667.43192855,110565724.42056689,1.507887442565483
14-01-2024,2.8688314656387246,318963335.65495604,73728826.60769504,111182319.16908412,0.6631344548189316
15-01-2024,2.6655442125948703,297850285.4527639,54596263.61736099,111740891.0515916,0.4885969952768095
16-01-2024,2.765829764061041,310936616.42751986,60291340.16409316,112420735.53036562,0.5363008868395818
17-01-2024,2.7470891721958792,313487221.7218066,55723234.306181386,114116143.3326248,0.4883028174529151
18-01-2024,2.709624944715139,311527551.92753,46757318.30490748,114970727.7884101,0.4066888955505156
19-01-2024,2.564207734755932,296345429.8071642,62268204.49717644,115569977.34248358,0.5387922186109715
20-01-2024,2.509304698365928,290673275.7450217,66989816.95096901,115838174.58848643,0.5783051847022749
21-01-2024,2.490030641602756,289343323.0270049,37360954.52689456,116200707.81167716,0.3215208859781154
22-01-2024,2.507285000941985,291934170.7554086,49531004.47150485,116434378.47940268,0.4253984529171246
23-01-2024,2.259376938971436,263563941.22484547,61077529.60283709,116653373.18386148,0.5235813413348164
24-01-2024,2.2396274227195097,261252674.40914127,65183264.80975277,116650060.5229732,0.5587932360902248
25-01-2024,2.2849754869533707,267847267.2725113,44148544.504669525,117221068.14793032,0.3766263624978666
26-01-2024,2.2418154043690413,263951393.74325207,54743962.558906935,117740021.4258681,0.464956281610455
27-01-2024,2.3583608152893683,277437989.37065154,44123698.066319175,117640179.38731322,0.3750733660567475
28-01-2024,2.416101736429794,285065429.99536467,41413375.83042544,117985689.79822758,0.3510033793186974
29-01-2024,2.278698881538386,271852904.10954857,41246839.686410286,119301811.35912804,0.345735234163772
30-01-2024,2.3792156507436126,284863351.9476084,35651304.3640456,119729942.03302912,0.2977643165834884
31-01-2024,2.46564694929306,298074497.6101554,174289057.14812657,120890988.75068796,1.441704290363286
01-02-2024,2.3012347441008894,282173913.8770398,93826230.8964448,122618483.22965738,0.7651883176593667
02-02-2024,2.273266348111254,279971187.00413483,46893633.48611685,123158110.01942173,0.3807596063200534
03-02-2024,2.35391088784695,290851513.04865694,39968825.230737016,123560970.19232953,0.3234745176290159
04-02-2024,2.309885413146985,286237309.36214334,35517710.69352983,123918402.07007238,0.2866217615802175
05-02-2024,2.182333754297516,270908199.98389703,34781062.18823258,124136924.26761793,0.2801830510416914
06-02-2024,2.2193682563211774,275171976.5874713,34378760.3063781,123986623.58251266,0.277277978164307
07-02-2024,2.2187959783685915,274542139.8030583,31837114.919684563,123734738.33539224,0.2573013476085243
08-02-2024,2.355600002883155,292238312.55774605,36588877.062101655,124061093.64920136,0.2949262817685728
09-02-2024,2.386899111859716,296670003.7969303,42167438.06284997,124290969.11674012,0.3392638931252057
10-02-2024,2.4882620887545137,309880762.1683791,51775869.4349577,124537026.69379506,0.4157467928173797
11-02-2024,2.4888067433628764,310381932.5731213,49531123.76076876,124711142.55891688,0.3971667867397569
12-02-2024,2.454093386280093,306297062.33566576,39444374.19821973,124810679.18933186,0.3160336475565884
13-02-2024,2.622007490019763,329646745.79119253,67173591.64918198,125723037.42301966,0.534298192487693
14-02-2024,2.772628375305666,352764565.33190936,110690049.07851042,127231102.6150481,0.8699920601444092
15-02-2024,3.1428327152245403,405010005.631404,137775289.31495225,128867821.58956492,1.0691209614278807
16-02-2024,3.41937603384746,441910502.9451876,131435863.80906382,129237176.1897017,1.0170128107421257
17-02-2024,4.369836850349598,567171763.8784049,558469789.3686736,129792434.66103996,4.30279153655718
18-02-2024,4.685607195526694,611277181.9439471,419212256.7214143,130458477.72462186,3.213376884607745
19-02-2024,5.856727291118488,766569073.6598386,626990480.7309911,130886933.18917418,4.790321428226804
20-02-2024,7.635646520571179,1001467511.0838636,1375939514.4774616,131156871.70507592,10.49079241209297
21-02-2024,6.701147488603195,885610123.4146553,888902827.4997557,132157981.1399218,6.72606239768927
22-02-2024,7.057961714066742,936647966.3025322,655976612.0423349,132707997.61293164,4.943007383440572
23-02-2024,8.207793177353462,1095137256.262199,1183595303.473699,133426517.04283284,8.870765195000473
24-02-2024,8.249617582568858,1108296336.3936014,850012777.2246385,134345177.25226334,6.3270806932544215
25-02-2024,8.124368053429217,1096999390.223267,488113991.6043023,135025811.6088468,3.6149680256565206
26-02-2024,8.58161021299065,1163219591.5089283,672223322.8903892,135547940.61236578,4.959303105996902
27-02-2024,7.964022286017846,1090683674.7552707,851985516.3272289,136951358.94711718,6.221081140612976
28-02-2024,7.13973104403389,985332790.8333622,603174933.8109653,138006990.00513852,4.370611472567489
29-02-2024,7.900522384553656,1102436362.2170558,1013199217.2895964,139539679.6004823,7.261011492863528
01-03-2024,7.367705634004352,1041415895.7242289,476769925.8183537,141348738.32604772,3.373004467281436
02-03-2024,7.986910314582946,1137554520.405038,685194874.8434815,142427356.2115788,4.81083756006543
03-03-2024,7.696880712078338,1104402973.8369703,422365307.6300872,143487084.5930982,2.943577178586032
04-03-2024,7.890980156034775,1138726235.838106,813296689.9604734,144307324.73294127,5.635865618502598
05-03-2024,7.401060687288612,1073233361.0746253,629944404.8881996,145010750.00207916,4.344122107355265
06-03-2024,6.499385661370633,945907785.0430874,663339819.1711602,145538029.95029658,4.557845254588789
07-03-2024,7.24822729737848,1059136581.8311208,599233360.1286529,146123533.15881616,4.100868266560245
08-03-2024,7.207783204827155,1062414203.8113784,591259439.3166908,147398190.7640985,4.01130730473459
09-03-2024,7.547439563468983,1117799657.2358072,567202858.2953411,148103161.0569187,3.82978225614884
10-03-2024,11.716875732924889,1740635292.057723,1864761307.6693168,148557971.5731275,12.552414979302473
11-03-2024,9.583680589615774,1427440759.1588778,969523846.2553608,148944943.00087127,6.509276694608487
12-03-2024,9.910753369704,1484709909.075588,761682029.6914833,149807976.61802083,5.084389008427862
13-03-2024,10.17667291922742,1519078586.979319,725970028.0052444,149270650.5393555,4.863447873926435
14-03-2024,9.551946695230642,1445779141.6597674,365153951.7617386,151359632.52199215,2.412492324918156
15-03-2024,10.808902742565913,1648756330.2097125,744269962.2574906,152536882.74174592,4.879278695616091
16-03-2024,9.750816308031345,1492236008.0824723,842643766.0980078,153037034.12537667,5.506142816435308
17-03-2024,8.428332354960519,1293698107.5684917,439760415.3323726,153493959.7875589,2.86500143680583
18-03-2024,9.531961017991843,1463842772.422619,655315730.6565979,153572047.73074237,4.267154995585928
19-03-2024,8.769980320325093,1353730360.2388291,447596164.2759347,154359566.47490492,2.899698246747168
20-03-2024,7.543061438015751,1164720805.3895946,574095082.3216113,154409561.01982668,3.718002165992141
21-03-2024,8.350843517379063,1293223254.5489757,437257546.96280766,154861392.36804396,2.8235413635157065
22-03-2024,8.053624910912804,1252214255.0128143,286630168.53816545,155484551.22562784,1.843463972972007
23-03-2024,7.946790298703486,1238761158.180068,335863736.9658842,155881948.7639143,2.1546031444253706
24-03-2024,8.461412201232463,1325453858.2207386,396859203.5889677,156646884.31414288,2.533463754013122
25-03-2024,8.47125010093505,1327518801.5024457,278147659.39054424,156708724.88535252,1.774934098876983
26-03-2024,8.6494654557556,1366559594.6601174,336086741.3338736,157993531.69862884,2.1272183596411773
27-03-2024,8.759731917146668,1398636228.2090778,382542875.7890844,159666556.17294958,2.3958860575330307
28-03-2024,8.422144957947964,1352563491.598125,445173580.1885736,160596083.10608727,2.772007707650621
29-03-2024,8.419867392278269,1370591284.4975002,253163315.8028289,162780625.9460153,1.5552423043685075
30-03-2024,8.373280335739144,1375600310.639491,357645903.9577359,164284516.40011418,2.176990941049435
31-03-2024,8.124036136191862,1346568937.842038,206597471.3922265,165751224.54751188,1.2464310411957544
01-04-2024,8.220159128877391,1377424815.196242,151808027.88476208,167566684.97539827,0.9059559058953166
02-04-2024,7.691483974160444,1306747399.2276692,316555450.8544379,169895354.86489862,1.863237821341048
03-04-2024,6.842787570178145,1176876447.592178,329190284.0118987,171987868.32447866,1.914032002483083
04-04-2024,6.774906124503615,1178395885.721605,269375429.0667713,173935382.13903207,1.5487097895438606
05-04-2024,6.866025319796173,1206561706.063145,223823381.3824204,175729282.9352635,1.2736828924799866
06-04-2024,6.876290942214156,1219956337.471112,206616565.3407339,177414880.7435841,1.1645954638909612
07-04-2024,6.983603042049235,1244748417.173786,225931931.93017825,178238712.83619422,1.267580585244774
08-04-2024,7.199620986206996,1284212626.252704,234293123.9811259,178372254.41630796,1.3135065470120857
09-04-2024,7.310644557082898,1311961114.6812725,194563911.61004028,179459020.94367075,1.0841690241423456
