Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
04-12-2023,0.1509050646505451,1208579168.0974538,121922433.77699782,8008870814.880816,0.0152234237004373
05-12-2023,0.1525051699709916,1218810954.8013124,164541784.26603845,7991932044.226078,0.0205884864079787
06-12-2023,0.1536288900888533,1228450455.8777363,76732697.9611756,7996220340.895813,0.0095961210034113
07-12-2023,0.1531437869976182,1226990374.1232316,51736981.94185013,8012015362.675567,0.0064574242060081
08-12-2023,0.1637989652364181,1317589665.045249,97341236.37628078,8043943764.501287,0.0121011831044688
09-12-2023,0.1845250448180883,1476199670.9161224,134777315.58908823,7999996273.521651,0.0168471722962138
10-12-2023,0.1995281451529521,1593933887.020955,279988932.5816276,7988516536.346761,0.0350489269575537
11-12-2023,0.2007789900326747,1601422570.517121,113248021.799989,7976046548.777368,0.0141985156565251
12-12-2023,0.2018089971993637,1611480018.0736609,176999903.57517704,7985174300.636886,0.022166066376417
13-12-2023,0.1978546402272784,1588267978.493755,147428332.63107556,8027448720.279137,0.0183655277994661
14-12-2023,0.2005966274466755,1599448342.8964925,125781981.69719052,7973455801.602014,0.0157750898514943
15-12-2023,0.2159222515144357,1727390235.0655324,140516217.97333312,8000056608.107596,0.017564402960715
16-12-2023,0.1956010905224374,1565877134.8121092,89004918.94247903,8005462191.594926,0.0111180237708107
17-12-2023,0.1979697442109676,1580972876.4874735,67874437.3939429,7985931803.814935,0.0084992508152297
18-12-2023,0.1907696797777843,1527262364.3547618,57797195.40453432,8005791937.868609,0.0072194226196592
19-12-2023,0.1953087220990921,1562464202.6207852,77911584.75625819,7999971459.687554,0.0097389828387339
20-12-2023,0.192274832369273,1537998167.2917838,75676813.22785448,7998957265.181668,0.0094608347962133
21-12-2023,0.1978419604206641,1584721083.1952946,73859487.48722921,8010035281.826768,0.0092208691832858
22-12-2023,0.2230639103564667,1782969554.8113186,151150545.9996919,7993088402.162628,0.0189101556738439
23-12-2023,0.2405498107037507,1928383275.5695105,261933305.8691657,8016565342.237629,0.0326740062217285
24-12-2023,0.2354725267923836,1883370908.1444936,106406704.1655199,7998261766.669127,0.0133037286437591
25-12-2023,0.2310774157149966,1857467109.6663835,119175300.65591712,8038289263.011848,0.0148259532291655
26-12-2023,0.2382216231491765,1907650334.5774808,82766305.08551657,8007880684.21015,0.0103356066791447
27-12-2023,0.2343944691817707,1873065826.516749,100050326.2085853,7991083719.062517,0.0125202450288335
28-12-2023,0.2289896344308171,1832975771.796191,76655014.07737507,8004623337.437458,0.0095763424268648
29-12-2023,0.2339423674740105,1878215866.7773523,105066036.70208882,8028540905.426248,0.0130865667796595
30-12-2023,0.2263280633522296,1810662361.1299312,107169840.97033028,8000167254.168722,0.0133959500552299
31-12-2023,0.2216741322113945,1775018978.1331224,55641020.83115787,8007334732.409895,0.0069487566950272
01-01-2024,0.2227867325018442,1785305539.7303133,53510382.23706664,8013518218.440295,0.0066775142675699
02-01-2024,0.2391030535832367,1915783824.148621,52112934.581237294,8012377071.051068,0.0065040541800663
03-01-2024,0.2270554479645012,1809791045.8175163,90680859.09798662,7970700822.384435,0.0113767736512357
04-01-2024,0.2048381805720675,1636477907.5953276,139007143.45797712,7989125381.923468,0.0173995446075362
05-01-2024,0.2075057296162242,1661721012.9986002,67300423.19074212,8008072914.766761,0.0084040722289929
06-01-2024,0.1967877381348756,1580874817.8745878,70029271.23482375,8033401028.224011,0.0087172632100386
07-01-2024,0.1894141773331829,1520186831.3773878,51373263.490571216,8025728869.826634,0.0064010713947381
08-01-2024,0.177519718180427,1420714543.4901383,46413622.20708319,8003136541.970826,0.0057994290068245
09-01-2024,0.1947791271721748,1566607915.0578125,118209804.8139804,8042996895.006163,0.0146972336750964
10-01-2024,0.1853647517579431,1486182412.5690155,89781540.3925185,8017610675.570799,0.0111980419136685
11-01-2024,0.1995007192669067,1605478647.716982,85089378.56966992,8047483004.655508,0.0105734151312211
12-01-2024,0.2023257470734689,1629951071.420505,86268010.88841335,8056073411.3025875,0.0107084439880327
13-01-2024,0.1866250756735633,1497605058.6523645,67330188.08485033,8024672211.101536,0.0083903973039177
14-01-2024,0.1894586150388888,1521836072.1914458,45126745.03379761,8032551446.019327,0.0056179839415981
15-01-2024,0.1835354054517544,1481285966.5289552,38040610.54503959,8070845856.0511265,0.0047133362752205
16-01-2024,0.1879151747801066,1511164378.2797554,39576068.74882381,8041736810.494842,0.0049213334981536
17-01-2024,0.196202992488972,1578296187.6516104,55586271.47701454,8044200384.661929,0.0069101052707491
18-01-2024,0.1905139035456203,1531865824.7830436,41547298.64287506,8040703572.147553,0.0051671222885012
