Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
04-12-2023,229.92182007098617,4503593962.3735,118731694.95743448,19587501.355821986,6.061604938811856
05-12-2023,251.05030409667108,4909122998.313797,527835411.6046352,19554339.979701668,26.993261452575407
06-12-2023,251.2432360666172,4916638918.954665,244265394.99044985,19569238.94122673,12.482110097590626
07-12-2023,244.60355098977632,4797202014.555812,326207987.2284741,19612151.97058329,16.63295224908316
08-12-2023,246.8464643162769,4838442499.423595,172021761.15303037,19601020.0625124,8.776163720276358
09-12-2023,253.92101552763685,4962045016.231901,144189282.63039193,19541687.031776343,7.378548351323437
10-12-2023,252.61185093418848,4942514180.055808,188560442.2813524,19565646.51174443,9.6373223429222
11-12-2023,250.8946229737207,4909915428.594794,117818065.71916762,19569631.94507788,6.020453836322711
12-12-2023,230.23965297826416,4509226383.013384,253661286.8713625,19584925.205907423,12.951863956817684
13-12-2023,231.7660120769507,4544196945.748904,150201490.57058164,19606830.6350292,7.660671597898869
14-12-2023,235.38673132910583,4608068804.798153,163800444.45134732,19576586.916258182,8.367160483695578
15-12-2023,237.0841388559748,4644550345.575215,170989054.87350935,19590303.9654488,8.728249197923668
16-12-2023,226.71600720210515,4442227311.975013,125045256.34425522,19593796.515722007,6.381879909996987
17-12-2023,229.6138371742265,4491145564.462601,110330785.3040125,19559559.73617917,5.640760159848306
18-12-2023,225.89640968564265,4425172393.400227,115265115.6378868,19589387.89491296,5.884059076078597
19-12-2023,228.0019111705703,4465019074.290219,148119837.12436187,19583252.83927071,7.563597239950558
20-12-2023,224.8909117179313,4407898754.371536,121947041.5083947,19600164.0115192,6.221735768982611
21-12-2023,229.5320517693357,4496984782.559665,203657703.82794616,19591968.737676915,10.394958595268488
22-12-2023,233.0859764770105,4565646975.941512,130616002.92443936,19587823.535972472,6.668224404031762
23-12-2023,238.6598242042068,4678258126.985216,213756188.27850816,19602202.182895742,10.904702761663431
24-12-2023,233.2249546614076,4574199776.910519,159899723.083376,19612823.094129324,8.152815243168053
