Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
04-12-2023,0.8279959236034952,1181388830.954811,74017172.03963225,1426805129.4423356,0.0518761605998443
05-12-2023,1.1680976759442077,1667157416.5911667,383176137.22782034,1427241446.43431,0.2684732412901214
06-12-2023,1.1672718988052992,1666922853.4092505,295193412.0941144,1428050187.0346944,0.2067108108483744
07-12-2023,1.0336191599936035,1470600407.538798,152553868.82528287,1422768137.8776867,0.1072232816886413
08-12-2023,0.9940059728226888,1415737034.7820413,73987223.22978897,1424274172.88224,0.0519473178960089
09-12-2023,1.0414399894822004,1486268141.064854,87007681.57662395,1427127972.8789945,0.0609669792969584
10-12-2023,0.9926118035479128,1407077329.3457377,53342310.33421435,1417550470.704048,0.0376299196653795
11-12-2023,0.9900986074000606,1411446563.909186,36952832.26159455,1425561609.076049,0.0259215961108442
12-12-2023,0.907735669418878,1295743570.9333756,77216628.48227297,1427445912.490027,0.0540942587082524
13-12-2023,0.92942108980492,1331600110.2042837,101487023.2802558,1432719920.8313413,0.0708352147580718
14-12-2023,1.001445611559808,1427341010.728287,91181641.37995812,1425280608.604518,0.0639745190031269
15-12-2023,1.076417551628332,1533334172.1148071,124445446.27359638,1424478976.3928344,0.0873620799857123
16-12-2023,0.982644325152328,1403617997.50871,60331269.00989496,1428408999.656232,0.0422366906288147
17-12-2023,1.0098953815183869,1439782699.3124518,64830525.69256497,1425675100.2739763,0.0454735624407737
18-12-2023,1.0496014937377232,1494820200.9342537,66976955.301559694,1424178804.8634224,0.0470284735826992
19-12-2023,1.253091477404218,1808905903.4446287,231145447.82628885,1443554549.737887,0.160122419944753
20-12-2023,1.1784880891359453,1677125633.2800355,106526166.08810696,1423116320.5982726,0.0748541525005656
21-12-2023,1.4532116408732227,2073677219.0116503,274642825.0319211,1426961607.4404657,0.1924668635791446
22-12-2023,1.4110583076848902,2017609797.6615407,154505883.43686137,1429855723.6602178,0.1080569744766621
23-12-2023,1.4090052714696542,2018738576.596767,77808411.67528516,1432740258.3037424,0.0543074093328015
24-12-2023,1.4721023999042318,2103144792.2013345,160329724.16073078,1428667457.0587993,0.1122232632713577
25-12-2023,1.3918213265598396,1998067238.7377088,83374371.86315732,1435577398.196883,0.0580772391428545
26-12-2023,1.5215717722175666,2178162235.2650604,143093974.57008293,1431521190.8082173,0.0999593827104257
27-12-2023,1.6258093946407464,2331845382.895612,139908009.55537286,1434267381.2700396,0.0975466718287107
28-12-2023,1.5581624825899771,2221463425.454538,127277006.47894108,1425694335.6523526,0.0892736986436178
29-12-2023,1.4699862218344186,2104580401.0433447,103748513.31548937,1431700766.839166,0.0724652215871476
30-12-2023,1.4261328761248768,2036881517.4538305,103719408.12997794,1428255074.6522963,0.0726196671524013
31-12-2023,1.4251546375450044,2039713773.181672,72686535.28841805,1431222773.6179683,0.0507863182645387
01-01-2024,1.5047493260360163,2145055834.8818336,74146789.53213826,1425523705.3553538,0.0520137190659028
02-01-2024,1.5915146856635258,2284674975.6130505,56229343.158728026,1435534963.1351569,0.0391696089630064
03-01-2024,1.556020094471763,2222249877.621129,142844157.70428306,1428162711.726122,0.1000195261586385
04-01-2024,1.533759008229235,2194910475.652185,191726775.0928704,1431066069.6208506,0.1339747892587984
05-01-2024,1.716580173240334,2456410233.63341,176438449.30907333,1430990682.478012,0.1232981119091139
06-01-2024,1.617020985558666,2318557057.5778785,244568460.4677822,1433844754.2020228,0.1705682988001667
07-01-2024,1.5704612093584422,2249198978.8282123,89768721.5068651,1432190088.7619152,0.062679334406278
08-01-2024,1.663264811997551,2369699208.40138,289276584.66701907,1424727554.6913147,0.2030399311885945
09-01-2024,2.0367808818514663,2851237449.9720483,752472441.7840186,1399874417.2128265,0.5375285329395504
10-01-2024,1.838343534364477,2641147636.18671,285523493.17577034,1436699717.3353486,0.1987356785350606
11-01-2024,1.8749358505090827,2662938155.5599327,407040398.87003183,1420282275.1705832,0.2865911980920442
12-01-2024,1.7828576947903856,2558145817.90408,214621269.5341181,1434856985.7140768,0.1495767673510045
13-01-2024,1.6306780086161774,2332146971.9966373,119118265.37074198,1430170125.3552434,0.0832895774138436
14-01-2024,1.6731720381697446,2393071655.796016,67093138.699669525,1430260368.451864,0.0469097376810434
15-01-2024,1.5836950657312607,2290194909.6016936,60285809.27885649,1446108508.6125536,0.0416883027240443
16-01-2024,1.5867340537360546,2279951035.276796,54794426.0436027,1436882904.169431,0.0381342320133426
17-01-2024,1.6326542229449494,2345695517.4239154,74554018.78341214,1436737482.1061597,0.0518911907790705
18-01-2024,1.574000817532298,2262860398.9293685,56303566.90992559,1437648807.8812163,0.0391636445571884
19-01-2024,1.4855694940478923,2135358627.1273727,74351776.86504604,1437400697.633424,0.0517265484756344
20-01-2024,1.494027551860129,2141960938.476524,91652923.0661244,1433682354.6591828,0.0639283330566709
21-01-2024,1.4852465970758375,2132719229.908566,40247633.67015284,1435936116.0008554,0.0280288469811904
22-01-2024,1.4537633855186065,2092641059.2438736,26792433.363293234,1439464688.744625,0.0186127756886202
23-01-2024,1.3309129464354612,1907054646.5323296,79390431.96915871,1432892099.847649,0.0554057294178674
24-01-2024,1.3982179186516328,1994380450.201213,102082032.5182637,1426373116.5199826,0.0715675522315788
25-01-2024,1.4770191432220894,2123454899.87362,81635907.90192658,1437662409.1962297,0.0567837813520962
26-01-2024,1.4549173217188884,2089803763.276731,57025829.69685506,1436372866.0593348,0.0397012718941875
27-01-2024,1.506713687766768,2166055753.6481414,57911671.02539678,1437602758.3970797,0.0402835002139033
28-01-2024,1.5146497467053124,2176166584.7306533,37920825.623278126,1436745748.9523778,0.0263935533833516
29-01-2024,1.4725475485110977,2115607360.3710425,48741759.89850217,1436698843.7895582,0.0339262191997988
30-01-2024,1.538320738591668,2212504315.2806625,53580545.08965237,1438259434.3142052,0.0372537414400488
31-01-2024,1.5355429857557226,2202350212.4651494,72611377.84625871,1434248492.4844065,0.0506267764803302
01-02-2024,1.5014368311089483,2158882895.594069,46715785.0854756,1437877938.5607164,0.0324893955409296
02-02-2024,1.4948891476334112,2147325538.8483503,37520277.081118606,1436444663.6379857,0.0261202384128696
03-02-2024,1.5529601122708034,2233496587.523126,40443984.19009771,1438218902.00207,0.0281208821089736
04-02-2024,1.5223003618578608,2187163009.275113,19876382.621235747,1436748662.7972906,0.0138342795339981
05-02-2024,1.4685006230475344,2107978404.6453545,23497522.159093384,1435463064.5445223,0.0163692976430217
06-02-2024,1.4821366398027165,2129766764.006732,26460721.568849668,1436957097.4847636,0.0184144130782792
07-02-2024,1.5008759850875295,2158058438.715975,31627650.1820978,1437865926.404385,0.0219962442960087
08-02-2024,1.6560679922379835,2374057292.170146,53427962.28953636,1433550617.062457,0.0372696726949325
09-02-2024,1.784520469545726,2577838349.0434394,160686173.91415647,1444555214.152104,0.1112357439438359
10-02-2024,1.810974055180776,2597928888.037981,117806533.72591412,1434547822.81718,0.082121022284614
11-02-2024,1.8117643407049704,2609359283.5716906,64691333.456873424,1440231063.6914124,0.0449173296478309
12-02-2024,1.842716196463368,2649624898.0883603,69860720.85977773,1437890926.0002446,0.0485855495688452
13-02-2024,2.002146782542801,2867252736.238312,214622351.4479332,1432089176.0976653,0.1498666109835163
14-02-2024,2.127863481277944,3075772020.8725805,164577842.6197264,1445474321.043071,0.1138573271235736
15-02-2024,2.556091621262726,3696460680.093732,223331486.6057416,1446137786.8245802,0.1544330620778061
16-02-2024,2.538391142005831,3660894293.227933,307176096.73725927,1442210474.440555,0.2129897835171494
17-02-2024,2.587384055858524,3733745040.1383176,158231442.16911972,1443057914.6857336,0.1096500982800673
18-02-2024,2.533168952555465,3662100021.752174,112583480.0692481,1445659602.790347,0.0778768942923662
19-02-2024,2.64211489705031,3812592245.677837,92036504.05503494,1443007739.7217898,0.0637810189935498
20-02-2024,2.6464508549126062,3818968410.7165,187446899.24460825,1443052835.6977985,0.1298960749098053
21-02-2024,2.705922616287201,3913602381.313154,173592923.4566717,1446309793.8414116,0.1200247168316598
22-02-2024,2.652597220244466,3824277185.2681904,235559335.1008173,1441710470.056114,0.1633887940701775
23-02-2024,2.545430009033275,3679953721.403029,124008766.37172256,1445710040.481778,0.085777066561976
24-02-2024,2.449582234620785,3541475228.680514,111654559.27412458,1445746616.9649792,0.077229687390532
25-02-2024,2.5870030845074967,3724661091.242373,82952818.12255971,1439759045.3400867,0.0576157645204898
26-02-2024,2.6030688539807465,3765010224.127689,64541845.73380107,1446373659.448171,0.0446232170450514
27-02-2024,2.8973349472763306,4169960265.0170217,169067563.45253336,1439239970.8349342,0.1174700306262711
28-02-2024,2.9444448196314887,4245669095.512204,343610794.4747651,1441925169.4598134,0.238300018442352
29-02-2024,3.1072571354488843,4487244461.860436,361280030.926085,1444117517.8803456,0.250173567215199
01-03-2024,2.901509993075152,4209813090.6902537,186065638.1357185,1450904219.0919714,0.1282411586425499
02-03-2024,2.9762849696187685,4303195543.904804,119822350.74242504,1445827798.020295,0.0828745656339518
03-03-2024,2.964432423232114,4280764495.021245,70466674.7207176,1444041854.8498857,0.0487982217994941
04-03-2024,3.0428428653144044,4379762297.571153,132814394.01120162,1439365255.2671692,0.0922728914882339
05-03-2024,3.038082035585253,4385195543.691805,191131542.63405943,1443409194.4614146,0.1324167418133824
06-03-2024,2.755842786935372,3975411989.4603033,245517330.760668,1442539468.6179287,0.1701979988082362
07-03-2024,2.838670367948608,4099308242.9987335,143584165.2040262,1444094492.0142798,0.0994285110829204
08-03-2024,2.911296004862812,4206417904.5909367,111864845.27854478,1444860947.6895683,0.0774225682114423
09-03-2024,2.8420406470084827,4106734509.305527,121824354.96276788,1444994994.5748503,0.0843078041239937
10-03-2024,2.8171589541719166,4070950637.928287,60216016.05854917,1445055356.886993,0.0416703870696478
11-03-2024,2.9561930885001506,4274957315.709929,243210577.55832395,1446102195.5365114,0.1681835338532845
12-03-2024,3.0780036705210523,4443231875.248167,214238097.68545443,1443543397.235782,0.1484112622424068
13-03-2024,3.035637140859665,4376041294.725523,122696518.5727203,1441556118.7547822,0.0851139383173689
14-03-2024,3.0955620531493664,4468140344.188307,105693353.53171194,1443401963.0272005,0.0732251695917363
15-03-2024,2.9261545374211413,4222874810.999019,127128633.47253704,1443148253.7900047,0.0880911806106344
16-03-2024,2.790204651922919,4038379879.320016,137703487.3270027,1447341820.0836613,0.0951423398510263
17-03-2024,2.5970017024335164,3745204977.7411656,86483472.53013146,1442126500.8150463,0.0599694080104995
18-03-2024,2.769275747907636,3993524827.395157,115802069.14507112,1442082764.92961,0.0803019576693461
19-03-2024,2.652859424960623,3836520692.561487,65366509.28722033,1446183185.0055275,0.0451993288021603
20-03-2024,2.691919315140837,3929630374.565527,269121182.4727506,1459787577.0135906,0.1843564000067148
21-03-2024,3.4193903169122186,4931346884.487829,330872084.1481372,1442171389.471834,0.2294263265542332
22-03-2024,3.2750316876046384,4730727385.492682,211280439.22816965,1444482935.3552732,0.1462671756493993
23-03-2024,3.4537845832882006,4987061363.1273775,269622671.1603351,1443941057.3717396,0.1867269233628567
24-03-2024,3.618624243012146,5235620643.164757,161429131.43446174,1446853912.3052526,0.1115725161065217
