Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
04-12-2023,0.3158132363551916,885594705.3844212,79067439.19738588,2804172224.0812054,0.0281963563144886
05-12-2023,0.3254176781408853,910357442.0642126,138756177.58780274,2797504570.9412417,0.049599982437604
06-12-2023,0.3338412198012782,935971489.8408744,128609685.24500126,2803642672.998916,0.0458723525945743
07-12-2023,0.3359460949821502,946174528.825906,116639433.15051933,2816447468.681483,0.041413672524531
08-12-2023,0.3428693847376999,958306816.88512,73015212.53829294,2794961753.7834086,0.0261238682208998
09-12-2023,0.367562424615609,1028391267.5062896,131266503.60973804,2797868331.023675,0.0469166122487653
10-12-2023,0.3991231307724116,1119043511.8660276,274225434.8160513,2803755096.078683,0.097806486450825
11-12-2023,0.4035824699661356,1130068574.0302649,144930831.5877709,2800093309.615475,0.0517592864102352
12-12-2023,0.3638724209429884,1021006969.2891644,176143215.19913417,2805947663.3133893,0.0627749467683001
13-12-2023,0.3929976475503868,1103016812.766983,209934984.7508166,2806675357.072115,0.0747984565517466
14-12-2023,0.3917568057773684,1095954450.4625962,159175221.80801585,2797537743.569965,0.0568983286012401
15-12-2023,0.4391805726080676,1226097805.611909,252681266.7732128,2791785161.0118914,0.0905088508607258
16-12-2023,0.4246663485417735,1195952253.938599,208891514.8180656,2816216208.431114,0.0741745304187553
17-12-2023,0.4155486306640046,1161010186.4761393,138219595.84196576,2793921338.6913643,0.0494715416385724
18-12-2023,0.3939543264667808,1105895175.8551338,112934768.6422967,2807165962.037951,0.0402308841620137
19-12-2023,0.4133605998677515,1158727925.1082325,153021571.50131515,2803189093.200828,0.0545883871596357
20-12-2023,0.3981448083700812,1116118301.5951402,139111806.385164,2803297388.616688,0.0496243484369704
21-12-2023,0.4480524981292913,1256788700.052228,195534979.19275227,2805003220.1573963,0.0697093599706385
22-12-2023,0.4890803439115757,1367594548.7168336,369078444.345606,2796257436.516588,0.1319901520960752
23-12-2023,0.491783643629995,1382662214.706654,250728255.5538776,2811525418.98472,0.0891787262035208
24-12-2023,0.5150573932534445,1446334157.7207909,197431988.44708583,2808102896.232173,0.0703079608343391
25-12-2023,0.5290198542850162,1483490660.4343462,258837477.9453217,2804224923.541521,0.0923026807772715
26-12-2023,0.557485343909651,1563720618.2437692,247341829.91751987,2804953772.0173573,0.0881803587585076
27-12-2023,0.5367172814210049,1490845680.153113,171623087.70699605,2777711342.191128,0.0617857892935755
28-12-2023,0.5061788446142953,1414752082.8013334,180449005.69383383,2794964858.476779,0.0645621733477451
29-12-2023,0.4809334825640128,1353783572.5709176,164053594.99056977,2814908135.223726,0.0582802660370054
30-12-2023,0.475765584544966,1332658994.287678,130741952.73317906,2801083217.404777,0.0466754975078221
31-12-2023,0.4665994594102119,1308140614.7195864,82435584.09884042,2803562216.6667185,0.0294038718344734
01-01-2024,0.472184098482183,1325003711.6014533,97788200.20493326,2806116757.977714,0.0348482292929986
02-01-2024,0.5040006551741453,1411677864.2733471,103353598.65184844,2800944502.315331,0.0368995524782493
03-01-2024,0.4873683778220345,1362003922.686816,121289899.09028338,2794608728.562525,0.0434013884844164
04-01-2024,0.4309870279729156,1206514384.282058,202720110.39174345,2799421574.1404605,0.072414998964201
