Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
04-12-2023,4.576024222016928,2174258485.1371245,116996097.17421454,475141384.67099255,0.2462342808872089
05-12-2023,4.719482411323372,2245443799.0857515,255416128.7171849,475781792.02412057,0.5368346014894074
06-12-2023,4.781455639563355,2278335754.2867656,194790427.05177265,476494173.7480648,0.408799179053055
07-12-2023,4.7430509168760056,2263396959.794856,183659581.58586907,477202753.9787903,0.3848669775154567
08-12-2023,5.039531466386774,2403028899.576081,269554146.5791441,476835776.4216911,0.5652976557295128
09-12-2023,5.228421860660785,2492410158.478291,203134731.4897292,476704104.0110891,0.4261233116738678
10-12-2023,5.139019772605455,2450910848.5759106,286070384.2121529,476921856.1175748,0.5998265345625687
11-12-2023,5.149510065116613,2457925569.4760075,172033237.16405168,477312509.03387576,0.3604205502853104
12-12-2023,4.611683016612499,2208626805.317557,319485327.0702517,478919907.84308034,0.6670955244043272
13-12-2023,4.636615904537932,2228160619.8825603,246079238.797986,480557515.6013728,0.5120703158497913
14-12-2023,4.718700456880786,2265185140.488023,179295357.90471193,480044275.1531178,0.3734975442578142
15-12-2023,4.878099551640215,2341725877.1342697,229364582.4567434,480048808.42312586,0.4777942959803709
16-12-2023,4.790762550318562,2310642662.724088,251414404.96803427,482312082.56615466,0.5212691409893301
17-12-2023,5.699222697264687,2727315589.287781,811193154.6856028,478541677.3758889,1.6951358534408698
18-12-2023,5.271555931158877,2559703102.8761787,535159112.3235319,485568802.8929751,1.102128285703493
19-12-2023,5.29576929990372,2552619965.7434096,379862694.182297,482011171.7838271,0.7880786098307659
20-12-2023,5.09649539888127,2460479300.912909,242053203.2149537,482778676.00018,0.501375092247992
21-12-2023,5.321015863228638,2572330451.831663,214437243.24124515,483428450.121336,0.4435759690755135
22-12-2023,5.500082652472858,2664599986.031862,235410637.8680876,484465444.3208863,0.4859183263278589
23-12-2023,5.534180649061212,2683176944.519971,322954684.48518914,484837253.1849191,0.6661094673804134
24-12-2023,5.629263523889577,2729244368.8974023,195148880.6468649,484831516.1148492,0.4025086533372906
25-12-2023,5.634749561152333,2737176466.5217214,292194142.4715698,485767191.0376716,0.6015106574970599
26-12-2023,5.802242320898231,2819345853.4863086,301832319.2911849,485906257.8844264,0.621173970068474
27-12-2023,5.769950827744849,2809357958.179408,349487152.9312456,486894610.0321325,0.717788091571154
28-12-2023,5.935748034721712,2885483129.573535,379075258.0576669,486119544.2755711,0.7797984313150285
29-12-2023,6.244762292886497,3049982587.9624453,490993630.2703732,488406514.9183864,1.0052970533212873
30-12-2023,5.80581947747797,2831138277.27653,449024474.9125573,487638013.5929352,0.9208151587775696
31-12-2023,6.0290911207396265,2954843167.164761,210149041.62648857,490097613.0548632,0.428790175729674
01-01-2024,6.924756783997102,3398288202.8504286,854652014.1122619,490744773.9830758,1.7415407344546394
02-01-2024,7.647327771728037,3746451432.460423,1035363764.9539684,489903341.9635748,2.1134041682674405
03-01-2024,7.176810500387418,3510621569.3499885,696695805.0954645,489161803.7233223,1.424264527181944
04-01-2024,6.287840679817314,3086700159.0020003,830616459.831626,490899867.88464254,1.6920282814718828
05-01-2024,6.502067861141288,3196059782.7882943,375092089.8421123,491545128.5719586,0.7630877981271694
06-01-2024,6.148148241249683,3014945601.1731467,405691224.8415013,490382710.8372266,0.8272951225153672
07-01-2024,5.91465036380302,2908474466.062216,312810411.8205299,491740726.3600474,0.6361287464148198
08-01-2024,5.598402529183686,2753434331.7103143,253969603.03622016,491825001.3922807,0.5163820511711917
09-01-2024,5.868917074774261,2897408204.414165,434114164.3302796,493687023.9431028,0.8793307161751756
10-01-2024,5.474149265242654,2688491982.4926286,328292425.1707335,491125077.5646241,0.6684497293411689
11-01-2024,5.942135065806063,2935867787.128712,356050314.02115536,494076246.0993396,0.7206383970735711
12-01-2024,6.457470541169177,3207700704.373904,505969826.4366929,496742599.74140346,1.018575468864746
13-01-2024,5.97246293876406,2958879192.4355145,369341727.8753145,495420268.45089537,0.7455119448992075
14-01-2024,6.04469195144629,2994537670.3175664,209391531.1453028,495399549.6165979,0.4226720256555666
15-01-2024,5.831261916032385,2903416751.1743164,254064603.2255044,497905392.1744976,0.510266824217208
16-01-2024,5.916805563708685,2941811184.617624,198710277.25948367,497195852.2114559,0.3996619770170022
17-01-2024,5.85642131072917,2910480931.2923446,185385428.60387588,496972600.9910252,0.3730294753356508
18-01-2024,5.793574823358632,2881277899.408956,187145969.5939217,497322980.587421,0.3763066998691097
19-01-2024,5.594055440145013,2776547308.8579683,271354247.1438138,496338897.34671503,0.5467116290792351
20-01-2024,5.465540933705831,2716548290.5742354,240061340.2290536,497031917.5218983,0.4829897875089217
21-01-2024,5.50058709472324,2740859034.826696,128208671.11014336,498284817.1708844,0.2572999752191422
22-01-2024,5.386672645242402,2681836594.603236,119331714.47079016,497865151.8710495,0.2396868188551142
23-01-2024,5.024074026840745,2506064237.181741,227075189.2677971,498811168.7433898,0.4552327684238652
24-01-2024,4.891205400838841,2433318788.298298,264320067.27932376,497488571.6067013,0.5313088226844471
25-01-2024,5.004834806678899,2497293854.8949404,168724874.48024422,498976280.2085552,0.3381420744283133
26-01-2024,4.972307824520048,2481816751.898964,124831275.73728517,499127736.9555296,0.2500988554527218
27-01-2024,5.17644963657826,2583149723.814898,151196907.89548984,499019580.053794,0.3029879266043847
28-01-2024,5.334008377907852,2664696782.9381723,126468482.3330022,499567416.1245584,0.2531559870619534
29-01-2024,5.193559407084634,2598796447.219365,119831159.86016785,500388316.2815654,0.2394763346007855
30-01-2024,5.333808718790209,2674186436.7343955,129377894.19718312,501365267.8082807,0.2580511704824685
31-01-2024,5.1560481210838205,2579505749.820738,145186691.00781605,500287369.1718991,0.2902065891612183
01-02-2024,4.956836430914742,2488450309.875698,147317780.8662999,502023890.5515944,0.2934477494774915
02-02-2024,4.96901537738015,2495296287.658833,116301787.9904306,502171174.3976219,0.2315978971312721
03-02-2024,5.048179971683062,2545720862.115158,115115169.89735538,504284886.11637497,0.2282740828976381
04-02-2024,5.065957645546183,2549335393.984208,160276553.95168084,503228722.4559598,0.3184964347215047
05-02-2024,4.931921776787867,2484903253.511734,94483214.53054394,503840767.5496706,0.1875259419559165
06-02-2024,4.988560643989646,2517572039.9659147,97478814.7282259,504669025.7237133,0.1931539479531913
07-02-2024,5.068321222228431,2562672864.493427,100996632.79358254,505625581.3570307,0.1997458920541979
08-02-2024,5.179343635059458,2622445296.2066736,113456828.50432622,506327728.18067104,0.2240778495619774
09-02-2024,5.22490555587232,2647223311.587321,124116901.84726392,506654767.8765373,0.2449733225001624
10-02-2024,5.481843284967034,2778364229.0467086,199455859.59071973,506830291.3120247,0.3935357909930581
11-02-2024,5.353698087768363,2713614521.892012,125419191.2611003,506867305.0674689,0.2474398920727503
12-02-2024,5.299266882022688,2682835299.651503,111086391.36470194,506265368.2819398,0.2194232478150427
13-02-2024,5.459528469527409,2772141237.8196106,144435936.2204783,507762026.2065553,0.2844559631596444
14-02-2024,5.494187158190638,2801437955.4200144,197839709.1036964,509891249.5624908,0.3880037346658755
15-02-2024,5.58745993719715,2850527215.9997,181722404.56690225,510165128.3480371,0.3562031085020188
16-02-2024,5.869056105349565,2997882055.442913,248084569.6679288,510794581.21219605,0.4856836364222678
17-02-2024,5.803427494929595,2970475630.3531003,220875662.58258453,511848495.21224815,0.4315254702292209
18-02-2024,6.196271441673858,3172758731.855488,479731596.5375084,512043212.0705157,0.9368967017405604
19-02-2024,6.269939166880254,3198972286.2787867,336684762.43111074,510207866.6371663,0.6598972388454835
20-02-2024,7.405853760374331,3783200543.945226,833664311.2091388,510839218.05039847,1.631950488043561
21-02-2024,7.736357491103218,3965461237.337259,1283820811.6345088,512574715.1547126,2.504651075593941
22-02-2024,7.232100816631315,3710497069.99924,615945323.4396534,513059367.4062711,1.2005342121585532
23-02-2024,8.087698747164227,4157944902.9861417,889468395.4366677,514107292.1940909,1.7301221144726862
24-02-2024,8.014609904263565,4122033112.332388,745632476.6979914,514314877.6510723,1.4497587161066967
25-02-2024,8.075466698653939,4143509413.7515984,359862606.7572863,513098445.9935004,0.7013519716679181
26-02-2024,8.13310991416548,4193713393.342311,515902178.5265672,515634663.4438197,1.000518807407091
27-02-2024,8.126675144933047,4168027435.897109,413229403.8368469,512882250.31313807,0.8057003407401044
28-02-2024,7.658283694002209,3949126502.078725,465487245.94889104,515667303.5201856,0.9026890841658136
29-02-2024,7.695429589600927,3965850176.978509,754138687.413782,515351369.3813384,1.4633485660843388
01-03-2024,8.147503409176636,4230589608.183202,843209629.3763785,519249811.3493558,1.6238997317787367
02-03-2024,8.229100283388828,4269204756.495341,413023390.3886849,518793623.78328425,0.796122719043319
03-03-2024,9.332280825412866,4852017490.0155525,963486889.8408828,519917647.22756255,1.8531528886904167
04-03-2024,10.50539827299689,5447329803.327621,1254498436.0612793,518526728.9988858,2.4193515317586933
05-03-2024,10.044008105500824,5217758212.611977,966280322.1840328,519489645.7475334,1.8600569426048488
06-03-2024,8.945388092639522,4644475806.791907,1145274076.4216702,519203388.23683816,2.2058293577607504
07-03-2024,10.071441822898924,5233453864.028272,757709387.1948426,519633033.28915966,1.4581624697697015
08-03-2024,9.952312577631066,5177312285.162919,569221830.691316,520211985.3831266,1.0942112959433157
09-03-2024,11.464467979471676,5970246071.592613,1096658766.1280584,520760848.4129365,2.105877908199552
10-03-2024,11.08279835008732,5777309906.056609,611961241.1590985,521286206.2054112,1.173944819322453
11-03-2024,10.680277364541231,5572313599.601307,508499044.40783113,521738659.90611047,0.9746240474097476
12-03-2024,11.187257869475271,5858045569.696994,699560144.1718435,523635518.0191944,1.3359677105520569
13-03-2024,10.893653576963214,5686825164.884118,597734950.3074794,522031027.02935547,1.1450180532542693
14-03-2024,10.635311091489642,5578158199.270037,521779377.3823348,524494126.3385957,0.9948240622345724
15-03-2024,10.5136247117626,5506410323.467355,606686540.9092331,523740429.6262168,1.1583725574560155
16-03-2024,9.77204638782483,5084148480.08079,736345585.1925777,520274697.67388976,1.4153015483642106
17-03-2024,8.805376528840544,4614188040.947126,491724731.1576316,524019390.4069999,0.9383712514449408
18-03-2024,9.178663834131546,4814180990.188657,460035222.5310588,524496928.6582613,0.877098029359095
19-03-2024,8.889211920876821,4666970880.276412,479587147.08935714,525015144.4039448,0.9134729773058976
20-03-2024,8.008236235784135,4220960858.647108,531969998.790419,527077465.54554623,1.009282379848679
21-03-2024,8.630304739105414,4546110190.491738,505504325.68120056,526761259.0656876,0.959645981896637
22-03-2024,9.039746403708584,4754482697.298609,489659027.8552973,525953105.86899513,0.9309936996118092
23-03-2024,8.679251473713384,4555772066.015924,401660132.8974031,524903798.4224641,0.7652071372021785
24-03-2024,8.664624840495206,4570415038.231146,255212540.8507945,527479853.12309664,0.4838337224440611
25-03-2024,8.92331645619062,4713878906.710022,200500089.01390377,528265351.7728526,0.3795442732350848
26-03-2024,9.353293870426048,4916974277.974131,383461046.0976512,525694407.348944,0.7294371801127388
