Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
08-12-2023,2366.1121947950583,0.0,1651429.0071898391,0.0,inf
09-12-2023,2366.1121947950583,0.0,1651429.0071898391,0.0,inf
10-12-2023,2348.630358633677,0.0,74437.59924177198,0.0,inf
11-12-2023,2368.6894989203097,0.0,96858.197951058,0.0,inf
12-12-2023,2238.2917567078475,0.0,265891.5039265167,0.0,inf
13-12-2023,2206.4104268964143,0.0,26937.13536519935,0.0,inf
14-12-2023,2277.544000399067,0.0,67944.1216708104,0.0,inf
15-12-2023,2340.2404474241166,0.0,19521.814955844628,0.0,inf
16-12-2023,2235.0997331547924,0.0,41270.989825673096,0.0,inf
17-12-2023,2242.7944223039854,0.0,9530.3091097052,0.0,inf
18-12-2023,2212.370185233834,0.0,2076.2033251003418,0.0,inf
19-12-2023,2235.4826073032723,0.0,27609.353088905715,0.0,inf
20-12-2023,2197.469532646284,0.0,11761.228037310848,0.0,inf
21-12-2023,2217.4915613965486,0.0,40700.21912628805,0.0,inf
22-12-2023,2258.4788313351005,0.0,31498.60500850741,0.0,inf
23-12-2023,2358.069685212264,0.0,84017.90201017068,0.0,inf
24-12-2023,2337.0125303516693,0.0,69302.58682097249,0.0,inf
25-12-2023,2288.073222404655,0.0,1145.8995892153246,0.0,inf
26-12-2023,2308.492101956644,0.0,3709.470504119002,0.0,inf
27-12-2023,2241.8181946215977,0.0,911062.3456975406,0.0,inf
28-12-2023,2393.276659049404,0.0,218384.42490618143,0.0,inf
29-12-2023,2366.7105488177795,0.0,103815.70223523692,0.0,inf
30-12-2023,2317.234149726904,0.0,498952.1300856286,0.0,inf
31-12-2023,2321.0446806313166,0.0,71329.97977563829,0.0,inf
01-01-2024,2303.426740575684,0.0,60289.640547247465,0.0,inf
02-01-2024,2364.587532845745,0.0,1083805.4938439396,0.0,inf
03-01-2024,2387.678507611564,0.0,331599.7380565057,0.0,inf
04-01-2024,2240.0244757107967,0.0,793611.8710561049,0.0,inf
05-01-2024,2300.0542316337883,0.0,1802474.231792329,0.0,inf
06-01-2024,2296.983635017948,0.0,235988.8385356448,0.0,inf
07-01-2024,2267.682172382797,0.0,352017.50587666774,0.0,inf
08-01-2024,2245.776175366784,0.0,30527.9784980114,0.0,inf
09-01-2024,2358.9438701204026,0.0,54044.18171812956,0.0,inf
10-01-2024,2376.759781955419,0.0,771995.6880090452,0.0,inf
11-01-2024,2616.217987838337,0.0,1047981.4358500245,0.0,inf
12-01-2024,2654.073387080676,0.0,121515.36110887936,0.0,inf
13-01-2024,2563.7969146684727,0.0,5111128.832219655,0.0,inf
14-01-2024,2623.573348245755,0.0,453327.61838400713,0.0,inf
