Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
04-12-2023,0.4285667572844395,901037265.6451116,68256626.60065188,2102443202.4416063,0.0324653843306607
05-12-2023,0.4314106170408398,906389130.6978072,137890380.98333776,2100989393.6198685,0.0656311647274723
06-12-2023,0.4489847707624755,944683470.6665236,173197604.74783424,2104043460.23194,0.0823165528761186
07-12-2023,0.4452299808369701,936997570.4458936,128570982.18973672,2104524876.5244184,0.0610926407304194
08-12-2023,0.4639797323941634,975640388.122988,148962266.80280194,2102765099.4336,0.0708411352475492
09-12-2023,0.4948029306748687,1040069082.2999302,146738887.48938447,2101986503.7609324,0.0698096240041671
10-12-2023,0.533735307433741,1120829827.8921564,228031873.3227349,2099973174.4958591,0.1085879934525728
11-12-2023,0.5542784081726364,1163076810.5099325,325183513.5302991,2098362110.738542,0.154970160710654
12-12-2023,0.5131428455758331,1078134138.7620904,195183741.27392948,2101040963.6565068,0.0928985891518484
13-12-2023,0.5094498132788701,1070282153.6592884,132437674.4989477,2100858859.4249256,0.0630397772343451
14-12-2023,0.520300217083919,1091228886.981937,120401985.91834325,2097306230.42568,0.0574079188683408
15-12-2023,0.5314551275146321,1117398916.8949978,133747274.12756827,2102527304.8367257,0.0636126217338017
16-12-2023,0.4942990348678971,1042945790.3232858,90069781.18886165,2109949072.8360736,0.0426881304143492
17-12-2023,0.5169285859408335,1084506181.4165027,95788974.29745547,2097980670.6619875,0.0456577010631993
18-12-2023,0.4985287493152326,1046298664.9501624,97341252.8192886,2098772972.2455,0.0463800773626039
19-12-2023,0.4966363478403208,1043766789.439891,111125537.33748984,2101672167.1275744,0.0528748199056034
20-12-2023,0.4895571077712059,1027715021.5096564,60095133.7491159,2099275049.2143977,0.0286266126830807
21-12-2023,0.5163422871136858,1086292256.0031798,107292526.93919514,2103821986.139216,0.0509988619028032
22-12-2023,0.5453380912448418,1154719361.1901178,117105787.46713877,2117437567.1324244,0.0553054263723729
23-12-2023,0.5418406149332131,1148755101.4573677,110285406.83054855,2120097810.6799216,0.0520190183089617
24-12-2023,0.5324708251976583,1128622727.2306848,87626564.4601625,2119595429.1237063,0.0413411744789379
25-12-2023,0.5645528942176029,1196871088.699884,176833554.781469,2120033571.6259005,0.0834107332771393
26-12-2023,0.6067821711836346,1286319511.8503249,302791840.2945279,2119903274.9118748,0.1428328565165856
27-12-2023,0.6254047727267441,1326544351.1944692,371259866.3976695,2121097262.1951373,0.1750319860454915
28-12-2023,0.604043042802422,1278976134.64139,165738031.57028857,2117359267.4913623,0.0782758193731828
29-12-2023,0.5801758211609274,1230929901.507125,138469321.62777585,2121649776.862544,0.0652649288010869
30-12-2023,0.575111691596446,1218313875.7701404,126271981.95197885,2118395250.1265216,0.0596073758872133
31-12-2023,0.5786123895289096,1225855820.7782264,94562535.48370308,2118613156.1688209,0.0446341679736873
01-01-2024,0.5933049789860491,1256744726.8944116,113042858.95205176,2118210315.784258,0.0533671553337696
02-01-2024,0.6042950866653348,1279626938.4809248,148910756.72072282,2117553107.2778623,0.0703220883617645
03-01-2024,0.5875911398724032,1242701357.04031,106182801.30931328,2114908263.099688,0.0502068118801937
04-01-2024,0.5169094045611028,1095736599.7177074,192479203.359992,2119784608.3842776,0.0908013024524702
05-01-2024,0.5393096893903878,1142773284.9357777,124221781.59982224,2118955597.158877,0.0586240607242456
06-01-2024,0.5116737041700447,1083069497.6929617,113184903.34378658,2116719090.4401548,0.0534718583372584
07-01-2024,0.5002082164327427,1060121442.5401168,94982290.3758543,2119360313.791765,0.0448164900313343
08-01-2024,0.4684903858211683,991237386.0172938,96609320.10758176,2115811585.503204,0.0456606442508939
09-01-2024,0.5031904494713938,1067342894.2292156,125274407.3920944,2121150938.6763384,0.0590596383821084
10-01-2024,0.4771914398579793,1008889448.4768542,113348180.42087252,2114223693.486869,0.0536121985436336
11-01-2024,0.5214206647416779,1106810058.9089763,159405699.06836513,2122681615.3466256,0.0750963771089781
12-01-2024,0.5373227365639581,1140488578.5648768,141052706.0206209,2122539213.3190017,0.066454699699073
13-01-2024,0.5051077718617099,1069012317.9556313,134601707.8881917,2116404414.0827613,0.0635992379303968
14-01-2024,0.5103755022333576,1080428011.3130207,82810233.24742784,2116927647.555896,0.0391181216528758
15-01-2024,0.4892783729036411,1041006071.049391,71438525.0177876,2127635572.5095727,0.0335764855320241
16-01-2024,0.5029970927361904,1066218512.7644218,83921362.99963774,2119730964.973245,0.0395905727596412
17-01-2024,0.5191382188289522,1100436844.6861434,87357878.68529053,2119737682.1310856,0.0412116458662304
18-01-2024,0.5066063188076713,1073603335.537254,78637979.5095059,2119206365.3371809,0.0371072778922094
19-01-2024,0.4802211635727406,1017892745.472455,84804802.20776157,2119633249.604318,0.040009186600367
20-01-2024,0.4875268700945344,1033477986.3849348,132646048.61484452,2119838002.3331585,0.06257367236027
21-01-2024,0.4873516309600044,1032759983.92241,75021648.81128381,2119126967.7051024,0.0354021490710998
22-01-2024,0.4853319669336821,1028983390.3179116,64867859.89559581,2120164053.5219817,0.0305956795125539
