Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
04-12-2023,39888.40988318693,6399724407.513972,113425093.184213,160440.7000994911,706.9596001131683
05-12-2023,41907.714276169965,6717652877.585898,229493268.609796,160296.33191915136,1431.6813483015037
06-12-2023,43962.33276702992,7049405313.878424,300359713.4002499,160351.0293968115,1873.1386666496967
07-12-2023,43615.24186795947,6955519491.937757,222142687.481285,159474.51381778083,1392.9667014699933
08-12-2023,43285.4891506116,6700574377.231133,234050871.68561345,154799.55312313847,1511.9609001676697
09-12-2023,44211.194377494045,6838343559.7679615,208907788.9320956,154674.48134016164,1350.628669461406
10-12-2023,43537.88417571362,6739247909.358506,224740797.9450819,154790.432216681,1451.9036785844876
11-12-2023,43730.530209360695,6766660775.916719,125498722.60095188,154735.39295135936,811.053762214583
12-12-2023,41202.00926671181,6373904404.616362,276527864.63333327,154698.87313884005,1787.5234578157103
13-12-2023,41446.628557326985,6416852858.517811,189272606.0978604,154822.0707419502,1222.5169524655864
14-12-2023,42925.63873570364,6645550803.90356,178987868.5982501,154815.4203323732,1156.1372130371835
15-12-2023,42961.038336231424,6653362740.857258,199477238.1910598,154869.69120218186,1288.032775442439
16-12-2023,41823.4246394479,6477762299.668799,118248481.27430125,154883.59347691885,763.4667986439954
17-12-2023,42128.66006912793,6514446071.164834,73739427.44271605,154632.16870594583,476.8699039780114
18-12-2023,41393.50503208496,6401044331.125001,95377583.2737443,154638.85762182783,616.7763053901493
19-12-2023,42451.010447026,6548354465.289894,186524560.5529453,154256.73962370085,1209.1825680223742
20-12-2023,42191.19111269692,6496335525.891989,202204169.935116,153973.7408346596,1313.2380160344826
21-12-2023,43568.25369921986,6779044805.259986,187877295.50335443,155595.97251843428,1207.468885360099
22-12-2023,43761.07704321216,6814832248.430896,194936929.2190818,155728.1655042801,1251.7769575454483
23-12-2023,44014.31485078197,6857928314.598002,272334335.6092586,155811.31588320437,1747.8469651934618
24-12-2023,43728.13012309298,6811783961.359134,96479936.62660667,155775.7887699343,619.3512957851118
25-12-2023,43007.399554856864,6700836583.648984,134779078.41276655,155806.59730663145,865.0408952036723
26-12-2023,43562.12912898767,6787733392.822091,117385793.89106847,155817.3011407129,753.3553272435496
27-12-2023,42450.4304062666,6610395358.897205,158878555.48184317,155720.3377123208,1020.281344209238
28-12-2023,43498.105162051324,6777248263.050322,264323317.75166905,155805.59745767817,1696.4943626204945
29-12-2023,42636.68087338402,6749361270.811584,274389279.9039582,158299.40634578984,1733.3563418714357
30-12-2023,42109.01924730788,6655946448.395076,202186068.0664984,158064.6276586127,1279.1354464401677
31-12-2023,42233.579841749706,6681627103.073897,122188473.69813816,158206.50601038613,772.3353279170237
01-01-2024,42216.63591902818,6680929126.853484,132259514.59565663,158253.47002228117,835.7447996371598
02-01-2024,44115.57463899932,6965998277.412706,154842272.26087242,157903.378442102,980.6140551808904
03-01-2024,45004.055610916526,7102410157.312307,390166073.55885,157817.1136111896,2472.267199868408
04-01-2024,42762.81231922164,6762209699.371516,369196683.3635231,158132.95086609497,2334.723290379589
05-01-2024,44164.93054778208,6989108218.924112,183144486.1317173,158250.18022755836,1157.3098107588994
06-01-2024,44067.18521456946,6965553026.645944,246228090.84809017,158066.66554102933,1557.7483715829812
07-01-2024,43917.09052511399,6945949219.341247,104589434.57742406,158160.50508558177,661.2866753354764
08-01-2024,43856.97255662551,6937855560.118973,194582331.4873052,158192.76059607687,1230.033098569814
09-01-2024,46844.47439284727,7408776529.551821,378090454.2130491,158156.8931144433,2390.60370223295
10-01-2024,46059.97717203833,7280256789.924735,637962490.6515267,158060.36470083983,4036.1952337576568
11-01-2024,46594.45256730014,7383631584.812267,727352099.8653677,158465.89407070488,4589.95990355398
12-01-2024,46310.48077163607,7338991034.427649,565471753.6633453,158473.65244635043,3568.2382839934844
13-01-2024,42984.027226034894,6789446977.595365,703736341.0805074,157952.78887882055,4455.358756725754
14-01-2024,42815.49173836973,6775565790.661278,258251584.7569446,158250.3321943458,1631.9181209666476
15-01-2024,41849.30217350753,6646981879.405125,256694787.52260888,158831.3671718273,1616.1466849612316
16-01-2024,42616.11403436924,6741454113.417027,175649016.55798912,158190.25892365852,1110.365567090677
17-01-2024,43124.25072334151,6824054762.10309,193232454.6383856,158241.70038065125,1221.122208454307
18-01-2024,42697.54409523023,6752438334.896281,146020235.84486988,158145.8249644527,923.326530293744
19-01-2024,41289.2850009546,6530091601.614174,189336368.74021965,158154.6302258128,1197.1598205495825
20-01-2024,41554.50055561664,6573627514.491418,223457157.65587524,158192.91356163117,1412.5611105128137
21-01-2024,41624.67216373154,6588691054.183338,92472189.62800178,158288.11884131076,584.2017095465535
22-01-2024,41495.1162867844,6567448460.24311,123182761.3614178,158270.39536059208,778.3057664117595
23-01-2024,39465.70134698248,6252360006.825143,296604615.55917287,158425.1588956798,1872.2065209003945
24-01-2024,39700.159934176976,6276968416.077566,374617045.4901281,158109.39871488692,2369.353425760993
25-01-2024,40045.537295525246,6344900507.595709,186542768.64313933,158442.13702945368,1177.3557977727976
26-01-2024,39897.30281086682,6318046778.662973,131113549.53541012,158357.74184068723,827.957938850343
27-01-2024,41751.62528569297,6591855160.408387,185741054.3473833,157882.6001455617,1176.450439605993
28-01-2024,42003.28452972123,6634674776.253778,122250631.16492204,157956.09439921606,773.9532408034063
29-01-2024,41921.66807985035,6617204313.705401,161840173.5997651,157846.8752985037,1025.2985578188334
30-01-2024,43113.02417452927,6806669934.062816,261615771.78810737,157879.66778920896,1657.0580331939914
31-01-2024,42793.147882671794,6747894320.153051,231756103.6279514,157686.3272282307,1469.728591576074
01-02-2024,42504.22322912493,6708115862.208347,217728279.7739997,157822.33746626345,1379.578349107533
02-02-2024,42966.36831981016,6780194240.266098,141417969.83005273,157802.35810947066,896.171461087725
03-02-2024,43093.85225287536,6800053200.406255,287261857.16647136,157796.36409628554,1820.459291388916
04-02-2024,42853.04745543016,6760040532.725517,156403764.73987514,157749.3535262896,991.470083671752
05-02-2024,42571.2811409424,6715519401.768643,70162696.5721725,157747.64634250285,444.778088288143
06-02-2024,42598.51447496811,6721427127.124267,133313353.65367432,157785.48172316985,844.9025360113221
07-02-2024,43004.70223508981,6787449389.449526,265778568.5175594,157830.40078606305,1683.9504125559347
08-02-2024,44144.36918610532,6966076424.97106,245609922.90028325,157802.15129144193,1556.4421707196548
09-02-2024,45156.61269767948,7129746581.260258,277105119.2773701,157889.3135539957,1755.0593706432478
10-02-2024,47030.9678820388,7424836485.195831,268085392.72201964,157871.22442001427,1698.1270254088995
11-02-2024,47743.45916712747,7534158518.194144,100356721.79522368,157805.04072443908,635.953841109979
12-02-2024,48079.10580998327,7585205935.057689,353684390.60112125,157765.12077898663,2241.841472023453
13-02-2024,49960.46462352164,7832680077.983933,321881418.17673707,156777.56676218478,2053.1089034249244
14-02-2024,49673.70401358401,7791087937.643478,232396604.85429963,156845.31871255042,1481.6929619698224
15-02-2024,51716.4647025437,8123047776.321045,241317937.17624897,157068.89136839064,1536.3827621999312
16-02-2024,51884.0301362213,8144856615.506167,288670711.1242315,156981.95753340443,1838.8782740386248
17-02-2024,52141.40670982975,8183938035.146814,220497382.6109768,156956.60227755172,1404.830248689149
18-02-2024,51721.21891401232,8120471681.199698,90898137.23320489,157004.64628840564,578.9518933486331
19-02-2024,52065.726827620216,8170656252.440805,189066316.8860798,156929.64931599447,1204.783912473893
20-02-2024,51815.53625230362,8127709333.262529,293983209.08517665,156858.53937102095,1874.1932078674515
21-02-2024,52314.724242799566,8211091507.408892,270503985.9810869,156955.64922219847,1723.442178230493
22-02-2024,51814.28473597133,8131248527.587362,287917550.43861246,156930.6334927047,1834.680355457796
23-02-2024,51224.16443041664,8031286076.248743,262296661.14822912,156787.05871637035,1672.9484135723658
24-02-2024,50838.15013475632,7985695699.875206,146746916.3417103,157080.76864928365,934.2131287207674
25-02-2024,51614.511879525846,8100030732.315819,173980363.77218562,156933.20419695557,1108.6268496362018
26-02-2024,51844.489947924114,8135355702.762654,263598486.7967178,156918.42490753252,1679.8440779153163
27-02-2024,54474.89523460232,8549566010.736866,397144840.3695472,156945.0656842421,2530.4703823474338
28-02-2024,56902.95532058005,8896766185.0206,476180793.1342203,156349.80880866328,3045.6116113129224
29-02-2024,62389.694545505634,9761901470.211344,861239600.601879,156466.56938015996,5504.304235810034
01-03-2024,61278.45906038125,9572193601.691652,659718569.1549371,156208.1316741273,4223.330514772466
02-03-2024,62416.953018010434,9731318274.013582,308390667.98123497,155908.25574592862,1978.0265419927143
03-03-2024,62073.95700004967,9675205475.626896,153122676.02672374,155865.77597460322,982.4008835119364
04-03-2024,62902.687471637226,9792028888.946909,194822910.03600296,155669.48380960873,1251.5163875938636
05-03-2024,67966.70373766671,10564075896.541767,582366816.0350969,155430.16382427895,3746.806936995124
06-03-2024,64536.612283264265,10053705693.355171,1085026133.7885537,155782.9786482659,6964.985155652829
07-03-2024,66427.08211631718,10349198502.475931,684430155.9784507,155797.87900895544,4393.064657440612
08-03-2024,67331.01770856397,10483130271.02819,434324548.8812709,155695.40796789143,2789.578411784889
09-03-2024,68258.2106395422,10645273801.919252,511569463.9796927,155955.9458441533,3280.217764130031
10-03-2024,68344.94614898153,10659653994.495768,158690467.0308512,155968.43066141792,1017.4524829024044
11-03-2024,68916.62816239487,10747864248.345173,294849055.9251752,155954.58650442018,1890.6084298894173
12-03-2024,72173.05855866981,11253679140.00409,664264358.6277833,155926.31606232846,4260.117056586245
13-03-2024,71211.83611335496,11130934628.840376,563271659.8210849,156307.36737530766,3603.615551073932
14-03-2024,72806.20329357717,11340071769.056126,374334249.2082156,155756.94454673651,2403.32301264354
15-03-2024,71144.59491717238,11070130532.117563,504271342.99443054,155600.44364586766,3240.8091595298138
16-03-2024,69077.18215995295,10747288746.491282,627745053.6239078,155583.77470588186,4034.77197291689
17-03-2024,65094.08062574542,10142049230.694592,350561918.46488166,155806.01389864783,2249.9896486211564
18-03-2024,68262.96286331012,10609206516.736923,318287878.2140443,155416.7307091668,2047.9640561328
19-03-2024,67448.04526085824,10500878314.080223,313026442.4153312,155688.40095317247,2010.595782979892
20-03-2024,61784.00065145008,9649369447.829872,641281098.0106132,156179.09727578316,4106.062265670741
21-03-2024,67655.68281157357,10521679930.510288,656165070.8332833,155518.05100857528,4219.2212838180585
22-03-2024,65444.837106750085,10200888335.3842,427638065.7800876,155870.02407455092,2743.555525310967
23-03-2024,63413.35387431135,9829703705.251204,339938876.8983229,155009.99560335826,2193.0126220257644
24-03-2024,64404.11690562285,10002604535.57658,196666419.570755,155310.01768465046,1266.2828998582484
25-03-2024,67144.64679189665,10440862472.054785,245739661.35877505,155498.06233123023,1580.3390580862608
26-03-2024,69965.05733345605,10874126623.197422,402427639.0363413,155422.24987211736,2589.2537224719235
27-03-2024,69950.90350339952,10862268552.618795,325876083.73381555,155284.1780248186,2098.578798425502
28-03-2024,69379.05322294017,10749044108.138187,337391323.1171322,154932.12444968935,2177.671830910008
29-03-2024,70825.70305974729,10996887205.54743,216074945.4711862,155266.89789822,1391.6356183842024
30-03-2024,69862.62687122382,10841586599.03543,187221043.207476,155184.35370343973,1206.4427807281331
31-03-2024,69714.67203597908,10821939379.928955,141659835.07599917,155231.876789779,912.5692351696578
01-04-2024,71251.47527536144,11048260949.210669,180253462.4373057,155060.10095247984,1162.4748167328144
02-04-2024,69713.35329452273,10827016148.344765,243156690.8921552,155307.63672496335,1565.64542491085
03-04-2024,65434.79756534601,10166675767.850945,328371620.76390195,155371.08917771257,2113.4666848367933
04-04-2024,66152.96652315544,10271770300.118784,205151208.90786567,155273.01102246667,1321.229024651181
05-04-2024,68471.71806628745,10635761484.927725,254515711.021135,155330.72318458912,1638.5406943523865
06-04-2024,67942.57209975034,10541389152.694613,343369587.51861244,155151.4584584493,2213.1251032394857
07-04-2024,68967.84303107912,10723837663.320024,124763216.91320038,155490.4023674848,802.3853241972836
08-04-2024,69489.86991422613,10790097528.510086,195001387.227244,155275.83433137368,1255.838605324072
09-04-2024,71671.7457087507,11132662972.771809,418385619.4987528,155328.47515687865,2693.553896516345
10-04-2024,69154.17564204478,10739571708.266232,326660122.255199,155298.9621893016,2103.427593141394
11-04-2024,70507.63057872467,10953415745.004614,294900581.9587769,155350.78480299626,1898.2883307139184
12-04-2024,70133.81434949784,10873177773.639702,254143145.0406421,155034.7414366399,1639.265771565828
13-04-2024,67236.38624313695,10422253543.800669,309130885.6984279,155009.12714303564,1994.2753784632007
14-04-2024,64312.084484875726,10018523944.262783,612988309.2303755,155779.80444124524,3934.966483165496
15-04-2024,65660.38416415798,10198850248.550512,436149710.2788138,155327.30090418443,2807.9398002792705
16-04-2024,63468.042894395294,9832741000.479471,356684508.90379703,154924.282395791,2302.315062480402
17-04-2024,63708.9398243548,9879998274.702406,332063786.84665823,155080.2493643986,2141.238411774758
18-04-2024,61308.63324508984,9525623299.479416,340697089.46937144,155371.6466227424,2192.7880464356367
19-04-2024,62855.84201419075,9763509685.548475,2031307216.899493,155331.77780585934,13077.216044216735
20-04-2024,63978.8499022686,9927628234.68889,385395519.5914319,155170.47039535592,2483.691121187491
21-04-2024,64890.525880074085,10068994999.252266,151096636.71321422,155168.95359826557,973.7555948492466
22-04-2024,65004.24862066205,10086237698.337996,131814784.71114616,155162.74570293268,849.5259871432836
23-04-2024,66837.32534190993,10384703425.125628,172834959.5344837,155372.8155937138,1112.38866898333
24-04-2024,66509.83563677587,10307099950.650846,173633657.81382498,154971.06333174655,1120.426317538568
25-04-2024,64265.27435700058,9976859913.713451,214874461.97198027,155244.9594829536,1384.0994431485822
26-04-2024,64483.3024993409,10007334141.703442,220903152.93605164,155192.6429606444,1423.4125324618053
27-04-2024,63758.12411439158,9895093695.008171,213316838.101986,155197.37809812126,1374.4873832025664
28-04-2024,63494.39749380903,9853491299.199354,249405935.54176235,155186.78321437904,1607.133870396853
