Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
04-12-2023,227.8810023686749,35118506153.111664,650989062.5626266,154108968.22498417
05-12-2023,233.28507676882688,35852531191.77957,2316993901.6119576,153685489.39505258
06-12-2023,231.14254967265893,35557934225.21581,920391780.3972071,153835519.5768693
07-12-2023,229.6291702982718,35399176877.94855,932888600.2434336,154158014.12323862
08-12-2023,232.90388747524327,35878009959.343155,904362998.6336418,154046419.5264102
09-12-2023,238.98902791513137,36709108288.0594,905954740.7935344,153601646.9387681
10-12-2023,237.8842055402832,36562916449.6806,986629989.1667026,153700479.46915525
11-12-2023,239.5736712075568,36869866436.31588,527392219.51974094,153897822.95556736
12-12-2023,246.2875566773758,37850906997.43676,1646086162.987126,153685827.6888894
13-12-2023,254.95445837168663,39398016337.61168,1657357467.53224,154529623.01280916
14-12-2023,252.2180640498761,38799813552.39792,1195696631.065601,153834396.03566724
15-12-2023,253.5655635032257,38997719701.67703,937364200.2942276,153797381.4854434
16-12-2023,244.6685159764498,37655859835.83248,657281007.4757322,153905620.7765489
17-12-2023,244.1625572534542,37545825053.48664,377310278.5495135,153773885.21742916
18-12-2023,239.17277676807825,36802802156.94839,462685389.032428,153875381.0289849
19-12-2023,241.10001595415807,37087040026.372406,919400915.9863384,153824295.19798952
20-12-2023,252.0474766956916,38769593139.75883,2010570238.162863,153818612.46152103
21-12-2023,260.25503354808023,40038351864.20718,1370322319.8328936,153842756.9233176
22-12-2023,271.0739333915976,41699172449.320885,1318445333.121292,153829517.75404245
23-12-2023,271.4314527300256,41801648142.85345,977414196.2132162,154004437.29868954
24-12-2023,271.25430109375634,41747681833.156784,467478469.8763875,153906064.03224227
25-12-2023,264.6528500144323,40796895926.10187,657047435.2502302,154152490.4185883
26-12-2023,267.17879986250625,41124842138.2192,552660301.430287,153922549.84071562
27-12-2023,297.1454222726345,45694870570.14166,2380059311.07295,153779486.89452153
28-12-2023,323.4162880480637,49503830704.20125,2530289155.531692,153065360.4460526
29-12-2023,323.3739475628496,49958278239.05712,2670433244.277489,154490733.14524648
30-12-2023,313.6202885727052,48128267439.39578,1796887469.4753735,153460312.33638898
31-12-2023,317.47480395153906,48882512580.60732,846389292.0261549,153972888.46918696
01-01-2024,312.13562141703204,48076080282.38836,814691850.6008754,154023049.54536352
02-01-2024,314.8090243019822,48431756717.03176,891327467.2582974,153844880.47767442
03-01-2024,312.1281269389321,47942505542.95198,1262689113.1909027,153598799.35566312
04-01-2024,316.2568698145509,48556088397.723816,3005379113.5909524,153533703.24001655
05-01-2024,323.1908908831624,49720265457.19734,1520601083.8762922,153841790.90360516
06-01-2024,317.1360633838788,48793715844.85999,1534646961.9676516,153857354.8660009
07-01-2024,307.5822810158495,47307905037.38408,1170073719.9076016,153805690.24048018
08-01-2024,302.34431251494595,46347209695.58618,697390259.2762585,153292811.46406573
09-01-2024,304.4079114436878,46904667082.63097,1275198629.0066023,154084914.7454166
10-01-2024,301.0258937007486,46249477627.591545,1649759343.4654353,153639532.66282266
11-01-2024,305.3729176547247,47011551415.58172,1417111614.4186735,153948004.8742769
12-01-2024,308.2886658578193,47518696442.72419,1692987778.94904,154137020.608599
13-01-2024,296.78385646671904,45573685141.6714,1438835226.9169433,153558504.4423802
14-01-2024,302.1937344871412,46511820484.90309,604671669.5839559,153913914.07846093
15-01-2024,299.40249177259903,46369619326.86056,622433206.5090189,154873859.10628635
16-01-2024,317.96910509773306,48978456177.62792,1925904019.0776,154035267.5539769
17-01-2024,315.48070323291495,48540451920.65531,1341981225.7538114,153861873.08203945
18-01-2024,309.34175002958136,47591545231.69803,1531777116.6855192,153847792.0524695
19-01-2024,314.5677329220257,48376933187.36931,1144722658.9023118,153788606.15484953
20-01-2024,314.0674293261276,48287719207.43324,1029964275.9613564,153749528.59976855
21-01-2024,315.97627175384287,48645934441.93995,448273871.9902859,153954390.85323763
22-01-2024,318.6325570123344,49042846215.38603,500956293.010627,153916620.05677456
23-01-2024,304.7222133333107,46940688608.90459,874777342.5713239,154044196.82906413
24-01-2024,298.5095874866432,45841747382.09068,1166626987.0357544,153568760.61524114
25-01-2024,293.3538084214872,45131103087.77612,911262996.3332914,153845294.6311585
26-01-2024,292.0604392592448,44954097752.35896,1155198730.6271117,153920530.51202822
27-01-2024,302.0226742114041,46443829653.12862,873868568.022558,153775969.88171738
28-01-2024,305.7822741600565,47056386363.94693,430181295.2851963,153888535.53792354
29-01-2024,304.8048510071795,46902791586.07024,569912680.5722743,153878100.79494265
30-01-2024,310.7480866931902,47758984441.752495,643276219.2452383,153690357.1956863
31-01-2024,307.3215919447753,47188873308.49943,603066399.3398702,153548837.9123687
01-02-2024,300.2133197962691,46192055347.44985,623470375.2732543,153864110.28929937
02-02-2024,299.91140489999145,46148265214.21733,576922486.3137152,153872992.02444783
03-02-2024,301.1743543985105,46333522221.56054,468564687.5439547,153842853.9644267
04-02-2024,299.718153248542,46091745160.41208,293900008.4777782,153783628.58852395
05-02-2024,304.7648432086672,46871377111.11922,660952641.8598235,153795223.286392
06-02-2024,300.81169435831123,46272324647.37047,593526895.5175915,153824886.1836245
07-02-2024,302.80203539789846,46583218384.37029,397448079.1723134,153840506.13516316
08-02-2024,307.8797114234207,47401109068.20025,583296868.8342254,153959833.3682029
09-02-2024,319.31080021633784,49200833687.85744,1167094483.213521,154084464.58598688
10-02-2024,323.39926577986324,49760693079.58217,1180454941.1075988,153867674.86805025
11-02-2024,322.83361107940965,49684479382.803535,514328389.4665282,153901197.63763475
12-02-2024,320.51049489651786,49303061990.437965,432108285.0397887,153826669.56461528
13-02-2024,327.9132978808212,50408542026.942055,813983944.8613058,153725214.41708302
14-02-2024,325.11173255625624,50013084967.3933,739141006.7592179,153833528.4739046
15-02-2024,333.8536985075189,51395978505.9841,672496070.5326432,153947608.5954656
16-02-2024,355.02746003084934,54624493952.98465,2136764834.244069,153859912.5494072
