Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
04-12-2023,8.541660577762352,1239748286.4563923,105078523.11681658,145141366.26828685
05-12-2023,8.848506403251525,1285903860.9787035,438855984.50538296,145324397.40408364
06-12-2023,10.305596513879,1508638888.67317,370379238.9787116,146390253.7462455
07-12-2023,9.667959771216005,1412398057.153828,510937639.55802,146090601.38612694
08-12-2023,9.534130129521934,1392840094.390195,257459001.91548625,146089897.60663518
09-12-2023,9.314113138035802,1357546543.6168494,245472318.2203361,145751562.54792222
10-12-2023,9.31846089654593,1356730045.1345928,240081534.34810123,145595936.94678605
11-12-2023,9.825610080945689,1431914457.0419605,121794384.84091412,145732880.22275588
12-12-2023,10.865640529508,1592720923.4818797,434246741.1409608,146583251.96351755
13-12-2023,12.139670587449944,1779141277.4624834,550088897.3491371,146555976.51074398
14-12-2023,12.1242540010619,1769086812.477259,339961371.28740615,145913044.40853137
15-12-2023,13.985298130572112,2044194664.3428469,428977176.2409055,146167399.88361067
16-12-2023,13.112478640698903,1916924560.9440973,296657013.86237854,146190862.41973272
17-12-2023,13.100906249059356,1890282647.708408,295611675.4764362,144286403.6863198
18-12-2023,12.75134313344642,1858702668.7461607,238939973.00889972,145765246.00540596
19-12-2023,12.765536486033014,1835439772.212932,191403963.9245611,143780856.70125318
20-12-2023,11.710082499002244,1707036819.2182364,252440850.8572445,145774960.96749824
21-12-2023,12.99142574276788,1906001262.981813,351911317.38986504,146712247.04054162
22-12-2023,12.832012693333043,1865878271.914656,247895270.889069,145408075.6079742
23-12-2023,12.448068517621069,1815682648.1937745,171082737.75349864,145860592.39821464
24-12-2023,12.337752138999884,1796692730.846294,106323979.85868932,145625614.0182061
25-12-2023,14.2108507384337,2078222832.96354,403878230.8105984,146241971.80137283
26-12-2023,13.7522982545072,2004660971.0595603,217855999.5361597,145769160.46760035
27-12-2023,12.750008007409084,1858662748.4210968,195781063.7843545,145777378.9115285
28-12-2023,12.621999476850348,1839378909.128384,145809874.4846027,145728013.41831273
29-12-2023,11.878591163493954,1739405342.4976976,130047340.52228452,146431956.3285711
30-12-2023,12.39018992529899,1803021640.5420225,152068665.14534637,145520097.061669
