Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
04-12-2023,1.0797128622198948,1080310313.664833,14444888.216831263,1000553342.8986944
05-12-2023,1.1121699249650692,1108708385.196964,28550074.99146946,996887580.1346508
06-12-2023,1.1092698837942732,1109403263.056074,24694811.940681383,1000120240.5868484
07-12-2023,1.048149324299188,1049475819.207755,41959761.91351201,1001265559.093361
08-12-2023,1.0643915355523792,1063666856.488386,18726130.67177596,999319161.1922984
09-12-2023,1.1579231662152296,1160911983.18251,23338487.922169752,1002581187.6422246
10-12-2023,1.1620326835126484,1162268309.093361,33521269.97846436,1000202770.1837096
11-12-2023,1.1401096026124593,1139589858.433915,19119183.92578373,999544127.8826584
12-12-2023,1.0418466450197374,1042161349.950124,31211696.36141943,1000302064.5426954
13-12-2023,1.058128186463026,1059117419.780542,17010678.488964103,1000934889.8651145
14-12-2023,1.1072937437725998,1107368043.01949,20850505.43573372,1000067099.852508
15-12-2023,1.115649493771976,1116197735.585304,25266230.6042114,1000491410.4442198
16-12-2023,1.0443187937665264,1045407955.905165,14896721.962532183,1001042940.2833116
17-12-2023,1.0887196687062408,1087422097.283113,16973695.086876474,998808167.55642
18-12-2023,1.0476884594274032,1047159894.446323,14045654.59923613,999495494.1267856
19-12-2023,1.019182965107324,1018923072.742073,27784487.15624164,999744999.3041987
20-12-2023,1.0190502183357133,1017882821.230355,20218697.17159035,998854426.3233024
21-12-2023,1.0828859789687275,1082742436.859579,23143725.021782488,999867444.8539032
22-12-2023,1.1681326387456,1167183857.136,38046568.1443192,999187779.2143376
23-12-2023,1.157293048693103,1157927710.293377,30654968.563118603,1000548401.8079869
24-12-2023,1.1447136003732648,1145371183.024281,22186789.231337667,1000574451.6801424
25-12-2023,1.2569538992498788,1257433067.401033,70651294.46345533,1000381213.7831308
26-12-2023,1.419915225479223,1419042365.832448,71396078.09700303,999385273.4085016
27-12-2023,1.4059176673235598,1405101065.432911,59402284.301840425,999419168.0568298
28-12-2023,1.3467728822272995,1345238695.370644,36130943.53583448,998860842.182894
29-12-2023,1.3420576760397038,1342752622.362306,54175394.140820734,1000517821.5027636
30-12-2023,1.2734460978945543,1272359078.744113,31502899.69388504,999146395.6328903
31-12-2023,1.255321415137213,1256107938.527986,35008522.785872094,1000626551.4005328
01-01-2024,1.250409371594032,1250974775.404108,22358477.479051825,1000452174.9619927
02-01-2024,1.3405383806505324,1340314133.300352,23645029.813069403,999832718.4410256
03-01-2024,1.361971891407452,1358111473.30701,51612148.86181518,997165566.9806424
04-01-2024,1.180366063749955,1180423514.005206,75493187.61261941,1000048671.5579308
05-01-2024,1.211638632002105,1211966611.892418,31299171.975674056,1000270691.179408
06-01-2024,1.1475211955673834,1146703656.98542,28482676.46706027,999287561.2362356
07-01-2024,1.108000621747408,1108056098.439286,15521247.765497154,1000050069.1884004
08-01-2024,1.0411240669635016,1039299626.101427,17742401.43926451,998247623.9672418
09-01-2024,1.0961244297959392,1098079134.980516,30711542.204098307,1001783287.6737732
10-01-2024,1.0145079973198132,1013703116.000346,26280287.76025341,999206628.9062347
11-01-2024,1.0872731360803989,1089496591.862903,29115375.78896866,1002044983.646446
12-01-2024,1.1352379964472057,1135761896.574288,35401056.46087371,1000461489.2460628
13-01-2024,1.0474406179266356,1046013806.922608,31787407.59410017,998637812.0347748
14-01-2024,1.059646073808679,1059699335.171921,16945759.96976591,1000050263.351659
15-01-2024,1.0127187020583166,1016748404.699996,15297715.831476994,1003979093.7340144
16-01-2024,1.038557989041589,1038493010.19259,15646758.89619734,999937433.5861024
17-01-2024,1.0760228953788191,1076679122.847089,19137278.69698844,1000609863.852422
18-01-2024,1.0572803335992236,1057741525.981654,17669179.61931536,1000436206.3378788
19-01-2024,0.9850019104839788,985861025.518958,18869248.031313032,1000872196.3133624
20-01-2024,1.006298972210873,1006298972.210873,20734153.632840343,1000000000.0
21-01-2024,1.0264869184272167,1025739148.574516,11924269.219885778,999271525.1999058
22-01-2024,1.0097524440943824,1012013365.028783,11425446.709297713,1002239084.3890736
23-01-2024,0.9434406660864696,944453712.9108036,16125641.126736002,1001073779.0523024
24-01-2024,0.9358485660033764,933960901.8866072,17571377.164408747,997982938.495241
25-01-2024,0.9659428576906264,967073850.3639848,12955766.603231585,1001170869.1299424
26-01-2024,0.9371470308495508,937265915.4484396,11561895.43517607,1000126858.0009063
27-01-2024,0.9816108140098786,981657895.2139976,12526491.486867728,1000047963.2084806
28-01-2024,1.0014955498718716,1001218976.689979,12613326.81450206,999723839.8294152
29-01-2024,1.0188207290042903,1018949898.361362,17112681.00665499,1000126783.2047328
30-01-2024,1.0357488401533443,1036274151.612425,19293338.2454698,1000507180.3498256
31-01-2024,1.0046403539764333,1003537565.415947,17053554.109451786,998902305.1322582
01-02-2024,0.9720626760467044,972394980.813433,18782600.4205528,1000341855.2886736
02-02-2024,0.976402798983898,976388698.592026,13598942.639106777,999985558.8371042
03-02-2024,1.000151327205855,1000256699.180299,11357844.9263128,1000105356.0312102
04-02-2024,0.9887355359090364,988403200.5724448,9151604.320405755,999663878.4340992
05-02-2024,0.9528577420580836,952098372.731796,9165288.314577766,999203061.178212
06-02-2024,0.9588768476214192,958566295.1213456,10656942.610487182,999676128.8993012
07-02-2024,0.9464754198212724,946361525.4925808,11970641.759389551,999879664.7791308
08-02-2024,0.9916746195845396,991423382.2401888,10843377.58024433,999746653.449237
09-02-2024,0.9931754608586834,993796798.3801912,12360197.492831737,1000625607.0009732
10-02-2024,1.0355324395951702,1036245412.944135,17878515.503492553,1000688508.9464155
11-02-2024,1.0237466238535642,1023973929.401838,11124711.073677318,1000222033.0138116
12-02-2024,1.017502276985489,1015457193.160293,10418914.54670723,997990094.1045018
13-02-2024,1.0805056650742908,1080125469.362295,16914885.932028886,999648131.6810404
14-02-2024,1.0736457704511542,1072582380.053047,18468594.3000056,999009551.9142592
15-02-2024,1.0888642505716255,1088641139.753833,16770701.583838424,999795097.6738604
16-02-2024,1.112978015231516,1113701603.261052,20905903.95283296,1000650136.8577216
17-02-2024,1.1233279484545713,1123735215.356756,23749898.40846213,1000362553.8764036
18-02-2024,1.1778272374753338,1178413117.668644,22844127.79836471,1000497424.558262
19-02-2024,1.15921737273609,1159283419.777903,20287722.521214534,1000056975.5451968
20-02-2024,1.2684375009587516,1267994903.365192,48457711.04951223,999651068.6626458
21-02-2024,1.2012603731071807,1202996312.160969,42961329.61397249,1001445098.0758636
22-02-2024,1.1728656076870196,1172992663.058606,23535409.353983782,1000108329.01123
23-02-2024,1.2179869136020518,1217337780.250353,24915276.9242135,999467044.0671822
24-02-2024,1.1969857519107336,1198354251.658323,24854238.00391547,1001143288.2516812
25-02-2024,1.3241392233729916,1324110025.141601,84650228.55541109,999977949.2738564
26-02-2024,1.3995693113579262,1396699658.117263,36812394.69065932,997949616.9161648
27-02-2024,1.801151054870642,1797083952.222511,276660296.39512426,997741942.4999737
28-02-2024,1.852160386369173,1851894162.583947,392247841.1558221,999856263.1037863
29-02-2024,1.9278805222597235,1929368125.376865,246907188.32539725,1000771626.1977676
01-03-2024,1.836710257886136,1839721003.528569,103083184.315701,1001639205.5467138
02-03-2024,2.0279732245924995,2027973224.5925,92520210.48104589,1000000000.0000002
03-03-2024,2.134690238013257,2135078361.873117,101466449.93807918,1000181817.414512
04-03-2024,2.3829514174661224,2378665549.646928,182241800.2724888,998201445.5738456
