Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
04-12-2023,6.976791561911464,2099443201.1786623,385081728.9417976,300918148.7720221
05-12-2023,6.686658606273956,2010400956.3488843,705430979.9879851,300658531.3720916
06-12-2023,6.542533168351362,1967977473.0816896,514037862.701885,300797477.4360366
07-12-2023,6.370312545537162,1917273646.173612,626365588.6400375,300970106.64206624
08-12-2023,6.515083576785245,1960372894.355088,447935558.81671256,300897581.9343825
09-12-2023,6.491198134877544,1950026345.471426,456889858.3333037,300410849.42297995
10-12-2023,6.158890748383676,1852068316.0736668,452087407.3753597,300714591.594228
11-12-2023,6.588019553363052,1979615180.730632,402630746.01684,300487144.07960093
12-12-2023,5.855312874810171,1760209789.3857796,601938620.180815,300617546.3241741
13-12-2023,5.719126249687135,1721012167.0971425,419972326.146142,300922219.9267397
14-12-2023,5.846076210326717,1759152955.970069,328459530.56953514,300911738.52004164
15-12-2023,5.910417470140951,1776696924.9919508,401732962.8430688,300604303.15924543
16-12-2023,5.702649689184977,1715881252.7830272,433855748.3285249,300891926.78925735
17-12-2023,5.609803123114944,1685851990.1259844,251187854.2903104,300518922.5232355
18-12-2023,5.512734583014532,1655885529.4509392,278457521.6684481,300374615.26860785
19-12-2023,5.5177222445925365,1658347714.6568503,341390950.7974254,300549328.35411566
20-12-2023,5.134125771567805,1542601474.3801243,283060423.36291105,300460398.3258207
21-12-2023,5.4719556373783504,1642745747.4400208,347132244.7045562,300211817.5481172
22-12-2023,5.410909329945883,1625163403.821002,378893549.718526,300349406.12047845
23-12-2023,5.352500846878262,1608513972.6397443,245748403.1120253,300516341.5486198
24-12-2023,5.615248941320708,1688789128.0690098,270397305.3147431,300750535.85635084
25-12-2023,6.073777246166608,1828734828.0898423,940087587.316542,301086910.8253891
26-12-2023,5.893844012121028,1775637143.6188388,518620347.8810452,301269789.2864384
27-12-2023,5.432135906278292,1634311134.368801,380454007.735535,300859765.39723825
28-12-2023,5.622695631817722,1691614871.0995529,398722906.2635752,300854782.4511501
29-12-2023,5.555941717028374,1678691838.0118685,381058465.1525128,302143529.1278984
30-12-2023,5.320681781788694,1598825977.8966467,271963806.780435,300492689.3709395
31-12-2023,5.253012145924076,1578413640.1552925,288230230.46779263,300477820.4025317
01-01-2024,5.134673716430468,1545946806.5134046,330908946.35153747,301079852.7599761
02-01-2024,5.341571961086408,1603827240.3027153,282974983.5162116,300253792.7012252
03-01-2024,5.673248914061028,1703753492.1194265,627900762.4300364,300313544.836136
04-01-2024,5.344266711219044,1607406976.2424483,783051384.2665011,300772222.47685945
05-01-2024,5.417795510348374,1633013978.6909192,328674288.35929143,301416687.9447086
06-01-2024,5.225146828585436,1567751458.930219,324073224.124666,300039694.6461778
07-01-2024,4.910481382854455,1476572859.4740722,373361472.4794562,300698189.10824233
