Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
04-12-2023,2512.7888842486423,0.0,47002535.08731753,0.0
05-12-2023,2558.444083968781,0.0,130901081.65237416,0.0
06-12-2023,2624.6643263520573,0.0,136240704.58108065,0.0
07-12-2023,2556.427047356214,0.0,73184883.19965295,0.0
08-12-2023,2713.959214592517,0.0,79021595.20479685,0.0
09-12-2023,2708.129934756166,0.0,120972938.02597842,0.0
10-12-2023,2690.8370243975687,0.0,124776049.50230595,0.0
11-12-2023,2694.514555080576,0.0,52019313.59131627,0.0
12-12-2023,2554.223259936239,0.0,122572623.57346956,0.0
13-12-2023,2522.866409682113,0.0,61072029.44620397,0.0
14-12-2023,2592.02276500982,0.0,114448499.85482876,0.0
15-12-2023,2666.244171667418,0.0,40117773.69916133,0.0
16-12-2023,2555.656909342797,0.0,37425140.24622013,0.0
17-12-2023,2562.327764769486,0.0,37080124.56972267,0.0
18-12-2023,2529.794113308664,0.0,73957209.23289405,0.0
19-12-2023,2551.4447823679093,0.0,135775954.50878745,0.0
20-12-2023,2513.741637215022,0.0,114877749.02479388,0.0
21-12-2023,2513.465543788414,0.0,164409046.27763647,0.0
22-12-2023,2569.6253645148986,0.0,86382658.77659488,0.0
23-12-2023,2659.893062052985,0.0,89057925.6447396,0.0
24-12-2023,2650.489267853562,0.0,79666708.10230416,0.0
25-12-2023,2602.8514044303893,0.0,98557064.01556866,0.0
26-12-2023,2613.5208222093497,0.0,105515912.99581644,0.0
27-12-2023,2560.455657184975,0.0,74642144.0014851,0.0
28-12-2023,2729.1623986144305,0.0,80834844.48675595,0.0
29-12-2023,2699.7363874112552,0.0,99880402.403855,0.0
30-12-2023,2640.1640703054813,0.0,93130921.16312176,0.0
31-12-2023,2633.9632809755253,0.0,77000329.43993278,0.0
01-01-2024,2618.7266927911687,0.0,63435262.778525695,0.0
02-01-2024,2698.305617133239,0.0,59569791.81954158,0.0
03-01-2024,2714.207074830293,0.0,115589895.97117096,0.0
04-01-2024,2538.423195952884,0.0,74270237.95376231,0.0
05-01-2024,2613.3890926556787,0.0,105495914.88514592,0.0
06-01-2024,2608.6220002215314,0.0,105236068.74625874,0.0
07-01-2024,2579.951088158759,0.0,50701318.0170545,0.0
08-01-2024,2558.0518538837546,0.0,52926274.53081277,0.0
09-01-2024,2680.5735598580627,0.0,106394829.22764964,0.0
10-01-2024,2687.4185813828167,0.0,193506298.2358504,0.0
11-01-2024,2989.805863721556,0.0,126495412.25775786,0.0
12-01-2024,3015.5230587896654,0.0,149350786.95345312,0.0
13-01-2024,2895.960589287111,0.0,196419592.5447816,0.0
14-01-2024,2967.4770360920206,0.0,45521786.07288616,0.0
15-01-2024,2864.885603366396,0.0,49931740.0192697,0.0
16-01-2024,2912.728507229746,0.0,53024079.3834985,0.0
17-01-2024,2990.3178056309484,0.0,62846883.41046658,0.0
18-01-2024,2906.7110260773725,0.0,93600570.91995202,0.0
19-01-2024,2838.8093846222023,0.0,124670409.50184923,0.0
20-01-2024,2870.201844858209,0.0,95134194.18834402,0.0
21-01-2024,2846.3966688003097,0.0,35300445.20878879,0.0
22-01-2024,2832.8849158084186,0.0,29706244.92244993,0.0
23-01-2024,2665.529151933904,0.0,65683173.387259394,0.0
24-01-2024,2589.1537157500625,0.0,174986389.07411438,0.0
25-01-2024,2573.1982575305533,0.0,77180277.45398818,0.0
26-01-2024,2555.8815905560755,0.0,81557258.23223005,0.0
27-01-2024,2612.3817184185496,0.0,124722055.52354406,0.0
28-01-2024,2616.81431201443,0.0,33460481.29644024,0.0
29-01-2024,2602.277125003337,0.0,71668006.22207335,0.0
30-01-2024,2669.503497391541,0.0,69286964.61989644,0.0
31-01-2024,2727.5240257578143,0.0,44248143.60015684,0.0
01-02-2024,2622.638892541807,0.0,66481176.48009056,0.0
02-02-2024,2655.229207622409,0.0,72176184.98009503,0.0
03-02-2024,2666.1878492263254,0.0,89090468.75000104,0.0
04-02-2024,2653.546241144993,0.0,64414686.61640039,0.0
05-02-2024,2645.1887905430585,0.0,93209477.8054453,0.0
06-02-2024,2664.368746978392,0.0,118767703.13662551,0.0
07-02-2024,2748.7360322308423,0.0,81692500.9875655,0.0
08-02-2024,2804.230828082018,0.0,96664394.39672552,0.0
09-02-2024,2798.96807030216,0.0,43403768.81683433,0.0
10-02-2024,2877.475424775275,0.0,129966061.09750664,0.0
11-02-2024,2891.390481006712,0.0,49472057.05539065,0.0
12-02-2024,2898.8952889372194,0.0,84815056.09439202,0.0
13-02-2024,3049.4019034696616,0.0,69897431.69833098,0.0
14-02-2024,3039.6749624024133,0.0,102113403.33381616,0.0
15-02-2024,3214.709649502121,0.0,377215753.6908088,0.0
16-02-2024,3264.598139380756,0.0,106857347.84004489,0.0
17-02-2024,3245.7346354064302,0.0,79052350.11961834,0.0
18-02-2024,3220.5433700770345,0.0,98616340.06007172,0.0
19-02-2024,3326.495947251321,0.0,86869464.10969207,0.0
20-02-2024,3414.8681233942534,0.0,113124154.44351608,0.0
21-02-2024,3483.2037059367635,0.0,140913495.32832146,0.0
22-02-2024,3406.303321447957,0.0,167062439.59000367,0.0
23-02-2024,3451.807483785451,0.0,156291807.20889598,0.0
24-02-2024,3380.78920080547,0.0,23818696.690386344,0.0
25-02-2024,3444.9717419584804,0.0,146573875.49967948,0.0
26-02-2024,3597.842750642929,0.0,76153405.50141898,0.0
27-02-2024,3675.3775514974927,0.0,135273169.14593065,0.0
28-02-2024,3756.189956783483,0.0,207685770.82744268,0.0
29-02-2024,3900.107599584134,0.0,225687653.9019884,0.0
01-03-2024,3863.133157388321,0.0,113127420.93668032,0.0
02-03-2024,3968.954560545244,0.0,137802735.28571975,0.0
03-03-2024,3943.384496044901,0.0,151248936.36433122,0.0
04-03-2024,4034.387205195957,0.0,82730911.18569736,0.0
05-03-2024,4188.707205698256,0.0,111693579.31872708,0.0
06-03-2024,4117.424342774788,0.0,147931360.3732462,0.0
07-03-2024,4458.1104053463705,0.0,194920111.79074585,0.0
08-03-2024,4454.823677004778,0.0,114178181.59733269,0.0
09-03-2024,4509.140251836393,0.0,140228700.36440802,0.0
10-03-2024,4508.758727030457,0.0,126398729.34049705,0.0
11-03-2024,4475.823704640277,0.0,149140312.3164609,0.0
12-03-2024,4707.976104129541,0.0,213190186.3138765,0.0
13-03-2024,4585.953225454552,0.0,158453518.1417701,0.0
14-03-2024,4609.602541802007,0.0,195000535.01937747,0.0
15-03-2024,4474.506852313355,0.0,138782050.3926491,0.0
16-03-2024,4328.88142296469,0.0,33833069.642414175,0.0
17-03-2024,4058.987345185245,0.0,93726520.77317226,0.0
18-03-2024,4228.282911690594,0.0,125570418.6026043,0.0
19-03-2024,4091.47087419495,0.0,143247112.61907795,0.0
20-03-2024,3660.2211280870897,0.0,157959734.19533855,0.0
21-03-2024,4070.5052915308847,0.0,151156947.3282522,0.0
22-03-2024,4046.7201142478752,0.0,123113880.62462434,0.0
23-03-2024,3848.097911383847,0.0,119636844.2193376,0.0
24-03-2024,3902.038375695688,0.0,63065937.62744401,0.0
25-03-2024,3999.543967803569,0.0,77692048.51917489,0.0
26-03-2024,4171.419886927623,0.0,141134401.2018618,0.0
27-03-2024,4161.431612962197,0.0,176009365.35171708,0.0
28-03-2024,4075.888515024417,0.0,251855448.3739355,0.0
29-03-2024,4125.977085981888,0.0,129946542.00155616,0.0
30-03-2024,4069.373289370483,0.0,107161237.7096568,0.0
31-03-2024,4064.717549478999,0.0,58788297.24114921,0.0
01-04-2024,4208.441988718733,0.0,69431389.7674551,0.0
02-04-2024,4057.133911190917,0.0,52879831.04577662,0.0
03-04-2024,3798.525642598,0.0,122235249.31682108,0.0
04-04-2024,3839.1117854628046,0.0,119120669.8455697,0.0
05-04-2024,3853.738717544477,0.0,107464087.18516226,0.0
06-04-2024,3853.432187109304,0.0,72296164.97504441,0.0
07-04-2024,3902.645451553282,0.0,98282920.42444672,0.0
08-04-2024,3999.160920566999,0.0,100065388.3649428,0.0
09-04-2024,4286.958412076285,0.0,138930653.30988556,0.0
10-04-2024,4061.540147784558,0.0,197894510.7050653,0.0
11-04-2024,4110.579266556616,0.0,102910626.60794114,0.0
12-04-2024,4070.4073290458896,0.0,169333496.3346729,0.0
13-04-2024,3754.68478883813,0.0,88247800.88991435,0.0
14-04-2024,3496.606923182376,0.0,179605097.51000822,0.0
15-04-2024,3668.7416697591534,0.0,152011500.85181975,0.0
16-04-2024,3600.472569742697,0.0,105245523.61852828,0.0
17-04-2024,3577.441124764737,0.0,155329671.51035252,0.0
18-04-2024,3465.7121958408893,0.0,118747331.77849597,0.0
19-04-2024,3571.843666194177,0.0,195973847.6805886,0.0
20-04-2024,3563.3223908250548,0.0,224639789.3650416,0.0
21-04-2024,3667.5664668358695,0.0,70903142.98692647,0.0
22-04-2024,3665.4312086838167,0.0,106854882.70959155,0.0
23-04-2024,3710.989436287592,0.0,145391811.99293476,0.0
24-04-2024,3727.67406861602,0.0,158226408.02555144,0.0
25-04-2024,3639.700762291734,0.0,195574429.7975265,0.0
26-04-2024,3663.504379924758,0.0,173284186.6246773,0.0
27-04-2024,3640.925350339411,0.0,173863933.02898407,0.0
28-04-2024,3785.1860977233378,0.0,178981281.9570967,0.0
29-04-2024,3795.334798390043,0.0,170474128.14366484,0.0
30-04-2024,3746.321860090077,0.0,279047707.1351811,0.0
01-05-2024,3499.693017737595,0.0,199667194.97313696,0.0
02-05-2024,3448.093275383509,0.0,213678498.7694173,0.0
03-05-2024,3482.1634736619403,0.0,172198349.00915548,0.0
04-05-2024,3621.5319790582257,0.0,84454387.30861828,0.0
05-05-2024,3630.6979697091215,0.0,116840526.3975394,0.0
06-05-2024,3656.244360192955,0.0,66276344.95380896,0.0
07-05-2024,3580.044601478006,0.0,140408736.81274933,0.0
08-05-2024,3519.9352865484498,0.0,68515544.10407604,0.0
09-05-2024,3464.863640897941,0.0,142086989.58468598,0.0
10-05-2024,3539.063562025613,0.0,104032124.60771206,0.0
11-05-2024,3391.600478201638,0.0,123877418.16721755,0.0
12-05-2024,3397.0036358904995,0.0,65453467.75324332,0.0
13-05-2024,3418.724841047205,0.0,36829239.12710391,0.0
14-05-2024,3436.569346920852,0.0,96063487.52065568,0.0
15-05-2024,3359.4391524144835,0.0,77442832.26258491,0.0
16-05-2024,3521.836828161299,0.0,111848705.44771431,0.0
17-05-2024,3423.453506195246,0.0,86676805.0531584,0.0
18-05-2024,3603.487390803656,0.0,136602146.5395567,0.0
19-05-2024,3634.913502021162,0.0,51358317.72693222,0.0
20-05-2024,3587.536152138101,0.0,102613712.05824228,0.0
21-05-2024,4279.7808952486685,0.0,145200076.36483055,0.0
22-05-2024,4428.709246968898,0.0,337142550.335748,0.0
23-05-2024,4380.3822017313005,0.0,130582783.01364824,0.0
24-05-2024,4407.8887124423045,0.0,152400470.6847815,0.0
25-05-2024,4355.0904819618745,0.0,214622050.4413192,0.0
26-05-2024,4370.087020871121,0.0,95363161.45465513,0.0
27-05-2024,4471.408379187672,0.0,87383881.35001576,0.0
28-05-2024,4539.738661497929,0.0,124030865.53341964,0.0
29-05-2024,4497.953633702881,0.0,125584118.62945504,0.0
30-05-2024,4402.481674333892,0.0,82633258.88234556,0.0
31-05-2024,4375.901370142426,0.0,100950358.50762242,0.0
01-06-2024,4396.868667741755,0.0,89898193.13670203,0.0
02-06-2024,4451.13402592174,0.0,78724849.13762872,0.0
03-06-2024,4413.5600773737015,0.0,111403220.14470318,0.0
04-06-2024,4399.098378727546,0.0,117402743.55747326,0.0
05-06-2024,4448.685191893562,0.0,221514493.8786505,0.0
06-06-2024,4508.834363950098,0.0,135491561.6897264,0.0
07-06-2024,4468.930522080609,0.0,124746063.6467568,0.0
08-06-2024,4300.945300671557,0.0,87960056.51840213,0.0
09-06-2024,4306.64375735473,0.0,72410991.44545633,0.0
10-06-2024,4334.67545034406,0.0,23050142.063994803,0.0
11-06-2024,4285.863505580392,0.0,148666223.58653373,0.0
12-06-2024,4087.428860112461,0.0,196975568.08588544,0.0
13-06-2024,4155.334946103867,0.0,145860615.14241287,0.0
14-06-2024,4050.860835844342,0.0,92414203.4017097,0.0
15-06-2024,4066.6212578567247,0.0,118849357.89151695,0.0
16-06-2024,4171.249956683264,0.0,60176654.11315463,0.0
17-06-2024,4240.850557725922,0.0,72332129.15851545,0.0
18-06-2024,4107.227613666974,0.0,137059345.07959256,0.0
19-06-2024,4068.2479524649593,0.0,140645681.98685592,0.0
20-06-2024,4165.632927050691,0.0,144575972.40889713,0.0
21-06-2024,4110.629498223755,0.0,95958575.00819604,0.0
22-06-2024,4114.016115272149,0.0,145379509.99695888,0.0
23-06-2024,4089.366905478895,0.0,124836608.81694524,0.0
24-06-2024,3998.697559894005,0.0,81172679.3459048,0.0
25-06-2024,3921.01814070176,0.0,134462132.59665185,0.0
26-06-2024,3970.0347565666384,0.0,84542629.07442358,0.0
27-06-2024,3943.401518057295,0.0,107868761.54894464,0.0
28-06-2024,4033.426191017444,0.0,236550271.1502013,0.0
29-06-2024,3949.828487021178,0.0,135376968.59905604,0.0
30-06-2024,3948.904859367388,0.0,79725669.79272935,0.0
01-07-2024,4021.114042179757,0.0,100819450.35153222,0.0
02-07-2024,4026.6300924269945,0.0,75774391.05994709,0.0
03-07-2024,4003.60532075715,0.0,80518128.40004413,0.0
04-07-2024,3860.886238690419,0.0,104484954.28983502,0.0
05-07-2024,3606.26818996068,0.0,204956930.0242886,0.0
06-07-2024,3498.8824814269974,0.0,251170432.4304061,0.0
07-07-2024,3594.4581249350363,0.0,105755774.2505014,0.0
08-07-2024,3429.769999524304,0.0,75087332.2913571,0.0
09-07-2024,3540.1920864406648,0.0,130868748.97982688,0.0
10-07-2024,3588.914388137082,0.0,147865494.67233387,0.0
11-07-2024,3634.220141922281,0.0,168744931.37134105,0.0
12-07-2024,3631.613759158368,0.0,121577837.05851224,0.0
13-07-2024,3667.5338660173193,0.0,95827091.94491084,0.0
14-07-2024,3734.5032196417305,0.0,89949095.8544908,0.0
15-07-2024,3816.5305772120128,0.0,64164432.10620635,0.0
