Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
2023-12-04,102.771178769809,1508533115.7756865,105183346.64548744,14678561.964873044
2023-12-05,99.888921143938,1464513996.9133916,171024207.37151772,14661425.713098405
2023-12-06,98.71005568893317,1447336252.4499245,138940027.22290954,14662500.61706927
2023-12-07,96.22011990974484,1413271431.4227874,129693966.82511728,14687899.295370303
2023-12-08,98.61219905269624,1447406807.5295186,126347389.0953422,14677766.254417015
2023-12-09,99.3377293773254,1453784988.9671762,162838459.89689022,14634771.683225265
2023-12-10,98.61642856883104,1444480865.87791,197612501.7459079,14647466.825161992
2023-12-11,97.82068831910534,1432507120.9716358,121515382.14205228,14644214.28214233
2023-12-12,91.47846219369028,1342096101.1774547,173225367.14476845,14671170.338825677
2023-12-13,92.56520967146416,1359834820.7462976,129039483.50055572,14690560.585047811
2023-12-14,94.65932831571378,1386203048.8446567,137471338.31351155,14644125.132826896
2023-12-15,107.26123316514756,1569233666.8334951,221504152.94969925,14630017.02038409
2023-12-16,108.49142614287462,1596202635.8306162,389206371.4151358,14712707.65423015
2023-12-17,104.5817565753412,1530163919.264792,195262034.2967706,14631270.016606145
2023-12-18,100.30307274061508,1471051808.773013,142032843.91841722,14666069.229774948
2023-12-19,99.0570982824574,1450696563.3283055,167798994.94654816,14645054.099926304
2023-12-20,101.10209541127708,1480310095.5577734,197315624.17189643,14641735.065291803
2023-12-21,100.00505393235476,1466542015.0659635,158529393.12685704,14664679.007702544
2023-12-22,101.45562575499154,1486294794.5294847,189414772.6996273,14649703.094028378
2023-12-23,100.12866056958758,1469450851.06016,172820696.42026478,14675626.765614413
2023-12-24,99.41057986769913,1458946952.1643243,186408672.54370308,14675972.659106996
2023-12-25,99.84830134105944,1470434648.5268288,216751431.84626812,14726686.671455264
2023-12-26,103.18905589186647,1512384864.773069,236305469.69957185,14656446.38088289
2023-12-27,102.6543933775629,1505839741.1014814,283739502.1332645,14669023.814334009
2023-12-28,112.45389966861764,1649490691.6724217,302358233.6508824,14668150.206735272
2023-12-29,118.88229590878478,1755017680.6985528,443709606.1229339,14762649.621480484
2023-12-30,112.35739032828812,1650471664.1763086,240986502.1658601,14689480.232265336
2023-12-31,111.45766008796652,1639034262.0534952,192306207.48097372,14705442.952596605
2024-01-01,108.96790356292864,1604349909.6795423,205928946.2681316,14723141.927320236
2024-01-02,115.747781995034,1696919278.9810944,155624748.8483425,14660490.678377738
2024-01-03,110.42654176294369,1619377707.025004,231985831.14189413,14664750.71275324
2024-01-04,102.56821527217876,1503951477.0095077,278488947.4544059,14662938.933065834
2024-01-05,104.03371348837604,1531358122.6488347,181303659.2809127,14719825.634407803
2024-01-06,102.59676225186443,1507553369.2617188,208344889.6155942,14693966.321869211
2024-01-07,99.41987930688362,1460575964.0119703,149323315.4010132,14690985.084618216
2024-01-08,94.90939982233934,1387880600.2098746,116042863.20253132,14623215.43290596
2024-01-09,98.91355486850674,1455643226.1141796,182488479.5858244,14716316.970401844
2024-01-10,96.52237554666516,1416813478.8235536,156035025.26131043,14678601.420647528
2024-01-11,106.9445086340666,1581920676.3164115,251280772.49788797,14791976.666415757
2024-01-12,109.58037362122012,1615908985.034028,288629996.9655222,14746335.78654918
2024-01-13,102.98245671064156,1511492603.650746,207298010.62760204,14677185.337476593
2024-01-14,106.176741600225,1557814086.5451798,145877214.09358382,14671895.775542228
2024-01-15,99.38609712953104,1467906779.2559512,118400146.1238112,14769739.64822073
2024-01-16,101.86035633683748,1498618780.8091,131093143.87501606,14712483.194672756
2024-01-17,103.44267849660456,1521532289.8325014,209323067.64280263,14708941.337810049
2024-01-18,101.16750697999343,1487102088.9798532,130769715.7840025,14699404.318364171
2024-01-19,96.78207618715936,1423679082.1387718,126772508.9676892,14710152.31565842
2024-01-20,96.76516152079849,1422509081.0601847,142139509.6099481,14700632.528313754
2024-01-21,97.25369765885362,1429918397.975243,108828817.71211512,14702972.045249209
2024-01-22,96.51236483017396,1422539227.279847,97266095.48293889,14739450.533441896
2024-01-23,91.46929437173564,1346220554.7376254,119906962.27217077,14717731.93380633
2024-01-24,89.49008283925772,1311789974.0935943,144030070.31219122,14658495.47206068
2024-01-25,89.89798185616058,1322497346.8756864,103480031.68269016,14711090.500248617
2024-01-26,88.81208878303487,1306742362.3634875,92155187.43549363,14713564.113505064
2024-01-27,91.34052871116722,1343804468.9404988,99594837.5851766,14712028.580322923
2024-01-28,91.53111592351588,1346178785.8018718,76906220.50452039,14707335.010825712
2024-01-29,91.13761945998262,1340885106.989107,91919385.01775736,14712751.05641609
2024-01-30,93.6334948802067,1379543684.977551,99307062.96510366,14733442.201879986
2024-01-31,92.97919723362816,1363261007.0657067,111315983.09233189,14662000.185269944
2024-02-01,85.99145825519726,1266611498.7899306,201546806.941548,14729503.656409703
2024-02-02,83.63346415499247,1230842371.4462302,188560928.76374727,14717103.779955711
2024-02-03,85.81307799130533,1263850374.7140543,212660321.1524507,14727945.95297128
2024-02-04,85.59186735196964,1259181751.6761527,97700044.70133448,14711464.893015638
2024-02-05,83.29554593618629,1226911069.5463946,81190123.968354,14729611.958919698
2024-02-06,83.96741446301002,1235508929.399346,96294631.69271192,14714147.592857253
2024-02-07,84.54877015604904,1246298399.8356204,111155851.96107855,14740585.78895194
2024-02-08,84.01558564421192,1236926449.1323566,150152671.33357772,14722583.19272422
2024-02-09,85.23869016885793,1257368135.6291354,137295348.1061527,14751143.3263262
2024-02-10,87.62642611992266,1290631987.751875,178131848.4940498,14728798.661553971
2024-02-11,88.31931447332242,1301140086.351424,94757944.55976778,14732225.834298613
2024-02-12,87.08400955306664,1281966255.9844358,106195034.70487602,14721029.29761451
2024-02-13,90.89831086635483,1336448412.6640086,123050099.450435,14702675.989534616
2024-02-14,89.59046780980731,1318672510.5941305,146562887.75613537,14718893.012073075
2024-02-15,91.0883221033316,1342756289.472756,138794935.3198329,14741256.161788978
2024-02-16,92.43195775148163,1363201030.0211546,156829646.64696082,14748157.057176506
2024-02-17,94.65764046864588,1393960397.197316,135804144.7621576,14726337.887738151
2024-02-18,93.7616326919715,1384142504.8159614,120322844.26997755,14762354.974802831
2024-02-19,94.582974644289,1394929600.3043146,113080290.26492137,14748210.29419317
2024-02-20,96.8598693152022,1428819824.934178,141313317.75464067,14751411.859585527
2024-02-21,94.03619833973671,1388724545.758719,170768044.44820586,14767978.398504524
2024-02-22,91.87026739764444,1356662422.5976908,140412524.28398988,14767154.390937105
2024-02-23,91.9997793180462,1355110013.5613096,118339802.71021646,14729492.001025902
2024-02-24,95.00091575773637,1400850072.2316515,258790719.453532,14745648.092529824
2024-02-25,101.29295551749551,1493343097.968883,254719402.8688065,14742812.966010751
2024-02-26,100.41141819683772,1480395070.3153253,135205710.30827922,14743294.108378084
2024-02-27,102.77939002906444,1515477408.7585008,166454684.56624615,14744954.298035309
2024-02-28,104.71649015484628,1543292776.6999292,160136253.4281689,14737819.940468142
2024-02-29,104.561362295601,1540665477.714522,239811403.6131532,14734558.195205716
2024-03-01,105.67683988040235,1560266260.782745,264196267.13565883,14764505.283736195
2024-03-02,110.0445729225403,1623953979.1908376,158557103.33131394,14757238.2359458
2024-03-03,116.4814974920187,1717075578.982531,200631595.3904835,14741187.36411493
2024-03-04,112.5707248949544,1658305471.2109845,222683192.0302556,14731232.056633158
