Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
2023-12-04,7.295247489261229,2029905748.093863,73463322.0433477,278250429.6231116
2023-12-05,7.7725783914985245,2166226410.0930653,200906084.98599836,278701133.77852017
2023-12-06,7.695371449759934,2141455018.379825,116730600.07717945,278278317.3444643
2023-12-07,7.394529493690649,2062171767.577704,130474777.60000192,278878023.184199
2023-12-08,7.938085729899112,2212989316.914036,192565855.44843096,278781231.6738687
2023-12-09,8.48523546768614,2361869546.016705,221576335.49342352,278350501.29266113
2023-12-10,8.252479627398683,2300500184.295831,185653356.6778502,278764721.4127067
2023-12-11,8.413096272110922,2349474654.57576,158621868.18585005,279263968.76785713
2023-12-12,7.781985556004331,2177352668.188236,195294602.12779117,279793974.4964266
2023-12-13,9.14414516148199,2563183830.498894,355080019.7793582,280308742.39571667
2023-12-14,8.56042725818706,2604342272.3992167,256169412.10822308,304230407.41435707
2023-12-15,8.417589566634607,2564553635.61668,223167474.0451053,304666034.77342033
2023-12-16,8.191875839642211,2488721063.780204,164955120.70273975,303803562.5169951
2023-12-17,8.18533712145588,2498761160.137523,157545358.6895668,305272846.19562286
2023-12-18,8.057672324651007,2460676541.329658,122006774.71429329,305383048.8740102
2023-12-19,7.880730762734614,2407120713.3990126,142751876.77067503,305443845.9922391
2023-12-20,8.084132036645364,2468966705.811913,146991167.89603153,305409003.04696774
2023-12-21,8.095458248834763,2474789876.781527,151259429.01711473,305701024.0449009
2023-12-22,8.525164038233267,2610382728.930358,163594667.73103583,306197360.8042534
2023-12-23,9.28040008712144,2833789610.127769,245026024.6806499,305352095.11713445
2023-12-24,9.275233195791872,2837889962.360619,364405910.56774646,305964270.9196956
2023-12-25,9.334609706722944,2869321676.359024,279762507.4374871,307385286.20993
2023-12-26,10.461690617741432,3196929114.4307904,343257504.36298794,305584367.8849847
2023-12-27,10.746535348556415,3299292519.8868346,387033631.8247796,307009879.2658816
2023-12-28,10.136249308944862,3103516251.719201,249389959.8495698,306179944.58566284
2023-12-29,9.638784863566842,2969845749.369312,179144782.39280328,308114123.45085967
