Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
04-12-2023,21.95737739809123,8034520230.112426,346045527.4230736,365914384.2383869
05-12-2023,22.515603967032096,8195856523.672326,683872586.726847,364007846.9879335
06-12-2023,24.402946233276385,8884184176.744886,824535037.4212486,364061949.3981518
07-12-2023,26.244954885443214,9604219121.269136,1526950982.7179751,365945346.9510868
08-12-2023,26.263819613243115,9616336058.652336,1074614252.8869271,366143851.132889
09-12-2023,30.67543318205886,11212289318.449244,1217622913.8618476,365513642.5263906
10-12-2023,31.764225104494145,11621990542.970505,1735116274.5998654,365883017.9152134
11-12-2023,37.03103753383071,13562305206.81071,1696678974.2891653,366241566.8051564
12-12-2023,38.20005288455136,14068095298.37726,3390565691.4838147,368274236.1874216
13-12-2023,37.399117656028096,13718876978.342232,2555557181.238049,366823546.60126543
14-12-2023,38.98978363214494,14243449087.542166,2415210512.5294385,365312339.81506944
15-12-2023,39.246292266150455,14389633615.252851,1539101004.3560028,366649504.5613206
16-12-2023,39.95471931939173,14664364094.670778,1953935647.4255369,367024580.4368231
17-12-2023,41.987745769535934,15307298948.00688,1921388182.765984,364565867.1943526
18-12-2023,40.70802971062764,14924188995.408154,1186137134.3490193,366615360.6916499
19-12-2023,41.01950353341805,14992460919.820292,1495038322.08223,365495913.61109793
20-12-2023,39.726432444802775,14535295767.09064,1119585544.495813,365884749.0845412
21-12-2023,43.38271963119791,15846824422.704275,1535852033.410395,365279644.9236049
22-12-2023,46.05434204233404,16815748944.038294,1807921216.5347333,365128415.656898
23-12-2023,45.49566073528622,16657874557.542442,1638691892.565581,366142051.53465706
24-12-2023,48.11441264487982,17589645256.37119,1230485279.3040628,365579548.61043125
25-12-2023,47.79083695745918,17522770376.087875,1651691059.4981008,366655440.4913582
26-12-2023,48.359525147183895,17649619890.76977,1114752910.415118,364966774.1164236
27-12-2023,44.254803419707855,16154982355.486715,1226031733.2567708,365044720.7340315
28-12-2023,42.39818432256399,15490750476.485994,1050442372.0371342,365363534.4059282
29-12-2023,39.86731549401648,14645870537.85577,1165463292.4080863,367365355.7148564
30-12-2023,40.20498600028657,14662092512.887548,1104688954.3035357,364683437.83985
31-12-2023,39.4262167778301,14421772415.359922,597365878.5774364,365791435.0907106
01-01-2024,38.53878504000149,14116864723.97177,607648046.3655064,366302796.2432939
02-01-2024,41.94535233913293,15329094758.258818,695123399.8156629,365453951.4728914
03-01-2024,40.74013540955615,14892398801.929632,865300519.2517271,365546129.1971164
04-01-2024,36.75244773929419,13446671617.21008,1371852954.145321,365871457.3950256
05-01-2024,38.68112345573041,14175612922.053003,868359370.2826803,366473660.93894976
06-01-2024,36.38473730831552,13323403146.600237,810496120.4799218,366181100.43507856
07-01-2024,34.55596943887243,12611917439.20455,598595685.1893774,364970731.3671035
08-01-2024,33.57146223687586,12271191537.014612,645744380.3042973,365524487.74589217
09-01-2024,36.06005722111535,13231190704.056667,1079861829.3325262,366920956.9725531
10-01-2024,34.67476739339508,12674934729.133743,966754499.7323856,365537700.2340928
11-01-2024,38.53460663097295,14208991618.029444,1052291359.8860708,368733272.7722381
12-01-2024,39.325111727995285,14439828487.94436,1249182272.0774028,367191035.2810197
13-01-2024,35.87102975038405,13139530757.284208,856718898.8670427,366299235.0294469
14-01-2024,36.44187714929607,13344076828.402058,522304077.7485766,366174244.3654503
15-01-2024,35.3976948471921,13047749397.109035,632546912.8336703,368604493.9772128
16-01-2024,35.63209444664342,13074305096.756292,466214101.10189146,366924967.49901
17-01-2024,35.60992299059853,13061236570.900532,482254233.0596848,366786431.2525715
18-01-2024,35.941814711295784,13173106623.313995,555005336.7054907,366512006.3949903
19-01-2024,33.539557910625234,12309694432.874187,585637778.978214,367020175.56929433
20-01-2024,32.63144095063253,11969483889.489056,552992760.5547485,366808315.5628173
21-01-2024,32.818072963578615,12037518227.812954,355658387.71344167,366795400.8503836
22-01-2024,32.563960770053775,11962497662.858929,334268334.314462,367353890.0052905
23-01-2024,29.440216894896704,10812799592.739498,643917642.8588116,367279888.9811792
24-01-2024,30.52631066752697,11156339377.53998,827739395.7836843,365466351.2747309
25-01-2024,31.20413367178961,11442833354.235613,680926909.2407217,366708894.23155546
26-01-2024,30.46226195674847,11172579986.416033,459340560.6243778,366767904.5725267
27-01-2024,32.273287446865524,11841592865.250011,554604451.4729475,366916227.0731147
28-01-2024,33.270068582626806,12173019091.763931,342174383.7604033,365885001.4550473
29-01-2024,34.83787108950885,12800459861.657587,946287792.760721,367429451.3797757
30-01-2024,36.08626146114641,13256135464.535011,704015302.5975507,367345768.93779135
31-01-2024,35.15734782389529,12874049968.994371,727707585.1939833,366183764.3010234
01-02-2024,33.154440860177736,12176796609.859612,594924223.786277,367274980.1817751
02-02-2024,33.817335341098605,12424061980.44154,492754334.4456811,367387372.63377553
03-02-2024,36.695654997233895,13466933762.184954,812059036.4976419,366989872.8664221
04-02-2024,35.92797318922441,13188998014.87606,483079633.5166484,367095520.4016833
05-02-2024,34.86083488120212,12803501730.475636,387971684.9126479,367274672.97060126
06-02-2024,34.51115846788142,12673035492.024418,465376745.76414543,367215592.1343197
07-02-2024,34.16470204919946,12564592293.31813,387447930.9346951,367765311.5553086
08-02-2024,35.290030962057855,12967688685.60493,434561451.8994309,367460394.1137701
09-02-2024,35.45432772268473,13047763220.88638,494638967.7662301,368016094.4791525
10-02-2024,38.13800682395664,14022189749.083529,808144512.3122975,367669705.8084167
11-02-2024,40.26148580869176,14797403823.39468,714637615.1141875,367532482.3755058
12-02-2024,39.699309214364185,14570747399.487623,544770331.2228692,367027731.4098848
13-02-2024,41.04675885426506,15062326645.159883,850968964.312917,366955322.7975465
14-02-2024,39.78510591746746,14603415532.9819,748800285.2243356,367057349.6342092
15-02-2024,42.26982823757331,15560376984.015604,887539514.7003663,368120184.8410662
16-02-2024,41.6114160147665,15307070674.562752,959935366.5161264,367857480.9646176
17-02-2024,40.315326398753335,14840572529.211056,573991957.8529153,368112424.1045453
18-02-2024,39.741287014245934,14621539708.408714,450534468.493592,367918122.610558
19-02-2024,40.2285117517585,14786657730.702265,443309149.9117312,367566611.0132921
20-02-2024,39.470884957141486,14508050623.54156,603304600.8143002,367563348.0043525
21-02-2024,38.55970028267638,14177357669.917162,680367675.0741721,367672921.8843692
22-02-2024,37.66826805346426,13864589086.494314,561789399.5426915,368070787.50782174
23-02-2024,36.819504478218576,13895044714.800936,491722330.670691,377382719.07002085
24-02-2024,35.95607542853701,13574119009.850466,512578032.6997612,377519483.093452
25-02-2024,36.76212785955684,13872221553.91507,397766499.37381786,377350886.948422
26-02-2024,37.442412727496176,14125079512.919949,355889213.96250194,377248112.0733725
27-02-2024,39.27068329340104,14823120857.8975,666005167.0726129,377460222.6080529
28-02-2024,39.23157143550604,14790779550.013754,559098960.1960262,377012161.603793
29-02-2024,40.288648786790674,15128074994.589373,1024808571.4817483,375492240.3739033
01-03-2024,40.87822769620482,15453070592.428408,1058412680.7991552,378026921.99062943
02-03-2024,42.68329287260661,16139039948.92405,719157344.4743773,378111407.59671336
03-03-2024,44.26717471468008,16640000907.524933,812616521.7091076,375899320.7670581
04-03-2024,42.57387085336724,16045026052.167751,669286645.5491067,376874964.16358215
05-03-2024,43.08266927183772,16227983820.281431,936953904.7975734,376670807.41650665
06-03-2024,39.71959804805571,14965682172.293306,1648890359.2858913,376783323.7936274
07-03-2024,41.56003114074102,15663750613.259563,855652983.3652095,376894583.1685024
08-03-2024,43.35120071619358,16385370565.79531,974916156.873728,377968090.7355964
09-03-2024,42.72769751388197,16118287183.156652,722986734.247686,377232758.1639502
10-03-2024,43.08731711231477,16256868088.635738,454941803.5977661,377300541.7408402
11-03-2024,42.0154746221974,15837945110.14316,576815987.3109455,376955044.6010133
12-03-2024,48.8042084680058,18422886389.342777,1692417821.2415571,377485609.6973712
13-03-2024,55.46002082698899,20883301477.266468,3094546691.5276394,376546946.1761155
14-03-2024,54.77873213078354,20596643141.18182,1615392194.188358,375997076.602788
15-03-2024,54.20148080260446,20459796483.37696,2005079826.9019327,377476706.9167202
16-03-2024,58.24006767489954,21984816258.999542,3244446501.91526,377486104.2696661
17-03-2024,53.36000199614378,20091268681.3319,2554299504.9011674,376523012.17649615
18-03-2024,58.01074465382562,21925854313.87908,1661671232.930721,377961952.47483593
19-03-2024,60.39187170430152,22814010959.677338,3283759941.895668,377766250.91837263
20-03-2024,53.64903224196871,20430680893.565216,2992625416.574652,380821051.9328371
