Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
2023-12-04,0.8279959236034952,1181388830.954811,74017172.03963225,1426805129.4423356
2023-12-05,1.1680976759442077,1667157416.5911667,383176137.22782034,1427241446.43431
2023-12-06,1.1672718988052992,1666922853.4092505,295193412.0941144,1428050187.0346944
2023-12-07,1.0336191599936035,1470600407.538798,152553868.82528287,1422768137.8776867
2023-12-08,0.9940059728226888,1415737034.7820413,73987223.22978897,1424274172.88224
2023-12-09,1.0414399894822004,1486268141.064854,87007681.57662395,1427127972.8789945
2023-12-10,0.9926118035479128,1407077329.3457377,53342310.33421435,1417550470.704048
2023-12-11,0.9900986074000606,1411446563.909186,36952832.26159455,1425561609.076049
2023-12-12,0.907735669418878,1295743570.9333756,77216628.48227297,1427445912.490027
2023-12-13,0.92942108980492,1331600110.2042837,101487023.2802558,1432719920.8313413
2023-12-14,1.001445611559808,1427341010.728287,91181641.37995812,1425280608.604518
2023-12-15,1.076417551628332,1533334172.1148071,124445446.27359638,1424478976.3928344
2023-12-16,0.982644325152328,1403617997.50871,60331269.00989496,1428408999.656232
2023-12-17,1.0098953815183869,1439782699.3124518,64830525.69256497,1425675100.2739763
2023-12-18,1.0496014937377232,1494820200.9342537,66976955.301559694,1424178804.8634224
2023-12-19,1.253091477404218,1808905903.4446287,231145447.82628885,1443554549.737887
2023-12-20,1.1784880891359453,1677125633.2800355,106526166.08810696,1423116320.5982726
2023-12-21,1.4532116408732227,2073677219.0116503,274642825.0319211,1426961607.4404657
2023-12-22,1.4110583076848902,2017609797.6615407,154505883.43686137,1429855723.6602178
2023-12-23,1.4090052714696542,2018738576.596767,77808411.67528516,1432740258.3037424
2023-12-24,1.4721023999042318,2103144792.2013345,160329724.16073078,1428667457.0587993
2023-12-25,1.3918213265598396,1998067238.7377088,83374371.86315732,1435577398.196883
2023-12-26,1.5215717722175666,2178162235.2650604,143093974.57008293,1431521190.8082173
2023-12-27,1.6258093946407464,2331845382.895612,139908009.55537286,1434267381.2700396
2023-12-28,1.5581624825899771,2221463425.454538,127277006.47894108,1425694335.6523526
2023-12-29,1.4699862218344186,2104580401.0433452,103748513.31548937,1431700766.839166
2023-12-30,1.4261328761248768,2036881517.4538305,103719408.12997794,1428255074.6522963
2023-12-31,1.4251546375450044,2039713773.181672,72686535.28841805,1431222773.6179683
2024-01-01,1.5047493260360163,2145055834.8818336,74146789.53213826,1425523705.3553538
2024-01-02,1.5915146856635258,2284674975.6130505,56229343.158728026,1435534963.1351569
2024-01-03,1.556020094471763,2222249877.621129,142844157.70428306,1428162711.726122
2024-01-04,1.533759008229235,2194910475.652185,191726775.0928704,1431066069.6208506
2024-01-05,1.716580173240334,2456410233.63341,176438449.30907333,1430990682.478012
2024-01-06,1.617020985558666,2318557057.5778785,244568460.4677822,1433844754.2020228
2024-01-07,1.5704612093584422,2249198978.8282123,89768721.5068651,1432190088.7619152
2024-01-08,1.663264811997551,2369699208.40138,289276584.66701907,1424727554.6913147
2024-01-09,2.0367808818514663,2851237449.9720483,752472441.7840186,1399874417.2128265
2024-01-10,1.838343534364477,2641147636.18671,285523493.17577034,1436699717.3353486
2024-01-11,1.8749358505090827,2662938155.5599327,407040398.87003183,1420282275.1705832
2024-01-12,1.7828576947903856,2558145817.90408,214621269.5341181,1434856985.7140768
2024-01-13,1.6306780086161774,2332146971.9966373,119118265.37074198,1430170125.3552434
2024-01-14,1.6731720381697446,2393071655.7960157,67093138.699669525,1430260368.451864
2024-01-15,1.5836950657312607,2290194909.6016936,60285809.27885649,1446108508.6125536
2024-01-16,1.5867340537360546,2279951035.276796,54794426.0436027,1436882904.169431
