Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
2023-12-04,4.576024222016928,2174258485.1371245,116996097.17421454,475141384.67099255
2023-12-05,4.719482411323372,2245443799.0857515,255416128.7171849,475781792.02412057
2023-12-06,4.781455639563355,2278335754.2867656,194790427.05177265,476494173.7480648
2023-12-07,4.7430509168760056,2263396959.794856,183659581.58586907,477202753.9787903
2023-12-08,5.039531466386774,2403028899.576081,269554146.5791441,476835776.4216911
2023-12-09,5.228421860660785,2492410158.478291,203134731.4897292,476704104.0110891
2023-12-10,5.139019772605455,2450910848.5759106,286070384.2121529,476921856.1175748
2023-12-11,5.149510065116613,2457925569.4760075,172033237.16405168,477312509.03387576
2023-12-12,4.611683016612499,2208626805.317557,319485327.0702517,478919907.84308034
2023-12-13,4.636615904537932,2228160619.8825603,246079238.79798597,480557515.6013728
2023-12-14,4.718700456880786,2265185140.488023,179295357.90471193,480044275.1531178
2023-12-15,4.878099551640215,2341725877.1342697,229364582.4567434,480048808.42312586
2023-12-16,4.790762550318562,2310642662.724088,251414404.96803427,482312082.56615466
2023-12-17,5.699222697264687,2727315589.287781,811193154.6856028,478541677.3758889
2023-12-18,5.271555931158877,2559703102.8761787,535159112.3235319,485568802.8929751
2023-12-19,5.29576929990372,2552619965.7434096,379862694.182297,482011171.7838271
2023-12-20,5.09649539888127,2460479300.912909,242053203.21495375,482778676.00018
2023-12-21,5.321015863228638,2572330451.831663,214437243.24124515,483428450.121336
2023-12-22,5.500082652472858,2664599986.031862,235410637.86808756,484465444.3208863
2023-12-23,5.534180649061212,2683176944.519971,322954684.48518914,484837253.1849191
2023-12-24,5.629263523889577,2729244368.8974023,195148880.6468649,484831516.1148492
2023-12-25,5.634749561152333,2737176466.5217214,292194142.4715698,485767191.0376716
2023-12-26,5.802242320898231,2819345853.4863086,301832319.2911849,485906257.8844264
2023-12-27,5.769950827744849,2809357958.179408,349487152.9312456,486894610.0321325
2023-12-28,5.935748034721712,2885483129.573535,379075258.0576669,486119544.2755711
2023-12-29,6.244762292886497,3049982587.9624453,490993630.2703732,488406514.9183864
