Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
04-12-2023,3.37161432036478e-05,335481726.1285649,32794059.224968623,9950180959377.01
05-12-2023,3.7393491734894495e-05,371493153.31548464,125105676.19301549,9934700828401.598
06-12-2023,4.23686141333581e-05,422503044.4189716,185352817.74217173,9972076100698.371
07-12-2023,3.910962629890469e-05,388583637.2543233,71169172.96358669,9935754289352.695
08-12-2023,4.168399399811003e-05,415322679.309553,46285709.10567301,9963600880673.38
09-12-2023,4.131591419172175e-05,410190108.6378287,35286042.87358761,9928138264940.443
10-12-2023,4.037618833800143e-05,401328686.1198989,37271234.41234693,9939736826078.123
11-12-2023,4.0641689519866855e-05,403785360.2485666,21483354.69967797,9935250355455.436
12-12-2023,3.693889214472756e-05,366725442.8646198,31184400.101192527,9927895006373.764
13-12-2023,3.810893720653471e-05,378639152.5768581,25237850.52127981,9935704859067.314
14-12-2023,3.879259708605251e-05,385379302.3509538,23403445.1693498,9934351688186.229
15-12-2023,3.977102659326261e-05,395204355.76046014,22748794.592493773,9936991564291.416
16-12-2023,3.633342588879655e-05,361523824.1090979,20867982.812104207,9950171646780.332
17-12-2023,3.896407812545194e-05,386011687.8672556,27661060.0285684,9906860535091.338
18-12-2023,3.615108937880086e-05,359009817.7597636,20695240.213355847,9930816025983.668
19-12-2023,3.51766098113979e-05,349336636.2737146,21789471.29063332,9930935304644.477
20-12-2023,3.406155103613778e-05,338169249.8710776,14813904.324473718,9928181177430.682
21-12-2023,3.446752198106765e-05,342620728.8287212,18173471.960713312,9940393423609.514
22-12-2023,3.602591480200913e-05,358075038.0574385,19283002.918789268,9939373920838.48
23-12-2023,3.795453554510546e-05,376857997.4192331,39325474.49334532,9929195338759.242
24-12-2023,3.652020925679529e-05,362924775.4651038,17620911.167558704,9937642276723.115
25-12-2023,3.526029229109476e-05,350978472.4063645,18699223.890555367,9953929749329.01
26-12-2023,3.740433610153255e-05,371636999.1583918,22232239.31030501,9935666232642.072
27-12-2023,3.5472454748164785e-05,352890149.198902,22209869.119282976,9948286683406.348
28-12-2023,3.7012882120094544e-05,367003498.8425147,23482968.24076593,9915561226810.436
29-12-2023,3.553108265165152e-05,353699430.5840508,21927930.42478868,9954648273787.137
30-12-2023,3.522823023303593e-05,349488033.6175308,14157049.952788178,9920680979590.96
31-12-2023,3.5219714870345384e-05,349955128.00621057,9629036.621330874,9936341883927.885
01-01-2024,3.489901695849966e-05,347034677.9019076,12849626.835293625,9943967141383.54
02-01-2024,3.665643216580941e-05,363655305.5752216,14064668.156755287,9920641046850.549
03-01-2024,3.5542866308640234e-05,352221988.4274166,16897425.464206807,9909780077072.562
04-01-2024,3.133567946683406e-05,310881701.7515053,29822510.04375637,9921013587101.09
05-01-2024,3.251335521609019e-05,323157240.0176739,16801629.270895932,9939215373802.764
06-01-2024,3.168063277789381e-05,314609685.0023236,14904047.03799605,9930662913458.363
07-01-2024,3.113506383164153e-05,309501683.6881338,17054958.112297744,9940615036529.893
08-01-2024,2.91874730439962e-05,289693730.9530531,10952814.50045399,9925276179831.629
09-01-2024,3.047801470743865e-05,303284750.74507225,22104405.95502679,9950935244842.268
10-01-2024,2.9044855723835933e-05,287776429.82160217,17024373.355098244,9907999976237.986
11-01-2024,3.168344150460613e-05,315090768.5562888,20888543.82639824,9944966632191.17
12-01-2024,3.2374265373007333e-05,322151445.847342,22492798.40274748,9950849606488.43
13-01-2024,3.037981811013612e-05,300859955.1306699,19511804.12376754,9903283622040.154
