Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
2023-12-04,2.419800384678243,8357751524.716758,12345852.34671637,3453901229.885156
2023-12-05,2.392072990927425,612903239.1483892,20850859.18779493,256222632.6173943
2023-12-06,2.4212408200862034,8361658509.10342,18993979.746115766,3453460077.054921
2023-12-07,2.2438217058604373,7730675713.732986,39021615.14896286,3445316396.3704987
2023-12-08,2.270245758898543,7673171981.903089,17954934.275748562,3379886054.9907546
2023-12-09,2.337527548622879,8072050837.070807,14524528.592456508,3453243082.344138
2023-12-10,2.287512243045508,7901806726.321365,41185630.95142679,3454323250.222782
2023-12-11,2.299422013393388,618061949.702433,44055644.26297834,268790133.3910967
2023-12-12,2.1222669229037296,572416841.7728391,54799490.7224771,269719532.2582922
2023-12-13,2.0573182815008537,7114463009.876404,35820368.99652353,3458124624.5895724
2023-12-14,2.1646800776011177,531396826.0212872,36567776.329297215,245485155.7603732
2023-12-15,2.2009739198933485,7592484254.522537,17052188.741507947,3449602099.279052
2023-12-16,2.145548882285471,529933940.46409386,15825443.93103586,246992247.45679075
2023-12-17,2.185607812017889,575831130.1662254,16942025.861333463,263464985.34637943
2023-12-18,2.143605693941653,575831130.1662254,31019992.43087644,268627356.13814753
2023-12-19,2.0954865632711317,565999824.3928488,34832485.184472606,270104248.9670286
2023-12-20,2.13766026324904,7382160670.617866,30945584.84769565,3453383494.811137
2023-12-21,2.202530193343476,7604121446.728829,41092321.01408428,3452448220.555674
2023-12-22,2.253412701975694,7789288437.562082,54235895.56560881,3456663056.320209
2023-12-23,2.263009697339684,7823958283.255819,36079143.36071797,3457324240.569272
2023-12-24,2.23095628179288,7711485295.945337,29789275.266992725,3456582882.811177
2023-12-25,2.202142448779694,7598581230.645186,34076951.28408525,3450540284.011101
2023-12-26,2.2255754462686848,7696301751.575381,30907823.48326333,3458117658.7289853
2023-12-27,2.1764893581285314,7525818269.405055,39543968.05572507,3457778574.151256
2023-12-28,2.159777969916767,7467192236.048319,39161918.46932927,3457388833.5087
2023-12-29,2.1887186057097927,7567202573.720761,35126779.66707452,3457366586.083709
2023-12-30,2.2373296724955067,7727565011.155481,42375620.60121387,3453923266.720095
2023-12-31,2.3698593207553103,8199854972.269494,70971191.30226597,3460059802.0544424
2024-01-01,2.274532813929256,7860008649.052998,30186196.62619408,3455658498.71158
2024-01-02,2.3251539839904924,8027646011.779806,34382666.15994412,3452522313.3835387
2024-01-03,2.257542927932179,7786316922.45363,48363888.19384698,3449022752.176674
2024-01-04,2.1933897762509518,7585615981.654643,63812050.384331256,3458398531.710286
2024-01-05,2.1641537413724765,7472385870.006049,47750226.19441339,3452798073.9793305
2024-01-06,2.0784486393410764,7160923097.256311,57195421.54446289,3445321169.700164
2024-01-07,2.1651801706577465,7484923267.292183,57900182.67223512,3456951697.935782
2024-01-08,2.210347669835227,7628542662.5526495,47801871.0899188,3451286314.211976
2024-01-09,2.271478268433216,7865622486.9346,47342319.146992125,3462776904.469363
2024-01-10,2.189069102005351,7561758910.775506,43374366.57546585,3454326272.2261114
2024-01-11,2.2618401314163146,7802189190.77573,56081986.07806584,3449487469.253705
2024-01-12,2.2288671437840404,7707247142.063416,73725908.51880763,3457921286.855394
2024-01-13,2.1248798608440667,7340991713.084064,53208709.97722878,3454779655.2450733
2024-01-14,2.112055851561687,7297647678.511224,44494094.34774418,3455234232.141744
2024-01-15,2.284057856523203,7905501181.962762,76366786.06501812,3461165031.0804877
2024-01-16,2.4414041690885586,8444705890.054884,67320066.05255422,3458954480.7763305
2024-01-17,2.4157907400480707,8362194139.576177,50979099.10438464,3461472883.785365
2024-01-18,2.3289509539025284,8054927913.627593,54527694.78348865,3458607790.82972
2024-01-19,2.2269396390383336,7700015941.898154,44089915.11316384,3457667108.2217917
2024-01-20,2.203612788725278,7631434216.383861,44803596.91419906,3463146636.0287414
2024-01-21,2.2668669794241394,7833817530.249889,36565842.38458774,3455790569.6963053
2024-01-22,2.223785489999208,7688865531.021003,32196616.416390862,3457557199.4687943
2024-01-23,2.11466944740408,7320037871.2448015,36560830.62170457,3461551818.5268693
2024-01-24,2.1212002309179843,7329373498.175518,25853081.10739509,3455295446.108645
2024-01-25,2.1186014554840438,7327752585.3639,15384337.049224583,3458768786.5482497
2024-01-26,2.0424292348206,7065181101.669571,18178219.52685652,3459204843.5353265
2024-01-27,2.0810343298430563,7199334384.596606,15397524.87596953,3459498135.784984
2024-01-28,2.085188069208288,7209317432.259302,14326017.949508982,3457394341.890976
2024-01-29,2.116348165216144,7322838846.937868,13466155.149219915,3460129560.57728
2024-01-30,2.1131459356095585,7314198874.944484,12167680.210796367,3461284311.5516434
2024-01-31,2.083628122714073,7204754713.571733,15052351.437500596,3457792988.6005907
2024-02-01,2.0658172859957733,7145954799.702935,15559320.573246757,3459141739.2745914
2024-02-02,2.0743818156558222,7171134960.173615,15785654.330140317,3456998565.0912766
2024-02-03,2.049387890755572,7088661599.654636,14418874.235342616,3458916504.596491
2024-02-04,2.04153458729842,7055050486.66494,10606139.367796028,3455758491.949406
2024-02-05,2.0483343763344,7084917223.39432,14731530.241686746,3458867509.7437677
2024-02-06,2.050308758015831,7087833832.073743,11741238.742912456,3456959252.777584
2024-02-07,2.050639290629072,7088049948.768809,12940424.391595911,3456507432.174685
2024-02-08,2.055524220085221,7110153567.863318,15863980.97553798,3459046358.290313
2024-02-09,2.0693727513781925,7157274535.027677,15768641.693638757,3458668589.436565
2024-02-10,2.085722430449932,7213328120.574299,16458439.651626827,3458431484.1060805
2024-02-11,2.0789737648043247,7189871647.947261,13952624.935982702,3458375362.7232423
2024-02-12,2.083583369217621,7202813878.953219,14020324.47050845,3456935770.061293
2024-02-13,2.2367123213296938,7732505759.385891,53892989.58798426,3457085511.4657865
2024-02-14,2.1748427566312607,7535442092.232982,23990584.279840264,3464821568.941868
2024-02-15,2.224734471813982,7713322769.526238,32251233.37564237,3467075674.535229
2024-02-16,2.207786472432194,7654693478.55344,26701429.787912097,3467134876.5538435
2024-02-17,2.154960380115918,7472603076.517538,22590561.03978477,3467628985.4180884
2024-02-18,2.2358587217162267,7754801433.521258,21729395.4428322,3468377209.257988
2024-02-19,2.27444120318576,7892413784.834471,20543063.3522083,3470045202.21483
2024-02-20,2.2679432872862213,7859532064.112228,23126719.832146496,3465488801.3168964
2024-02-21,2.214189581949709,7682625949.846503,24099006.09544024,3469723646.283961
2024-02-22,2.11869464754496,7346214797.265442,42066963.71591324,3467330606.502394
2024-02-23,2.08809236322037,7236551229.827474,20428229.76522938,3465627937.390121
2024-02-24,2.080985188991113,7227028647.504097,18958034.987038925,3472888075.1947336
2024-02-25,2.110356438105101,7317117089.652308,16501669.758842709,3467242290.227703
2024-02-26,2.083204166508075,7223433899.517483,29960200.25204714,3467463254.754143
2024-02-27,2.1421286738181275,7428179529.590089,22519114.4492072,3467662620.075063
2024-02-28,2.157854863146065,7481946940.420062,22329431.29251084,3467307773.19828
2024-02-29,2.536824250204345,8805553508.43862,297826008.4028695,3471093240.9800634
2024-03-01,2.4841026155409263,8626760145.59245,116492806.19174127,3472787352.511976
2024-03-02,2.710289275349538,9396055466.319817,167321660.5597004,3466809078.9342165
2024-03-03,2.721625749096017,9439333380.236488,70754934.12938832,3468270162.924401
2024-03-04,2.676777236469108,9284774633.804638,66275210.87407366,3468639267.8876896
2024-03-05,2.7416948810075725,9500788296.661495,79776171.6584673,3465297456.137773
2024-03-06,2.597962916097301,8989303750.281805,119834990.42176291,3460135514.091815
2024-03-07,2.685476560210416,9309610810.13168,114296267.56548,3466651300.580424
2024-03-08,2.754738285076407,9560862108.008642,70059281.2302592,3470697074.8560443
2024-03-09,2.8410845368966138,9852557645.518225,90509630.88267843,3467886125.021965
2024-03-10,2.873233852516467,9961986968.813349,64845760.68813743,3467168869.7000184
2024-03-11,2.8155354738272846,9767904714.039646,68032544.43869333,3469288455.016939
2024-03-12,3.3158182486042027,11518826981.00616,229244131.95278004,3473901799.610103
2024-03-13,4.076500388945032,14011088855.58949,369957173.96941847,3437038518.035186
2024-03-14,4.314086814403257,14973376292.444654,503698553.2972306,3470810147.4577847
2024-03-15,4.028603517353057,13986504790.54506,258547656.2004595,3471799776.3489804
2024-03-16,3.900777519526768,13578090559.104118,181545899.50488245,3480867722.1743665
2024-03-17,3.522877879558705,12233739284.497904,103931925.35931437,3472654943.6991467
2024-03-18,3.869945333436548,13388261796.668797,136411989.16720164,3459548040.8969736
2024-03-19,3.833250408836621,13320285461.75848,169760845.9414603,3474932248.3738136
2024-03-20,3.8033481088357526,13222700436.385252,205451798.5973464,3476594846.963106
2024-03-21,4.230577391570399,14665739807.02168,236580331.915123,3466604779.821255
2024-03-22,4.065991775329212,14113628247.739616,108711579.4232228,3471140382.864369
2024-03-23,4.449195281417488,15430597886.100092,198942911.94912696,3468177256.805863
2024-03-24,4.836982225412202,16847443834.20316,429445672.44463503,3483048530.8983006
2024-03-25,4.963770923260656,17230877559.98296,286573685.501163,3471328114.526315
2024-03-26,5.355290346257165,18552962700.717083,456719374.9650658,3464417706.816555
2024-03-27,5.037993943968652,17449266363.129208,292978554.7926647,3463534604.6850634
2024-03-28,4.970288849969497,17204327464.559242,204952460.9040496,3461434130.66724
2024-03-29,4.908993764538796,17059166196.223936,159470582.9184306,3475084103.6822257
2024-03-30,5.0203858280155735,17409561122.970123,57688669.30247901,3467773537.607101
2024-03-31,5.258610833010621,18263555867.564304,190120127.0259981,3473076150.247876
