Date,PR
05-06-2022,0.165126165
06-06-2022,0.166132516
07-06-2022,0.16507699
08-06-2022,0.16413938
09-06-2022,0.170624683
10-06-2022,0.166987822
11-06-2022,0.157374102
12-06-2022,0.156029494
13-06-2022,0.153836634
14-06-2022,0.152128613
15-06-2022,0.151279049
16-06-2022,0.150459423
17-06-2022,0.150152815
18-06-2022,0.149674832
19-06-2022,0.149589521
20-06-2022,0.148671136
21-06-2022,0.148267797
22-06-2022,0.148477005
23-06-2022,0.148511044
24-06-2022,0.148509747
25-06-2022,0.148100218
26-06-2022,0.148492854
27-06-2022,0.148213474
28-06-2022,0.147836398
29-06-2022,0.146558925
30-06-2022,0.146160206
01-07-2022,0.145208038
02-07-2022,0.145206701
03-07-2022,0.145417907
04-07-2022,0.145914536
05-07-2022,0.145986294
06-07-2022,0.146115062
07-07-2022,0.146006247
08-07-2022,0.145984736
09-07-2022,0.145940033
10-07-2022,0.14563404
11-07-2022,0.187920509
12-07-2022,0.187119299
13-07-2022,0.14549238
14-07-2022,0.145312842
15-07-2022,0.144860104
16-07-2022,0.144257669
17-07-2022,0.143320905
18-07-2022,0.140925857
19-07-2022,0.140324754
20-07-2022,0.140184781
21-07-2022,0.139277766
22-07-2022,0.138185102
23-07-2022,0.136560648
24-07-2022,0.136003931
25-07-2022,0.135259902
26-07-2022,0.139403603
27-07-2022,0.134416948
28-07-2022,0.130271768
29-07-2022,0.124510346
30-07-2022,0.122162382
31-07-2022,0.120849233
01-08-2022,0.119985431
02-08-2022,0.119457844
03-08-2022,0.117502025
04-08-2022,0.115126221
05-08-2022,0.114226185
06-08-2022,0.113020542
07-08-2022,0.112375424
08-08-2022,0.11255292
09-08-2022,0.111675058
10-08-2022,0.111455812
11-08-2022,0.111908686
12-08-2022,0.111518257
13-08-2022,0.112118819
14-08-2022,0.111893053
15-08-2022,0.111750016
16-08-2022,0.112335315
17-08-2022,0.110403451
18-08-2022,0.110055439
19-08-2022,0.109736289
20-08-2022,0.109359414
21-08-2022,0.109296162
22-08-2022,0.109227431
23-08-2022,0.109677892
24-08-2022,0.151584921
25-08-2022,0.112406443
26-08-2022,0.111932582
27-08-2022,0.112430987
28-08-2022,0.112443904
29-08-2022,0.112423343
30-08-2022,0.112095278
31-08-2022,0.112345247
01-09-2022,0.112730113
02-09-2022,0.112530284
03-09-2022,0.111997498
04-09-2022,0.111944049
05-09-2022,0.111921128
06-09-2022,0.112164735
07-09-2022,0.109620314
08-09-2022,0.109557085
09-09-2022,0.1092363
10-09-2022,0.109350779
11-09-2022,0.109309798
12-09-2022,0.10893619
13-09-2022,0.108682917
14-09-2022,0.109041147
15-09-2022,0.108693361
16-09-2022,0.1083683
17-09-2022,0.107964648
18-09-2022,0.108368767
19-09-2022,0.1084224
20-09-2022,0.107946076
21-09-2022,0.107624728
22-09-2022,0.107463072
23-09-2022,0.1070723
24-09-2022,0.106770263
25-09-2022,0.106505308
26-09-2022,0.106420032
27-09-2022,0.106413542
28-09-2022,0.106501462
29-09-2022,0.106968164
30-09-2022,0.106768112
01-10-2022,0.105845136
02-10-2022,0.105066464
03-10-2022,0.10784691
04-10-2022,0.105729057
05-10-2022,0.104223465
06-10-2022,0.104094193
07-10-2022,0.104295181
08-10-2022,0.103839898
09-10-2022,0.103753166
10-10-2022,0.103745978
11-10-2022,0.103678548
12-10-2022,0.103667919
13-10-2022,0.103831165
14-10-2022,0.104447823
15-10-2022,0.104323814
16-10-2022,0.104291665
17-10-2022,0.113910596
18-10-2022,0.113923036
19-10-2022,0.115041154
20-10-2022,0.115408268
21-10-2022,0.115274325
22-10-2022,0.115512065
23-10-2022,0.11594151
24-10-2022,0.116099301
25-10-2022,0.116047128
26-10-2022,0.115641789
27-10-2022,0.115627606
28-10-2022,0.115320344
29-10-2022,0.114789686
30-10-2022,0.114745148
31-10-2022,0.11467317
01-11-2022,0.113924915
02-11-2022,0.114150847
03-11-2022,0.114220292
04-11-2022,0.113840142
05-11-2022,0.115206437
06-11-2022,0.115061
07-11-2022,0.11488018
08-11-2022,0.111403266
09-11-2022,0.110938075
10-11-2022,0.110850311
11-11-2022,0.110174358
12-11-2022,0.109903977
13-11-2022,0.109899158
14-11-2022,0.110051183
15-11-2022,0.110162418
16-11-2022,0.109752029
17-11-2022,0.109541054
18-11-2022,0.10933151
19-11-2022,0.109189418
20-11-2022,0.108940201
21-11-2022,0.109215356
22-11-2022,0.109025904
23-11-2022,0.109026965
24-11-2022,0.108935363
25-11-2022,0.10888417
26-11-2022,0.108939088
27-11-2022,0.11064198
28-11-2022,0.110722556
29-11-2022,0.111282836
30-11-2022,0.110509776
01-12-2022,0.109935595
02-12-2022,0.109796059
03-12-2022,0.109572079
04-12-2022,0.109568034
05-12-2022,0.10934122
06-12-2022,0.109465688
07-12-2022,0.109424819
08-12-2022,0.10947464
09-12-2022,0.10924274
10-12-2022,0.109205869
11-12-2022,0.109202808
12-12-2022,0.109520308
13-12-2022,0.110015183
14-12-2022,0.110008937
15-12-2022,0.110412403
16-12-2022,0.110814108
17-12-2022,0.111280191
18-12-2022,0.111332941
19-12-2022,0.111296952
20-12-2022,0.111744807
21-12-2022,0.111618009
22-12-2022,0.112391841
23-12-2022,0.112249701
24-12-2022,0.11176684
25-12-2022,0.111385392
26-12-2022,0.111413752
27-12-2022,0.111272753
28-12-2022,0.111015073
29-12-2022,0.110960023
30-12-2022,0.11079505
31-12-2022,0.110688432
01-01-2023,0.110649687
02-01-2023,0.110608485
03-01-2023,0.110171082
04-01-2023,0.110011004
05-01-2023,0.109933803
06-01-2023,0.110096996
07-01-2023,0.109962941
08-01-2023,0.109590004
09-01-2023,0.109212401
10-01-2023,0.108853216
11-01-2023,0.109140533
12-01-2023,0.108897449
13-01-2023,0.108447072
14-01-2023,0.107488565
15-01-2023,0.106251077
16-01-2023,0.105606953
17-01-2023,0.105584874
18-01-2023,0.105657709
19-01-2023,0.105552833
20-01-2023,0.105177185
21-01-2023,0.103163296
22-01-2023,0.10278867
23-01-2023,0.102276166
24-01-2023,0.101937443
25-01-2023,0.101628315
26-01-2023,0.101317798
27-01-2023,0.101202763
28-01-2023,0.100834849
29-01-2023,0.100786919
30-01-2023,0.100452689
31-01-2023,0.100313832
01-02-2023,0.099830953
02-02-2023,0.0985221
03-02-2023,0.097956642
04-02-2023,0.097076967
05-02-2023,0.099688191
06-02-2023,0.099256388
07-02-2023,0.103750311
08-02-2023,0.103590253
09-02-2023,0.149620319
10-02-2023,0.146653537
11-02-2023,0.147417684
12-02-2023,0.147975549
13-02-2023,0.152248632
14-02-2023,0.152403319
15-02-2023,0.153281653
16-02-2023,0.179746724
17-02-2023,0.182743103
18-02-2023,0.182277373
19-02-2023,0.181865377
20-02-2023,0.182071487
21-02-2023,0.186022836
22-02-2023,0.126169206
23-02-2023,0.127483011
24-02-2023,0.126674716
25-02-2023,0.126503124
26-02-2023,0.12647178
27-02-2023,0.129814771
28-02-2023,0.130543854
01-03-2023,0.130617589
02-03-2023,0.130616693
03-03-2023,0.130413661
04-03-2023,0.130407123
05-03-2023,0.130204525
06-03-2023,0.130385812
07-03-2023,0.130030804
08-03-2023,0.130238622
09-03-2023,0.130654175
10-03-2023,0.131146038
11-03-2023,0.131542411
12-03-2023,0.131884965
13-03-2023,0.13108575
14-03-2023,0.130764584
15-03-2023,0.130772728
16-03-2023,0.131055815
17-03-2023,0.131177504
18-03-2023,0.130674773
19-03-2023,0.130580194
20-03-2023,0.130371798
21-03-2023,0.13025751
22-03-2023,0.130447268
23-03-2023,0.127241361
24-03-2023,0.127220665
25-03-2023,0.127064862
26-03-2023,0.127064774
27-03-2023,0.127462848
28-03-2023,0.127331399
29-03-2023,0.127289264
30-03-2023,0.127645132
31-03-2023,0.128096076
