Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
04-12-2023,1.4321515974327526,1841321547.7447865,617523734.9276613,1285702959.8301632
05-12-2023,1.4231807571548036,1830333337.296395,801514421.655471,1286086344.3344774
06-12-2023,1.4216951984155095,1826907336.8188963,758164729.1861311,1285020403.00551
07-12-2023,1.3662144719327605,1757483891.1076732,782649160.9420484,1286389455.8380651
08-12-2023,1.534563689021068,1967982897.6744883,810193533.4834018,1282438071.325608
09-12-2023,1.5790256206323003,2028951167.1971624,770706212.7734125,1284938724.670405
10-12-2023,1.927233585608497,2484221505.4953256,1252063668.715027,1289009035.565851
11-12-2023,1.838751230115476,2365786825.1028414,1016633442.9017518,1286626916.3307462
12-12-2023,2.0479491759887103,2623666851.3184066,323545476.44421184,1281119122.5249772
13-12-2023,1.9858918120855216,2561565452.127073,239272212.33000448,1289881672.5756056
14-12-2023,2.06533353802922,2659716405.638612,222769937.55378503,1287790255.987691
15-12-2023,2.1818226860265435,2805975271.487742,294919205.1115153,1286069344.4332466
16-12-2023,2.1717272605488427,2808558604.611795,164875633.7153761,1293237256.6442857
17-12-2023,2.0899852277057924,2692294345.4343576,149284160.65916023,1288188217.6697147
18-12-2023,1.9905644287143285,2565856997.308587,373897052.25917417,1289009770.442763
19-12-2023,2.166448228567865,2770897210.504694,561330436.9763794,1279004581.76949
20-12-2023,2.0633954685078315,2661684436.11013,471203545.0972754,1289953611.284684
21-12-2023,2.3981179112155577,3103026543.938166,193714453.69336668,1293942441.0392332
22-12-2023,2.295702575472593,2954305925.7854915,129639415.77710728,1286885312.3002305
23-12-2023,2.297098582026196,2980036520.326145,118821180.01529557,1297304583.9841807
24-12-2023,2.4693118091862134,3206783861.558203,203296340.65410587,1298654892.2774687
25-12-2023,2.389211689381405,3102350505.025895,118435192.556652,1298482892.417595
26-12-2023,2.4042082243732543,3116606256.5693774,107649205.53582348,1296312950.3401628
27-12-2023,2.356055280509752,3057544729.859836,132986988.37154312,1297738960.181915
28-12-2023,2.493124348974796,3232338740.173016,179756212.13471907,1296501212.0242596
29-12-2023,2.31197617132345,3006376581.3512435,140387967.63756323,1300349293.6652093
30-12-2023,2.30372921109797,3045291387.335196,93547427.6182811,1321896415.8916028
31-12-2023,2.230258230247799,2947161507.261898,61890691.89469125,1321444067.458702
01-01-2024,2.129426811483463,2819304173.657595,69799706.06338726,1323973267.573131
02-01-2024,2.2751389081913485,3006380763.886204,68404755.00113438,1321405366.9699514
03-01-2024,2.2887898516710616,3015085232.2098694,86136141.46841708,1317327246.1027973
04-01-2024,2.0930752407478,2766595767.0062265,147919835.72087258,1321785148.0665336
05-01-2024,2.20759210686067,2921493675.371605,155664255.57646713,1323384725.961059
06-01-2024,2.0525262457870275,2708428568.204564,131290880.14478078,1319558555.5915926
07-01-2024,2.003703032903603,2650588792.1394267,62332062.51847074,1322845126.5547118
08-01-2024,1.903245142914648,2504879803.34155,61818113.84519922,1316109915.0399263
09-01-2024,2.0092279493667027,2661336298.7774925,93255691.4678663,1324556678.4079082
10-01-2024,1.9009344261088708,2510779684.476026,75163219.32280463,1320813411.5470157
11-01-2024,2.115327047968228,2791927659.2067904,124481803.34714234,1319856266.144962
12-01-2024,2.197577484142704,2923369304.418921,164501736.06850073,1330269046.4902337
13-01-2024,2.1741941115091774,2878517182.9422827,166567563.8343576,1323946729.3673296
14-01-2024,2.1234076492637484,2804717057.825767,110563517.6452842,1320856623.4553454
15-01-2024,1.990739402516301,2644206018.970014,96659328.17605312,1328253218.692376
16-01-2024,2.022644300347784,2678851644.2607994,57884596.68098872,1324430421.997671
17-01-2024,2.085298382077177,2754778394.801459,115454056.5136374,1321047586.512492
18-01-2024,2.044474339456622,2701878480.6206827,99635777.9967027,1321551671.4867573
19-01-2024,1.9346531891471497,2561275483.506703,61864993.75564288,1323893862.669922
20-01-2024,1.9350582769314864,2557627528.42626,56527461.06940757,1321731525.5652204
21-01-2024,1.9122468007402007,2531672587.3018365,43864916.03027481,1323925649.3052392
22-01-2024,1.9155493189815904,2537643581.206535,36867467.90867719,1324760242.9551036
23-01-2024,1.7722059421377054,2345160424.6841025,54171392.17329696,1323300170.1005902
24-01-2024,1.864063735167104,2464114047.7638507,64578054.71378836,1321904396.9775825
25-01-2024,1.8593434729361795,2473951044.7347093,49629406.97301227,1330550853.429987
26-01-2024,1.824114578217452,2457342752.151708,49619430.72528532,1347142762.5741885
27-01-2024,1.8996247885044948,2552760969.4822226,63685366.3539458,1343823782.9544845
28-01-2024,1.937445615223668,2609207133.7457385,48643302.38207796,1346725354.8918426
29-01-2024,1.9047900859878928,2567742511.376345,58918181.87337925,1348044873.9550328
30-01-2024,2.0285011922692417,2732587869.200252,62255277.33478501,1347096999.3088162
31-01-2024,2.00253748901185,2710051366.0343904,62808836.10589767,1353308680.0645428
01-02-2024,1.931802128385832,2624719996.979233,60272551.42829425,1358689877.4008424
02-02-2024,2.0379546496029155,2762627246.2475247,71354468.52065292,1355588185.8243546
03-02-2024,2.186035230008388,2965252362.7445216,122473538.26984905,1356452230.0645373
04-02-2024,2.1178188458267733,2868514931.642876,60562864.95026288,1354466618.9440007
05-02-2024,2.102790698932283,2854950298.1116056,55946801.33237448,1357695894.1093094
06-02-2024,2.28388954633776,3092214312.021774,80730202.8978636,1353924631.329116
07-02-2024,2.204016532305152,2985772423.553397,80302312.61049865,1354696019.6485538
08-02-2024,2.3272680311573404,3153958146.648391,58355472.24639676,1355219125.7832649
09-02-2024,2.272700887765125,3082745764.8992496,59508779.40313316,1356423883.8005152
10-02-2024,2.471367461264816,3358681598.8181906,106410881.38115858,1359037719.5867336
11-02-2024,2.777636639596167,3767788929.514402,212099343.4054628,1356472936.6697116
12-02-2024,2.757862572491008,3734207116.8162575,110508861.05893958,1354022188.800865
13-02-2024,2.939783769981757,3993644943.107513,245672090.3640802,1358482546.8753085
14-02-2024,2.9577568791429134,4010457254.5546994,148486052.96263176,1355911732.5818994
15-02-2024,3.2817294807430533,4445833452.709893,174918846.94435564,1354722709.107413
16-02-2024,3.1903250753879218,4325757165.452075,138575795.87671998,1355898556.803367
17-02-2024,3.147737564745053,4271311482.8859024,103843858.94032007,1356946503.649154
18-02-2024,3.1782443705900647,4317389685.500947,71951482.27982406,1358419675.167832
19-02-2024,3.351169168082699,4542887189.614805,118909178.96337156,1355612612.1242404
20-02-2024,3.269236995841028,4426331725.934691,92747990.23415156,1353934184.5102284
21-02-2024,3.539011955158472,4797219315.75696,161790245.13054332,1355525038.214274
22-02-2024,3.3493724804516285,4574125720.970922,104807263.860606,1365666478.621735
23-02-2024,3.2446189132624728,4423854381.787912,104870283.57337707,1363443442.8355455
24-02-2024,3.0509792489832743,4241407060.04415,95878098.14756472,1390178927.4566782
25-02-2024,3.076764212091477,4274933804.831568,86232433.78567211,1389425224.0816388
26-02-2024,3.202641391518142,4449798836.280598,69731779.03739789,1389415264.558005
27-02-2024,3.310653148913093,4605246204.354799,110236969.0634533,1391038564.661094
28-02-2024,3.341839035204359,4639430319.596589,105158246.28613546,1388286590.324324
29-02-2024,3.3545363520821216,4653161440.457606,138964596.370951,1387125060.537634
01-03-2024,3.194167228660453,4448298447.042328,129078663.9908116,1392631671.6071951
02-03-2024,3.208980753718404,4462469060.617636,68914068.00945035,1390618829.8096688
03-03-2024,3.2281726385818863,4482057141.762357,89343200.60698211,1388419283.4653642
04-03-2024,3.316417185635028,4601959874.306933,126363942.3267975,1387629968.340593
05-03-2024,3.1412015051236715,4359770803.741685,128816873.85165308,1387930954.6459794
06-03-2024,2.913199421506167,4051714374.970275,222541776.6797017,1390812570.2137752
07-03-2024,3.142181058026116,4360671212.35216,153023274.52718928,1387784832.1991627
08-03-2024,3.344041985579197,4650629440.288886,145890165.71820423,1390721007.793622
09-03-2024,3.394237065674497,4736503497.221179,141839483.81378973,1395454532.3663034
10-03-2024,3.518704624372824,4881667007.20366,156704595.61510688,1387347768.0934277
11-03-2024,3.406468211924374,4738917746.367812,112283156.97222383,1391152786.8597703
12-03-2024,3.635398508912936,5045217952.079554,120361047.35098691,1387803273.7566876
13-03-2024,3.598102423306716,4999423177.428787,130317872.8237898,1389461051.7602315
14-03-2024,3.46247430248646,4807117383.37509,115705684.35190454,1388347454.282338
15-03-2024,3.317699936940873,4606621147.985436,127610058.84314424,1388498428.2915678
16-03-2024,3.065917363759713,4264122144.59953,118981493.0892471,1390814441.0554063
17-03-2024,2.840325687815831,3938189541.260948,101860598.96745752,1386527452.8743773
18-03-2024,2.963444851498164,4114016157.918501,85509568.58464561,1388254671.1941233
19-03-2024,2.8330785500152014,3936669749.4559054,79059112.67140745,1389537804.8853548
20-03-2024,2.5670605088489133,3583781773.965883,131997227.16610298,1396064394.12403
21-03-2024,2.904215882953274,4064220888.04734,103395370.19672272,1399421066.4237764
22-03-2024,2.849223655398619,3982134512.000586,88016360.37691765,1397620893.837296
23-03-2024,2.7226861198555565,3868487520.37662,72033927.63546662,1420834921.8682065
24-03-2024,2.9427120052890605,4192022088.814335,70720393.35041142,1424543781.8175333
25-03-2024,2.963649859276753,4216281557.154802,54857526.71995928,1422665212.611769
26-03-2024,3.0827340821312523,4375665249.6825695,77187203.59792404,1419410540.4827676
27-03-2024,3.006554711076619,4270972451.844416,60112850.00308403,1420553710.9002154
28-03-2024,2.9515982764485407,4180441390.6530495,91860855.04600336,1416331424.2353787
29-03-2024,2.934037958480566,4177146367.584716,50639515.455258265,1423685182.910146
30-03-2024,3.113071407841697,4436785722.470244,73052273.78846344,1425211677.21825
31-03-2024,3.089713866485109,4394848756.486678,63652848.145067,1422412866.1746612
01-04-2024,3.0416735134906525,4327405383.89137,52211715.25709343,1422705416.836536
02-04-2024,2.895810043618756,4120099141.642628,58617817.80040373,1422779491.6043377
03-04-2024,2.65412255961297,3786409298.864876,70709953.0523857,1426614338.1928146
