Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
04-12-2023,3.864910086321301,1448021884.3952289,118811272.92860608,374658621.3014557
05-12-2023,3.7305515442951016,1397500539.6601634,208431784.847768,374609631.5965057
06-12-2023,3.682542804521469,1375598632.9625676,114930365.94501597,373545863.8182268
07-12-2023,3.637896011516013,1362558018.8998482,151582400.16708085,374545620.4868352
08-12-2023,3.640535631508219,1363216324.8530335,101783798.36185546,374454877.75332487
09-12-2023,3.886998093605064,1454826764.4225483,137928102.62595677,374280287.6121928
10-12-2023,3.711171105696341,1387193916.5843835,114603543.60991415,373788725.196517
11-12-2023,3.789473222802728,1418105963.3005512,81152426.49217579,374222452.5475622
12-12-2023,3.9265950414594095,1461475051.3843486,203170116.54265743,372199077.305705
13-12-2023,4.181857003285077,1567294502.868377,247957715.3212517,374784336.63254905
14-12-2023,4.1338300261948815,1550789987.1784043,200940765.66913497,375146045.5198927
15-12-2023,4.598755785341436,1720431638.561704,270926529.0042215,374108067.23975015
16-12-2023,4.35165096032577,1633349049.3663058,153384969.95177492,375340086.8446561
17-12-2023,4.396485859392805,1641750018.1333358,130399757.5211312,373423245.43722665
18-12-2023,4.200955230705034,1572304237.2673025,92601546.67581218,374273028.613882
19-12-2023,4.416393282641852,1654140783.9046986,139180312.16796798,374545625.3649595
20-12-2023,4.183861215293251,1563718757.427122,115242968.25920828,373750150.1510775
21-12-2023,4.466470225584508,1671113798.2961123,130091256.02370372,374146409.5570952
22-12-2023,4.301968963009993,1610034674.9356194,119163258.25807276,374255297.6972464
23-12-2023,4.473603781223505,1674982188.1715105,128993528.0475205,374414514.5803262
24-12-2023,4.790653386522688,1794425371.340053,184660074.3043064,374567981.9767848
25-12-2023,4.609823166944852,1725522957.646854,130047079.12565234,374314348.9797765
26-12-2023,4.633442168419983,1734824761.8469286,91505157.14674316,374413815.6446461
27-12-2023,5.172708221689212,1936315180.1397223,295405633.2596847,374332960.0576996
28-12-2023,4.981448742523579,1859820968.45224,185871314.72585508,373349413.9116773
