Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
04-12-2023,0.1493703160461196,1394546933.9605746,40575121.87109944,9336171810.267803
05-12-2023,0.1499846383011756,1396102352.73612,81417345.66657525,9308302293.816826
06-12-2023,0.1582564054802086,1477626629.1896708,84403607.53121717,9336915145.43126
07-12-2023,0.1635911016433864,1525339128.8909,132354747.25884528,9324095953.678452
08-12-2023,0.1646152998917729,1533889078.837188,77109446.06618695,9318022564.40106
09-12-2023,0.1744913280819931,1626186858.533955,90010192.43802772,9319585542.783035
10-12-2023,0.169344128677864,1578233545.8223605,74064770.46277127,9319682696.673618
11-12-2023,0.1714944715610224,1598239385.9497328,73143474.21348605,9319480513.872047
12-12-2023,0.1586452771095213,1478508382.7434585,103118987.83794992,9319586499.399948
13-12-2023,0.1597014118320959,1490004678.4069688,72360875.00841524,9329940551.643362
14-12-2023,0.1639674166654293,1527661036.2235696,66488342.65647553,9316857381.126623
15-12-2023,0.1746256313229142,1627073517.3924086,97471756.38098596,9317495404.69037
16-12-2023,0.163667159178973,1530409820.044491,66044605.088322006,9350744692.592602
17-12-2023,0.1618777792540263,1507388699.505896,49380314.299773045,9311893864.941336
18-12-2023,0.1587040134698529,1477414810.4868715,41268412.37996255,9309246679.936789
19-12-2023,0.159797274823168,1494668374.2005107,68087637.7792419,9353528562.076626
20-12-2023,0.1556480825640803,1456719507.669945,53478514.49056733,9359058484.19439
21-12-2023,0.1609187035939597,1504417074.960503,54497793.14945029,9348926143.20672
22-12-2023,0.1646964989546121,1540526605.4368336,56806268.08454902,9353730135.21908
23-12-2023,0.1904267233139946,1783452429.044822,205145720.5567863,9365557512.135977
24-12-2023,0.1834046304745181,1720879167.8173387,117415033.93842818,9382964668.694304
25-12-2023,0.1866380302371923,1747909439.4620037,130276772.71397032,9365237284.387548
26-12-2023,0.1973349521247771,1848003249.1160104,87464071.04415704,9364804507.351015
27-12-2023,0.1993017613413854,1866723740.2535613,158367965.74782625,9366318328.998796
28-12-2023,0.1916912879986055,1793774189.5285697,88777707.60277276,9357619786.777258
29-12-2023,0.1890071784963666,1775674886.0568335,129296261.73845398,9394748390.950497
30-12-2023,0.1812324615175702,1695738762.5858662,81283441.77258946,9356705462.07014
31-12-2023,0.1784879514948384,1669638108.26727,52762938.3855755,9354346297.797886
01-01-2024,0.1841284440139855,1725412634.7959874,58473736.18080664,9370701219.117092
02-01-2024,0.2174013537020689,2033050473.861049,199451259.92529324,9351599883.076998
03-01-2024,0.2080825665388224,1939669247.459704,142732422.1572262,9321632656.322582
04-01-2024,0.189273298896084,1773233418.8062615,172734579.85378003,9368640104.803228
05-01-2024,0.1986726129887348,1858749676.40189,91329666.60153674,9355842501.086372
06-01-2024,0.1841979884073709,1723838663.0215654,88238284.56584954,9358618288.540354
07-01-2024,0.1718821690119169,1610909266.805436,74906337.38222869,9372172087.808296
08-01-2024,0.1628559470260976,1522678180.890469,62008074.062937975,9349846957.977283
09-01-2024,0.171470077451687,1605627683.7047236,97088655.85762008,9363894316.52949
10-01-2024,0.1599333503318849,1496553779.2766263,86006034.92692256,9357359025.938366
11-01-2024,0.1779375129490378,1668804024.393024,102926147.8150433,9378595871.860802
12-01-2024,0.1867293873564443,1750432399.71721,135110144.98103285,9374166672.414778
13-01-2024,0.1752755001779278,1638926351.4424927,112913701.50142436,9350572953.885544
14-01-2024,0.1710522644168673,1602087694.6107223,80079102.65691003,9366071241.865082
15-01-2024,0.1619350784159294,1518580369.7684982,75701345.2381973,9377711022.364355
16-01-2024,0.1628686165973223,1525454890.393165,79916016.0241309,9366168401.643097
17-01-2024,0.1690604277764934,1582708169.4472232,77889339.31126228,9361789688.23884
18-01-2024,0.1670827598242882,1567980730.203819,57899992.875016175,9384455534.806694
19-01-2024,0.1546775328657046,1453030210.0972283,74391651.92403603,9393931899.33272
20-01-2024,0.1529189370387831,1435565311.6368928,72884970.53027225,9387753665.02061
21-01-2024,0.1598793889929763,1502575374.9934475,65565886.85598177,9398180618.888012
22-01-2024,0.1597660330568219,1500743661.9570782,45542140.75386991,9393383770.274424
23-01-2024,0.148289387025789,1393854860.7457695,62702000.70648252,9399559123.562658
24-01-2024,0.1475145519243004,1383153580.4111636,67352478.28502245,9376387362.25123
25-01-2024,0.1534213145587751,1442519256.3536923,43110440.32406893,9402339306.64874
26-01-2024,0.1493877043723722,1402944467.4507751,38677543.52618752,9391298121.522211
27-01-2024,0.1561584635338667,1466970207.327208,38963785.01032152,9394112711.726704
28-01-2024,0.15980229195294,1501179326.0291412,45011961.01962767,9393978695.069164
29-01-2024,0.1569573065369454,1474304859.656618,38027349.190945625,9393031087.148458
30-01-2024,0.1623176762982513,1525390331.9763155,42622762.57133925,9397561416.37637
31-01-2024,0.1583250427309516,1485619052.1143713,51109149.17494623,9383348499.320766
01-02-2024,0.1546428619996317,1454118116.8113315,47415055.40158674,9403072977.366354
02-02-2024,0.1540678054603633,1446571568.192025,38678026.67214757,9389187857.058046
03-02-2024,0.1560012237291747,1465260503.4773986,32922318.299930096,9392621855.461586
04-02-2024,0.1561364200599644,1466161784.1927154,40101773.15312383,9390261308.858198
05-02-2024,0.1524603566144952,1431092436.609337,31895616.98733273,9386652821.677025
06-02-2024,0.152271456145007,1429922489.6972823,36039494.54484742,9390614143.307182
07-02-2024,0.1590896887590524,1494191088.9685109,40864491.30201212,9392130317.330132
08-02-2024,0.1606554990275458,1509312676.2738423,44328924.51270903,9394715309.52736
09-02-2024,0.1642990807625456,1543979418.8579638,47383621.8874732,9397371012.010777
10-02-2024,0.1676366069646205,1575373443.244575,55255133.72784949,9397550283.137472
11-02-2024,0.1703009583833103,1599915436.857504,48996827.70658301,9394635544.307644
12-02-2024,0.1670565993647211,1567956280.5072274,39937121.18177696,9385778750.853388
13-02-2024,0.1757393881194355,1650207209.6534786,64048127.93894044,9390081684.658928
14-02-2024,0.1724927845243916,1620091632.80134,63173939.53136013,9392228418.529867
15-02-2024,0.179993301326205,1690308388.6397855,56624314.10162558,9390951642.008108
16-02-2024,0.1831788072173225,1719829348.1753025,75128397.3631464,9388800889.695196
17-02-2024,0.1938100071900475,1821199122.2345169,133949707.12425992,9396827071.208311
18-02-2024,0.2147639018184353,2016163016.6391404,124386930.81854875,9387811450.471945
19-02-2024,0.2384340199666784,2248316263.4281178,418239514.5309351,9429511207.093365
20-02-2024,0.2449450273940512,2304503433.7697287,350588147.37733346,9408247467.961033
21-02-2024,0.2491740662162383,2346079036.657421,215672511.542058,9415422207.788857
22-02-2024,0.2814968720438784,2643179311.146186,306170714.7285622,9389728887.410795
23-02-2024,0.2708393860307134,2551566954.023409,416013479.32816845,9420959748.20316
24-02-2024,0.265772292223312,2511939910.85415,256753796.83647552,9451474003.70661
25-02-2024,0.271214137586235,2554266805.1236258,163117934.87406877,9417896971.950708
26-02-2024,0.2895307064846438,2729481346.7010164,237452120.5856424,9427260340.85018
27-02-2024,0.2936251080187638,2766555210.073636,219658059.2999057,9422066214.7763
28-02-2024,0.279401357460354,2630720902.1005616,161847325.0386823,9415562350.923264
29-02-2024,0.2892594207164032,2725827068.0011435,314869802.2733205,9423468598.706793
01-03-2024,0.2806222422225315,2648316166.2108603,168523213.28549734,9437299571.253384
02-03-2024,0.3214995017588468,3024620721.487108,374297732.46640974,9407855082.014536
03-03-2024,0.318634086919102,3002221848.1560354,197461406.97608,9422161568.414583
04-03-2024,0.3199281987166414,3014202132.071645,252229806.15626225,9421495648.594908
05-03-2024,0.3085914007353126,2902881449.4782896,225241993.18446416,9406877322.44416
06-03-2024,0.2792212476771603,2632150259.01514,307527495.171848,9426754879.551537
07-03-2024,0.3231827802911416,3032012482.5673776,339184247.19170725,9381726587.77168
08-03-2024,0.3454471908300303,3254108191.1502523,430825565.0067362,9419987417.849243
09-03-2024,0.3406035683077376,3206912976.771959,273393225.9991184,9415382794.447096
10-03-2024,0.4550847254186408,4153268383.536735,856728448.7833511,9126362963.986689
11-03-2024,0.4382148250583439,4125317107.22478,688754312.2275156,9413914982.624184
12-03-2024,0.434488360993287,4093940962.674587,319861671.1655395,9422441036.890837
13-03-2024,0.4465138787708352,4189865534.53846,356888711.50647336,9383505717.8342
14-03-2024,0.441071481693838,4148809497.695113,249647748.05751377,9406206635.175148
15-03-2024,0.4365867732608487,4112400050.2992816,267430905.8359212,9419433437.21555
16-03-2024,0.4114330647461862,3876971023.951402,468276858.2641793,9423090548.989086
17-03-2024,0.3669495244908711,3460778048.348484,225129189.6492108,9431210063.973202
18-03-2024,0.4257571568286486,4007080746.03544,261570499.82270503,9411657988.049135
19-03-2024,0.3901066898664507,3688943125.541712,235032851.4397771,9456241642.009745
20-03-2024,0.370753546933417,3521666163.7175817,311092748.41428995,9498671537.591606
21-03-2024,0.404275153526136,3818149097.489485,216226441.9022433,9444431754.430452
22-03-2024,0.380321173377608,3599908255.3552303,153214907.18406698,9465442650.443768
23-03-2024,0.3648931746446476,3442346490.564603,132316432.61643893,9433847300.42414
24-03-2024,0.3657407718628438,3460676530.860076,115442586.59922478,9462102114.658031
25-03-2024,0.3884454537230455,3674662619.9115367,124589789.56614415,9459919236.257822
26-03-2024,0.4017914570935997,3787639426.57559,175884160.494171,9426878943.554136
27-03-2024,0.3980105570683698,3755460331.622317,160667177.8620689,9435579697.39282
28-03-2024,0.4002804098386249,3774720268.063497,211536827.88522923,9430189875.10604
29-03-2024,0.4104441766646194,3883253376.762293,183117539.446652,9461099943.76985
30-03-2024,0.3933283890549416,3717387051.824375,115850475.85105494,9451102832.308186
31-03-2024,0.3884621472467988,3670338020.308659,83719443.35192208,9448380096.547243
01-04-2024,0.391808500718863,3705769115.017249,70087595.09052111,9458113104.27967
02-04-2024,0.3752441718157763,3554541138.7228866,130269534.31613135,9472608519.20164
03-04-2024,0.3337129496386017,3158727957.9933257,153412954.54602575,9465404208.659288
04-04-2024,0.3298677921562776,3128589710.349145,114605554.87164438,9484374603.225737
05-04-2024,0.3380134323328705,3193609186.0929627,96389510.85153297,9448172411.52696
06-04-2024,0.3319913778671513,3140871794.906172,94109763.5145014,9460702910.673222
07-04-2024,0.3383750663474131,3198333414.9734526,67975205.14047858,9452036314.311914
08-04-2024,0.3375331264116729,3189122321.810244,77768710.60953623,9448323948.863688
09-04-2024,0.3523164304066598,3333224398.5161567,88477271.4341584,9460882635.16066
10-04-2024,0.3329986346187821,3155198000.054667,93154671.06835295,9475107919.486658
11-04-2024,0.3278956945532883,3101823137.685498,82774333.69180937,9459786112.505363
12-04-2024,0.3110954282314528,2941566290.296201,101174421.16203444,9455511149.806087
13-04-2024,0.2690285383081851,2545340198.088741,160466848.21775693,9461227474.584616
14-04-2024,0.2361991903055633,2240916335.941417,234789259.9606917,9487400583.560066
15-04-2024,0.2601531066847468,2464744045.425266,143550519.04513636,9474205696.924618
16-04-2024,0.2533017227579809,2392345038.1490984,150383912.69673878,9444645745.401749
17-04-2024,0.2585326987587425,2444608480.5640354,113369405.32170977,9455703252.629156
18-04-2024,0.2414664780731459,2286601852.712977,86852598.28239849,9469645107.509752
19-04-2024,0.2557621077908056,2422529039.5369897,76266660.1646395,9471805892.053556
20-04-2024,0.2581313076041999,2450769859.996164,112361449.04524375,9494275927.792528
21-04-2024,0.2913538726220348,2763096397.7205977,97209012.16245152,9483643971.690348
22-04-2024,0.281233789862825,2667761014.815771,66201641.45552104,9485919227.974
23-04-2024,0.301636389610031,2865449356.332552,97067354.04203956,9499680592.375252
24-04-2024,0.2929893213118834,2778895627.260116,88408188.9147078,9484631094.46237
25-04-2024,0.2698043720630483,2559780931.4248443,99534229.55595936,9487544296.82359
26-04-2024,0.2664962724283506,2532429460.4139853,80268717.27266185,9502682485.34263
27-04-2024,0.2588809608401928,2455553188.275939,67391482.5574017,9485259867.340153
28-04-2024,0.264981722636593,2514281256.2012124,88830819.3488544,9488508230.620129
29-04-2024,0.2569867799401423,2437893460.229093,57640526.48444665,9486454753.808466
30-04-2024,0.2562998662699939,2430593343.541586,70696455.91224453,9483396846.493578
01-05-2024,0.2362135217661033,2248015673.0320463,81530654.06054671,9516879712.153025
02-05-2024,0.2431157580924102,2312368565.028839,95009124.67047124,9511389073.142223
03-05-2024,0.251102864073322,2381881611.074981,87288706.24653721,9485680778.1351
04-05-2024,0.2748932910354223,2614413664.5327744,115694707.57603998,9510649222.049894
05-05-2024,0.2753882909574611,2612440213.890686,81980858.25879759,9486388127.860624
06-05-2024,0.2932928282392212,2773703145.5085373,125610931.74200451,9457112068.373508
07-05-2024,0.281943948952529,2674352453.204333,108677894.57099698,9485404681.107784
08-05-2024,0.2808633930853464,2667086092.76044,98284049.5133204,9496026034.086926
09-05-2024,0.2634226378106061,2495141354.848705,101683930.6919781,9472008083.992558
10-05-2024,0.2939157882689127,2791545189.9594507,106448976.99728724,9497772155.76245
11-05-2024,0.2917210471196128,2763259927.003805,201734647.09617552,9472267956.96644
12-05-2024,0.2845833532664013,2700476567.8504825,91650925.73972112,9489228856.343328
13-05-2024,0.2783229263974139,2641037265.458864,64086384.10051303,9489111442.036793
