Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
04-12-2023,0.0226384084324661,1648313949.035403,44463045.70535393,72810504941.30704
05-12-2023,0.0240236832827744,1744719256.4228835,73949844.72477467,72624969114.28615
06-12-2023,0.0248012321790014,1804589479.501064,72584319.27640188,72762089660.56795
07-12-2023,0.0253191492803766,1842098005.427821,74472469.46628354,72755130317.72836
08-12-2023,0.025222395717337,1835280839.6747508,55547609.6302966,72763938058.95453
09-12-2023,0.026890770256016,1955168706.4285548,73815612.4003615,72707798542.55544
10-12-2023,0.0271561073120812,1973602381.0521915,68708872.86132737,72676188761.93549
11-12-2023,0.0276582330120128,2010662024.160636,51152799.53912308,72696691190.91385
12-12-2023,0.0271249251348083,1973652552.7416267,129736252.66956817,72761585255.36055
13-12-2023,0.0291976218838588,2125164386.808848,140802558.06590238,72785530111.39886
14-12-2023,0.0311177180774062,2263795384.3067107,125428492.39327738,72749402082.61578
15-12-2023,0.0308740084497254,2245258371.0257936,77605648.10315628,72723254406.11061
16-12-2023,0.0289023647103209,2104208079.3638933,52725560.8652812,72804011036.9408
17-12-2023,0.0298089991317007,2164987125.309622,67289750.1875988,72628641966.28583
18-12-2023,0.0291898149090813,2121633740.0512736,45964836.99767758,72684042247.59944
19-12-2023,0.0319109575450509,2320130675.7790933,114964804.69221368,72706394739.2867
20-12-2023,0.0328934403353264,2390201026.832433,141102578.6550478,72664975218.94771
21-12-2023,0.0347351915499875,2525400078.876859,171475265.44016793,72704365981.1851
22-12-2023,0.0348422877335642,2533401358.490585,79684710.00449681,72710534332.97122
23-12-2023,0.0360543659368511,2623115626.107236,98681507.95694946,72754451727.19441
24-12-2023,0.0355371224429174,2586573582.3616505,52307177.58154401,72785116085.761
25-12-2023,0.0345818359153901,2515975984.882924,76635290.28423503,72754262990.50893
26-12-2023,0.0381604811333965,2775444775.809076,112560414.10710137,72730864322.88504
27-12-2023,0.0372885996230131,2710916404.598107,99159048.25695132,72700944310.20226
28-12-2023,0.0369896167125844,2690893664.947074,63865405.441014834,72747270831.58952
29-12-2023,0.0355693159111995,2590311675.187632,66724958.52502656,72824332119.6973
30-12-2023,0.0350577070061157,2549642334.757408,61637490.03845817,72727013615.36925
31-12-2023,0.0357666421278245,2602848574.6237154,77541561.25210977,72773076245.78029
01-01-2024,0.0341936911726311,2486879078.7198257,53669663.7685924,72729178788.1135
02-01-2024,0.0365771441024417,2657179105.7497864,60609810.4381796,72645887779.20482
03-01-2024,0.0349989217478914,2539071960.351689,61763246.33669006,72547148127.6322
04-01-2024,0.0321277833074105,2335992532.200172,106395681.79053898,72709421308.29666
05-01-2024,0.0327932215631701,2385524712.6469307,59454597.152615584,72744445313.23802
06-01-2024,0.0310030212936754,2251925073.543996,58462857.94109091,72635665157.04012
07-01-2024,0.0296496061769309,2155855118.35772,50363821.716273785,72711087813.20332
08-01-2024,0.0285386981696042,2071880983.2172463,53246798.739538334,72599001219.4721
09-01-2024,0.0310672605188579,2263135516.9783025,117988766.82030717,72846317286.47504
10-01-2024,0.0300032797934483,2177769739.663092,64409912.01306735,72584389261.95784
11-01-2024,0.0327167988460039,2381464196.996765,76211795.58010998,72790257023.80534
12-01-2024,0.0330954935036884,2408218598.087676,80538865.69595058,72765755791.47313
13-01-2024,0.030847315318918,2242115618.229208,67052421.57920069,72684303157.3046
14-01-2024,0.0309978094907715,2255095000.9639635,40241545.71820658,72750140671.56381
15-01-2024,0.0293772763172047,2146585516.0745745,41298060.81750217,73069589328.04242
16-01-2024,0.0302634206458445,2200792404.405795,41170133.10186335,72721204590.86246
17-01-2024,0.0304897479048096,2218076087.034696,43902040.38168301,72748259315.21721
18-01-2024,0.0300192266292169,2183122317.315952,40380494.27273843,72724135910.65572
19-01-2024,0.0284701955644058,2070765423.764277,45970208.00522989,72734499455.04404
20-01-2024,0.0284435000380176,2067767992.9135275,45158615.71713831,72697382183.96968
21-01-2024,0.0284192080694434,2070052276.2883484,30387371.33198424,72839900085.53697
22-01-2024,0.0279692272753273,2037942543.871388,28430540.487417907,72863741418.73875
23-01-2024,0.0260712050015291,1896069154.753165,42636353.66427059,72726563833.23875
24-01-2024,0.0265510903886796,1929382619.9757867,57408775.901680455,72666794159.17317
25-01-2024,0.0272503462022867,1982061136.6593845,40918142.63921545,72735264423.65187
26-01-2024,0.0270802311024437,1970379717.0877843,34717407.98228103,72760816170.06487
27-01-2024,0.0280084686432741,2035622615.49126,45833724.43575227,72678825872.90569
28-01-2024,0.0282866189243096,2057475108.582008,31934931.487755053,72736692712.8151
29-01-2024,0.0280097924321982,2037732128.842981,40050689.56016825,72750704375.1077
30-01-2024,0.0290444477826733,2112280622.97224,39513608.914203696,72725797328.89041
31-01-2024,0.0285713516411171,2075817023.6374,41615363.42397189,72653791452.06697
01-02-2024,0.0282008631943865,2050805643.0688848,37523944.50109087,72721378382.38596
02-02-2024,0.0284458720989114,2068349438.340419,32361208.11299586,72711760467.33212
03-02-2024,0.029305229921444,2131145661.2184005,33964337.903886415,72722366175.97528
04-02-2024,0.0285350335678629,2074230118.4394848,30614608.33776845,72690649320.82462
05-02-2024,0.0276686766720475,2011250970.0358143,30178528.355753284,72690537168.61331
06-02-2024,0.0277697971306195,2018687020.19122,32567422.85504533,72693617843.01173
07-02-2024,0.0279866313708717,2034750080.702082,30065804.821865387,72704358510.965
08-02-2024,0.0287102711143822,2087137484.828544,33649571.72715667,72696543913.26895
09-02-2024,0.0288678492964516,2101279934.9911764,36520696.34380216,72789625351.46178
10-02-2024,0.029757644348431,2164750419.0384755,40989998.45365849,72746027665.74866
