Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
04-12-2023,2189.56936326829,0.0,926252540.310842,0.0
05-12-2023,2234.969761312699,0.0,1677985375.404472,0.0
06-12-2023,2287.687590101263,0.0,1775538154.9131105,0.0
07-12-2023,2230.304822196185,0.0,1554183581.6549623,0.0
08-12-2023,2354.9733207289323,0.0,1640389368.0218687,0.0
09-12-2023,2359.3677934022203,0.0,274279288.651543,0.0
10-12-2023,2343.205959040972,0.0,288341315.3937643,0.0
11-12-2023,2343.540510480914,0.0,193670200.23255712,0.0
12-12-2023,2223.4474888346263,0.0,322673275.3624883,0.0
13-12-2023,2196.146688759396,0.0,266424599.61259177,0.0
14-12-2023,2253.7596785085902,0.0,243408654.36727044,0.0
15-12-2023,2319.5903446175803,0.0,221765687.0218107,0.0
16-12-2023,2227.255154545365,0.0,237714971.74278224,0.0
17-12-2023,2229.117352370753,0.0,232784406.7663917,0.0
18-12-2023,2200.220752869157,0.0,463527846.9090219,0.0
19-12-2023,2221.792769907493,0.0,317961380.0619891,0.0
20-12-2023,2187.2579491599035,0.0,294405937.4074636,0.0
21-12-2023,2184.7593226633844,0.0,339697491.56639713,0.0
22-12-2023,2230.5068717085333,0.0,278280469.8378777,0.0
23-12-2023,2311.1604060058567,0.0,276341662.6737295,0.0
24-12-2023,2304.423294841355,0.0,274334725.74314046,0.0
25-12-2023,2263.6462249897595,0.0,260090438.79905307,0.0
26-12-2023,2271.0958224580536,0.0,262352202.1380448,0.0
27-12-2023,2224.467984346311,0.0,272760040.512101,0.0
28-12-2023,2375.145936443481,0.0,975499360.5211432,0.0
29-12-2023,2347.853927711425,0.0,283590227.87360454,0.0
30-12-2023,2292.3043479694647,0.0,246386794.84356505,0.0
31-12-2023,2287.360672475209,0.0,181059940.77510452,0.0
01-01-2024,2274.5163206245147,0.0,176369461.40851477,0.0
02-01-2024,2338.1907436326014,0.0,199661406.1747988,0.0
03-01-2024,2351.5840209169423,0.0,261189228.24972987,0.0
04-01-2024,2202.989350343976,0.0,304897621.3347474,0.0
05-01-2024,2278.5967954951666,0.0,253026185.6788669,0.0
06-01-2024,2265.850627317697,0.0,246987179.39320016,0.0
07-01-2024,2239.6656963275186,0.0,202488021.44320017,0.0
08-01-2024,2219.719137710344,0.0,209343063.744368,0.0
09-01-2024,2316.457667072905,0.0,282554689.6514175,0.0
10-01-2024,2331.0374018339653,0.0,355986869.51143575,0.0
11-01-2024,2593.137433596822,0.0,440601581.82357264,0.0
12-01-2024,2614.677613609891,0.0,328252915.1425738,0.0
13-01-2024,2510.3814638382005,0.0,1187259869.0869548,0.0
14-01-2024,2570.436363235598,0.0,199130876.65870315,0.0
15-01-2024,2483.199020438954,0.0,183382758.9596444,0.0
16-01-2024,2527.809071994737,0.0,181738668.98418632,0.0
17-01-2024,2593.8570294647525,0.0,292817590.23531735,0.0
18-01-2024,2517.7267618014343,0.0,261070632.8569372,0.0
19-01-2024,2458.969373306428,0.0,303108188.5866752,0.0
20-01-2024,2486.301845474401,0.0,285737919.3998357,0.0
21-01-2024,2468.114913075401,0.0,160527789.95500764,0.0
22-01-2024,2474.7189108547445,0.0,158354765.4498075,0.0
23-01-2024,2308.782654963839,0.0,235715493.857346,0.0
24-01-2024,2244.0823017218067,0.0,1317134506.1636238,0.0
25-01-2024,2227.362510400046,0.0,196873820.6504836,0.0
26-01-2024,2211.5863039734086,0.0,210589636.8381681,0.0
27-01-2024,2261.8123126209134,0.0,268746292.015309,0.0
28-01-2024,2265.8602464210053,0.0,134929396.58046514,0.0
29-01-2024,2255.187036576105,0.0,148283480.31340286,0.0
30-01-2024,2311.4839532359,0.0,242232272.04303572,0.0
31-01-2024,2365.5177609980774,0.0,234380756.66281688,0.0
