Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
04-12-2023,5.330093071465368e-06,323539458.27491415,36828469.17596736,60700526977095.65
05-12-2023,6.2820766970555484e-06,377036783.36013913,163877213.7282108,60017857396879.41
06-12-2023,7.6057217647628815e-06,463084005.9185757,64041154.17041749,60886266976532.37
07-12-2023,7.525268357911239e-06,461651081.85879904,74541070.87575987,61346793217476.414
08-12-2023,1.007487964421295e-05,610328067.2754357,160802779.3919664,60579191893970.72
09-12-2023,1.2867453410516418e-05,780211450.7864584,141822758.95213845,60634488106931.92
10-12-2023,1.103698216042836e-05,672115351.3453593,183304274.65160453,60896660117395.13
11-12-2023,1.2433525131692556e-05,755828648.1095642,153697313.43688816,60789570142339.39
12-12-2023,1.185279734266246e-05,720941764.2388636,134358285.8881887,60824609026591.234
13-12-2023,1.1503812954913118e-05,702445541.932451,109028911.6067486,61061975249905.84
14-12-2023,1.3101482584873667e-05,799994695.8983488,239736324.87345868,61061386809915.98
15-12-2023,2.5489000294184263e-05,1585653341.538448,322266234.1487516,62209318656575.2
16-12-2023,2.363226074940133e-05,1439823257.917404,1729243120.052987,60926175163071.47
17-12-2023,2.1854856213003795e-05,1324093861.9992604,707979853.3483443,60585796085513.26
18-12-2023,2.294991425902276e-05,1392435444.9641223,520710006.3659076,60672795080996.29
19-12-2023,2.0879830668825264e-05,1275206980.0986035,420089436.2095311,61073626521433.336
20-12-2023,1.8987604203111693e-05,1155362080.4258423,293273091.70267403,60848228563585.79
21-12-2023,1.8812167087202813e-05,1143355039.4633183,380528214.9975612,60777423151907.805
22-12-2023,2.0762131685876784e-05,1268992235.7555578,416853939.360116,61120517630604.19
23-12-2023,1.9408370384346102e-05,1181538731.6075137,321385644.6322547,60877791808862.445
24-12-2023,1.9966069554304355e-05,1208162709.5170102,201961847.931034,60510793385298.52
25-12-2023,1.818828706104206e-05,1110209509.1259992,156347031.83500412,61039805749711.54
26-12-2023,1.8803845637378453e-05,1144321933.4564042,166017996.6065971,60855739593060.2
27-12-2023,1.6069558553780584e-05,973797503.9557352,228253774.2911504,60598895775306.54
28-12-2023,1.4556729116284012e-05,884481458.5450883,185060881.86444783,60761002796682.91
29-12-2023,1.50723798374651e-05,920617251.4159756,322587377.6016089,61079753917003.63
30-12-2023,1.4782793702145105e-05,896458229.9610138,356845201.3975426,60642003671534.05
31-12-2023,1.4077866653268218e-05,856705121.4553249,102563064.69533804,60854754669553.45
01-01-2024,1.3338293873369871e-05,812108450.4270177,90314947.8744352,60885481916724.44
02-01-2024,1.482439202223785e-05,897493569.3603286,105564755.7868216,60541678067742.125
03-01-2024,1.3506670086666096e-05,820785169.9444842,127145495.13887748,60768876760732.51
04-01-2024,1.159032292603668e-05,704235105.5997313,130268872.777033,60760611252489.49
05-01-2024,1.195770087466001e-05,728232573.3144802,101952271.9983006,60900718369507.28
06-01-2024,1.1089720754156594e-05,676436185.7616705,77255146.74335422,60996683393324.58
07-01-2024,1.076530244930573e-05,656438835.2908462,78375095.22221097,60977277543482.38
08-01-2024,1.0307605970092636e-05,618871242.6175478,87610800.48497257,60040250317405.76
09-01-2024,1.2151172470635671e-05,739050728.8542839,217350969.3851118,60821351243286.36
10-01-2024,1.4010170029604398e-05,850561043.1980023,447617253.65234935,60710258433745.75
11-01-2024,1.6135679333136833e-05,992598867.7263802,603470094.6104727,61515777999376.95
12-01-2024,1.6098372934174655e-05,981669507.9967456,378515109.7185544,60979423946179.984
13-01-2024,1.377278679255488e-05,835750987.46339,223908891.7494332,60681327610122.42
14-01-2024,1.5392736285992907e-05,937255998.3907351,216595724.79453933,60889498850416.88
15-01-2024,1.4321405644569117e-05,870536282.3433017,165607928.1904442,60785673134914.766
16-01-2024,1.372499964432746e-05,836073727.1059004,126696342.95520616,60916120129114.14
17-01-2024,1.407385087620652e-05,856389662.0617893,107918015.81317154,60849704149531.35
18-01-2024,1.3379481000019964e-05,813332895.0899974,98613237.07181728,60789569871117.11
