Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
2023-12-04,15.725823590064405,8774145327.629591,531269012.4648248,557945043.5380127
2023-12-05,15.760485729890624,8766504922.981604,1050404792.125384,556233169.0295209
2023-12-06,15.72153292070896,8754773329.237688,676286222.2137891,556865120.8118255
2023-12-07,15.301470696219727,8530673021.018649,720303828.2696162,557506738.4291482
2023-12-08,15.713586856694311,8763440655.929714,918229936.841562,557698298.6666923
2023-12-09,16.966858857885697,9426814191.452389,1072034005.2503502,555601615.5029829
2023-12-10,16.228252970121254,9034855903.78427,939117041.9709758,556736200.7739742
2023-12-11,16.32314771643231,9079927886.327671,494108377.0763218,556260841.6014653
2023-12-12,14.757580129892649,8222112033.247589,1269777491.066776,557145003.5086071
2023-12-13,14.508302668679772,8087889456.938758,672867993.3211937,557466275.8034906
2023-12-14,14.77081941178882,8215226212.407058,725801346.8682761,556179449.7230369
2023-12-15,15.40140224139454,8573611944.020851,800007903.7748605,556677360.2586294
2023-12-16,14.269410709343532,7981698399.138748,529567880.9371063,559357254.6000359
2023-12-17,14.312478147693124,7953865927.5122595,394887677.2799861,555729472.2433696
2023-12-18,14.025458340002304,7808671884.201053,358716315.069367,556749854.0799751
2023-12-19,14.64851678284986,8154326009.583889,779426853.5157087,556665642.7038935
2023-12-20,14.071075715701893,7841112704.944818,461464819.4914066,557250409.5187926
2023-12-21,14.2087087007393,7909306435.281025,495194629.6519698,556652022.4930428
2023-12-22,15.2792769863089,8497658002.255044,676439327.0564216,556155766.3932285
2023-12-23,15.497920085646587,8629232574.663649,660659247.428,556799398.046685
2023-12-24,15.68173194817238,8762422644.116972,614178678.6999803,558766255.7347937
2023-12-25,15.291258898917343,8542032870.943346,641360224.0640546,558621950.449622
2023-12-26,15.6126461277896,8699213989.449003,531623491.5501457,557190236.5714233
2023-12-27,15.068264694705912,8395185344.057613,650854813.7799407,557143474.3250282
2023-12-28,16.64237036753479,9253594404.2428,894754341.544731,556026227.0267886
2023-12-29,16.051461472529084,8964473218.973366,1249632873.0991113,558483302.8640672
2023-12-30,15.528247553752369,8640805697.69722,690487011.5046331,556457234.9704193
2023-12-31,15.197976966244733,8462433624.019181,331840263.2114728,556813162.8844128
2024-01-01,14.920925104492913,8324368851.176956,376975059.2324075,557898976.9656014
2024-01-02,15.531767911179616,8636810604.520187,345330490.5800523,556073890.230068
2024-01-03,15.195813482381377,8431875044.066062,560129237.526585,554881451.6473442
2024-01-04,14.143246901092953,7874336933.212687,961879773.5497836,556755954.8581576
2024-01-05,14.544061582297742,8102358068.604804,464183582.9305791,557090467.663212
2024-01-06,14.070064831820096,7975808986.397526,694476594.4253654,566863698.3363338
2024-01-07,13.41940633069471,7619657154.915052,417026217.9668404,567808811.1458646
2024-01-08,13.105073261510308,7420137864.226218,342893063.38673526,566203463.0526801
2024-01-09,14.153296854055547,8040267851.940202,619583569.5479914,568084449.4995743
2024-01-10,13.71026556356282,7764748275.341533,617985640.9593978,566345578.0154667
2024-01-11,15.029927154856384,8563554075.554836,731124154.6282827,569766838.3434467
2024-01-12,14.9977475293525,8543027241.915554,763377141.9524381,569620686.3861232
2024-01-13,14.118623015356173,8001035412.032104,626651018.4731395,566700832.1795793
2024-01-14,14.368334995322956,8155206054.484743,350286792.2496972,567581842.7910644
2024-01-15,14.796981811279162,8452233975.291342,719060885.0285767,571213378.7208235
2024-01-16,15.21202230142734,8649830290.436867,765501265.3504734,568618039.0115031
2024-01-17,15.272358165469788,8665933201.934305,415955821.717111,567426006.3863382
2024-01-18,15.699130110623466,8919151209.964802,853545792.701477,568130281.5580393
2024-01-19,14.654008720429925,8325696652.943424,650242912.2792656,568151473.8923372
2024-01-20,16.086678781551996,9164586028.6319,887048066.3177096,569700318.6973394
2024-01-21,15.722897031678633,8945724861.539137,792617966.4239398,568961613.3410536
2024-01-22,15.408740384890873,8763103632.56376,350026998.4605395,568709927.8508496
2024-01-23,14.515962012925453,8255006010.010264,800695944.6374383,568684734.9600224
2024-01-24,14.265855010566892,8087073965.362859,680484525.6859628,566883229.8781016
2024-01-25,14.23948595271002,8085531665.289539,454885832.5602728,567824687.7831094
2024-01-26,13.78635973872808,7835644655.134034,386872034.7046247,568362120.5039688
2024-01-27,14.188128606829816,8049108673.682573,383105985.2739704,567312920.3105707
2024-01-28,14.34294954367034,8151761971.134168,245975186.41173023,568346276.7762163
2024-01-29,14.488636990721131,8216166240.481443,363659341.2595033,567076547.3483304
2024-01-30,14.986884453476764,8528124998.999718,517810051.4701032,569039217.2885073
2024-01-31,15.437437826951967,8751010890.410454,638523565.7497262,566869385.2248077
2024-02-01,15.409996844791776,8764421759.034433,916089418.0435228,568749094.9744488
2024-02-02,17.124666110606697,9734632387.995548,1416983639.4067657,568456770.2003895
2024-02-03,17.767216641923824,10413035343.711344,1802009846.0085,586081407.8858346
2024-02-04,17.64043091636434,10327976753.91136,751734781.2849196,585471908.4175261
2024-02-05,18.19201810497985,10675704585.844185,763830946.9953816,586834540.5242224
2024-02-06,19.11896660452867,11216522099.345736,1202571443.0053585,586669893.3763974
2024-02-07,18.30239142752814,10745042721.374662,762340439.2613653,587084084.826933
2024-02-08,18.89942742880904,11105037916.933094,652446810.284007,587585944.5352988
