Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
2023-12-14,0.9974493232891128,0.0,119.6963325574929,0.0
2023-12-15,0.9974493232891128,0.0,119.6963325574929,0.0
2023-12-16,0.998448771579059,0.0,99.84487715790593,0.0
2023-12-19,1.0016119087212214,0.0,2100.290958715204,0.0
2023-12-20,1.0016119087212214,0.0,2100.290958715204,0.0
2023-12-21,0.9999974402246322,0.0,606.124699796349,0.0
2023-12-22,0.9979059800055452,0.0,574.9510863383152,0.0
2023-12-23,0.9992490776156672,0.0,30381.076535761065,0.0
2023-12-24,1.003081663448856,0.0,99.99999999881624,0.0
2023-12-25,1.0253194445999685,0.0,44868.43607974086,0.0
2023-12-26,1.0022614689504157,0.0,14984.313745496249,0.0
2023-12-27,1.0051479428134034,0.0,43416.802122377456,0.0
2023-12-28,1.006004345365073,0.0,354001.9317062762,0.0
2023-12-29,1.0024547771302308,0.0,506599.05256315233,0.0
2023-12-30,1.006216066149599,0.0,951468.3247826628,0.0
2023-12-31,1.0033128072660198,0.0,191942.4358734425,0.0
2024-01-01,1.0042441162184468,0.0,987.9966886476668,0.0
2024-01-02,1.0038629400215164,0.0,641729.7357578261,0.0
2024-01-03,1.0077975110521844,0.0,222952.16860348624,0.0
2024-01-04,1.0062294648050771,0.0,352791.2324340089,0.0
2024-01-05,1.001138208330525,106168066.16984633,1351036.0986462163,106047362.17878424
2024-01-06,1.0036253417250969,106573103.11862792,102607.5288185685,106188134.8426726
2024-01-07,1.0234779795988778,110453999.11800677,492543.877017592,107920249.69730756
2024-01-08,1.002746978386614,110190526.48675098,91006.42403128276,109888664.6998865
2024-01-09,1.0054006605082344,112515126.24608716,3184.309371709847,111910734.36256774
2024-01-10,1.0031105938133682,116976442.3643232,5938.490669865814,116613704.49656226
2024-01-11,1.002540881752465,117279271.07433444,243.26366126397497,116982033.55989586
2024-01-12,1.004988246343102,117381693.26537748,12011.214427393646,116799070.72794113
2024-01-13,1.0019656904733811,118221041.7178478,185784.4622127129,117989111.64512429
2024-01-14,1.0051648968579312,118670795.5191096,3744.394209419532,118061022.51487836
2024-01-15,0.9986875942167408,119004822.74945287,224135.1146573804,119161210.61139944
2024-01-16,1.0064656861544556,123343372.24855834,194188.24550475492,122550995.97069588
2024-01-17,1.0058970459315506,124532830.80057964,503.8797102477232,123802760.23700924
2024-01-18,1.005390184305715,125603808.57040717,9440.84735803379,124930410.63171358
2024-01-19,0.997526751610459,125357080.27009372,52682.04225188697,125667888.17213245
2024-01-20,1.001056480044448,131286797.58563612,283686.11103533185,131148242.08500887
2024-01-21,1.002381660532197,131385716.36577643,139741.03718399853,131073543.67997868
2024-01-22,1.0082989163596552,131894156.20873322,733.0121029667299,130808586.68867916
2024-01-23,1.001703779339096,131118025.52276324,209792.5932312948,130895009.31030956
2024-01-24,1.0024291284671645,131842163.95278671,207872.06562457327,131522678.47043648
2024-01-25,0.9983677289203536,131345033.29964577,263527.3382935071,131559774.51483114
2024-01-26,0.9989603284290378,131762511.15102716,579444.4017144641,131899643.46055315
2024-01-27,0.999464200457422,131769958.30895963,871167.8382525725,131840598.44129772
2024-01-28,0.9978188202686902,131531435.01511292,12140.315219130604,131818955.84981497
2024-01-29,0.998705705124648,131673967.10992008,509.1291547871602,131844612.916761
2024-01-30,0.9988693287905352,133193046.07591216,858752.5746660442,133343814.08746108
2024-01-31,1.0003794596568174,135246945.03943196,945795.1037542752,135195643.74685258
2024-02-01,0.9925247617269032,139572335.95077688,677074.4967032241,140623530.3469242
2024-02-02,0.9978529381666552,146688879.45713073,839542.0258056585,147004507.22392085
2024-02-03,0.9992331689072532,152490915.63221496,1889775.4820988013,152607940.14571875
2024-02-04,0.999328204926921,152617038.32823515,871.3565554599503,152719634.62633955
2024-02-05,0.9979195884535258,155107879.7339986,23705.947483445834,155431240.6817958
2024-02-06,0.9981957633820238,156198895.73907894,935940.5441295492,156481224.8950604
2024-02-07,0.996158061472988,162796390.85138315,716478.5049589572,163424256.79983073
2024-02-08,0.9957319281601412,178782410.35658842,874008.833353682,179548737.26599565
2024-02-09,0.996830774517983,178965524.68719363,600.0644335562886,179534510.03128624
2024-02-10,0.9958441894475714,199020218.25783724,76471.60935787323,199850760.1558036
2024-02-11,0.9939578001992516,208374828.68291545,121592.2204691002,209641524.66145343
2024-02-12,0.9948747387974156,208645037.66058576,394629.4080041174,209719906.96315363
2024-02-13,0.9954917367256276,209281738.31253505,115316.0464053664,210229508.2839208
2024-02-14,0.99577102359001,224342439.9677697,2455222.733155384,225295208.08805797
2024-02-15,0.9971405948555336,224360061.0335956,2054460.3514288184,225003437.0189301
2024-02-16,1.0010231695761846,226108411.23138785,7014969.873582258,225877300.4496171
2024-02-17,1.0010399047124794,233671296.12256587,35657417.88249524,233428552.67061645
2024-02-18,1.001232552169507,238020161.81934655,13050754.520710751,237727150.70399573
2024-02-19,1.0018681553251985,242177530.4599619,18206219.112802844,241725948.8413952
2024-02-20,1.0015738120657465,275898054.42155695,57419775.98431337,275464525.0283822
2024-02-21,1.0009885560321017,332933559.9486786,131555643.6947387,332604761.5053867
2024-02-22,1.000860136333856,363883782.6215853,77209114.5258777,363571061.94127095
2024-02-23,1.0005701972837204,413350343.161963,108116078.86368832,413114786.2329882
2024-02-24,1.00152013505078,421122058.80900174,17034777.35151549,420482868.0630067
2024-02-25,1.0004359834411998,427866774.0447136,14517155.898201795,427680312.5103319
2024-02-26,1.0006786510479262,437869930.95392656,24753769.026993945,437572971.5982072
2024-02-27,1.000397410686441,483010099.0605485,62402136.379635625,482818221.9395413
2024-02-28,1.001079494693739,497993090.2031318,35869542.65866845,497456088.99469393
2024-02-29,1.0012140820936926,519610298.3327977,75513437.33538544,518980213.7483051
2024-03-01,1.0011895739502077,585047738.3919927,150854227.65319163,584352607.7520748
2024-03-02,1.0002684344326511,620020818.5436219,97757025.4998406,619854428.2718424
2024-03-03,1.0005069877967232,668359094.2178532,125304354.69494057,668020416.0189697
2024-03-04,1.0013928459312265,712221369.0796943,99068106.11485931,711230734.2453375
2024-03-05,1.0008634432651808,779378247.7374218,121102364.00963438,778705879.3903055
2024-03-06,1.0006917241089084,810403620.8229482,94714136.6493288,809843432.5961803
2024-03-07,1.0024856992933535,825853541.803693,44411297.671060026,823805808.2881706
2024-03-08,0.9942582214120962,829323331.8656182,27752760.76237264,834112621.8577011
2024-03-09,1.0003871798422064,842290545.4266667,26149679.479575917,841964553.7236127
2024-03-10,1.0015801304302958,851857358.8055458,31589910.13503283,850513436.6429309
2024-03-11,1.0018542501540255,864879640.4861405,49492271.32740387,863278905.442756
2024-03-12,1.0002947562513924,899059860.8167952,98715558.64119016,898794935.3908689
2024-03-13,1.0013602079377957,955576243.8333762,167765168.76662412,954278227.014126
2024-03-14,0.9979959786274696,998132883.7673372,140739682.01650622,1000137180.0516232
2024-03-15,0.9982099781388272,1053937631.363542,109924883.86389658,1055827585.823796
2024-03-16,0.9975142134282562,1079118239.6710267,64440352.42500445,1081807381.9342525
2024-03-17,1.0017853245781434,1098314231.1625657,44523820.85412695,1096356878.2813532
2024-03-18,1.001139037727774,1113266236.9005854,38385756.60072476,1111999627.3717384
2024-03-19,1.0004521173053271,1146098310.2452617,60414378.56620751,1145580373.533744
2024-03-20,1.002290644394979,1180925252.7190914,59009455.5164765,1178226355.1227129
2024-03-21,1.000951711681492,1194362003.0745587,55719507.16324552,1193226395.575225
2024-03-22,1.0006769158344864,1226895192.3612254,73694521.09106934,1226065249.3798068
2024-03-23,1.0010216138948076,1270115281.1216214,116077977.60145909,1268819037.9624426
2024-03-24,1.0008067006687644,1286905550.8068354,50340907.61776111,1285868240.0376542
2024-03-25,0.9997868967162836,1304392286.8121214,64242274.54545806,1304670316.3407006
2024-03-26,1.0009420138795633,1324155405.7313604,52777020.082533225,1322909206.897061
2024-03-27,0.9988034501141893,1343174531.3355827,59971742.682216845,1344783632.0369368
2024-03-28,1.0005090941699024,1370568765.1224496,88075594.19162793,1369871371.593655
2024-03-29,1.0000567462455474,1398826289.471283,106275273.60330015,1398746915.8353384
2024-03-30,1.0013661359634731,1505632078.143917,271076742.4494468,1503577986.1831057
2024-03-31,1.0003268082403958,1533053116.026955,41581501.12577087,1532552265.3178115
2024-04-01,1.001350318794524,1538920861.360244,17590162.14674958,1536845629.8220131
2024-04-02,1.0005024585368452,1558506920.7359624,57224303.77487698,1557724228.8991015
2024-04-03,1.000828862024099,1788175967.6376815,736474086.1004313,1786695043.967091
2024-04-04,1.0006412811079557,1971644111.094376,501592455.3619375,1970380543.2764893
2024-04-05,1.0008432516720775,1999465716.9312243,233843345.94182968,1997781084.6911137
2024-04-06,0.99992537986358,2012845406.562156,93776623.3574974,2012995616.5696776
