Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
2023-12-04,0.9986472778828775,966657823.7050264,166630621.36220104,967967214.3645468
2023-12-05,1.00062902101134,967037941.328251,402874433.1228569,966430036.529284
2023-12-06,1.0006795242233752,1070506518.504352,420825833.18275785,1069779577.3678584
2023-12-07,0.9986006374024012,1067526995.0905294,452523310.9078499,1069022945.8168803
2023-12-08,0.999762592162556,1070397630.4473922,410209934.1892185,1070651811.5786344
2023-12-09,0.999713628943878,1069591088.2767476,2356081749.768641,1069897475.9468768
2023-12-10,0.998185347738141,1067407122.4387704,1741982606.7676845,1069347616.5097834
2023-12-11,0.999340842383162,1069778256.024276,1230157568.1096442,1070483873.623277
2023-12-12,0.9999085772351832,1071188643.5815084,4224620819.76204,1071286583.5628887
2023-12-13,1.0027728371019555,1077000694.923209,3554310638.881108,1074022605.1951845
2023-12-14,1.0015168866220892,1348396326.2480557,3406124939.0770807,1346354059.7861707
2023-12-15,1.0027366660572516,1399573673.3478432,3301992826.596338,1395753960.858886
2023-12-16,0.9991298545681664,1656097075.1839674,2465366350.4743686,1657539375.4996428
2023-12-17,0.9981351242987474,1652788776.5400014,2131553988.904007,1655876780.9129944
2023-12-18,0.997638441396763,1652251892.841564,2181304355.645627,1656163018.8671324
2023-12-19,0.9984447197037636,1627332375.508661,101013781.32603216,1629867275.9684556
2023-12-20,0.9994540404753184,1795637305.4361916,3531942200.318338,1796618186.2471895
2023-12-21,0.9993049948685672,1794711720.610633,3446667377.653424,1795959921.9722512
2023-12-22,1.0011744764877708,1796155286.8614492,2946918082.7243795,1794048219.409825
2023-12-23,1.000823480652561,1797635685.9099083,2269507804.911263,1796156585.712603
2023-12-24,1.0009010297611702,1796786743.7966945,1142715930.9784584,1795169242.88252
2023-12-25,0.998051615185934,1793647239.580514,1479537022.1739504,1797148776.9661725
2023-12-26,0.9976859325991496,1793307562.870633,1926350598.0699437,1797467022.7119944
2023-12-27,0.9998709894349086,1799013671.5667858,2350848966.920255,1799245793.2833157
2023-12-28,1.0026197099833218,1788197814.634024,2464476935.2284813,1783525495.0890305
2023-12-29,1.0004634034924675,1802499955.7473795,5874594360.134167,1801665057.8673072
2023-12-30,1.00145977339327,1802395068.2927296,2749987501.3630123,1799767815.122151
2023-12-31,1.0008099249840714,1801076552.0529573,1587280989.5305998,1799618995.6665576
2024-01-01,0.9988567797185264,1799377636.326377,1776773316.204897,1801437075.7271464
2024-01-02,1.0001346612451187,1799990441.2791774,1787987977.3626833,1799748084.9611566
2024-01-03,1.0008111771246162,1797023789.4165752,3915385344.0569777,1795567266.324423
2024-01-04,1.0021688215100606,1803858405.0717945,4092119742.2335777,1799954624.764472
2024-01-05,0.9986002956273656,1799994476.6528428,3974661048.869864,1802517468.234881
2024-01-06,1.0023577448754084,1838702029.2966015,3626801865.6121736,1834377036.2398405
2024-01-07,1.0030518470875878,1844304891.1615212,1244189146.1955495,1838693479.8201656
2024-01-08,1.0033644616270074,1837852047.647476,1954920563.3073812,1831689398.952105
2024-01-09,0.9984687736239312,1834491520.4732256,4508923244.255385,1837304850.1206093
2024-01-10,1.0005887651025354,2035560456.068864,4808972160.280865,2034362694.308555
2024-01-11,0.9908206377541492,2003217038.787069,5891636814.467355,2021775649.8569467
2024-01-12,0.9986699865155864,2019440347.8033695,5949305659.209773,2022129807.714865
2024-01-13,1.000378366530121,2016516274.396729,5345090225.079641,2015753580.7088172
2024-01-14,0.9996855946364516,2016247935.912441,2964495138.98426,2016882054.448004
