Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
04-12-2023,0.0267145708714359,771592325.0980874,708937958.1685063,28882826859.22159
05-12-2023,0.0294106689581321,854506011.4250857,1150772949.0295355,29054286818.213062
06-12-2023,0.03032265597994,883468137.9621898,813160516.4014016,29135578972.58893
07-12-2023,0.0289401024088596,846590240.4749228,540882246.8972172,29253187446.07308
08-12-2023,0.0315069706183299,922940166.8561294,837817796.2240682,29293205558.74662
09-12-2023,0.0330140718430277,965840923.2799832,782458767.4665811,29255431679.929523
10-12-2023,0.032444743755722,952494018.5318328,1052557629.886298,29357421519.590435
11-12-2023,0.0343179360029919,1011840588.7781092,708023653.5713336,29484307817.63488
12-12-2023,0.0306107256201959,904639442.1037912,181067782.9815958,29553021817.52068
13-12-2023,0.0306634791374365,909577726.6017824,347262428.127253,29663226489.237244
14-12-2023,0.031533963560535,933235506.976729,248438691.020902,29594614872.47612
15-12-2023,0.0321135058120787,953539024.4835649,306324575.3366266,29692772569.38147
16-12-2023,0.0295427344231796,883617291.5630106,109816629.0004904,29909800457.39138
17-12-2023,0.0304330814248439,904236116.187926,97498777.7558845,29712276044.77
18-12-2023,0.029703860037657,884519164.9434344,150462461.9763385,29777919900.716167
19-12-2023,0.0291924350417156,871930933.1740518,159087946.12825382,29868386516.1667
20-12-2023,0.028484010217236,852015013.3575948,84622278.27017182,29912045630.50006
21-12-2023,0.0304822509047562,911938240.2587156,219714879.3580155,29917024274.49093
22-12-2023,0.0314432409507824,946276548.7531788,121216859.44748428,30094752326.40198
23-12-2023,0.0321717399805241,972187432.3888288,245132455.87670207,30218677416.1846
24-12-2023,0.0315518318459114,954004416.8687989,172570774.57253936,30236102345.113808
25-12-2023,0.0310182898474781,938157637.0117464,289739203.0316347,30245304999.88288
26-12-2023,0.0356117187271714,1078066921.4832757,340381972.46061873,30272813557.316982
27-12-2023,0.0330751684804273,1006425838.161985,295533871.1653991,30428441770.676075
28-12-2023,0.03344052024724,1016682633.0345814,186272109.57528147,30402715792.63156
29-12-2023,0.0313187168978274,958725617.717536,324695152.8250776,30611906000.02015
30-12-2023,0.0308075291760148,941138904.0402024,160203495.92823175,30548990107.682007
31-12-2023,0.0306941952450614,940054495.6532036,142721736.8643524,30626458460.560337
01-01-2024,0.0303100933300666,930414836.7263912,68380721.53375919,30696534866.933205
02-01-2024,0.0322314321271081,990206335.800552,159882068.9270537,30721760419.939327
03-01-2024,0.0309602223708541,954326704.6279684,261666080.51561624,30824284567.36049
04-01-2024,0.0268693581468376,826930444.1780738,560911728.1341012,30775965680.274315
05-01-2024,0.0279481259512247,866980128.7423416,374706203.57871926,31021047001.698864
06-01-2024,0.0266408742876806,825736202.5511855,441945094.8876312,30995086483.81804
07-01-2024,0.0262591038129117,816221412.9599355,310977739.6201511,31083368982.24971
08-01-2024,0.0246308291723342,763934084.6019785,336851327.23107475,31015362059.35134
09-01-2024,0.0265518135118214,827475678.8871546,426739610.6057962,31164563524.7756
10-01-2024,0.024651285451443,768826539.4746916,472689510.2180581,31188091225.06367
11-01-2024,0.0273329965235177,856675329.3506706,551800259.209748,31342166550.00024
12-01-2024,0.0280168188673108,879779905.7429198,503677755.0882024,31401848650.61252
13-01-2024,0.0259978993466201,815474572.204386,458755195.42818505,31366940895.184376
14-01-2024,0.0267160047397128,840343219.1114111,270832405.5692351,31454673979.086994
15-01-2024,0.0252456553494517,801532822.9029279,286596238.3764832,31749337135.759243
16-01-2024,0.0252870173700857,797871893.9423856,235320567.16319543,31552629646.4786
17-01-2024,0.0258507696845459,820694116.6445305,212138311.7085551,31747376447.949875
