Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
2023-12-04,17.416140356968537,1468785379.782402,92426528.97693616,84334723.40470158
2023-12-05,16.738774557516983,1408885807.8494067,218944384.65768868,84168993.55494992
2023-12-06,17.15930951147008,1442100277.0314505,123643927.14933003,84041859.38061689
2023-12-07,16.9492754631346,1431487117.817443,115627138.80501144,84457127.44069731
2023-12-08,18.28979356415436,1542060923.2540128,112686592.90643744,84312647.80791476
2023-12-09,19.270282953462655,1621733926.7151375,192029390.3135252,84157245.15470749
2023-12-10,18.6069349732591,1565670433.540258,129582177.69717154,84144456.66577308
2023-12-11,21.288166014717586,1790513194.4879391,150352052.73830247,84108381.77652632
2023-12-12,23.9901169654775,2025454298.8083892,523593248.4895771,84428696.27201398
2023-12-13,25.637651031486836,2162072462.140396,488122510.1104045,84331924.92888878
2023-12-14,28.99679515445434,2438088002.005517,362197854.3384036,84081292.05378722
2023-12-15,30.41556593543555,2561537784.473021,439994990.0229384,84217988.57566908
2023-12-16,29.815562492455754,2538012462.244068,365895992.9070358,85123749.14564374
2023-12-17,29.462405979445588,2471233218.0700293,317319733.8788024,83877508.84276329
2023-12-18,30.745504040219885,2582155371.191931,201199502.03706223,83984811.82204954
2023-12-19,36.792451210794816,3102366122.717861,551511512.4996632,84320723.96980266
2023-12-20,36.67394078531083,3089480641.281787,570194269.9557605,84241850.61997017
2023-12-21,42.42062692759208,3572535460.7067146,596577113.0091301,84216941.60260028
2023-12-22,40.396634175216384,3401377739.273983,492511671.5656548,84199533.17201738
2023-12-23,38.522551255333184,3245890771.280514,292100131.49720603,84259496.46393533
2023-12-24,42.22982434898905,3541301660.251816,392013289.8809592,83857835.42423359
2023-12-25,40.677424635698905,3432916306.5059648,404630920.3972532,84393649.23543374
2023-12-26,43.31925639365638,3650217727.793298,319824322.4033635,84263166.81483552
2023-12-27,38.6237951308712,3250140829.16472,344474993.2373193,84148665.81991965
2023-12-28,39.07032065481744,3284803897.859508,260057919.3878173,84074147.40412389
2023-12-29,35.61575819449785,3015119856.2585,252438786.6897945,84656904.95181695
2023-12-30,35.695251033790306,3003052741.682759,226276647.53650048,84130315.79018648
2023-12-31,37.488767449259896,3155318414.123533,220680592.84732145,84167035.32315852
2024-01-01,35.77819653078223,3019376471.466908,192310447.6238477,84391522.33034296
2024-01-02,39.69859228764174,3345040993.75332,205583971.91357395,84260947.32821645
2024-01-03,37.02239885919381,3108785991.0991693,247903398.90552455,83970409.45192997
2024-01-04,34.180299251845824,2881946719.1623435,339149455.6648433,84316017.77174935
2024-01-05,38.39746954742777,3236605152.93188,328554574.08054847,84292147.14094874
2024-01-06,38.77836738002943,3279110727.777199,309750195.30403143,84560308.98984975
2024-01-07,39.95995578551194,3361572492.8251843,328425243.04041326,84123528.83643506
2024-01-08,36.33429850913984,3045046497.39053,216512139.2140912,83806392.9216785
2024-01-09,42.210048258930925,3557365187.586598,531975125.00804096,84277685.86675142
2024-01-10,40.131972458850576,3372972821.6094666,413540617.35473984,84047023.23236051
2024-01-11,41.03245291461171,3455067723.21887,474928228.9028001,84203294.65578979
2024-01-12,38.66709241890265,3278257864.2943816,403445612.6853111,84781597.45706105
2024-01-13,36.7687688139162,3107363796.082292,228919270.0745994,84510955.80078876
2024-01-14,39.187119880655445,3328683909.5325227,188596403.70734727,84943316.06073743
2024-01-15,36.82853364580903,3137722323.467171,202960225.6302043,85198133.4267495
2024-01-16,40.96471682043431,3472543333.834856,259118003.27098185,84769128.24898762
2024-01-17,40.82671051206099,3460085349.8603272,260235127.56821924,84750529.8972875
2024-01-18,39.04514110444171,3308564943.3604507,194111424.11111975,84736918.5966157
2024-01-19,35.95087712808191,3048910008.6427364,183518078.25874585,84807666.7999061
2024-01-20,35.995162111859514,3054594189.674338,186187092.9198413,84861242.74650578
2024-01-21,35.36341588707005,2997917673.971349,81549524.84937209,84774550.16067834
2024-01-22,36.017992118053634,3186327953.3278804,113405094.72487304,88464896.73506169
2024-01-23,33.831136719353324,2994963131.4362864,193409899.21476912,88526825.34084047
2024-01-24,32.879486469268315,2899906527.5129366,239504305.98640057,88198048.05112791
2024-01-25,33.105665860219666,2927497152.0014186,140523537.47261697,88428885.99075572
2024-01-26,31.798979224968743,2810869228.3567395,107652933.33829662,88394951.56340203
2024-01-27,33.774311554367074,2984514646.953244,131378964.0864896,88366409.546173
2024-01-28,35.0514565630946,3094184536.112635,114149302.3252724,88275490.93553156
2024-01-29,36.41130829256709,3221581929.1383443,215910988.61508825,88477510.97688487
2024-01-30,37.43268174819492,3325430794.990287,253561456.66260952,88837631.70803668
2024-01-31,35.41894958426722,3129263457.78114,248781199.1939253,88349979.1640103
2024-02-01,33.878830784145265,2996898068.538631,196577663.6328525,88459312.17735913
2024-02-02,33.78765892851915,2987661405.9136395,127370389.21299057,88424634.9305913
2024-02-03,34.62772890982337,3062880123.6989627,129958996.60361654,88451660.56587873
2024-02-04,32.99521200340265,2916268625.800437,97517514.88082749,88384600.33230564
2024-02-05,32.317453049456844,2855955160.0644464,75622022.92255302,88371913.33406907
2024-02-06,31.87076748153197,2814173571.629728,101105522.57824884,88299523.1683845
2024-02-07,31.245859719489943,2764375362.954511,113624622.1523526,88471733.14390202
2024-02-08,32.84352899593431,2905168340.094161,119932798.59048568,88454816.79066189
2024-02-09,32.91085546367153,2911873239.055033,128589684.78940947,88477591.90791284
2024-02-10,34.91965100183245,3085881909.9118395,211122641.45555457,88370926.43766412
2024-02-11,34.982573238335966,3093636308.173624,130439517.37777844,88433640.57574342
2024-02-12,34.99049697092131,3090342045.196264,149749630.88072684,88319467.07600288
2024-02-13,36.92731442899279,3260760757.649695,213869406.887004,88302136.45565218
2024-02-14,34.76626876016085,3069686575.370455,220760644.64715928,88294967.64657274
2024-02-15,35.359344413388094,3123774182.5029354,185247018.0056377,88343667.97027442
2024-02-16,34.059117953815935,3010550139.3308835,239595824.00988463,88391899.7377789
2024-02-17,34.61623344209581,3064798903.627926,282625542.2695869,88536463.93258117
2024-02-18,37.560778036539205,3310755457.102921,298433192.5315419,88143953.08537568
2024-02-19,38.81840826306132,3431408024.2918677,324121698.25657713,88396412.36802372
2024-02-20,37.567235441549045,3319480944.7511706,269461445.1575143,88361065.32022989
2024-02-21,36.48490409578013,3230029759.5094085,336869725.2729969,88530581.05977032
2024-02-22,35.09620075882668,3108906673.1295505,192609896.9492116,88582427.8956366
2024-02-23,34.27141226003577,3027756090.748567,197388049.51828912,88346405.67991018
2024-02-24,32.98552277369489,2921740911.6803102,159443755.92708102,88576462.21724653
2024-02-25,34.647205393244164,3063160498.9810886,95361348.79668024,88410030.88746582
2024-02-26,35.74535754488282,3158303745.9676294,115899037.6334471,88355634.49049234
2024-02-27,36.73028856618711,3248680578.686647,205674836.86908036,88446911.40480973
2024-02-28,40.10310415369234,3547041921.749508,328484144.52087873,88448063.97419307
2024-02-29,43.526913535867976,3821840453.545045,641948722.8464321,87804076.67535834
2024-03-01,40.95989339999333,3629574005.393683,494550266.0904208,88612877.23454559
2024-03-02,45.38660668931576,4003588149.4383655,325810096.8147061,88210783.78571163
2024-03-03,42.852117782858414,3788730957.529002,244143526.24570343,88414089.04753268
2024-03-04,40.75767043998978,3600461874.0694017,248323692.222834,88338264.55735737
2024-03-05,40.9256057370282,3615003146.308901,347156343.8016805,88331084.68906935
2024-03-06,37.91314289226128,3337623044.049367,488855763.7464461,88033404.49864507
2024-03-07,38.84881296165663,3431540180.075249,264335071.35160992,88330631.45229542
2024-03-08,42.90952226428512,3798580272.491873,411723950.8879913,88525345.2391276
2024-03-09,41.55593878930163,3671691600.2362695,243904271.29381984,88355400.14756034
2024-03-10,41.00765916283819,3622327082.308535,167611268.73415256,88332939.65706648
2024-03-11,40.07295320749437,3540249873.213726,159215234.70585972,88345120.33297399
2024-03-12,42.56859892255327,3764957003.228771,296576029.5226498,88444466.0741244
2024-03-13,51.555334878693785,4538593320.630395,817886377.3421586,88033436.91413115
2024-03-14,48.262794346636056,4259290202.749485,422716553.0860809,88252043.01595438
2024-03-15,48.10677443265784,4256489376.667348,646607264.7439793,88480041.05171894
2024-03-16,44.2969577023898,3927622471.934021,496208415.8773606,88665738.58913402
2024-03-17,40.6822138050163,3594034362.0152297,399098348.7700053,88344119.600789
2024-03-18,42.90460073952804,3778034732.8535614,276111500.8983518,88056634.20083657
2024-03-19,38.42095620815555,3394150432.016556,286391470.0638642,88341123.36059155
2024-03-20,35.95835700443982,3185435651.900323,331644103.15048224,88586796.42974271
2024-03-21,39.15990159937902,3461604490.9363084,272481108.4340655,88396659.58177997
2024-03-22,37.13547064942851,3282519061.023204,188995379.9728835,88393091.66191271
2024-03-23,35.114636083908884,3100493316.110504,185967557.13147417,88296324.89146855
2024-03-24,35.093838024263654,3107936640.608664,93722852.6924035,88560750.7067154
2024-03-25,36.51356284003979,3233810389.9358454,97419648.7254212,88564635.66983762
2024-03-26,37.80574952708835,3330539865.5511,178822475.09991765,88096120.48994614
2024-03-27,39.0912688886757,3445699027.673118,257365629.8616683,88144977.78227143
2024-03-28,37.95384163677414,3342625768.301338,197777070.5762291,88070815.0782452
2024-03-29,38.38777445896799,3393077957.1329045,144447970.64542487,88389546.01965022
2024-03-30,36.69051682722606,3241938703.2892947,113289825.1862199,88359036.16608709
2024-03-31,35.87047939225922,3167461362.0853887,79734818.20654914,88302732.93668109
2024-04-01,36.78282183502106,3249013459.9236245,99850208.07130192,88329641.33355932
2024-04-02,34.273106439459525,3035228864.086143,187919841.51967695,88560074.63016555
2024-04-03,32.692076961033834,2909717790.2001224,194948199.1128287,89003760.56462419
2024-04-04,32.97493924782884,2945900729.79261,178587506.44019604,89337563.52520274
2024-04-05,32.73565531034547,2907485484.0721407,124205887.79273409,88817085.11737922
2024-04-06,34.3313869602029,3091609561.5196967,145743621.72028443,90051985.5228542
2024-04-07,34.83120405863421,3127587850.1141925,135096581.28847107,89792699.81161915
2024-04-08,35.26906317542644,3174181114.380397,116594534.38590822,89999019.78093916
2024-04-09,35.66505014340615,3213424374.550803,122754822.00305198,90100094.11538456
2024-04-10,33.173029371637014,2990112865.7811084,141831991.53790832,90136864.86943696
2024-04-11,33.09343600607265,2980601779.604989,120300079.18566912,90066252.98920451
2024-04-12,31.90941995281377,2871348271.6198287,99974792.83880693,89984345.55895565
2024-04-13,26.75073601972639,2399064162.238749,340976449.8485151,89682173.99587223
2024-04-14,23.506455495298805,2115598442.657462,403833206.30318207,90000742.26761127
2024-04-15,26.126346769953837,2360298458.5798035,301216082.6325997,90341695.27651776
2024-04-16,24.421853460569505,2194238214.7119493,236587282.50245547,89847325.39873248
2024-04-17,25.00437612958169,2254946480.4892626,156203007.89781922,90182073.2820254
2024-04-18,26.090919387872347,2351145264.9432435,237516374.59460893,90113546.01923722
2024-04-19,27.614358700791477,2489333809.9255047,189465873.3347351,90146355.9917528
2024-04-20,28.17576741576252,2539496882.218315,180263154.14695945,90130531.13143
2024-04-21,29.71397213526398,2670949221.881009,130961108.76354858,89888662.80557546
2024-04-22,28.254758160431287,2545196719.335968,98611990.21582676,90080286.82759456
2024-04-23,28.66915375671914,2582627597.5987625,104486733.26628746,90083844.80108611
2024-04-24,28.036205618770843,2523391512.060178,95008680.72519952,90004744.09314193
2024-04-25,26.455703064030857,2381796567.0390525,122405130.44038115,90029607.6530032
2024-04-26,26.53430233549653,2387827735.791891,82837792.75605911,89990221.17108954
2024-04-27,25.53908687570396,2296698115.3995347,71482516.50416556,89928748.29774934
2024-04-28,26.000073323935148,2339197676.735978,68711896.2229194,89968887.687042
2024-04-29,25.75586838581643,2321547318.651338,55901755.42608636,90136635.42130062
2024-04-30,25.855518741919628,2329226528.176678,89666730.88205165,90086242.37734966
2024-05-01,23.739836974677992,2145102048.527069,128940070.50948724,90358752.28693163
2024-05-02,23.72179898202296,2140991439.8535428,142301657.33356056,90254176.8217514
2024-05-03,23.458695111884538,2112524137.452247,92347759.2126608,90052926.10593712
2024-05-04,24.93715671763044,2262610372.203277,109295960.81479467,90732491.99270676
2024-05-05,24.63485230265201,2231291643.464164,68060686.49576242,90574589.85552588
2024-05-06,24.21203174550245,2191809047.542081,74267594.19184381,90525614.31360358
2024-05-07,25.571320110081597,2314378375.962956,144278070.11436656,90506800.82216416
