Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
2023-12-04,72.19585982198642,5342195851.256093,290471216.13404524,73995875.4480986
2023-12-05,72.83786778968658,5380429303.53484,866077394.09588,73868572.3073387
2023-12-06,74.26538438931587,5490870839.204504,652147684.1642855,73935803.1249138
2023-12-07,72.38110444241093,5362310740.176951,585490937.4718279,74084400.63861422
2023-12-08,74.04042407372671,5483162058.743094,541274755.9360881,74056329.73256832
2023-12-09,78.48228392366337,5794077661.209279,772525153.5910528,73826567.87670642
2023-12-10,76.34166873836266,5641240394.669103,805511498.792086,73894643.4875913
2023-12-11,77.15956968399107,5707359761.312449,532902014.9679333,73968268.41682869
2023-12-12,72.58855441341714,5366822921.347061,583765857.3658507,73934836.7620208
2023-12-13,72.52315965301884,5372620094.456242,433435908.5262912,74081439.91741543
2023-12-14,73.22055800321229,5416002322.31592,590130444.7531538,73968328.97774847
2023-12-15,72.96444490034149,5398240020.962074,520995674.20627886,73984528.05795017
2023-12-16,70.89607503837146,5252752225.072502,265442937.6809371,74090874.87889177
2023-12-17,72.16105570955483,5330673469.888204,210856343.15949872,73871888.6173719
2023-12-18,71.22135038719509,5263439040.620238,470127627.4350088,73902544.84091549
2023-12-19,70.79553348002551,5233747044.953828,500856990.2791704,73927644.6928745
2023-12-20,70.44355683044874,5212482828.7862,471317720.4989867,73995168.09368631
2023-12-21,69.83232466193026,5170784460.053506,639297297.8294548,74045715.72099486
2023-12-22,70.87067706414115,5245397593.668644,327646394.9137667,74013651.49822575
2023-12-23,73.73989346501787,5463394773.612973,358829781.0953834,74090082.27283108
2023-12-24,72.53376641441827,5374798563.815908,457767117.9031417,74100640.7017009
2023-12-25,71.11628240082169,5270420272.280851,492957937.2309008,74109895.71383946
2023-12-26,72.2092869640626,5347822297.035611,418467168.11528194,74060034.68358767
2023-12-27,73.10684348239919,5426349899.597273,870118905.1417716,74224923.975875
2023-12-28,75.74783827967272,5599749827.913286,935841387.41098,73926199.8109853
2023-12-29,76.43365863157867,5696683795.79708,1228376951.9431157,74531088.76098582
2023-12-30,73.29283900002382,5410744309.394425,1039211743.71802,73823642.0258283
2023-12-31,73.3280042659127,5427795294.862725,524080794.4603078,74020769.40727396
2024-01-01,72.86092845979027,5401357822.300323,480206749.2410252,74132431.9697788
2024-01-02,75.0383566272283,5548133973.779868,399794519.6681477,73937306.50767852
2024-01-03,73.00601298431425,5399868041.606695,699527490.373304,73964702.64397107
2024-01-04,65.26754172077203,4822682488.429098,800285097.1324649,73890977.98506838
2024-01-05,66.4768356397964,4923856157.518397,948211975.5110592,74068750.56746425
2024-01-06,66.0222658414813,4879889050.19392,921345199.0583284,73912777.57583293
2024-01-07,65.79111695967161,4868934477.669796,528072257.0560069,74005955.55558567
2024-01-08,64.14928579252484,4727259107.834763,436979079.678608,73691531.39325549
2024-01-09,67.73895252864475,5027321735.714736,1106676553.993164,74216112.7098745
2024-01-10,66.77480484278651,4954036875.371928,1070750715.733018,74190211.21867193
2024-01-11,69.95025213212057,5166777290.517014,1116773644.2990854,73863597.81460278
2024-01-12,71.87562575953167,5328357594.313728,1445762707.247845,74133025.45901127
2024-01-13,73.09047200904168,5403566765.91124,2070512625.6184013,73929838.14966731
2024-01-14,71.89610359890604,5323288505.651907,788564782.0347856,74041404.73800176
2024-01-15,69.72856899534354,5200222769.083886,550025342.3529441,74578079.60222381
2024-01-16,69.43887194772924,5148230334.59879,461210241.7935399,74140466.14228077
2024-01-17,69.55353745186962,5154587712.343303,610843938.2411066,74109641.30918904
2024-01-18,69.39108656323525,5140109723.57186,480668917.84241694,74074495.4164645
2024-01-19,67.91950554087074,5035439628.1905365,443803312.1247718,74138343.44186218
2024-01-20,71.14433649125357,5267381366.480915,509042579.1171549,74037957.56993929
2024-01-21,71.22588532225997,5285267721.611482,363534738.949551,74204310.66175453
2024-01-22,71.57115369128836,5310003477.008787,225681400.30026877,74191950.2920507
2024-01-23,67.12833614399263,4979389982.248383,487697267.8848677,74177169.70620897
2024-01-24,65.51200592935827,4850245436.7800045,424498991.3107789,74035978.10773851
2024-01-25,66.24500092213736,4913103082.012952,264869041.121524,74165642.89564557
2024-01-26,65.53704301964605,4861086121.593051,221765590.66013604,74173107.2629542
2024-01-27,67.0274925169401,4963798557.675024,231208808.1748663,74056157.72394447
2024-01-28,68.0816430899517,5048620794.957146,199700815.2009918,74155389.99678287
2024-01-29,68.41132305545842,5071633374.996552,225392139.88964295,74134414.42851755
2024-01-30,68.46872870265943,5078074484.99053,268944071.2057948,74166332.29810925
2024-01-31,67.47840360037264,4998127027.322125,226525649.84801203,74070024.78782003
2024-02-01,66.71784116314024,4950352702.507542,349028953.716598,74198334.60142705
2024-02-02,67.48902123479638,5004934484.133781,223331900.15960824,74159239.42238635
2024-02-03,68.0046548405212,5043892469.672248,178461631.64812958,74169812.07390524
2024-02-04,68.76713420582229,5097281537.544705,174135498.6529992,74123803.41877232
2024-02-05,66.90125491153876,4958708658.922335,197559623.3774685,74119815.32303192
2024-02-06,67.60229065530639,5015183740.326984,189685529.55089492,74186594.73979409
2024-02-07,68.33098595801714,5067780910.811556,207363834.5811951,74165195.1857569
2024-02-08,68.55341612686139,5088272793.442167,223943875.88109228,74223475.3703021
2024-02-09,70.47516891041879,5227228408.605743,257711959.4191262,74171207.95056327
2024-02-10,70.7004800384364,5247576311.266857,402399448.0055264,74222640.47449192
2024-02-11,70.7534072018811,5250317663.3175125,209599169.20605445,74205863.30686168
2024-02-12,71.51322889137052,5306567003.277481,309995539.48722464,74203991.14320824
2024-02-13,72.92847439830649,5409967858.971049,286717695.8267817,74181832.31729138
2024-02-14,69.07706549821785,5122191858.607799,500809112.6441459,74151845.06846122
2024-02-15,69.88077930529877,5188644117.585036,452502895.3235914,74249946.39679988
2024-02-16,69.80232517823738,5182698734.572144,404201815.8572604,74248224.84549525
2024-02-17,70.58251832160894,5239928367.457791,307822935.60563004,74238331.13437636
2024-02-18,69.93288651785639,5194034645.038231,243232367.75448647,74271703.96737458
2024-02-19,70.74010375602555,5252320498.68774,235742442.1292502,74248131.11389245
2024-02-20,71.33334052280433,5293284804.528959,292561297.93596643,74204919.68740432
2024-02-21,69.67739939510282,5173689637.570399,391359958.93202025,74252048.47605182
2024-02-22,68.98702481233468,5131464742.814855,279549781.69567865,74383041.69188295
2024-02-23,68.81340918542222,5108054127.794924,313639624.1306681,74230505.19166896
2024-02-24,68.77421435668461,5116733779.473333,241722790.1312948,74399014.62103732
2024-02-25,70.37263846652533,5224788902.588756,231069667.86116084,74244607.22861868
2024-02-26,70.09249897156752,5205002080.703261,206814179.26003143,74259045.64787497
2024-02-27,71.96382308756327,5346288671.432918,383971537.5543273,74291337.53674711
2024-02-28,74.0325202753105,5496110590.258895,682201410.8641719,74239139.36497204
2024-02-29,74.7527859694335,5553466087.807912,819838662.8833617,74291091.8407607
