Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
04-12-2023,5.541476252989157,7221523866.661483,139699763.33276725,1303176903.946143
05-12-2023,5.625924150472816,7332879765.146372,271224380.30775434,1303408927.852342
06-12-2023,5.903844885800118,7698716107.930096,347922438.7300672,1304017340.7074072
07-12-2023,6.04549363089907,7891438289.864976,388087889.9247637,1305342255.185104
08-12-2023,6.237573170212809,8152051202.892088,292094096.6194331,1306926745.4563522
09-12-2023,6.852098839356324,8965979414.0749,400406097.8911308,1308501179.606036
10-12-2023,7.1258264546282994,9292108335.618414,677114384.5492729,1304004299.6813502
11-12-2023,7.325272797433172,9558741670.054224,302263367.2752548,1304899071.254203
12-12-2023,6.70880860309997,8755886642.561085,492924543.3103336,1305132872.402294
13-12-2023,7.094090753795332,9278853159.587872,536480801.3788661,1307969334.1424615
14-12-2023,7.580589607415374,9865565542.398838,475297617.04893714,1301424566.335617
15-12-2023,7.528782614154129,9854134768.066732,514789158.41508985,1308861641.1291962
16-12-2023,6.954575091547832,9120131740.805037,398361835.73749137,1311385903.6318538
17-12-2023,7.0855773694716335,9259255847.703545,281177796.7310578,1306775067.8437655
18-12-2023,6.789114697040983,8883722378.324194,264782011.00864032,1308524421.0406609
19-12-2023,6.873753595030236,8997693701.070635,310363499.5392449,1308992761.6224153
20-12-2023,6.701573539053728,8772745515.070896,230667224.74311844,1309057561.473782
21-12-2023,6.937336920160702,9082418978.253605,315015067.2137497,1309208285.9431326
22-12-2023,8.324935373033068,10903999877.593851,986984798.266304,1309799943.0620377
23-12-2023,7.977619979299803,10459002198.723553,623391232.3062353,1311042920.8037484
24-12-2023,8.337157916270257,10923157554.145172,478356644.17398566,1310177600.5499723
25-12-2023,8.655971748613158,11353546080.311045,1045828518.8005624,1311643153.425274
26-12-2023,9.223868238920453,12097959420.087029,884552476.345805,1311592827.0786915
27-12-2023,8.812767972104089,11557661125.959743,684413296.9599147,1311467766.1484263
28-12-2023,8.6961281998288,11403357342.53637,484821118.0851785,1311314309.1382744
29-12-2023,8.457237828847976,11124520964.416157,443458901.7133091,1315384666.9027057
30-12-2023,8.285535862556381,10867396701.015911,484304596.8387464,1311610604.4664364
31-12-2023,8.375781699118956,10999224178.030704,243162917.1562481,1313217628.2946467
01-01-2024,8.179253066720896,10757112589.19837,304080872.8170816,1315170529.8086529
02-01-2024,8.596377532718092,11297161413.946665,248244780.0785968,1314176974.0741727
03-01-2024,8.417421608766222,11034322315.02966,340333674.101048,1310891010.0853326
04-01-2024,7.6360339551051855,10036061575.122246,611301093.7830148,1314302900.449059
05-01-2024,7.871723447608001,10352729740.373838,344276224.928263,1315179554.932122
06-01-2024,7.445377531771868,9774352047.78361,358417246.030912,1312808115.6493735
07-01-2024,7.13479262701101,9393136984.13773,242586958.83898675,1316525577.5727866
08-01-2024,6.893712713042808,9055792262.102495,224311024.81101307,1313630642.740459
09-01-2024,7.474130036972596,9851346969.488909,352711537.97538954,1318059348.8147557
10-01-2024,7.114750019705975,9353473170.566256,295305031.9213032,1314659425.0900753
11-01-2024,7.977504691572949,10518060560.085283,428057168.576882,1318464979.5563338
12-01-2024,8.157163962250484,10775171645.83126,547306141.612125,1320945820.838753
13-01-2024,7.578408136083103,9974681085.95536,348819145.4655665,1316197400.1456685
14-01-2024,7.616807202254431,10032684096.88942,214593323.1155314,1317177109.842026
15-01-2024,7.332659880256841,9713369545.466578,168262002.8654686,1324672043.1721902
16-01-2024,7.524014144126593,9929185452.85888,196095010.15492344,1319665973.8618135
17-01-2024,7.4902552288608275,9887592964.984943,196777414.49189404,1320060887.4964497
18-01-2024,7.317350209385526,9656067205.5878,184744106.5838675,1319612554.9932735
19-01-2024,7.010880906813355,9265657370.659472,248894294.24337107,1321611006.350838
20-01-2024,6.862518949822255,9063711312.980097,228282176.17940715,1320755742.789585
21-01-2024,6.888547395728371,9113124174.51062,141850387.15314472,1322938444.2011275
22-01-2024,6.815027278866364,9015906654.521189,116394193.17911077,1322945057.3851445
23-01-2024,6.322391998190319,8370601054.424042,275569681.92074203,1323961098.3975668
24-01-2024,6.352458408426944,8386970996.161283,257216615.364054,1320271689.6241975
25-01-2024,6.46554584718603,8556373508.179006,189205731.1956741,1323379914.1495464
26-01-2024,6.435558749222969,8514922051.995938,163929556.00488618,1323105325.2406454
27-01-2024,6.67188961542771,8818272188.450706,193976810.53379205,1321705348.3708453
28-01-2024,6.668220172969769,8834159569.711126,146697585.46791765,1324815219.1376624
29-01-2024,6.823103122153361,9016663346.390146,189890744.54722387,1321490117.4679155
30-01-2024,7.069698188309496,9394423951.61041,358525976.6987738,1328829562.6459837
31-01-2024,6.848061621027475,9067901749.047453,232774566.51374143,1324155980.3147497
01-02-2024,6.649369485426186,8817939927.87415,207121505.5054609,1326131740.3403354
02-02-2024,6.788948383733377,8991396863.200972,163520260.45143673,1324416736.580994
03-02-2024,6.930699537688069,9189088993.91706,163306938.47774243,1325853031.7103229
04-02-2024,6.831184467214888,9052193188.523954,109077640.54059231,1325127908.9253733
05-02-2024,6.673405581836955,8851284272.182491,98824460.67711264,1326351914.8713336
06-02-2024,6.726233543504558,8923424665.330763,164859979.28228816,1326659951.3107903
07-02-2024,6.805282504519078,9030156905.824903,151817230.5410298,1326933437.344943
08-02-2024,6.938729635747881,9216240085.092796,172330689.85653755,1328231617.1552975
09-02-2024,7.02228342387288,9333586184.627602,234911814.9986497,1329138347.3497014
10-02-2024,7.193391553436352,9562729298.52642,269334580.3558849,1329377002.1400008
11-02-2024,7.205675136142959,9577332525.569868,153741808.65701094,1329137429.1259549
12-02-2024,7.090638702239128,9423517791.073772,177059814.9802487,1329008314.596251
13-02-2024,7.336736856202889,9745552646.515646,267218414.04388943,1328322500.523677
14-02-2024,7.361294054303349,9780607742.113705,251411606.0850202,1328653314.2085314
15-02-2024,7.648745619725107,10177173376.200064,304545227.490735,1330567635.8165808
16-02-2024,7.771469856973091,10342877510.889296,337324196.586603,1330877903.567877
17-02-2024,7.660303799681259,10206060195.102304,217825474.81573552,1332330996.5235286
18-02-2024,7.691958513151205,10252395398.04016,191069163.3060555,1332871905.1866033
19-02-2024,7.843744896385932,10449324455.279585,184734979.29627883,1332185657.9112096
20-02-2024,8.032811573200595,10697902758.268255,315622432.6962739,1331775638.054184
21-02-2024,7.734685769465346,10332543222.301058,363691877.77833945,1335871104.5626986
22-02-2024,7.473704453745667,9968471567.74494,274626786.77773905,1333805963.219344
23-02-2024,7.496562596596207,9994929733.522472,237516677.07771373,1333268361.9637408
24-02-2024,7.575801682630765,10118194688.723663,257788485.04921323,1335593922.940447
25-02-2024,7.804882625356275,10412022682.62452,243279474.2637272,1334039623.9654193
26-02-2024,7.930868521848608,10578073493.550491,185987369.7677944,1333785002.7912006
27-02-2024,8.089295989048571,10795246730.301125,307208612.11585784,1334510042.025402
