Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
2023-12-04,0.8528828099699608,761841926.7891421,20250666.67032759,893255108.3025988
2023-12-05,0.8767031987873863,782822780.3701717,32470195.814132974,892916532.588149
2023-12-06,0.892968598472153,798271002.942436,36177338.93832917,893951931.0177958
2023-12-07,0.8794798261236911,786614980.2084559,32257527.811749958,894409350.6674994
2023-12-08,0.9074261364901676,810037286.4328011,35033724.77954445,892675727.3775951
2023-12-09,0.945602892506274,844900879.6250135,27325474.686604988,893504965.26681
2023-12-10,0.9719781158532654,868165985.6470472,42808783.43520585,893194992.240041
2023-12-11,0.9632154193660982,860600296.0679002,24332788.834356025,893466070.792627
2023-12-12,0.8712895549964689,779056985.676727,38882343.32574576,894142459.5407716
2023-12-13,0.9288110704837398,828619027.1218895,38286905.86638092,892128715.3590142
2023-12-14,0.9178250326914146,820160641.9067594,32201745.396060124,893591493.687783
2023-12-15,0.9787035438332468,871861703.0194484,44010048.508404285,890833295.2434856
2023-12-16,0.9134560408468068,818713205.4703937,28625732.84861447,896280903.3606225
2023-12-17,0.9399387552530244,839851430.7646304,24546672.49182834,893517185.1048411
2023-12-18,0.9090229145689378,811570813.4939882,23161854.813687008,892794670.5049105
2023-12-19,0.8904949460788661,797168586.2913716,31016483.224796824,895197204.4328377
2023-12-20,0.8621006026789939,770290143.3756096,36627111.38807044,893503775.5244788
2023-12-21,0.881716967115441,788437789.3643807,30545146.42991412,894207346.314061
2023-12-22,0.9284673316455349,830633055.5988361,31180945.27139234,894628197.7705066
2023-12-23,0.9830343063997918,880249213.1283331,63897130.08564196,895440990.6121253
2023-12-24,0.9882896961416976,885029387.3345315,43338369.85308071,895516153.6032437
2023-12-25,0.9812000338132988,878742827.3542538,42235713.54067967,895579695.3442214
2023-12-26,1.0418834206947167,932747271.35661,46209656.36715404,895251093.1930023
2023-12-27,1.0489241720514488,940442433.3376431,56381758.8013371,896578092.4834243
2023-12-28,1.1126363763969702,996085189.878947,65028389.80281094,895247729.6352212
2023-12-29,1.0561627166677243,946758074.787855,45786750.128527805,896413080.9075994
2023-12-30,1.0303076172413186,923145178.2039596,34427780.87111965,895989860.461005
2023-12-31,1.0200197737192866,914018053.2814784,27158780.912265405,896078759.2859154
2024-01-01,1.006638654310035,902865011.8724104,21046481.239924263,896910731.5785
2024-01-02,1.1012000855146853,986105810.4056872,47905804.35377338,895482867.6250924
2024-01-03,1.0681617391775835,955035972.3529296,37036626.26363361,894093036.0305232
2024-01-04,0.9769833386163606,874852666.7371403,58650256.72861145,895463240.9352431
2024-01-05,0.9764143835295304,876186220.8104366,40368208.973417066,897350792.440408
2024-01-06,0.9375672788870668,841157039.6566753,45940890.67386364,897169791.0097347
2024-01-07,0.9203434544970706,826268894.8221117,33222354.972676177,897783203.416852
2024-01-08,0.8726962987063237,780917109.6537536,28105482.45327506,894832613.3746383
2024-01-09,0.9358682705158576,840520392.9368839,42004452.91866924,898118270.9331332
2024-01-10,0.8871051573485182,796057841.3430734,34238909.012357146,897365813.6792063
2024-01-11,0.9445982684213904,848740881.671673,43068100.65186885,898520471.6604934
2024-01-12,1.0822130269060952,971163633.4162296,116229088.63080455,897386752.2114928
2024-01-13,1.027480112795324,922648958.85642,70109280.53387713,897972571.3097217
2024-01-14,1.0810827148849986,970421810.7869948,39647022.348547,897638818.4045885
2024-01-15,1.121901229855344,1009293591.0137032,81922046.60587552,899627849.720639
2024-01-16,1.173587590471742,1055628131.0022455,84315793.92901164,899488150.3287873
2024-01-17,1.12445574451916,1010890197.1917334,46235725.588870056,899003986.7011487
2024-01-18,1.1000449162778128,986567219.9584876,33571682.24873817,896842670.1126932
2024-01-19,1.041441645016757,936585521.39633,33543634.8044234,899316371.5680491
2024-01-20,1.0181028386604083,914821764.686334,37927708.79661559,898555361.9416593
2024-01-21,1.0317640035699598,929551534.4938698,25309922.178769577,900934255.5832253
2024-01-22,1.0206061980779266,918065551.784646,22317250.66853708,899529665.3240083
2024-01-23,0.956690516159195,859505564.5193007,32675957.96098197,898415475.0168731
2024-01-24,0.9396539672852158,842984402.70061,34821723.024591275,897122166.297135
2024-01-25,0.9510003298965604,856698706.2254481,28712686.269846994,900839546.8365724
2024-01-26,0.9343271423161869,841343606.6302862,25543023.02954701,900480750.8263162
2024-01-27,0.9726028917869174,873545483.7859533,24126747.18465792,898152258.4011954
2024-01-28,1.0026407336260794,902244862.1450886,22477061.95190868,899868549.0086701
2024-01-29,0.9779357036005274,880984938.9616473,27466851.39623434,900861821.1995631
2024-01-30,1.0067649079464351,906145270.8053454,29895811.00962191,900056471.6281875
2024-01-31,0.9793751317021816,880476231.8395168,44236345.86631196,899018367.2616072
2024-02-01,0.966454150849902,870078057.8394041,37842850.50791635,900278670.3065588
2024-02-02,0.9828972780383732,884896854.8110201,31326660.04597796,900294338.5671611
2024-02-03,1.0158406817887478,914559733.9258548,33063487.1653881,900298393.5585726
2024-02-04,0.9970573383558616,897354970.615425,28147446.10866244,900003376.0296624
2024-02-05,0.95937490239222,863757692.762313,20666687.017242085,900333843.014359
2024-02-06,0.9648227041848432,868692507.8481545,21999332.841339987,900364910.6517379
2024-02-07,0.9796644138683588,884429299.3524175,22474120.337455697,902788022.9517672
2024-02-08,1.0037559857133795,905775422.1810124,24442602.34602401,902386072.9829355
