Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
2023-12-04,0.9991584655201552,24515071928.781155,6869343851.078118,24535719582.79789
2023-12-05,1.0006126837557818,24400386546.350307,16364388389.608912,24385445979.72104
2023-12-06,1.000143342068164,24289183596.61733,15659255974.51179,24285702433.803654
2023-12-07,0.9994728137655368,24288530916.84322,12237281039.5035,24301342249.95637
2023-12-08,0.9998510068900284,24304813682.964424,13349432422.165758,24308435472.364
2023-12-09,1.000521017552792,24500076100.52974,11605034829.413397,24487317778.146526
2023-12-10,1.0008180198665422,24572867657.291748,8697085340.503162,24552782993.024555
2023-12-11,1.0002616605555,24563202192.38685,5872175218.13297,24556776652.56665
2023-12-12,1.0008410353273296,24150529201.98002,8751705198.258738,24130234822.03793
2023-12-13,0.9995065656745964,24053290978.334587,6636609639.596684,24065165557.066963
2023-12-14,1.0005081114676844,24291303993.710564,8534741047.269143,24278967571.86376
2023-12-15,1.0003180074018452,24498837555.20751,11324418932.53914,24491049220.27651
2023-12-16,0.9999729580510934,24599475290.698605,9924851243.002466,24600140526.44181
2023-12-17,1.0008714027968677,24674549913.833984,5940566322.661619,24653067162.15752
2023-12-18,1.0005002746666851,24604523838.266224,5761262878.794381,24592220973.11585
2023-12-19,1.0004072106613464,24714692366.74845,9992072198.194044,24704632377.05987
2023-12-20,1.0004758673069951,24753586584.12797,10447732891.023417,24741812764.31764
2023-12-21,1.0000073464071983,24901256244.57502,13086758283.6366,24901073311.1508
2023-12-22,1.000497957304396,24782776096.01221,11463832138.24244,24770441473.74725
2023-12-23,1.0001364503188543,25060302354.99237,12935887642.52881,25056883335.27178
2023-12-24,0.9997692559668272,25066546913.49913,4820310348.058581,25072332204.55306
2023-12-25,0.999054650512035,25090078779.52218,7650982988.858994,25113820116.510166
2023-12-26,1.0005113683426314,25068321884.27898,6789785669.362442,25055509290.01956
2023-12-27,1.000760180876462,24745359675.93405,9585894613.823946,24726563015.58897
