Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
2023-12-04,39888.40988318693,6399724407.513972,113425093.184213,160440.7000994911
2023-12-05,41907.714276169965,6717652877.585898,229493268.609796,160296.33191915136
2023-12-06,43962.33276702992,7049405313.878424,300359713.4002499,160351.0293968115
2023-12-07,43615.24186795947,6955519491.937757,222142687.481285,159474.51381778083
2023-12-08,43285.4891506116,6700574377.231133,234050871.68561345,154799.55312313847
2023-12-09,44211.194377494045,6838343559.7679615,208907788.9320956,154674.48134016164
2023-12-10,43537.88417571362,6739247909.358506,224740797.9450819,154790.432216681
2023-12-11,43730.530209360695,6766660775.916719,125498722.60095188,154735.39295135936
2023-12-12,41202.00926671181,6373904404.616362,276527864.63333327,154698.87313884005
2023-12-13,41446.628557326985,6416852858.517811,189272606.0978604,154822.0707419502
2023-12-14,42925.63873570364,6645550803.90356,178987868.5982501,154815.4203323732
2023-12-15,42961.038336231424,6653362740.857258,199477238.1910598,154869.69120218186
2023-12-16,41823.4246394479,6477762299.668799,118248481.27430125,154883.59347691885
2023-12-17,42128.66006912793,6514446071.164834,73739427.44271605,154632.16870594583
2023-12-18,41393.50503208496,6401044331.125001,95377583.2737443,154638.85762182783
2023-12-19,42451.010447026,6548354465.289894,186524560.55294535,154256.73962370085
2023-12-20,42191.19111269692,6496335525.891989,202204169.935116,153973.7408346596
2023-12-21,43568.25369921986,6779044805.259986,187877295.50335443,155595.97251843428
2023-12-22,43761.07704321216,6814832248.430896,194936929.2190818,155728.1655042801
2023-12-23,44014.31485078197,6857928314.598002,272334335.6092586,155811.31588320437
2023-12-24,43728.13012309298,6811783961.359134,96479936.62660667,155775.7887699343
2023-12-25,43007.399554856864,6700836583.648984,134779078.41276655,155806.59730663145
2023-12-26,43562.12912898767,6787733392.822091,117385793.89106847,155817.3011407129
2023-12-27,42450.4304062666,6610395358.897205,158878555.48184317,155720.3377123208
2023-12-28,43498.105162051324,6777248263.050322,264323317.75166905,155805.59745767817
